Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
218.153 ,137.288 ,99.232 ,481.638 ,47.44213500432312,64.33954381683319,4.321583210569631,46,42,4.431444E-3 ,2.633168E-3 ,38.889,2,25.864,8.169,361.989E-6 ,3.922,4.706,11.766,18.293,1.621 ,9.455,--undefined--,--undefined--,28.364,0.635358,0.601616,2.535 ,0.5702494331065759
248.258 ,180.764 ,75.242 ,598.336 ,43.929045484933425,72.27330775761686,5.600394415131282,736,681,4.053883E-3 ,3.422493E-3 ,56.117,39,64.991,5.950,241.206E-6 ,3.287,4.071,9.862,21.747,1.849 ,9.309,13.600,13.350,27.928,0.668578,0.545756,3.354 ,9.922086167800453
247.820 ,165.694 ,65.969 ,612.363 ,44.90597415742325,68.58236895233762,-15.822007808491813,1250,1171,4.104180E-3 ,3.125874E-3 ,42.301,41,51.552,5.192,213.077E-6 ,2.920,3.524,8.760,19.947,1.680 ,8.847,11.558,15.344,26.540,0.706356,0.471121,4.292 ,11.332698412698413
242.346 ,170.612 ,81.351 ,534.558 ,45.8994912684989,64.70283841735751,-3.163424104671785,247,228,4.202830E-3 ,3.514517E-3 ,27.513,9,38.497,5.322,223.691E-6 ,2.990,3.725,8.971,24.858,1.920 ,10.429,23.608,--undefined--,31.287,0.682508,0.504846,3.577 ,1.9286167800453515
261.996 ,192.413 ,79.675 ,631.604 ,45.977452816366906,69.91771129025611,0.898170365901288,523,470,3.913125E-3 ,3.451385E-3 ,46.322,19,48.221,5.928,231.967E-6 ,3.349,3.534,10.047,23.415,1.835 ,11.365,13.599,4.722,34.096,0.669557,0.546732,3.321 ,5.0633106575963716
222.678 ,186.837 ,75.086 ,598.973 ,46.67077359036488,73.41725954737794,15.043520216335997,402,378,4.641887E-3 ,4.085674E-3 ,47.045,13,54.690,4.486,208.250E-6 ,2.582,3.126,7.747,19.684,1.808 ,9.578,13.325,16.409,28.733,0.648715,0.606055,3.022 ,4.436371882086168
228.374 ,184.833 ,78.994 ,612.302 ,44.53232902076003,71.1004310943396,0.6407125218074862,344,314,4.426711E-3 ,3.625977E-3 ,55.491,18,69.213,4.309,190.734E-6 ,2.324,2.592,6.971,18.228,1.670 ,8.198,9.398,6.336,24.594,0.678038,0.540383,3.704 ,5.220045351473923
249.514 ,170.600 ,73.541 ,597.429 ,32.99469531351218,69.40304526496041,1.8440172594253303,917,836,4.042146E-3 ,3.197555E-3 ,79.298,49,79.364,5.561,224.775E-6 ,3.007,3.253,9.020,19.902,1.666 ,8.163,12.492,15.086,24.488,0.702121,0.484614,4.318 ,24.8118820861678
224.573 ,172.519 ,72.975 ,592.548 ,48.49546667155199,70.06586574263439,9.914387479499506,281,265,4.548512E-3 ,3.795272E-3 ,36.864,8,24.093,6.402,291.200E-6 ,3.827,3.905,11.480,22.124,1.931 ,7.901,11.533,--undefined--,23.702,0.679394,0.520264,3.492 ,2.3988208616780047
346.192 ,195.587 ,79.881 ,586.777 ,45.14739226780608,65.53732568104222,8.73812193721902,624,575,2.936269E-3 ,2.488131E-3 ,37.913,20,48.503,5.358,157.332E-6 ,2.923,3.528,8.769,21.569,1.802 ,9.009,15.528,51.500,27.028,0.635400,0.623906,2.624 ,3.9661678004535146
