Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
136.361 ,24.869 ,89.124 ,198.991 ,36.051825760854975,61.07911615339588,9.80285484113772,301,295,7.354529E-3 ,1.391613E-3 ,47.982,5,26.276,1.898,139.607E-6 ,0.813,0.929,2.439,11.316,1.029 ,5.013,7.027,10.433,15.040,0.874168,0.166804,10.377 ,4.4989791666666665
114.680 ,56.493 ,70.369 ,580.997 ,35.253293630900856,57.72770139887733,6.254541058293434,614,582,8.841433E-3 ,2.243206E-3 ,45.841,25,44.900,2.569,227.144E-6 ,1.133,1.339,3.399,14.067,1.231 ,6.835,9.240,14.718,20.506,0.810169,0.289107,7.818 ,10.858979166666666
160.412 ,73.397 ,110.698 ,563.984 ,37.911142969429555,63.482850680685104,10.167025829529637,239,233,6.268099E-3 ,1.892073E-3 ,43.542,5,26.635,1.242,77.830E-6 ,0.504,0.560,1.511,13.983,1.142 ,5.127,6.684,8.591,15.380,0.919325,0.100903,12.601 ,2.7469791666666667
121.918 ,68.160 ,83.650 ,447.467 ,39.38280487255811,60.172950785825705,10.897346072983831,436,414,8.357656E-3 ,2.588697E-3 ,36.789,16,40.336,1.620,135.397E-6 ,0.602,0.735,1.807,13.641,1.201 ,5.718,6.916,9.692,17.154,0.873004,0.174525,10.838 ,6.010979166666667
125.189 ,80.783 ,88.001 ,591.959 ,34.4652162241313,62.253212469874924,6.49480716894458,665,636,8.121982E-3 ,2.832394E-3 ,51.416,18,50.521,1.497,121.564E-6 ,0.619,0.718,1.856,12.234,1.109 ,4.746,7.051,11.501,14.237,0.888436,0.154278,11.465 ,11.338979166666666
114.307 ,55.117 ,75.169 ,532.806 ,37.21502843806855,62.85943248759767,6.814611602927284,816,769,8.846149E-3 ,2.469887E-3 ,49.111,44,52.532,2.408,213.012E-6 ,0.963,1.203,2.890,14.302,1.252 ,6.342,8.198,10.896,19.025,0.796597,0.306579,7.247 ,14.650979166666668
101.366 ,13.529 ,81.873 ,118.875 ,29.28796042903687,59.41546001698262,11.301328314400266,51,48,9.837850E-3 ,1.377350E-3 ,69.143,2,10.375,3.264,321.154E-6 ,1.499,2.041,4.497,19.953,1.584 ,13.728,16.521,12.187,41.184,0.688328,0.509917,4.026 ,1.7869791666666666
136.590 ,72.980 ,89.019 ,465.062 ,50.95708895092218,65.40809445257852,25.086049473570885,94,89,7.370442E-3 ,2.402861E-3 ,30.189,3,15.905,2.583,190.400E-6 ,1.228,1.289,3.683,12.149,1.078 ,6.077,8.683,8.844,18.230,0.809965,0.268485,7.440 ,1.0909791666666666
107.512 ,8.620 ,92.947 ,133.130 ,48.33153117586444,65.00243131655013,20.536353602384594,264,254,9.302782E-3 ,0.749760E-3 ,27.901,9,32.492,1.594,148.325E-6 ,0.615,0.774,1.845,12.545,1.135 ,5.588,7.514,8.763,16.763,0.854455,0.193711,9.015 ,3.6589791666666667
119.493 ,20.397 ,77.628 ,211.636 ,35.58914112533414,62.01080171642968,7.592531638187543,577,553,8.377062E-3 ,1.370829E-3 ,49.902,23,48.825,2.175,182.180E-6 ,0.923,1.170,2.768,13.071,1.224 ,6.006,9.137,12.863,18.017,0.832998,0.242072,8.432 ,10.258979166666666
