Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
360.994 ,67.202 ,261.328 ,454.881 ,30.591082525663758,71.44895642995048,4.024545998042561,69,59,2.838255E-3 ,0.600612E-3 ,78.169,3,31.113,7.320,207.769E-6 ,3.924,4.934,11.772,22.625,1.807 ,7.506,--undefined--,--undefined--,22.517,0.661597,0.575152,3.071 ,1.4584126984126984
210.049 ,82.908 ,85.193 ,510.300 ,56.87594122899508,75.93157078139767,-7.457462906789871,1662,1612,4.809032E-3 ,1.549967E-3 ,19.885,17,21.754,2.709,130.300E-6 ,1.432,1.692,4.295,17.841,1.577 ,8.544,12.675,21.147,25.631,0.820461,0.268460,7.861 ,10.496780045351475
204.717 ,89.191 ,151.033 ,534.451 ,49.729996820426095,76.15397412431048,2.3241152308196327,303,290,5.011181E-3 ,1.440534E-3 ,41.156,8,37.878,2.881,144.379E-6 ,1.653,1.837,4.960,18.810,1.613 ,9.010,13.511,21.591,27.029,0.815444,0.260647,7.446 ,2.973514739229025
197.898 ,84.772 ,74.728 ,589.456 ,51.0740706178724,73.65152341508816,0.04516019554807672,876,838,5.139421E-3 ,1.765359E-3 ,29.741,19,30.763,3.579,183.954E-6 ,1.921,2.102,5.764,17.026,1.529 ,8.139,12.514,22.522,24.416,0.788505,0.322553,6.890 ,6.996371882086168
189.049 ,72.222 ,72.139 ,572.365 ,52.28185556747314,75.08879091485548,-5.096099420530922,1838,1787,5.344526E-3 ,1.513872E-3 ,28.860,32,31.363,2.548,136.179E-6 ,1.364,1.569,4.092,16.938,1.542 ,7.678,11.412,18.320,23.034,0.811867,0.286535,7.885 ,14.41514739229025
173.527 ,79.390 ,81.356 ,548.347 ,46.19458258211107,70.83378883678925,11.21036146145398,440,420,5.829708E-3 ,1.876327E-3 ,41.068,11,37.832,2.724,158.808E-6 ,1.403,1.743,4.209,18.284,1.624 ,7.793,11.213,18.504,23.380,0.774140,0.350963,6.291 ,4.90657596371882
194.301 ,75.173 ,75.571 ,458.348 ,49.85358735163518,75.41022639045231,8.690739838881921,1035,997,5.160704E-3 ,1.581603E-3 ,35.096,27,31.992,2.669,137.760E-6 ,1.415,1.574,4.245,19.505,1.640 ,9.350,13.601,22.472,28.049,0.813193,0.270759,7.551 ,8.929433106575964
166.386 ,56.896 ,78.767 ,492.464 ,49.60382557508386,72.70004749820416,10.317820469753416,1251,1205,6.048324E-3 ,1.430543E-3 ,31.795,29,37.014,2.393,144.753E-6 ,1.252,1.468,3.757,19.591,1.665 ,8.931,13.731,20.738,26.794,0.798092,0.296531,6.943 ,11.959637188208617
179.080 ,71.772 ,75.362 ,595.933 ,49.62614807592062,75.61168023545558,0.9066143650541593,1971,1898,5.624475E-3 ,1.654713E-3 ,37.846,50,38.002,2.390,134.449E-6 ,1.251,1.461,3.753,18.367,1.590 ,8.744,12.450,19.011,26.232,0.793381,0.308089,6.855 ,19.900861678004535
208.970 ,98.030 ,74.818 ,570.448 ,61.20946730944119,77.98934953456138,28.25906003054723,534,509,4.870010E-3 ,1.793052E-3 ,13.333,7,16.373,4.061,197.795E-6 ,2.088,2.410,6.263,18.040,1.661 ,7.815,12.283,21.025,23.446,0.792681,0.315562,6.966 ,3.3392290249433105
