Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
214.506 ,162.209 ,98.903 ,598.890 ,31.410732300125254,58.76298840062978,-11.267932086479158,104,103,4.809785E-3 ,3.142021E-3 ,49.550,0,0,5.069,243.789E-6 ,2.967,3.621,8.900,18.021,1.796 ,6.657,7.601,7.867,19.970,0.660559,0.582342,3.195 ,1.1449433106575964
289.984 ,191.794 ,83.771 ,589.989 ,28.982375157629765,58.19976393605805,-9.146376843747653,434,413,3.488367E-3 ,2.784098E-3 ,50.653,14,22.642,5.065,176.679E-6 ,2.940,3.209,8.819,19.796,1.768 ,8.173,12.342,13.841,24.519,0.666999,0.551597,3.296 ,3.8616780045351473
261.665 ,187.392 ,75.725 ,607.514 ,37.99785107628061,62.22928388868128,-1.5393350272124842,1458,1362,3.892254E-3 ,3.128658E-3 ,41.529,56,57.642,5.271,205.178E-6 ,2.946,3.322,8.839,21.786,1.855 ,10.322,15.849,24.827,30.965,0.654975,0.587891,3.115 ,13.370249433106576
287.308 ,193.168 ,83.265 ,612.810 ,35.56452325998063,64.44062565129768,-12.304512033672204,866,795,3.571329E-3 ,2.930124E-3 ,56.749,42,68.949,5.322,190.066E-6 ,3.103,3.475,9.310,20.945,1.785 ,9.161,13.684,16.343,27.484,0.676273,0.528694,3.601 ,10.183310657596373
275.041 ,185.786 ,75.492 ,612.898 ,34.643724509154644,60.115517251882395,3.954504931039551,974,905,3.640147E-3 ,2.858071E-3 ,52.283,46,58.945,4.934,179.607E-6 ,2.724,3.056,8.171,21.965,1.814 ,10.525,14.975,21.311,31.574,0.647067,0.591867,2.814 ,11.646167800453515
214.847 ,175.994 ,90.064 ,570.710 ,33.635992910705205,65.93227430762066,6.112311353858379,164,148,4.836364E-3 ,3.363423E-3 ,59.328,8,30.891,5.152,249.157E-6 ,3.045,3.460,9.135,24.974,1.867 ,12.257,31.970,--undefined--,36.771,0.657494,0.593171,3.328 ,2.7122902494331065
224.363 ,176.044 ,75.746 ,606.693 ,35.280777796710325,59.4221622004871,5.201885189070472,1424,1279,4.581291E-3 ,3.454361E-3 ,47.856,79,57.231,4.719,216.186E-6 ,2.554,3.053,7.661,20.699,1.808 ,9.735,12.819,21.228,29.205,0.660278,0.574425,3.197 ,17.758820861678004
271.840 ,181.579 ,84.935 ,590.523 ,32.269816773642575,54.42043075407139,6.9622323741978835,480,449,3.685201E-3 ,2.860669E-3 ,53.933,18,65.652,4.750,175.056E-6 ,2.459,3.126,7.376,21.807,1.759 ,11.138,15.028,11.563,33.415,0.656742,0.587305,3.154 ,5.376780045351474
235.418 ,175.828 ,73.951 ,593.849 ,32.12143535910184,57.1477967789111,2.882191076371472,792,739,4.301146E-3 ,3.169082E-3 ,55.415,34,52.580,4.198,180.566E-6 ,2.334,2.686,7.002,20.510,1.729 ,9.573,15.103,26.758,28.720,0.673243,0.540064,3.475 ,10.28780045351474
219.452 ,172.976 ,77.350 ,590.393 ,33.69342325345228,57.35692899722011,5.342656473696962,931,872,4.629568E-3 ,3.459246E-3 ,47.547,47,52.675,4.610,213.446E-6 ,2.613,3.062,7.840,22.926,1.819 ,11.531,14.585,20.563,34.592,0.651623,0.589203,2.947 ,11.855147392290249
212.970 ,165.221 ,79.817 ,583.910 ,34.155197370898726,62.098225057100635,5.011235068713842,658,610,4.804826E-3 ,3.413797E-3 ,54.277,34,56.165,3.533,169.745E-6 ,1.925,2.192,5.774,19.509,1.849 ,8.102,10.558,15.307,24.306,0.691707,0.494299,3.893 ,9.504126984126984
222.550 ,180.125 ,75.584 ,597.231 ,35.27741961190047,63.93042095005676,-12.316884337477019,1041,956,4.455103E-3 ,3.433876E-3 ,57.043,60,70.055,3.908,174.106E-6 ,2.042,2.151,6.126,22.006,1.763 ,10.383,13.077,15.134,31.150,0.692432,0.495839,3.908 ,15.72126984126984
149.612 ,102.816 ,76.881 ,523.016 ,29.74065927320295,59.7393215117814,6.449973619477863,344,312,6.856532E-3 ,3.309295E-3 ,64.608,24,64.397,4.363,299.166E-6 ,2.325,2.612,6.975,19.685,1.644 ,9.309,14.751,20.545,27.926,0.668034,0.552713,3.338 ,8.45922902494331
171.068 ,130.333 ,75.189 ,583.623 ,35.80347673224485,59.630015712458835,9.257498573937383,458,420,5.862530E-3 ,3.546109E-3 ,53.919,33,66.406,4.651,272.664E-6 ,2.641,2.993,7.922,19.495,1.672 ,7.620,9.907,19.110,22.860,0.651000,0.594312,2.920 ,8.45922902494331
199.182 ,157.831 ,79.583 ,592.859 ,32.020026615548204,64.52231529812502,-7.284067917259243,563,515,5.013610E-3 ,3.526571E-3 ,62.819,36,48.667,4.529,227.061E-6 ,2.429,2.518,7.287,21.357,1.783 ,10.083,15.076,37.624,30.250,0.664722,0.554130,3.212 ,11.384943310657597
