Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
178.033 ,126.435 ,78.599 ,594.838 ,48.68524003713022,68.67802108159549,-18.82290367292381,489,462,5.686228E-3 ,2.980877E-3 ,26.087,13,28.404,2.606,148.197E-6 ,1.291,1.337,3.872,17.944,1.570 ,7.421,9.913,14.964,22.263,0.797937,0.299215,7.529 ,4.175147392290249
125.698 ,74.525 ,73.445 ,426.214 ,41.67359276610128,60.162061098611375,-4.195790309416684,602,568,8.234294E-3 ,3.098205E-3 ,27.008,19,20.347,2.994,246.523E-6 ,1.586,1.975,4.757,19.158,1.637 ,9.455,13.101,23.954,28.365,0.767206,0.352571,5.998 ,7.257596371882086
139.497 ,77.712 ,75.478 ,390.789 ,43.43194650674884,63.11878444909443,11.188375034635298,834,791,7.277647E-3 ,3.029025E-3 ,30.021,26,27.352,3.416,248.596E-6 ,1.726,2.199,5.178,19.613,1.648 ,9.538,13.493,18.519,28.614,0.752101,0.394506,5.914 ,9.399637188208617
169.865 ,95.774 ,97.137 ,521.649 ,46.78460084208325,57.35838003586463,17.900354939852267,260,249,6.031514E-3 ,2.446831E-3 ,13.757,4,13.919,2.615,157.707E-6 ,1.283,1.498,3.849,18.575,1.588 ,9.024,10.182,13.420,27.071,0.808757,0.288644,7.618 ,1.9286167800453515
136.656 ,90.757 ,73.695 ,577.818 ,39.8366266634867,58.15492690154909,5.0661119641585595,1176,1109,7.506251E-3 ,3.226730E-3 ,26.631,35,34.467,3.370,252.972E-6 ,1.765,2.083,5.296,19.375,1.609 ,9.270,13.978,22.239,27.811,0.780332,0.341496,6.622 ,13.213514739229025
149.870 ,97.667 ,71.577 ,452.128 ,40.779617560546875,57.34782807335413,14.138095719909249,798,747,6.884563E-3 ,3.463605E-3 ,20.053,22,26.583,3.856,265.496E-6 ,1.916,2.278,5.748,20.651,1.757 ,9.795,13.763,20.511,29.384,0.739541,0.417607,5.498 ,7.518820861678004
147.414 ,103.861 ,74.829 ,584.325 ,39.65776141332291,58.57918609059031,11.877381456167132,1212,1139,6.954947E-3 ,3.629849E-3 ,29.985,43,39.128,3.713,258.257E-6 ,1.926,2.325,5.777,20.254,1.717 ,9.752,12.800,14.119,29.257,0.742127,0.411866,5.445 ,13.579229024943311
151.075 ,77.134 ,75.194 ,443.780 ,43.12571953360729,63.606210915599405,12.269637958376059,819,775,6.695974E-3 ,2.660197E-3 ,28.555,25,31.324,2.959,198.145E-6 ,1.549,1.816,4.646,18.719,1.633 ,9.234,12.450,19.054,27.701,0.767332,0.360239,6.197 ,8.615963718820861
144.435 ,84.847 ,74.827 ,618.767 ,40.31124722391523,63.84313929100731,12.030763048270888,2666,2489,7.024967E-3 ,2.858854E-3 ,38.595,126,47.030,3.017,211.958E-6 ,1.551,1.706,4.654,18.540,1.593 ,8.771,11.696,18.330,26.312,0.763546,0.363119,5.973 ,34.05922902494331
166.551 ,105.642 ,85.452 ,497.292 ,41.61576035995541,60.51301211671046,-4.083456675012421,375,353,6.114007E-3 ,2.942669E-3 ,29.973,13,29.988,3.121,190.790E-6 ,1.630,1.854,4.891,18.721,1.615 ,9.161,11.857,19.192,27.483,0.735407,0.418356,5.272 ,3.809433106575964
361.550 ,106.314 ,187.777 ,455.839 ,19.793686733709222,49.71486578417643,-4.167043517348676,66,60,2.837639E-3 ,1.032312E-3 ,80.165,2,6.011,8.358,237.168E-6 ,4.592,5.629,13.775,23.043,2.437 ,6.095,3.323,--undefined--,18.284,0.649366,0.561235,2.751 ,1.2494331065759636
128.947 ,76.027 ,87.021 ,516.753 ,53.205496172396614,71.84387197782922,-4.226114896698009,222,211,7.768093E-3 ,2.985848E-3 ,32.836,9,22.863,2.984,231.783E-6 ,1.671,2.006,5.012,21.324,1.790 ,8.723,10.276,20.227,26.168,0.747339,0.396201,5.358 ,2.7122902494331065
