Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
227.740 ,55.284 ,185.736 ,356.956 ,31.796217770609914,54.30129318227279,3.15999589071561,166,162,4.406822E-3 ,0.943323E-3 ,43.077,3,8.455,1.734,76.416E-6 ,0.872,0.799,2.615,14.658,1.225 ,5.843,9.411,15.535,17.528,0.827005,0.242712,8.243 ,1.3309791666666666
219.245 ,73.033 ,151.617 ,509.425 ,36.01183730445833,55.017476076722076,6.379527306852276,673,649,4.613885E-3 ,1.245636E-3 ,38.318,20,36.454,1.831,84.487E-6 ,0.909,0.892,2.726,15.985,1.372 ,6.140,9.015,16.214,18.421,0.806303,0.294967,7.545 ,5.386979166666666
213.788 ,41.440 ,101.214 ,306.478 ,39.92075139046759,53.93638726543238,6.726791027962794,311,304,4.697210E-3 ,1.005747E-3 ,30.806,6,29.533,2.149,100.926E-6 ,1.092,1.025,3.277,13.598,1.264 ,6.115,8.360,12.657,18.345,0.789539,0.327639,7.067 ,2.1469791666666667
209.558 ,51.324 ,91.545 ,410.763 ,33.60584327173303,52.34744395604803,5.117170046332605,685,656,4.756826E-3 ,1.070326E-3 ,42.131,24,45.963,1.627,77.388E-6 ,0.780,0.774,2.339,14.433,1.261 ,6.186,8.716,13.016,18.559,0.821094,0.255577,7.874 ,6.130979166666667
219.076 ,56.836 ,94.869 ,475.593 ,31.37175071157523,51.914537564489784,5.047117591330622,557,533,4.591385E-3 ,1.135246E-3 ,45.791,17,48.269,1.707,78.363E-6 ,0.701,0.640,2.102,14.204,1.245 ,6.404,8.769,11.275,19.213,0.833669,0.228724,8.429 ,4.906979166666667
216.912 ,41.562 ,83.744 ,274.890 ,38.83008482176853,49.74784980876425,8.349677077749703,194,190,4.620232E-3 ,1.058298E-3 ,19.492,3,23.339,1.490,68.829E-6 ,0.738,0.644,2.214,12.466,1.160 ,5.683,7.848,13.087,17.050,0.854637,0.198168,8.977 ,1.2109791666666667
206.410 ,52.304 ,89.793 ,344.006 ,25.90069212772619,50.18409906821564,-4.469495886358004,213,207,4.856031E-3 ,1.356057E-3 ,53.617,5,44.720,1.981,96.179E-6 ,0.915,0.787,2.746,13.027,1.253 ,5.997,7.805,9.576,17.992,0.838207,0.224784,8.218 ,2.386979166666667
195.931 ,37.658 ,111.543 ,272.903 ,35.5449018081429,51.999983435188724,8.700205035872052,134,128,5.123388E-3 ,1.126725E-3 ,36.364,4,27.586,1.915,98.106E-6 ,0.842,0.876,2.527,15.347,1.436 ,5.732,8.423,10.904,17.197,0.806288,0.278810,7.102 ,1.1389791666666667
224.577 ,52.528 ,76.954 ,368.767 ,35.96721477816695,56.724653363754136,7.77171393031778,461,442,4.469208E-3 ,1.199802E-3 ,45.122,17,50.938,2.385,106.607E-6 ,1.117,1.016,3.352,13.568,1.226 ,5.451,8.425,15.281,16.354,0.829009,0.242737,8.263 ,4.138979166666667
205.441 ,39.433 ,112.975 ,497.519 ,33.43962614259299,55.908759585718585,5.799482207369203,1347,1311,4.885785E-3 ,0.861417E-3 ,38.468,27,42.192,1.847,90.263E-6 ,0.841,0.999,2.524,12.505,1.102 ,5.380,7.767,11.858,16.141,0.891914,0.149270,11.417 ,11.266979166666667
