Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
118.287 ,26.516 ,99.390 ,274.794 ,46.950228710845835,59.69771780653247,-2.897669505775844,96,92,8.461489E-3 ,1.461852E-3 ,15.842,0,0,3.125,264.463E-6 ,1.577,1.790,4.731,17.785,1.650 ,7.667,13.251,18.929,23.002,0.723805,0.426541,4.604 ,1.040453514739229
254.782 ,215.828 ,77.745 ,593.350 ,21.673661368633788,52.40854987476399,-6.808102288867245,82,72,4.075293E-3 ,4.178425E-3 ,72.024,4,15.880,6.895,280.997E-6 ,3.256,3.582,9.767,26.072,1.714 ,15.907,6.087,--undefined--,47.722,0.650384,0.570059,2.848 ,1.7196371882086168
200.269 ,75.796 ,74.760 ,504.862 ,49.905468493611515,66.09583486978137,17.47163195279406,752,722,5.031986E-3 ,1.474091E-3 ,17.913,15,23.796,2.771,139.414E-6 ,1.507,1.839,4.522,18.400,1.618 ,7.746,11.341,19.993,23.237,0.751061,0.390552,5.721 ,5.115555555555556
163.627 ,51.149 ,116.868 ,528.323 ,48.28248441424791,70.1660959503961,-13.095714862639642,718,698,6.202170E-3 ,1.369219E-3 ,24.880,15,20.386,2.649,164.282E-6 ,1.428,1.585,4.285,18.967,1.568 ,8.346,12.172,17.663,25.039,0.772252,0.349356,6.271 ,6.264943310657596
156.550 ,80.614 ,71.223 ,547.391 ,48.37143303630191,69.95249975594737,5.58645830499653,633,604,6.461710E-3 ,2.051975E-3 ,25.890,20,25.380,3.114,201.244E-6 ,1.593,1.782,4.778,16.034,1.393 ,7.491,9.296,13.234,22.472,0.764451,0.376576,6.343 ,6.212698412698413
173.017 ,63.422 ,83.988 ,525.165 ,47.83330477742201,67.75597414861315,1.816453202565456,1113,1084,5.812673E-3 ,1.544348E-3 ,25.349,21,26.859,2.505,145.636E-6 ,1.349,1.608,4.047,17.336,1.517 ,8.221,11.726,17.734,24.664,0.775620,0.343815,6.264 ,9.347392290249433
166.240 ,46.206 ,79.132 ,426.595 ,48.072636082681605,66.72841488660129,3.4212974027747833,1293,1250,6.071764E-3 ,1.236250E-3 ,18.834,24,24.206,2.568,155.905E-6 ,1.352,1.574,4.055,17.381,1.512 ,8.051,11.491,17.865,24.154,0.785152,0.334113,6.983 ,10.496780045351475
164.141 ,67.631 ,70.062 ,594.095 ,49.06560471313466,71.33286273403203,2.2892144537555628,1989,1916,6.195676E-3 ,1.489285E-3 ,27.605,48,32.631,2.165,134.117E-6 ,1.155,1.309,3.466,16.291,1.468 ,7.162,9.790,13.394,21.487,0.787400,0.325043,6.905 ,18.072290249433106
171.172 ,82.538 ,117.848 ,598.875 ,47.96543806670379,72.48095163616755,7.957901136083532,993,951,5.950140E-3 ,1.791538E-3 ,26.369,25,29.480,2.133,126.932E-6 ,1.105,1.377,3.315,16.999,1.488 ,7.618,10.291,14.255,22.855,0.753811,0.388654,5.864 ,8.981678004535148
157.304 ,49.331 ,74.879 ,473.493 ,47.135618391805615,63.81890177496902,12.583807866786403,1221,1177,6.384542E-3 ,1.444452E-3 ,23.755,35,29.837,2.443,155.981E-6 ,1.275,1.540,3.824,17.558,1.562 ,7.877,10.218,14.812,23.630,0.763455,0.366726,6.011 ,11.489433106575964
162.622 ,21.151 ,110.762 ,258.744 ,44.98774279620002,63.86491584047984,9.883429151688322,262,256,6.208546E-3 ,0.828573E-3 ,34.008,5,23.924,3.082,191.359E-6 ,1.604,1.753,4.811,20.164,1.706 ,9.446,12.705,16.842,28.339,0.731014,0.416603,4.882 ,2.503310657596372
164.528 ,56.081 ,99.559 ,475.905 ,46.21556152256485,69.44227832327176,11.058083271978623,1236,1186,6.125231E-3 ,1.458188E-3 ,35.100,40,40.331,2.681,164.214E-6 ,1.474,1.703,4.422,16.859,1.555 ,7.523,9.980,12.774,22.568,0.752931,0.384380,5.626 ,13.056780045351474
144.968 ,79.739 ,76.413 ,490.826 ,27.93120567446526,59.58852717998019,-4.722001488724931,170,159,6.905861E-3 ,2.482516E-3 ,66.292,8,61.531,2.770,191.306E-6 ,1.519,1.855,4.556,18.076,1.656 ,8.458,9.062,11.025,25.374,0.671247,0.549437,3.357 ,4.488616780045351
208.565 ,110.911 ,79.398 ,587.862 ,37.33688054905488,66.08487656086844,2.495653600448305,2808,2696,4.850053E-3 ,2.439685E-3 ,44.897,74,50.286,2.285,110.823E-6 ,1.211,1.376,3.633,17.222,1.517 ,7.231,9.125,12.018,21.694,0.787190,0.321942,7.056 ,28.05106575963719
209.338 ,49.589 ,85.510 ,525.889 ,42.630086821404404,64.7875871769433,5.420536517661012,1030,993,4.823715E-3 ,1.274801E-3 ,28.726,26,32.475,2.746,132.452E-6 ,1.590,1.831,4.769,17.505,1.543 ,7.615,11.224,16.912,22.845,0.788131,0.318125,6.919 ,7.4143310657596375
202.762 ,74.928 ,97.898 ,496.356 ,26.90131720387243,62.33823702336903,-0.36416114094554575,389,369,5.011947E-3 ,1.477664E-3 ,64.045,13,64.914,2.658,133.239E-6 ,1.422,1.568,4.267,18.448,1.606 ,7.729,10.122,18.901,23.188,0.745546,0.405529,5.986 ,6.264943310657596
174.450 ,146.291 ,76.841 ,595.236 ,42.63712416383335,68.33571567577312,5.404857584012076,959,895,5.905893E-3 ,3.756941E-3 ,40.575,36,45.135,2.935,173.365E-6 ,1.566,1.694,4.699,17.711,1.577 ,7.207,10.261,14.234,21.621,0.746687,0.385449,5.301 ,11.175963718820862
154.713 ,37.157 ,86.811 ,408.319 ,49.122215884644326,73.2722891122813,2.9549021549336416,1286,1251,6.492037E-3 ,1.464970E-3 ,27.968,30,32.477,2.131,138.364E-6 ,1.130,1.379,3.391,17.675,1.544 ,7.203,10.999,17.380,21.609,0.787444,0.317760,6.775 ,12.58657596371882
155.636 ,57.218 ,88.685 ,394.458 ,48.7915371499487,68.45713665140522,16.584534129761153,230,221,6.512097E-3 ,1.623393E-3 ,33.463,6,26.458,2.171,141.365E-6 ,1.253,1.254,3.760,16.029,1.409 ,6.003,8.838,15.984,18.010,0.765477,0.365739,6.415 ,2.607800453514739
160.260 ,61.912 ,79.212 ,520.440 ,48.63258385464591,69.04924962831772,6.001704058198049,1072,1028,6.322855E-3 ,1.585772E-3 ,27.867,23,28.284,2.374,150.073E-6 ,1.207,1.463,3.620,17.666,1.523 ,7.919,11.077,14.936,23.756,0.793436,0.314596,7.112 ,9.974331065759637
160.321 ,62.787 ,131.716 ,429.076 ,53.370404464854126,67.90596671967157,2.809198819185254,211,203,6.316627E-3 ,1.545066E-3 ,19.022,5,19.806,2.501,157.990E-6 ,1.373,1.569,4.119,17.319,1.495 ,8.205,11.323,14.287,24.615,0.812026,0.271744,7.413 ,1.876371882086168
148.183 ,54.704 ,94.426 ,429.698 ,49.28051538771776,69.92609595750335,11.939289236758462,865,831,6.799309E-3 ,1.620122E-3 ,25.943,20,30.867,2.669,181.463E-6 ,1.436,1.748,4.309,16.949,1.475 ,7.632,10.820,16.300,22.897,0.775922,0.346770,6.559 ,8.511473922902494
145.390 ,43.590 ,78.489 ,454.697 ,50.767930792051025,66.21358245181125,9.745293867830844,313,301,6.931391E-3 ,1.558266E-3 ,17.266,9,20.225,2.359,163.527E-6 ,1.231,1.594,3.692,16.216,1.412 ,7.047,10.261,15.654,21.140,0.780233,0.341235,6.859 ,2.8167800453514737
145.344 ,77.244 ,75.709 ,544.862 ,30.902675810742902,68.03151708039252,-0.967372154046307,515,485,6.976295E-3 ,2.223211E-3 ,58.087,21,38.627,2.993,208.783E-6 ,1.522,1.785,4.567,17.304,1.556 ,8.091,9.612,11.921,24.272,0.763212,0.376516,6.295 ,9.86984126984127
217.238 ,32.398 ,103.501 ,244.843 ,43.890908208318365,60.44390872236246,-19.673921066173875,103,99,4.547701E-3 ,0.789799E-3 ,21.875,2,7.802,1.684,76.602E-6 ,0.920,0.967,2.759,13.691,1.389 ,6.058,7.244,12.221,18.174,0.788322,0.317832,7.407 ,0.6747392290249433
220.291 ,35.730 ,77.242 ,466.261 ,42.462711709212606,64.54249391231583,3.0369804384452728,3214,3160,4.552371E-3 ,0.722652E-3 ,27.867,45,31.722,1.719,78.256E-6 ,0.915,1.071,2.744,14.718,1.372 ,5.686,9.022,16.313,17.058,0.848902,0.216585,9.361 ,21.311473922902493
213.261 ,67.219 ,77.248 ,535.992 ,38.88996443915967,64.16143041653353,-1.4218028965738105,1264,1224,4.697796E-3 ,1.108751E-3 ,35.412,28,39.876,2.316,108.786E-6 ,1.315,1.530,3.945,17.355,1.545 ,7.220,9.935,15.686,21.659,0.798279,0.307370,7.311 ,9.974331065759637
210.058 ,48.014 ,78.390 ,498.143 ,42.61033837445064,67.3760027397543,4.826763934910825,2238,2169,4.777725E-3 ,0.861666E-3 ,38.563,52,43.832,1.664,79.483E-6 ,0.896,1.057,2.689,15.798,1.370 ,6.450,9.458,16.885,19.350,0.830296,0.250208,8.583 ,18.96045351473923
210.827 ,40.873 ,77.076 ,526.408 ,39.69578494730887,74.62298757357422,1.9416701060282882,1643,1568,4.754969E-3 ,0.816257E-3 ,60.941,62,62.627,1.440,68.460E-6 ,0.790,0.909,2.369,15.016,1.305 ,6.620,8.399,12.021,19.861,0.831989,0.245346,8.523 ,23.610249433106574
193.565 ,55.890 ,84.367 ,555.072 ,36.92075264989957,66.79286659563608,5.668249890562963,732,705,5.219729E-3 ,1.142723E-3 ,47.342,21,51.788,1.744,91.041E-6 ,0.958,1.137,2.874,15.083,1.364 ,5.854,7.872,13.181,17.562,0.825269,0.255238,8.608 ,7.936780045351474
257.030 ,59.747 ,104.112 ,590.963 ,49.75675800305496,64.2476429634809,18.77680516209494,577,566,3.928699E-3 ,0.901260E-3 ,6.746,5,8.150,2.167,85.144E-6 ,1.237,1.360,3.711,15.140,1.411 ,6.748,9.575,15.214,20.244,0.814020,0.292678,8.221 ,2.5555555555555554
232.949 ,46.931 ,75.069 ,514.290 ,41.23106891445021,70.05619023878171,5.996999971064576,2059,2012,4.306624E-3 ,0.911124E-3 ,37.476,37,42.413,1.856,79.913E-6 ,1.014,1.098,3.043,14.672,1.328 ,6.751,8.798,13.791,20.253,0.822511,0.265035,8.483 ,15.407800453514739
