Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
152.720 ,91.816 ,100.447 ,477.656 ,52.77280018184854,73.74884775405755,-4.201063798294596,84,80,6.565535E-3 ,2.416337E-3 ,40.566,3,12.786,2.932,192.484E-6 ,1.516,1.264,4.549,19.564,1.762 ,9.515,16.549,18.148,28.546,0.720801,0.432594,4.651 ,1.0926984126984127
139.352 ,86.986 ,75.780 ,470.912 ,54.01628047850452,69.79101042743662,5.2659449668044145,466,430,7.308810E-3 ,3.144168E-3 ,37.576,30,45.548,3.526,257.711E-6 ,1.825,2.349,5.475,19.977,1.703 ,10.204,13.539,17.164,30.612,0.670279,0.560787,3.447 ,6.630657596371882
112.577 ,45.371 ,79.489 ,365.661 ,53.43886305096299,76.30838480640816,-18.429525043657286,206,192,8.952221E-3 ,2.320954E-3 ,40.842,12,37.401,3.258,291.676E-6 ,1.696,1.867,5.089,20.654,1.751 ,10.893,14.889,32.195,32.680,0.683360,0.511250,3.647 ,4.070657596371882
137.471 ,91.121 ,75.149 ,490.973 ,61.62114586697748,76.64343613647048,24.678987278520488,264,239,7.371720E-3 ,3.375392E-3 ,47.416,18,38.307,3.296,242.948E-6 ,1.752,2.387,5.255,18.074,1.537 ,8.550,10.459,11.798,25.649,0.665370,0.551263,3.211 ,4.488616780045351
134.620 ,92.265 ,75.077 ,527.625 ,62.54545191825721,78.21023831780624,4.612664532151293,551,510,7.607913E-3 ,3.357426E-3 ,37.221,31,48.324,3.993,303.768E-6 ,2.077,2.495,6.232,20.362,1.744 ,9.216,12.394,17.901,27.649,0.681589,0.524672,3.630 ,8.093514739229025
219.444 ,156.034 ,74.995 ,538.117 ,62.252650949424904,80.51682679254247,7.83440471562285,596,553,4.673723E-3 ,3.493087E-3 ,39.576,22,49.454,5.448,254.633E-6 ,2.889,3.492,8.668,20.709,1.832 ,10.002,14.010,34.672,30.007,0.649671,0.609298,2.978 ,5.690249433106576
148.354 ,116.828 ,75.896 ,548.526 ,59.361833103683054,77.8341494241987,5.776736067666096,480,447,6.784380E-3 ,3.934376E-3 ,47.513,27,41.787,5.120,347.356E-6 ,2.784,3.282,8.352,19.728,1.677 ,9.254,13.223,26.225,27.761,0.651002,0.599767,2.983 ,7.6755555555555555
150.348 ,111.042 ,74.886 ,610.364 ,61.21966023503262,77.64109977925696,8.04594511073152,1136,1047,6.731621E-3 ,3.607997E-3 ,44.113,69,54.728,3.475,233.940E-6 ,1.871,2.155,5.612,19.130,1.637 ,9.095,12.315,18.574,27.285,0.684576,0.523172,3.765 ,17.4453514739229
126.443 ,85.108 ,76.353 ,535.806 ,59.91217506692666,76.48009750821733,16.28220271488256,653,592,8.073341E-3 ,3.184779E-3 ,50.765,52,60.367,3.358,271.112E-6 ,1.837,2.123,5.512,18.547,1.634 ,8.474,11.561,17.142,25.421,0.654259,0.581165,2.992 ,14.41514739229025
130.537 ,82.413 ,71.872 ,565.788 ,61.02465793576649,77.28521575712224,12.942248274581097,785,716,7.774799E-3 ,3.113316E-3 ,46.295,55,54.554,3.462,269.132E-6 ,1.812,1.996,5.437,18.327,1.623 ,8.701,10.691,16.392,26.103,0.666098,0.556637,3.275 ,14.206167800453514
