Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
176.602 ,120.211 ,79.280 ,597.021 ,38.618522765668864,73.12735091756458,4.343632809109165,493,464,5.758247E-3 ,2.812496E-3 ,60.459,21,48.309,2.862,164.803E-6 ,1.494,1.771,4.482,19.313,1.541 ,8.220,10.705,14.627,24.660,0.750193,0.386287,5.604 ,8.302494331065759
209.020 ,46.737 ,75.509 ,304.209 ,49.65300803954765,70.90719023047629,18.677428144604885,748,730,4.754670E-3 ,1.211758E-3 ,26.465,16,32.586,2.825,134.321E-6 ,1.433,1.720,4.300,19.674,1.619 ,9.048,11.905,16.838,27.143,0.750216,0.391359,5.677 ,5.32453514739229
235.883 ,91.514 ,85.703 ,594.135 ,48.88043175811456,68.20887818101893,15.350643358771825,1522,1457,4.270903E-3 ,1.504399E-3 ,19.222,31,25.523,3.558,151.941E-6 ,1.869,2.055,5.607,18.035,1.577 ,8.511,12.359,18.721,25.532,0.747950,0.404358,5.733 ,8.772698412698412
219.008 ,84.264 ,85.486 ,596.261 ,46.65188139513508,85.43528922941252,3.415252527225714,330,301,4.565705E-3 ,1.627737E-3 ,84.381,25,67.041,2.420,110.495E-6 ,1.383,1.642,4.148,18.432,1.560 ,7.920,11.955,7.913,23.761,0.772339,0.341124,6.292 ,15.460045351473923
199.872 ,87.910 ,76.503 ,567.877 ,48.52239630675031,75.2790127528376,14.495363363929775,1364,1288,5.013802E-3 ,2.209181E-3 ,46.327,60,50.767,2.487,124.716E-6 ,1.349,1.447,4.047,16.294,1.418 ,6.871,8.852,13.003,20.612,0.796098,0.302383,7.228 ,15.14657596371882
223.767 ,56.123 ,105.028 ,350.383 ,43.8930736844194,75.23879262494407,8.091356977490582,242,230,4.479123E-3 ,1.222902E-3 ,62.670,10,23.972,3.182,142.511E-6 ,1.779,2.006,5.336,14.581,1.393 ,6.029,7.219,7.567,18.088,0.794616,0.311024,7.526 ,3.704943310657596
229.954 ,71.052 ,84.200 ,559.880 ,45.29502657056584,72.5482844328414,16.12018443048355,985,940,4.379170E-3 ,1.353440E-3 ,49.406,34,51.129,2.620,114.729E-6 ,1.427,1.614,4.281,17.685,1.538 ,7.590,10.270,15.915,22.769,0.797247,0.304909,7.199 ,10.131065759637188
213.074 ,93.438 ,85.982 ,582.612 ,43.1969496066667,66.58599756551062,1.05647576569461,936,885,4.721605E-3 ,1.985028E-3 ,42.569,42,53.208,2.706,127.752E-6 ,1.475,1.597,4.425,18.398,1.596 ,8.972,11.633,17.038,26.916,0.760745,0.361494,5.894 ,9.451882086167801
201.254 ,81.556 ,72.057 ,598.829 ,42.90039131061274,66.42950168927281,1.449875820279165,1410,1334,5.018493E-3 ,1.988000E-3 ,35.601,50,38.599,3.741,187.734E-6 ,2.048,2.337,6.144,20.602,1.680 ,9.866,13.670,22.330,29.597,0.713156,0.459762,4.545 ,13.265759637188209
211.852 ,82.879 ,75.009 ,597.207 ,43.235896177174304,69.93853320580453,-0.049279260222860874,1179,1122,4.744771E-3 ,1.749875E-3 ,39.221,37,42.092,3.214,152.508E-6 ,1.706,1.791,5.117,19.686,1.638 ,8.805,11.117,11.899,26.416,0.745170,0.403267,5.525 ,11.071473922902495
216.949 ,69.740 ,77.557 ,585.746 ,43.8137288704666,71.9315956845848,10.553121280733198,1145,1094,4.634954E-3 ,1.373368E-3 ,51.205,46,60.853,2.558,118.555E-6 ,1.385,1.506,4.155,16.875,1.472 ,8.143,9.686,13.148,24.430,0.777488,0.333738,6.409 ,13.318004535147391
227.878 ,127.354 ,82.571 ,597.127 ,37.54335889617358,52.56685543035162,1.5752677003589097,334,320,4.446819E-3 ,2.067636E-3 ,38.095,7,32.416,3.456,153.682E-6 ,1.872,2.080,5.617,18.054,1.519 ,9.178,11.909,18.200,27.534,0.742028,0.397585,5.380 ,2.973514739229025
170.846 ,114.110 ,72.235 ,601.757 ,47.57208579325769,70.66192217156402,5.577219070448395,628,597,5.979905E-3 ,3.096925E-3 ,33.773,20,25.043,3.429,205.024E-6 ,1.819,2.329,5.456,19.080,1.666 ,9.205,11.470,19.954,27.614,0.743342,0.397473,5.336 ,6.108208616780045
