Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
110.263 ,7.330 ,99.379 ,132.291 ,37.91618196457531,75.70557594537293,0.6200218487681806,96,92,9.076160E-3 ,0.654642E-3 ,61.089,3,44.773,1.433,130.100E-6 ,0.535,0.539,1.604,14.574,1.490 ,5.961,9.197,9.668,17.882,0.821428,0.236820,7.468 ,2.607800453514739
110.326 ,29.817 ,92.500 ,286.883 ,58.475820037934945,78.22582975810091,0.11263282222120458,212,206,9.193153E-3 ,1.574964E-3 ,29.682,5,19.879,1.548,142.306E-6 ,0.812,0.976,2.436,14.577,1.294 ,5.864,7.929,12.953,17.592,0.818314,0.265961,7.673 ,2.8690249433106576
113.271 ,72.970 ,92.959 ,573.713 ,55.265186004103946,77.7430092618651,3.1314024461750503,238,228,8.972344E-3 ,2.656749E-3 ,37.569,7,36.163,1.838,164.908E-6 ,0.860,0.954,2.579,17.073,1.469 ,7.095,10.825,17.375,21.284,0.775782,0.346148,6.247 ,3.6526984126984128
142.660 ,117.103 ,79.903 ,587.606 ,55.16067941452613,79.49798848637128,6.7153832415544485,1077,992,7.241966E-3 ,3.774636E-3 ,37.834,48,39.659,2.677,193.902E-6 ,1.452,1.615,4.355,18.253,1.529 ,8.447,13.015,20.451,25.340,0.749637,0.383748,5.439 ,14.258412698412698
128.992 ,87.472 ,73.366 ,595.244 ,57.73433513628855,78.2654477434025,4.577717900829569,1176,1110,7.970298E-3 ,3.108090E-3 ,33.159,41,40.472,2.447,195.066E-6 ,1.253,1.390,3.760,17.129,1.537 ,7.434,10.429,15.893,22.303,0.774306,0.339645,6.186 ,15.355555555555556
104.166 ,57.753 ,77.926 ,561.387 ,57.637795834710374,80.64521288266853,15.165927617041087,324,308,9.662794E-3 ,2.456202E-3 ,37.679,14,34.283,1.982,191.539E-6 ,0.966,1.204,2.897,15.591,1.387 ,6.263,8.511,13.421,18.790,0.775289,0.344788,6.264 ,5.638004535147393
114.714 ,62.338 ,89.328 ,592.606 ,57.82217071391766,79.30653263291222,21.61738725578731,520,503,8.767097E-3 ,2.439398E-3 ,33.062,14,33.912,1.578,138.342E-6 ,0.709,0.818,2.127,16.280,1.444 ,7.322,10.336,14.757,21.965,0.786742,0.318389,6.598 ,7.4143310657596375
135.213 ,98.431 ,90.536 ,551.619 ,61.56859228859832,75.50391411829295,11.033574477694842,204,185,7.692918E-3 ,3.362415E-3 ,27.686,12,34.600,2.882,221.677E-6 ,1.510,1.782,4.530,16.371,1.463 ,7.210,10.021,14.457,21.631,0.732787,0.422638,4.891 ,2.451065759637188
97.924 ,43.529 ,81.870 ,519.597 ,60.80411048484252,75.19575551736271,26.93088662135888,187,177,10.336861E-3 ,1.834928E-3 ,23.322,8,31.046,2.131,220.239E-6 ,1.068,1.141,3.205,18.389,1.618 ,9.096,11.937,14.703,27.289,0.754030,0.371225,5.608 ,2.8690249433106576
139.052 ,118.274 ,81.994 ,585.980 ,55.56353711043143,76.2029334971831,23.2928163972078,357,334,7.304826E-3 ,4.149484E-3 ,45.009,18,46.379,2.969,216.865E-6 ,1.547,1.815,4.640,19.317,1.654 ,8.811,12.486,14.541,26.432,0.719005,0.440997,4.583 ,5.7424943310657595
124.426 ,96.744 ,82.794 ,599.253 ,57.343629167554084,75.46693075969262,16.31363262606936,642,599,8.277624E-3 ,3.499988E-3 ,40.154,32,48.783,3.079,254.835E-6 ,1.540,1.912,4.620,18.980,1.631 ,9.459,12.022,18.846,28.377,0.709526,0.464171,4.378 ,10.392290249433106
167.273 ,152.274 ,78.198 ,599.193 ,45.357502402330375,75.45562143700275,2.375313520465997,472,434,6.047315E-3 ,4.057329E-3 ,60.085,26,57.029,3.805,230.102E-6 ,2.133,2.423,6.398,19.045,1.558 ,9.356,13.187,19.978,28.069,0.669097,0.536912,3.263 ,9.451882086167801
557.687 ,28.496 ,514.353 ,598.055 ,25.202300859194388,57.15026583889958,10.587534709619922,52,49,1.796430E-3 ,0.169920E-3 ,91.775,0,0,8.910,160.058E-6 ,5.090,5.354,15.269,21.100,1.908 ,10.959,9.533,--undefined--,32.878,0.633755,0.605483,2.465 ,2.346575963718821
271.207 ,144.335 ,161.358 ,429.488 ,48.99765475914937,76.34932509737938,-3.8799456912666557,17,15,3.782373E-3 ,1.887663E-3 ,65.789,1,6.223,5.282,199.800E-6 ,1.846,1.184,5.538,12.557,1.378 ,9.872,23.883,--undefined--,29.615,0.629831,0.595327,2.331 ,0.41351473922902493
122.211 ,61.025 ,85.835 ,597.737 ,61.3901714673812,85.383197878774,10.79692118300965,658,633,8.198627E-3 ,2.357790E-3 ,26.835,20,25.076,2.090,171.373E-6 ,1.012,1.134,3.036,17.168,1.484 ,8.138,12.081,19.087,24.413,0.774801,0.336759,6.113 ,7.936780045351474
