Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
165.300 ,59.504 ,84.918 ,279.527 ,30.116287517637996,65.14794617290347,1.976791116801032,186,179,6.027390E-3 ,2.175330E-3 ,69.095,6,56.652,2.805,169.070E-6 ,1.359,1.738,4.077,15.570,1.395 ,7.454,10.427,23.995,22.363,0.767170,0.365751,6.348 ,4.018412698412698
132.504 ,49.499 ,79.716 ,592.538 ,43.566381834814315,59.48009625749272,9.558900580641877,484,460,7.602894E-3 ,1.888390E-3 ,29.450,21,28.120,2.543,193.353E-6 ,1.239,1.515,3.717,15.206,1.315 ,6.237,9.782,14.446,18.710,0.797881,0.307585,7.567 ,6.212698412698413
130.989 ,37.516 ,73.281 ,610.124 ,42.994356229605174,73.48881690308703,-1.2727225846319987,6476,6129,7.667389E-3 ,1.447595E-3 ,48.696,320,52.772,1.833,140.518E-6 ,0.835,0.936,2.504,14.040,1.252 ,6.095,8.517,12.056,18.284,0.846483,0.213964,8.960 ,102.81351473922902
127.846 ,22.927 ,101.727 ,157.775 ,38.28673616338623,70.75211460749547,-5.278021253621674,36,33,7.805287E-3 ,1.312286E-3 ,63.333,2,20.910,3.064,239.166E-6 ,1.477,1.437,4.432,21.136,1.673 ,9.353,16.604,--undefined--,28.058,0.717667,0.451393,4.594 ,0.9359637188208617
171.229 ,139.314 ,75.842 ,589.681 ,42.94411878944047,58.22408417884319,1.1393350156976445,593,552,6.050703E-3 ,3.443433E-3 ,27.534,25,40.105,3.362,203.435E-6 ,1.719,1.909,5.156,18.918,1.607 ,8.798,12.267,22.763,26.394,0.748331,0.384569,5.344 ,5.951473922902494
130.574 ,98.537 ,76.651 ,570.441 ,45.10047241903587,64.07626778010479,13.564992346884083,995,924,7.829404E-3 ,3.575033E-3 ,29.504,43,34.587,3.155,246.979E-6 ,1.615,1.917,4.846,19.463,1.662 ,8.677,11.917,15.027,26.030,0.744351,0.400433,5.386 ,12.743310657596371
155.328 ,122.234 ,72.394 ,568.313 ,44.06162773640232,62.84431835803872,-0.8536813261194083,573,536,6.537233E-3 ,3.475666E-3 ,30.097,23,35.866,4.260,278.463E-6 ,2.262,2.672,6.787,20.254,1.767 ,8.974,12.666,20.824,26.923,0.713283,0.471809,4.615 ,6.212698412698413
124.520 ,86.014 ,73.107 ,572.201 ,43.917937710530346,70.08792814091329,3.674828672445644,729,672,8.339115E-3 ,3.244946E-3 ,42.058,43,46.508,3.531,294.413E-6 ,1.835,2.339,5.505,18.065,1.528 ,7.348,10.435,14.550,22.043,0.747422,0.389839,5.367 ,12.377596371882087
126.668 ,111.003 ,78.548 ,582.705 ,41.49059540634151,63.674317641191294,12.540473457957432,181,168,8.149779E-3 ,4.030667E-3 ,40.462,10,49.208,3.036,247.435E-6 ,1.634,2.077,4.901,20.098,1.782 ,10.198,11.471,14.830,30.593,0.696782,0.505603,4.189 ,3.4959637188208617
131.336 ,90.566 ,74.761 ,583.644 ,43.498315412245454,66.96689350793261,4.69416423345409,1209,1129,7.857236E-3 ,3.372759E-3 ,34.143,52,42.881,3.018,237.167E-6 ,1.527,1.829,4.580,18.188,1.583 ,8.016,10.611,16.390,24.049,0.747967,0.391833,5.417 ,16.086984126984127
151.490 ,129.728 ,76.899 ,626.612 ,41.60542831887415,56.74794754718842,11.413789518332802,477,417,7.038584E-3 ,3.836909E-3 ,34.795,31,53.861,3.438,241.953E-6 ,1.739,2.040,5.217,18.937,1.629 ,8.413,11.644,12.112,25.239,0.733713,0.416113,5.077 ,7.100861678004535
124.098 ,74.061 ,77.278 ,488.581 ,42.607176216982175,55.51579585937938,8.263636736021878,612,570,8.220310E-3 ,3.160933E-3 ,29.572,36,41.827,3.482,286.215E-6 ,1.692,2.172,5.076,18.960,1.633 ,8.453,12.954,18.982,25.358,0.712592,0.466817,4.495 ,8.45922902494331
129.703 ,92.333 ,75.546 ,570.904 ,41.678826185198226,67.00754609436582,1.2304245340392648,959,879,8.023611E-3 ,3.318001E-3 ,42.297,49,38.829,3.262,261.694E-6 ,1.722,2.076,5.165,19.482,1.626 ,8.933,11.127,14.043,26.798,0.723881,0.439601,4.844 ,15.094331065759636
139.619 ,112.144 ,77.783 ,599.653 ,41.912376753242256,64.24123217136626,-1.8119440571718592,869,794,7.359086E-3 ,3.510700E-3 ,44.853,57,50.932,3.166,232.978E-6 ,1.591,1.741,4.774,18.557,1.593 ,7.908,11.819,16.610,23.723,0.735075,0.421473,5.036 ,13.631473922902494
122.449 ,63.804 ,75.060 ,476.236 ,39.761809497547524,58.55678434090807,4.00527773722105,355,330,8.253873E-3 ,2.824278E-3 ,33.952,18,42.000,3.770,311.183E-6 ,2.009,2.184,6.028,18.901,1.690 ,8.427,12.483,16.913,25.282,0.723684,0.430694,4.754 ,5.429024943310657
119.457 ,64.861 ,76.370 ,545.968 ,41.019815048369615,53.19318677086545,6.331214181496232,954,894,8.478615E-3 ,2.672912E-3 ,23.600,46,37.707,3.252,275.760E-6 ,1.747,1.993,5.242,19.279,1.655 ,9.492,13.448,24.355,28.475,0.713119,0.466260,4.492 ,12.534331065759638
155.738 ,118.330 ,74.619 ,570.065 ,40.747811365420034,56.35105372702011,10.640913569059327,495,440,6.740067E-3 ,3.676105E-3 ,37.119,30,54.692,3.448,232.386E-6 ,1.788,2.017,5.363,22.795,1.872 ,9.686,13.091,21.371,29.059,0.703763,0.478281,4.203 ,7.257596371882086
140.368 ,98.929 ,73.949 ,536.355 ,39.88617109242418,54.25863027785678,0.9253047728185564,564,517,7.357058E-3 ,3.368136E-3 ,31.990,35,47.004,3.532,259.881E-6 ,1.741,1.828,5.224,18.831,1.632 ,8.564,11.405,21.609,25.692,0.725830,0.427237,4.757 ,7.727800453514739
130.219 ,84.137 ,78.331 ,582.040 ,40.235582192571776,57.10622598052478,8.890216010126784,757,702,7.838513E-3 ,2.952174E-3 ,34.153,44,45.816,3.745,293.559E-6 ,1.985,2.309,5.955,20.188,1.697 ,9.647,13.620,23.034,28.942,0.709572,0.479531,4.514 ,11.01922902494331
133.330 ,87.105 ,82.789 ,522.035 ,39.40631440609533,57.69022500450747,-2.8135819807127,330,311,7.669445E-3 ,3.048999E-3 ,31.591,16,43.221,3.372,258.639E-6 ,1.826,2.223,5.478,18.942,1.714 ,8.970,10.904,15.866,26.911,0.706829,0.479562,4.348 ,4.436371882086168
142.616 ,105.977 ,79.663 ,596.057 ,36.577820110003714,53.91149922184054,-0.6084770905099691,479,438,7.221097E-3 ,3.449016E-3 ,41.979,28,55.117,3.622,261.529E-6 ,1.859,2.184,5.576,19.705,1.668 ,9.451,13.126,14.423,28.353,0.695026,0.504287,4.013 ,7.518820861678004
130.437 ,97.595 ,77.129 ,589.744 ,38.99894193308842,52.64419847746923,2.6753202905837763,362,326,7.873252E-3 ,3.814146E-3 ,40.615,26,55.381,3.352,263.885E-6 ,1.870,2.290,5.610,18.791,1.700 ,8.726,11.811,18.039,26.178,0.670763,0.556397,3.437 ,6.212698412698413
145.779 ,127.134 ,74.816 ,598.714 ,38.88136940973978,55.13169658932874,7.025686429039338,1117,1027,7.147368E-3 ,3.963480E-3 ,35.884,60,45.800,3.627,259.268E-6 ,1.922,2.179,5.765,19.505,1.704 ,8.964,10.308,12.841,26.892,0.699307,0.487195,4.154 ,15.198820861678005
118.466 ,35.767 ,81.982 ,223.942 ,38.48625415083407,61.740931361138045,-3.5355941919602434,180,162,8.528735E-3 ,2.397147E-3 ,54.545,14,35.982,3.356,286.205E-6 ,1.807,1.798,5.420,17.610,1.616 ,8.891,9.934,11.311,26.672,0.704238,0.478440,4.168 ,4.540861678004535
130.078 ,64.800 ,79.629 ,500.375 ,40.818126997361496,54.64612452512378,8.426853688607977,368,339,7.785166E-3 ,2.411887E-3 ,36.142,22,47.801,3.032,236.010E-6 ,1.683,1.974,5.050,19.730,1.703 ,9.561,11.730,13.634,28.683,0.725076,0.432703,4.770 ,5.376780045351474
153.224 ,123.519 ,77.903 ,596.443 ,35.401038404790235,53.17031939631474,-0.2591722117565608,582,532,6.689117E-3 ,3.572927E-3 ,40.914,34,53.922,3.762,251.667E-6 ,2.035,2.159,6.105,21.096,1.771 ,9.322,12.983,18.031,27.965,0.685923,0.512793,3.819 ,8.563718820861679
141.259 ,107.871 ,77.496 ,573.933 ,37.39363086999233,58.70389005359128,2.7781984986294535,697,643,7.176589E-3 ,3.513456E-3 ,43.659,37,55.705,3.414,245.028E-6 ,1.788,2.046,5.365,19.159,1.730 ,8.759,11.704,19.662,26.277,0.709264,0.459680,4.268 ,11.071473922902495
118.824 ,52.758 ,77.370 ,580.890 ,36.15710294006889,52.733777999188604,12.895477565356124,614,573,8.441712E-3 ,2.375028E-3 ,35.895,35,47.250,3.140,265.040E-6 ,1.676,1.873,5.029,18.673,1.628 ,9.366,12.776,16.766,28.099,0.694146,0.506144,3.991 ,9.922086167800453
124.956 ,64.755 ,77.483 ,584.094 ,35.519282158284206,51.35984761535222,8.676319720060945,571,512,7.973143E-3 ,2.807130E-3 ,42.278,48,58.241,4.295,342.479E-6 ,2.397,2.483,7.192,19.318,1.657 ,9.670,13.382,12.397,29.009,0.665266,0.557676,3.303 ,10.392290249433106
149.219 ,112.361 ,85.725 ,568.772 ,35.433649836198,51.95484372233948,5.638724250034066,654,594,7.040536E-3 ,3.227813E-3 ,42.536,36,53.790,3.404,239.689E-6 ,1.857,2.251,5.572,21.774,1.791 ,10.198,13.192,16.618,30.594,0.694591,0.493629,3.984 ,9.817596371882086
176.410 ,127.615 ,74.508 ,595.275 ,35.30513577499903,61.02871097638798,7.915811789729236,467,417,5.816771E-3 ,3.545985E-3 ,56.813,37,71.395,4.596,267.336E-6 ,2.542,2.840,7.625,22.942,1.860 ,9.701,8.998,5.481,29.103,0.652805,0.596065,3.092 ,9.138412698412699
160.214 ,112.328 ,81.384 ,553.012 ,29.80316468889139,50.97328002084768,-1.0833837088251734,305,276,6.403195E-3 ,3.309970E-3 ,54.730,19,48.851,3.570,228.618E-6 ,1.907,2.210,5.720,23.057,1.857 ,12.031,14.705,15.379,36.093,0.676857,0.548714,3.636 ,5.951473922902494
