Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
244.270 ,45.139 ,166.899 ,395.700 ,50.65783786376273,80.776224449013,-25.805927744381144,743,712,4.091984E-3 ,0.715897E-3 ,50.153,23,45.152,2.215,90.625E-6 ,1.140,1.238,3.419,16.223,1.397 ,6.905,9.565,14.036,20.715,0.854159,0.203963,9.040 ,6.5784126984126985
224.825 ,58.848 ,83.882 ,383.322 ,53.152050571301636,72.5885003352095,11.101999529128275,772,751,4.435195E-3 ,1.210061E-3 ,22.614,13,26.918,2.585,114.652E-6 ,1.304,1.649,3.913,18.459,1.608 ,7.804,11.916,19.671,23.412,0.793628,0.313523,6.964 ,4.854331065759637
237.371 ,63.070 ,77.349 ,405.899 ,50.27268553986864,65.83105478278995,15.140208128087945,670,650,4.199294E-3 ,1.203040E-3 ,23.155,8,12.766,2.720,114.210E-6 ,1.494,1.731,4.481,16.360,1.465 ,7.458,10.404,17.230,22.374,0.814168,0.269785,7.765 ,3.9661678004535146
236.495 ,51.919 ,131.807 ,476.670 ,50.850781113990145,71.1943628884647,9.197580817187056,1099,1060,4.246210E-3 ,0.863364E-3 ,24.148,22,22.326,2.985,126.733E-6 ,1.609,1.770,4.828,17.599,1.563 ,7.621,10.651,20.765,22.864,0.796198,0.302724,6.993 ,6.787392290249433
215.679 ,50.712 ,76.857 ,421.871 ,50.03442165475888,69.45162301032012,-5.259025441609855,1338,1300,4.643952E-3 ,1.159195E-3 ,19.830,21,15.771,3.367,156.351E-6 ,1.825,2.001,5.474,18.941,1.631 ,8.810,12.958,18.560,26.430,0.786240,0.332569,6.937 ,8.250249433106577
229.782 ,65.612 ,77.483 ,542.072 ,49.083027270753476,65.99220196340858,14.867555046360001,1057,1020,4.364420E-3 ,1.219620E-3 ,22.105,20,20.871,3.784,165.131E-6 ,2.032,2.302,6.097,19.200,1.659 ,8.865,12.817,18.383,26.594,0.762292,0.377683,6.190 ,6.682902494331066
229.927 ,53.272 ,135.525 ,397.047 ,47.26514200055769,67.61066068396181,-9.40155269896585,1274,1234,4.351775E-3 ,1.022706E-3 ,25.182,21,24.216,3.169,137.895E-6 ,1.679,2.011,5.037,17.289,1.536 ,7.967,11.601,19.620,23.900,0.804125,0.302551,7.570 ,8.250249433106577
229.813 ,48.176 ,76.323 ,526.833 ,47.873010546384926,68.66210893270684,10.670798857984927,1322,1284,4.356389E-3 ,0.875860E-3 ,27.241,25,23.413,2.884,125.656E-6 ,1.596,1.729,4.789,17.740,1.570 ,7.984,11.520,17.962,23.952,0.808530,0.292439,7.584 ,8.511473922902494
231.393 ,42.426 ,104.885 ,360.445 ,45.84746678579453,68.07657316162546,9.888817803480848,1091,1059,4.332219E-3 ,0.877654E-3 ,27.147,19,22.833,4.030,174.567E-6 ,2.258,2.473,6.773,18.550,1.631 ,8.816,12.082,17.738,26.448,0.760552,0.375054,6.056 ,7.257596371882086
229.223 ,49.894 ,104.711 ,403.267 ,47.69493570462025,69.04486047872417,9.816480071242768,1647,1605,4.364032E-3 ,0.942846E-3 ,24.927,22,24.943,3.047,132.975E-6 ,1.674,1.861,5.021,18.363,1.585 ,8.554,12.727,20.432,25.662,0.785839,0.327330,6.890 ,10.340045351473924
230.471 ,51.117 ,94.702 ,398.133 ,47.781242043339475,64.52704700338171,-2.3685378723777903,978,949,4.336511E-3 ,0.955574E-3 ,24.121,13,19.247,2.875,124.657E-6 ,1.590,1.819,4.770,17.682,1.581 ,8.380,11.876,18.310,25.141,0.772149,0.348713,6.234 ,6.003718820861678
