Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
240.048 ,170.622 ,103.480 ,569.778 ,57.28386465816098,73.35767947470602,21.42490795198219,220,207,4.281822E-3 ,3.003383E-3 ,16.058,6,25.488,4.506,192.921E-6 ,2.451,2.938,7.352,23.165,1.895 ,10.717,19.053,--undefined--,32.150,0.694114,0.492414,4.009 ,1.4061678004535147
216.823 ,163.870 ,91.768 ,526.392 ,50.63668461243573,63.85491491698967,10.533167059297186,145,139,4.767397E-3 ,3.393313E-3 ,18.947,3,12.841,4.255,202.850E-6 ,2.591,2.856,7.772,18.406,1.586 ,8.825,14.012,46.562,26.474,0.761005,0.359163,5.822 ,0.9882086167800453
176.795 ,147.000 ,74.731 ,596.870 ,44.752097651283385,81.50350728737612,4.352417223922748,669,606,5.859488E-3 ,3.726710E-3 ,51.992,34,57.844,3.978,233.082E-6 ,2.244,2.661,6.731,19.121,1.672 ,8.222,10.134,9.453,24.666,0.734543,0.410205,5.047 ,10.078820861678004
142.920 ,96.518 ,78.460 ,544.730 ,53.76892018011926,69.11400803457077,4.661438485482008,321,305,7.051693E-3 ,3.043330E-3 ,21.935,12,24.946,4.029,284.091E-6 ,2.165,2.685,6.494,19.651,1.547 ,9.467,13.600,19.870,28.402,0.746332,0.402132,5.570 ,3.130249433106576
200.976 ,157.426 ,79.792 ,592.437 ,49.07301890971908,68.15209171875843,5.657428381043761,602,565,5.126858E-3 ,3.261455E-3 ,31.193,14,42.110,3.471,177.973E-6 ,1.825,2.007,5.476,18.165,1.560 ,8.800,11.380,14.857,26.400,0.783727,0.327274,6.848 ,5.4812698412698415
223.999 ,177.735 ,81.362 ,596.148 ,42.6246325142366,71.08389664942011,-1.242118644130255,377,352,4.432785E-3 ,3.563486E-3 ,50.858,14,60.524,4.407,195.364E-6 ,2.274,2.470,6.821,18.363,1.676 ,7.938,9.103,15.376,23.813,0.737438,0.400118,5.006 ,4.697596371882086
194.883 ,161.904 ,78.976 ,629.227 ,50.40715822366726,67.59823224582863,14.302063723252889,754,713,5.204202E-3 ,3.979137E-3 ,22.184,26,33.805,3.962,206.191E-6 ,2.230,2.671,6.691,21.546,1.861 ,10.881,14.683,24.679,32.644,0.708640,0.454662,4.219 ,5.899229024943311
143.103 ,101.508 ,74.923 ,475.168 ,46.601590713890985,75.39967972125207,4.939352315738415,481,456,7.047507E-3 ,3.761341E-3 ,37.326,15,40.269,3.333,234.912E-6 ,1.807,2.167,5.422,18.521,1.623 ,8.669,10.338,13.878,26.008,0.721865,0.447313,4.781 ,5.794739229024943
147.370 ,123.746 ,75.904 ,546.105 ,47.7743095468988,70.39516027487824,6.492880632394348,463,424,6.883610E-3 ,4.180210E-3 ,42.796,25,40.422,3.517,242.128E-6 ,1.865,2.301,5.595,17.817,1.713 ,8.612,9.729,8.472,25.836,0.694497,0.496164,3.953 ,7.048616780045352
174.760 ,123.513 ,77.822 ,551.507 ,54.47641063025457,73.22761314653172,0.8797856997437927,569,528,5.863585E-3 ,3.497927E-3 ,28.288,24,37.083,5.098,298.938E-6 ,2.879,3.453,8.636,19.696,1.784 ,8.800,9.881,18.300,26.401,0.684929,0.532285,3.902 ,5.585759637188208
154.469 ,130.361 ,89.978 ,590.453 ,53.218958905033205,66.11883132891441,16.8724291282443,237,221,6.751118E-3 ,4.000842E-3 ,26.033,7,33.228,3.644,246.037E-6 ,2.126,2.322,6.379,20.440,1.674 ,10.729,12.154,18.545,32.186,0.724216,0.441485,4.892 ,2.451065759637188
194.514 ,165.308 ,90.397 ,524.491 ,48.83670314338477,68.8699026173477,14.51169383449701,232,224,5.157745E-3 ,3.870848E-3 ,38.462,6,45.576,2.791,143.940E-6 ,1.550,2.076,4.651,23.761,1.974 ,11.767,18.721,28.912,35.301,0.750427,0.381218,5.457 ,2.503310657596372
187.787 ,147.554 ,76.644 ,596.829 ,51.10698835689183,70.69840847089148,13.52667523447403,800,728,5.425173E-3 ,3.689293E-3 ,29.182,36,41.722,4.135,224.319E-6 ,2.195,2.617,6.584,20.435,1.690 ,10.647,13.796,26.170,31.941,0.669738,0.550178,3.406 ,7.989024943310658
205.887 ,159.616 ,79.895 ,588.576 ,51.54240910548922,72.66223722471702,-6.855702121846666,527,485,5.008194E-3 ,3.667657E-3 ,33.195,20,39.149,5.377,269.277E-6 ,2.880,3.070,8.641,19.706,1.689 ,10.339,12.105,14.203,31.016,0.665256,0.572981,3.365 ,4.854331065759637
223.979 ,154.967 ,76.765 ,593.402 ,44.48753135634347,74.70374777667588,8.007206437590995,2153,2011,4.562036E-3 ,3.112223E-3 ,47.238,72,57.144,4.107,187.385E-6 ,2.254,2.528,6.762,18.804,1.630 ,8.976,10.273,11.845,26.929,0.734586,0.417664,5.249 ,22.66984126984127
237.734 ,155.532 ,87.171 ,529.744 ,48.570491222112736,65.16386611075527,-0.12579801693859072,145,135,4.286381E-3 ,2.733928E-3 ,37.324,6,43.366,5.143,220.459E-6 ,3.023,3.455,9.068,19.344,1.786 ,9.194,11.615,10.386,27.583,0.613747,0.670177,2.084 ,1.4584126984126984
194.753 ,112.880 ,76.330 ,599.332 ,49.70439401936835,68.26768457703808,5.100384635443858,584,556,5.250500E-3 ,2.472955E-3 ,31.727,15,32.108,3.709,194.762E-6 ,2.037,2.170,6.112,21.289,1.743 ,10.438,13.273,14.903,31.314,0.699416,0.476290,3.996 ,5.011065759637188
150.478 ,113.418 ,77.820 ,598.531 ,51.34803699051201,63.72369330157912,14.956582547021462,463,428,6.678611E-3 ,3.494755E-3 ,35.495,26,42.506,4.376,292.284E-6 ,2.585,2.945,7.756,20.277,1.767 ,9.953,12.707,21.279,29.858,0.644335,0.598918,2.762 ,5.899229024943311
175.672 ,120.706 ,79.775 ,585.684 ,47.94926604121957,72.57990878150306,8.951027985689725,712,671,5.835415E-3 ,3.247871E-3 ,39.451,23,47.608,3.507,204.651E-6 ,1.947,2.326,5.842,18.431,1.588 ,8.430,10.618,14.974,25.289,0.703410,0.478085,4.239 ,8.041269841269841
124.120 ,64.790 ,80.983 ,592.051 ,52.048609992520404,66.41204528439728,18.05804608930058,400,376,8.125903E-3 ,2.625507E-3 ,38.370,19,49.480,2.661,216.229E-6 ,1.465,1.624,4.396,18.365,1.579 ,8.654,10.727,11.497,25.961,0.702306,0.465212,4.027 ,6.787392290249433
