Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
177.368 ,39.112 ,76.410 ,518.312 ,60.04486163367602,77.38017615276446,13.746725422836931,1284,1249,5.684650E-3 ,1.137802E-3 ,19.219,24,21.708,2.471,140.493E-6 ,1.377,1.563,4.130,17.704,1.554 ,8.182,11.179,17.876,24.547,0.751381,0.392198,5.665 ,9.504126984126984
160.517 ,55.192 ,86.803 ,560.227 ,59.38673281053612,73.90424134666615,25.424732541300582,808,783,6.266945E-3 ,1.423733E-3 ,18.644,17,20.189,1.911,119.755E-6 ,1.010,1.207,3.031,17.744,1.611 ,7.934,11.975,20.830,23.803,0.782100,0.333184,6.492 ,6.526167800453515
142.982 ,7.874 ,129.117 ,166.384 ,53.22360910538119,77.15234212386005,-0.11629009731754104,457,445,6.996167E-3 ,0.441796E-3 ,35.581,8,14.025,1.684,117.796E-6 ,0.968,1.170,2.905,17.577,1.586 ,8.127,12.091,14.984,24.382,0.762142,0.360537,5.691 ,5.376780045351474
157.286 ,64.493 ,85.426 ,571.191 ,55.86635431130848,74.53910111330165,7.336639997920599,1039,999,6.449565E-3 ,1.613139E-3 ,26.043,31,31.153,2.124,136.983E-6 ,1.143,1.314,3.430,19.331,1.674 ,8.998,14.331,23.703,26.995,0.739409,0.402932,5.069 ,9.86984126984127
153.793 ,55.232 ,94.825 ,530.484 ,59.87090110106157,73.19906721946107,10.69415150109467,151,145,6.570226E-3 ,1.323667E-3 ,24.540,4,21.322,1.278,83.938E-6 ,0.668,0.718,2.005,17.280,1.510 ,8.514,11.891,17.711,25.543,0.754501,0.375194,5.452 ,1.6673922902494331
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,37.44875697941725,47.489727724539115,-1.3072777418208767,1,0,--undefined-- ,--undefined-- ,68.519,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,0.5702494331065759
174.824 ,14.779 ,154.337 ,234.371 ,60.590036743672044,76.53285898792095,35.72983785152682,330,325,5.740823E-3 ,0.483748E-3 ,12.554,3,7.591,1.771,101.680E-6 ,1.018,1.257,3.053,15.750,1.508 ,7.190,10.108,16.352,21.569,0.796901,0.297138,6.757 ,2.346575963718821
169.280 ,68.937 ,105.341 ,570.340 ,59.433888806708545,76.22968934323075,1.354433640068613,747,723,5.934844E-3 ,1.513963E-3 ,15.194,18,20.652,2.306,136.881E-6 ,1.259,1.502,3.776,17.833,1.593 ,8.425,12.093,18.945,25.275,0.746153,0.396088,5.290 ,5.690249433106576
146.203 ,13.515 ,89.382 ,156.803 ,50.613666556470235,72.47339581147243,1.1918448346100257,201,196,6.845777E-3 ,0.768755E-3 ,46.043,4,15.007,1.047,71.681E-6 ,0.560,0.627,1.680,15.348,1.377 ,7.273,11.028,15.463,21.819,0.800232,0.282036,6.917 ,2.8167800453514737
135.209 ,18.443 ,99.238 ,196.411 ,28.19997770390248,73.11169962558878,4.946862528156518,206,199,7.427009E-3 ,0.986660E-3 ,79.953,5,33.800,1.930,143.355E-6 ,1.039,1.077,3.118,20.087,1.604 ,10.952,11.778,15.732,32.857,0.701133,0.489126,4.235 ,8.615963718820861
174.713 ,43.760 ,79.784 ,350.330 ,57.6157364476544,77.52327993754429,6.598190812902551,1780,1723,5.753018E-3 ,1.614759E-3 ,40.408,48,44.490,1.935,111.312E-6 ,0.980,1.068,2.939,14.057,1.329 ,6.398,9.055,13.796,19.194,0.789067,0.319455,6.740 ,18.176780045351475
183.144 ,14.780 ,158.258 ,237.607 ,62.58328607879609,77.26072379141131,36.75413579742675,1484,1433,5.464257E-3 ,0.452950E-3 ,35.971,42,41.043,1.839,100.466E-6 ,0.946,1.078,2.837,15.515,1.404 ,7.385,10.144,15.491,22.156,0.776315,0.347182,6.237 ,13.683718820861678
137.468 ,67.926 ,74.757 ,447.481 ,48.71171307301981,73.86124617141016,-0.4364635136441514,226,212,7.226662E-3 ,2.823117E-3 ,57.495,12,58.931,3.614,261.192E-6 ,2.212,2.727,6.636,17.966,1.640 ,9.151,12.220,20.125,27.452,0.699797,0.494838,4.214 ,4.90657596371882
188.730 ,167.327 ,78.962 ,594.692 ,62.95355638664044,77.04514122202121,12.196433960676153,680,616,5.564041E-3 ,4.072311E-3 ,26.030,26,32.900,3.943,219.387E-6 ,2.148,2.495,6.445,20.718,1.723 ,10.083,15.662,30.637,30.250,0.699632,0.485169,4.065 ,6.108208616780045
188.410 ,49.050 ,122.160 ,502.438 ,64.38448435481581,81.66000404957713,-14.586794368733287,343,333,5.342970E-3 ,1.015871E-3 ,27.915,7,23.308,1.505,80.408E-6 ,0.759,0.886,2.278,18.075,1.592 ,8.485,11.851,15.639,25.455,0.737449,0.405774,5.121 ,2.8690249433106576
161.605 ,58.181 ,112.806 ,571.153 ,54.719297378951325,77.16451849472517,-1.535915123527847,282,270,6.246129E-3 ,1.389316E-3 ,50.515,9,51.220,2.415,150.854E-6 ,1.315,1.518,3.945,19.017,1.665 ,8.562,11.905,15.262,25.686,0.723900,0.440801,4.662 ,3.913922902494331
182.973 ,53.775 ,133.497 ,563.736 ,52.236137341546055,86.28680706318977,7.8102866139273965,350,344,5.493339E-3 ,1.127276E-3 ,54.943,4,27.354,1.256,68.981E-6 ,0.658,0.747,1.973,16.369,1.459 ,8.133,11.654,19.824,24.398,0.805975,0.264158,6.825 ,4.3841269841269845
