Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
244.826 ,158.433 ,97.316 ,562.528 ,58.0189403875985,74.30795420790145,10.698508568911809,303,285,4.150466E-3 ,2.680181E-3 ,25.000,8,21.995,4.939,204.984E-6 ,2.940,3.284,8.821,19.129,1.782 ,8.278,9.371,18.351,24.835,0.643762,0.601999,2.764 ,2.033106575963719
186.260 ,140.103 ,75.617 ,598.909 ,55.966860341717016,81.1366753546025,6.850481427954018,1932,1813,5.417845E-3 ,3.183167E-3 ,43.180,80,53.717,4.728,256.173E-6 ,2.645,3.115,7.936,19.419,1.675 ,8.894,13.086,21.042,26.682,0.689421,0.505096,3.883 ,22.617596371882087
195.866 ,147.826 ,77.880 ,619.718 ,56.08859852187973,75.2841990418479,8.81832108622441,1834,1691,5.245282E-3 ,3.366847E-3 ,38.314,80,53.749,4.309,226.027E-6 ,2.287,2.937,6.861,19.964,1.740 ,9.255,13.358,21.132,27.764,0.679297,0.523472,3.587 ,20.318820861678006
175.573 ,134.513 ,74.893 ,591.742 ,54.69078813056668,78.1516333919829,-6.674308463385614,1316,1234,5.807581E-3 ,3.296435E-3 ,42.927,53,47.169,4.421,256.738E-6 ,2.518,2.921,7.554,19.829,1.710 ,9.816,13.170,19.870,29.449,0.676412,0.533762,3.537 ,16.29596371882086
191.557 ,137.198 ,75.886 ,598.256 ,60.04398523937915,76.28256180299803,10.893021300842943,647,603,5.259058E-3 ,2.980736E-3 ,28.799,23,33.436,3.546,186.484E-6 ,1.928,2.351,5.783,20.088,1.716 ,8.934,10.972,16.370,26.801,0.673617,0.542789,3.462 ,5.690249433106576
166.996 ,118.817 ,78.942 ,595.769 ,53.35742987037009,72.96076764993849,1.1529803719328044,618,581,6.023823E-3 ,3.163505E-3 ,42.133,26,32.426,3.557,214.247E-6 ,1.982,2.240,5.946,19.046,1.600 ,9.669,12.989,20.532,29.006,0.683313,0.520906,3.714 ,7.727800453514739
171.767 ,135.333 ,81.937 ,595.379 ,56.51778460976834,78.50601129692403,16.285771490279718,1242,1149,6.006878E-3 ,3.310113E-3 ,42.264,58,52.527,3.654,219.462E-6 ,2.076,2.286,6.227,19.407,1.678 ,9.218,12.096,15.136,27.654,0.670072,0.545123,3.351 ,15.930249433106576
191.574 ,146.481 ,75.025 ,591.778 ,53.39193353134014,77.25065477459299,2.1553757923900068,1002,933,5.290662E-3 ,3.240394E-3 ,54.224,46,54.386,4.141,219.092E-6 ,2.303,2.735,6.908,20.400,1.729 ,10.139,13.150,20.061,30.416,0.680800,0.520165,3.586 ,15.303310657596372
219.091 ,160.878 ,91.073 ,598.005 ,56.169192826394216,74.68657386223965,12.357957905963213,1200,1131,4.618175E-3 ,3.042186E-3 ,40.699,38,47.706,4.071,188.003E-6 ,2.330,2.598,6.989,19.510,1.677 ,9.291,11.544,14.382,27.873,0.668932,0.551719,3.399 ,11.489433106575964
203.550 ,142.454 ,97.572 ,593.841 ,54.3206350351737,73.69879158589134,8.765091643358005,323,309,4.904941E-3 ,2.798257E-3 ,56.627,11,37.197,4.009,196.660E-6 ,2.335,2.825,7.005,20.489,1.717 ,10.799,15.092,14.758,32.397,0.686654,0.518661,3.750 ,5.011065759637188
