Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
178.239 ,107.276 ,91.789 ,561.882 ,59.80951240510032,73.49700573455986,-2.1178395354713824,565,540,5.719768E-3 ,2.650046E-3 ,13.065,7,16.036,3.005,171.889E-6 ,1.542,1.799,4.627,18.081,1.566 ,8.581,11.088,15.447,25.742,0.750404,0.391278,5.561 ,4.018412698412698
199.636 ,164.325 ,75.967 ,593.000 ,54.0793256649897,67.91278469060545,6.868226441599971,576,535,5.087589E-3 ,3.564017E-3 ,25.499,17,31.826,4.247,216.083E-6 ,2.375,2.944,7.126,19.167,1.734 ,8.577,12.603,21.901,25.730,0.694953,0.492470,4.115 ,4.540861678004535
224.857 ,170.284 ,87.578 ,636.687 ,55.57155164428621,72.13475332919595,0.6373590206977107,1433,1363,4.562238E-3 ,3.242786E-3 ,23.227,29,29.014,3.971,181.162E-6 ,2.166,2.612,6.497,19.956,1.690 ,8.950,12.137,21.335,26.849,0.693880,0.510044,4.033 ,9.765351473922902
194.528 ,159.849 ,88.107 ,579.111 ,49.53755061291649,67.9163969313989,7.60501089310071,149,144,5.119300E-3 ,3.332226E-3 ,26.772,3,11.928,3.141,160.797E-6 ,1.804,2.016,5.412,20.898,1.601 ,11.232,15.414,17.780,33.695,0.696559,0.485827,3.997 ,1.3016780045351475
136.069 ,98.555 ,87.821 ,581.322 ,58.54694058096715,67.7702861348723,16.902199833956836,193,180,7.520938E-3 ,2.926741E-3 ,21.164,7,21.743,2.756,207.295E-6 ,1.504,1.400,4.511,18.996,1.661 ,7.772,10.254,23.900,23.316,0.675747,0.544510,3.537 ,1.9286167800453515
157.204 ,137.703 ,85.461 ,596.270 ,54.9944043826292,69.64695000836086,21.68996418538778,412,383,6.650895E-3 ,3.601765E-3 ,21.505,10,26.186,2.661,177.008E-6 ,1.395,1.763,4.185,18.784,1.612 ,9.006,11.337,14.782,27.019,0.728358,0.427250,4.860 ,3.75718820861678
178.592 ,140.252 ,77.718 ,595.223 ,45.449787375454584,66.04872416090784,1.71837366684673,643,603,5.727323E-3 ,3.548004E-3 ,47.851,24,30.672,3.917,224.322E-6 ,2.101,2.243,6.303,19.730,1.761 ,9.001,11.408,13.212,27.003,0.691524,0.503442,3.935 ,8.87718820861678
145.550 ,9.465 ,129.721 ,167.887 ,56.90229793528128,69.71200642618791,16.844846602824138,103,101,6.889425E-3 ,0.446580E-3 ,17.778,0,0,1.335,91.966E-6 ,0.612,0.803,1.835,13.637,1.233 ,5.459,8.325,14.033,16.378,0.811515,0.293867,7.664 ,0.9359637188208617
133.165 ,74.531 ,75.704 ,557.945 ,45.60298659282836,68.25339470070136,7.45470731703425,375,355,7.646685E-3 ,2.622379E-3 ,46.819,13,16.814,2.549,194.884E-6 ,1.270,1.541,3.809,15.341,1.427 ,7.230,11.133,16.759,21.691,0.737812,0.405799,5.145 ,6.160453514739229
162.322 ,130.607 ,74.504 ,598.647 ,54.34933761278741,74.51178034075679,15.171175106284231,1144,1066,6.392336E-3 ,3.490534E-3 ,30.474,43,38.480,3.067,196.055E-6 ,1.603,1.783,4.810,18.190,1.587 ,8.333,11.808,15.806,24.998,0.743290,0.400549,5.343 ,12.27310657596372
187.265 ,137.350 ,106.651 ,544.336 ,48.31827628365718,73.08074902551495,16.541798839960972,258,243,5.506615E-3 ,3.199281E-3 ,42.907,7,10.025,3.130,172.330E-6 ,1.406,1.497,4.219,13.976,1.365 ,7.078,9.338,14.584,21.235,0.751371,0.390438,5.984 ,2.9212698412698415
218.114 ,141.223 ,88.191 ,539.469 ,57.96070692105477,70.15475871044592,-0.026278803467877518,242,228,4.747979E-3 ,2.812721E-3 ,18.987,7,21.941,3.198,151.840E-6 ,1.670,2.079,5.009,19.148,1.662 ,8.707,12.874,24.330,26.121,0.704500,0.484881,4.245 ,1.6151473922902495
170.183 ,145.745 ,78.066 ,607.947 ,59.50560049002989,71.81472601123443,24.439533067854104,826,774,6.055375E-3 ,3.941069E-3 ,18.966,27,27.878,3.772,228.407E-6 ,2.080,2.385,6.241,18.551,1.625 ,8.348,12.710,17.465,25.043,0.696832,0.495814,4.122 ,6.996371882086168
152.314 ,137.057 ,75.520 ,573.349 ,55.75180692046206,70.56069933377441,8.2158478978946,392,363,6.906223E-3 ,4.170926E-3 ,27.356,16,37.082,3.646,251.768E-6 ,2.036,2.211,6.108,17.801,1.616 ,8.180,12.514,24.899,24.541,0.681114,0.531835,3.707 ,4.3841269841269845
156.937 ,112.805 ,76.644 ,481.943 ,58.53843158605067,70.72922172411171,24.672803695486657,353,333,6.514662E-3 ,3.350923E-3 ,25.000,13,28.177,3.061,199.397E-6 ,1.751,2.330,5.253,20.418,1.736 ,10.451,13.884,20.776,31.354,0.640111,0.632429,2.742 ,3.3914739229024944
168.655 ,154.702 ,77.064 ,598.083 ,51.38795877035767,71.59789774173694,0.5804642077179141,536,501,6.100760E-3 ,4.090912E-3 ,40.673,19,22.769,3.805,232.106E-6 ,2.210,2.749,6.629,19.764,1.689 ,9.005,11.989,20.610,27.014,0.696337,0.487891,3.988 ,6.5784126984126985
200.459 ,60.348 ,153.838 ,518.389 ,41.88836361660047,58.64797053912871,-5.934203357330702,265,255,5.018682E-3 ,1.060153E-3 ,33.953,6,31.328,2.354,118.164E-6 ,1.224,1.569,3.673,14.860,1.419 ,6.889,8.752,15.020,20.666,0.804877,0.276718,6.891 ,2.1898412698412697
493.103 ,114.973 ,371.524 ,596.153 ,45.75553250178696,70.23082237838776,8.936263805846936,43,39,2.104000E-3 ,0.499692E-3 ,69.767,1,16.938,5.482,115.340E-6 ,3.354,2.981,10.063,19.597,1.594 ,9.177,--undefined--,--undefined--,27.530,0.613732,0.653853,2.042 ,0.4657596371882086
123.706 ,120.478 ,74.124 ,596.540 ,47.67008635343175,67.31218457310071,14.109284665891959,202,182,8.242125E-3 ,4.512037E-3 ,52.282,15,63.022,3.707,305.542E-6 ,1.942,2.343,5.827,19.367,1.584 ,10.003,13.134,25.178,30.008,0.693490,0.503141,3.911 ,4.854331065759637
167.080 ,97.924 ,71.694 ,607.950 ,59.506017470649184,74.87852060436825,21.68865623628433,1292,1232,6.153532E-3 ,2.325126E-3 ,27.361,32,34.657,2.399,147.645E-6 ,1.252,1.431,3.756,15.410,1.410 ,7.496,10.614,15.268,22.488,0.764909,0.367198,6.198 ,12.429841269841269
144.892 ,83.624 ,102.426 ,571.540 ,60.81356415170006,75.88864798333388,-3.2080958974911034,901,858,6.992623E-3 ,2.576785E-3 ,28.422,29,33.448,2.434,170.176E-6 ,1.363,1.631,4.090,15.301,1.409 ,7.111,10.105,15.588,21.333,0.751866,0.390191,5.686 ,9.608616780045352
118.794 ,46.969 ,98.357 ,486.642 ,57.730233651951956,71.91624925923405,5.462207283070252,472,455,8.413572E-3 ,1.935321E-3 ,27.243,13,25.200,2.290,192.658E-6 ,1.147,1.299,3.440,16.705,1.449 ,7.632,11.400,19.265,22.897,0.730394,0.434955,5.087 ,6.055963718820862
152.310 ,116.650 ,84.741 ,560.436 ,55.30127234933975,72.54422948401202,25.26608479467407,636,600,6.755497E-3 ,3.209451E-3 ,36.671,21,34.013,2.503,169.075E-6 ,1.306,1.501,3.919,17.467,1.570 ,7.898,10.955,17.982,23.693,0.731492,0.436633,5.137 ,7.727800453514739
132.049 ,71.631 ,77.434 ,523.836 ,54.76194883966092,71.8187684079373,17.19547682144108,486,465,7.705369E-3 ,2.427593E-3 ,31.140,13,36.820,2.523,194.440E-6 ,1.358,1.616,4.073,17.115,1.513 ,8.085,10.576,17.873,24.255,0.739018,0.408615,5.070 ,6.264943310657596
147.241 ,120.089 ,71.927 ,590.989 ,55.61002149424051,73.24166610229307,5.297237897543676,610,565,6.976388E-3 ,3.417569E-3 ,36.151,29,45.919,2.916,203.464E-6 ,1.694,2.027,5.083,17.764,1.564 ,8.551,11.260,17.811,25.653,0.709322,0.460677,4.364 ,7.727800453514739
218.085 ,151.211 ,67.252 ,598.191 ,56.24079957957314,70.58641271481763,7.815599186737177,731,673,4.702414E-3 ,2.973149E-3 ,35.669,29,42.225,4.052,190.526E-6 ,2.147,2.331,6.442,19.147,1.638 ,8.815,12.969,23.082,26.445,0.682067,0.535007,3.800 ,6.31718820861678
166.370 ,105.163 ,85.290 ,568.211 ,59.70809868540084,73.57635715839959,19.511396352514716,920,877,6.089968E-3 ,2.650218E-3 ,25.641,30,34.359,3.524,214.631E-6 ,1.955,2.299,5.866,18.165,1.588 ,8.090,11.910,19.882,24.270,0.708038,0.477414,4.385 ,8.615963718820861
149.944 ,102.018 ,88.167 ,567.229 ,55.84759745891841,68.77790882308382,1.0247286898943317,396,381,6.776529E-3 ,2.943704E-3 ,30.549,9,26.567,2.569,174.069E-6 ,1.322,1.437,3.966,16.500,1.570 ,7.636,10.882,17.035,22.908,0.776032,0.345245,6.244 ,4.227392290249433
175.959 ,137.612 ,75.847 ,595.715 ,51.507276845882835,69.67918794938554,-2.0289601935068795,862,811,5.745106E-3 ,3.429196E-3 ,44.506,35,39.817,3.774,216.819E-6 ,1.980,2.170,5.939,18.588,1.666 ,8.866,11.471,17.429,26.597,0.668070,0.566018,3.461 ,10.86249433106576
161.956 ,119.575 ,77.633 ,597.601 ,64.0203705415008,74.83532065470398,9.785443166786333,945,896,6.277805E-3 ,3.546607E-3 ,16.153,30,25.423,4.216,264.661E-6 ,2.305,2.656,6.914,18.279,1.601 ,8.864,12.573,20.334,26.592,0.684903,0.514352,3.703 ,8.145759637188208
235.256 ,169.508 ,75.511 ,606.855 ,62.51734567855986,73.43062022174477,18.45957282425735,509,481,4.381140E-3 ,3.179412E-3 ,21.701,11,30.882,3.981,174.426E-6 ,2.202,2.462,6.605,21.198,1.887 ,9.632,12.579,18.751,28.895,0.685398,0.528868,3.956 ,3.443718820861678
166.133 ,123.283 ,77.497 ,545.827 ,57.89318968651459,71.20202481525953,26.59271968098342,113,109,6.072503E-3 ,3.262288E-3 ,27.358,2,14.633,3.380,205.256E-6 ,2.064,2.686,6.193,19.399,1.617 ,9.739,11.507,8.675,29.218,0.744643,0.376303,5.027 ,1.0926984126984127
167.004 ,120.535 ,85.785 ,615.701 ,60.87956265629984,73.38697891102206,13.353829185049207,552,513,6.077375E-3 ,3.279455E-3 ,32.423,23,38.581,3.890,236.412E-6 ,2.122,2.568,6.367,19.141,1.609 ,9.007,11.923,13.570,27.021,0.667397,0.573935,3.497 ,5.899229024943311
