Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
145.256 ,117.788 ,90.092 ,583.164 ,48.33944463971296,63.342915041257186,20.875207315869005,70,66,6.891874E-3 ,3.427711E-3 ,41.304,3,43.510,3.480,239.842E-6 ,1.472,1.735,4.416,15.445,1.365 ,5.498,8.560,19.850,16.495,0.766331,0.343329,5.818 ,0.952358276643991
99.467 ,7.051 ,87.230 ,120.450 ,54.99545919135801,65.09472562650687,22.398361732140152,111,106,10.032463E-3 ,0.706552E-3 ,43.697,4,43.638,1.570,157.508E-6 ,0.553,0.808,1.658,9.885,0.965 ,4.193,6.150,10.957,12.580,0.783898,0.323246,6.547 ,2.4152154195011337
101.741 ,38.986 ,81.721 ,396.098 ,55.11155615631069,63.58866493887436,34.46952228793772,123,117,9.805105E-3 ,2.057901E-3 ,40.650,5,45.305,1.413,138.522E-6 ,0.595,0.718,1.784,10.168,0.916 ,4.908,6.741,8.176,14.723,0.768210,0.333514,5.744 ,2.4935827664399093
144.140 ,62.494 ,79.708 ,594.960 ,44.11649890032843,66.26524536481406,17.261911574435914,1086,1035,6.992977E-3 ,2.073235E-3 ,40.890,42,47.013,2.239,156.585E-6 ,1.106,1.227,3.318,16.427,1.454 ,7.246,9.591,13.520,21.738,0.765070,0.360755,6.084 ,14.196439909297052
155.438 ,52.185 ,78.282 ,504.193 ,40.54397275672242,60.31661380391537,14.908583566361848,749,719,6.470051E-3 ,1.870532E-3 ,32.775,23,42.103,2.159,139.657E-6 ,1.012,1.064,3.037,15.000,1.396 ,6.928,10.674,16.171,20.783,0.768284,0.356259,6.143 ,8.397256235827664
170.829 ,19.935 ,145.671 ,343.614 ,50.11075264816455,58.374889548863045,19.15597441761087,371,368,5.869190E-3 ,0.570070E-3 ,3.913,2,2.923,1.516,89.002E-6 ,0.682,0.910,2.045,14.416,1.316 ,5.708,9.043,16.676,17.123,0.867948,0.191724,9.903 ,2.336848072562358
154.121 ,11.937 ,137.011 ,204.953 ,49.178628451236605,61.12386231628733,17.984731029167214,328,321,6.494749E-3 ,0.504531E-3 ,19.504,5,22.941,1.860,120.815E-6 ,0.914,1.170,2.741,12.644,1.210 ,5.536,8.146,15.491,16.609,0.836643,0.235204,8.808 ,2.859297052154195
141.182 ,25.031 ,93.675 ,353.760 ,47.130411545616205,61.14327203025745,19.788406989645964,254,243,7.084530E-3 ,0.871454E-3 ,22.311,9,29.592,2.235,158.343E-6 ,0.996,1.212,2.989,14.650,1.380 ,6.876,9.802,16.831,20.629,0.819173,0.273580,7.992 ,2.545827664399093
155.377 ,70.852 ,95.475 ,547.184 ,49.66234946159075,61.34993211065813,28.649987181413973,356,337,6.594211E-3 ,1.710445E-3 ,15.924,11,26.770,2.565,169.154E-6 ,1.073,1.344,3.220,16.029,1.340 ,6.544,10.255,15.564,19.632,0.771227,0.364456,6.427 ,3.172766439909297
150.153 ,71.044 ,96.827 ,594.056 ,43.03773393162908,64.07441826808268,16.328602162055073,952,892,6.743988E-3 ,1.836890E-3 ,45.053,46,52.672,2.364,159.417E-6 ,0.940,1.101,2.821,15.247,1.372 ,6.561,9.263,13.736,19.683,0.797018,0.297177,6.970 ,13.17766439909297
141.506 ,69.313 ,91.821 ,558.546 ,42.21965571212576,66.60720302657516,18.3999087628813,278,260,7.109906E-3 ,2.070443E-3 ,57.008,16,64.056,2.369,168.430E-6 ,0.861,1.043,2.583,12.890,1.177 ,5.366,6.789,11.232,16.097,0.815189,0.267050,7.811 ,5.314807256235827
132.231 ,56.855 ,76.697 ,474.970 ,53.08404663336162,66.17409242676788,23.823619082881123,367,350,7.723106E-3 ,2.163158E-3 ,38.076,12,44.406,2.351,181.573E-6 ,1.017,1.249,3.052,12.670,1.112 ,5.439,7.711,11.189,16.316,0.794595,0.305255,6.858 ,5.027460317460317
137.731 ,89.808 ,93.565 ,563.006 ,52.73699816708209,62.69467019389652,19.668249507080816,220,208,7.329651E-3 ,3.095110E-3 ,31.076,8,36.696,2.745,201.207E-6 ,1.250,1.386,3.751,13.707,1.255 ,6.683,8.215,10.538,20.049,0.767641,0.358663,5.975 ,2.545827664399093
112.698 ,53.867 ,85.855 ,562.269 ,53.00577761039094,62.42695674978851,26.1039016734839,536,505,8.945469E-3 ,2.321629E-3 ,35.227,23,41.162,1.877,167.880E-6 ,0.796,0.977,2.389,12.281,1.113 ,5.979,7.177,8.102,17.938,0.772468,0.359885,6.358 ,7.953174603174603
136.734 ,94.279 ,91.414 ,585.240 ,49.51764135274943,63.08838029354041,17.301888157716014,312,285,7.487927E-3 ,3.288651E-3 ,46.218,19,37.375,2.368,177.307E-6 ,1.001,1.179,3.002,12.987,1.178 ,6.159,9.013,14.332,18.478,0.770591,0.358271,6.185 ,4.7923582766439905
97.891 ,8.146 ,74.961 ,125.307 ,40.23295033086362,62.177005673853955,15.068509373299195,210,194,10.180260E-3 ,0.825505E-3 ,63.542,15,53.331,1.898,193.197E-6 ,0.639,0.874,1.916,10.378,0.962 ,4.624,6.374,7.073,13.873,0.778184,0.322193,6.150 ,6.751541950113379
140.392 ,53.725 ,72.509 ,571.455 ,38.186493393455514,56.22307139999437,12.095335727190545,2142,2051,7.191189E-3 ,1.673684E-3 ,27.116,63,33.564,2.848,204.807E-6 ,1.456,1.685,4.368,17.953,1.559 ,8.344,12.395,20.115,25.033,0.751468,0.389298,5.576 ,22.71235827664399
135.157 ,27.516 ,69.465 ,377.009 ,39.136009511419566,53.108821773621116,1.3917278317727446,667,650,7.418909E-3 ,1.189170E-3 ,20.787,13,20.361,2.518,186.801E-6 ,1.306,1.483,3.918,16.722,1.534 ,7.421,11.355,21.203,22.264,0.792017,0.323247,6.970 ,6.385827664399093
133.632 ,4.974 ,127.691 ,143.410 ,52.48430806940676,63.88325075349976,39.537287714669624,37,35,7.506458E-3 ,0.277551E-3 ,17.647,0,0,1.468,110.181E-6 ,0.739,1.042,2.218,15.192,1.424 ,6.308,10.035,18.014,18.924,0.785897,0.336411,6.322 ,0.3776643990929705
113.926 ,54.617 ,89.015 ,472.779 ,52.93089334894555,68.58764232643557,20.581386346154634,235,220,8.967585E-3 ,2.123358E-3 ,45.588,7,31.298,2.108,189.061E-6 ,0.992,1.050,2.976,13.429,1.268 ,6.012,7.633,11.831,18.035,0.759202,0.379162,5.861 ,4.1131746031746035
159.803 ,84.051 ,86.980 ,470.728 ,58.91509481368893,67.52279098510202,17.135841939613382,144,136,6.403410E-3 ,2.282602E-3 ,27.941,5,24.602,2.784,178.264E-6 ,1.311,1.316,3.934,12.790,1.195 ,6.108,7.422,12.861,18.325,0.795554,0.334306,7.533 ,1.396439909297052
114.227 ,55.884 ,96.313 ,553.285 ,53.64950277826581,68.3214100550979,21.326438979887566,160,153,8.742317E-3 ,2.235240E-3 ,38.261,6,38.016,1.792,156.693E-6 ,0.749,0.985,2.246,13.470,1.167 ,5.743,6.721,11.240,17.230,0.783914,0.325679,6.880 ,2.336848072562358
100.357 ,6.516 ,88.782 ,122.557 ,59.20852452752579,66.94761177409143,30.11359495260566,187,178,9.942289E-3 ,0.641250E-3 ,27.092,7,18.823,1.245,123.822E-6 ,0.482,0.688,1.447,12.695,1.160 ,5.747,7.532,9.843,17.241,0.752918,0.401830,5.672 ,2.545827664399093
99.236 ,9.355 ,86.252 ,126.280 ,59.68630606830025,66.86058414299934,33.58467813163823,46,45,10.067031E-3 ,0.923279E-3 ,35.211,0,0,1.405,141.448E-6 ,0.616,0.809,1.848,15.322,1.204 ,7.572,10.330,17.768,22.717,0.793652,0.317022,7.277 ,0.7433786848072562
119.123 ,61.600 ,76.270 ,474.420 ,55.859270803912516,69.94855447307445,22.46185583086488,293,278,8.350122E-3 ,2.556214E-3 ,43.625,12,42.746,2.258,188.542E-6 ,0.954,1.229,2.861,13.151,1.196 ,5.912,8.041,12.322,17.735,0.758726,0.368896,5.585 ,5.053582766439909
106.187 ,20.125 ,86.165 ,218.755 ,61.20254653699508,69.76511700174602,25.59379028953945,100,92,9.422702E-3 ,1.342611E-3 ,38.922,7,41.120,2.669,251.496E-6 ,1.389,1.472,4.166,14.541,1.314 ,7.628,8.216,9.653,22.884,0.763764,0.360205,5.839 ,1.709909297052154
236.842 ,34.194 ,191.020 ,320.271 ,44.34022757611705,66.69539498237782,21.186434017191935,194,190,4.212737E-3 ,0.601181E-3 ,61.091,3,10.172,1.664,70.108E-6 ,0.844,0.986,2.533,13.435,1.240 ,5.525,8.981,16.088,16.576,0.826749,0.241889,7.921 ,2.7809297052154194
137.221 ,7.041 ,121.739 ,145.432 ,53.15887048578695,65.94050886064309,34.34033417274074,41,38,7.299329E-3 ,0.408193E-3 ,30.000,1,17.130,2.234,163.087E-6 ,1.420,1.245,4.259,16.929,1.495 ,8.500,13.163,--undefined--,25.500,0.721404,0.427742,4.380 ,0.5343990929705216
146.357 ,68.206 ,88.599 ,574.843 ,47.55603153908697,74.45079610802833,23.95628878514572,473,441,6.911866E-3 ,2.016474E-3 ,64.446,26,71.461,2.812,194.348E-6 ,1.010,1.234,3.031,13.101,1.221 ,6.172,8.067,13.371,18.515,0.775034,0.349772,6.348 ,11.140113378684807
116.681 ,35.569 ,67.419 ,552.156 ,48.76414107124763,67.00620352507963,17.85986193659435,535,508,8.671410E-3 ,1.652333E-3 ,45.046,18,46.384,2.233,193.666E-6 ,0.899,1.105,2.696,12.958,1.186 ,5.892,7.796,10.531,17.676,0.806818,0.287705,7.501 ,8.710725623582766
108.252 ,5.441 ,98.040 ,119.384 ,46.79786857362323,62.28186172194934,18.82332894114998,71,64,9.230588E-3 ,0.507707E-3 ,44.853,6,52.889,1.507,139.123E-6 ,0.579,0.769,1.737,13.487,1.209 ,6.511,9.979,4.840,19.532,0.717197,0.441523,4.530 ,1.396439909297052
113.974 ,9.997 ,99.780 ,132.072 ,43.944584391466925,61.82906475477794,16.57370694702267,98,91,8.805161E-3 ,0.778660E-3 ,51.759,6,37.720,1.486,130.808E-6 ,0.699,0.541,2.097,12.258,1.208 ,6.001,7.165,14.415,18.002,0.819589,0.263028,7.699 ,2.0233786848072564
148.818 ,11.562 ,116.441 ,181.504 ,55.9916863565271,64.8089614613576,38.02230405298674,208,207,6.709227E-3 ,0.563086E-3 ,4.167,0,0,2.207,148.080E-6 ,1.089,1.384,3.266,16.090,1.478 ,6.142,10.712,21.490,18.427,0.828180,0.271896,8.546 ,1.4748072562358276
159.416 ,57.886 ,107.769 ,544.695 ,48.899008514489125,65.22357403020415,23.443648124595796,510,491,6.319058E-3 ,1.515201E-3 ,28.243,14,24.651,2.415,152.611E-6 ,1.209,1.381,3.627,16.855,1.481 ,7.351,10.786,18.467,22.052,0.785497,0.330552,6.628 ,4.818480725623583
153.502 ,84.381 ,77.769 ,605.886 ,56.96154871068249,64.40679452254858,39.65574164816185,226,218,6.684733E-3 ,2.148064E-3 ,5.556,1,5.571,2.424,162.052E-6 ,1.167,1.345,3.501,13.264,1.250 ,6.226,8.968,13.838,18.679,0.829994,0.263560,9.013 ,1.6576643990929705
151.483 ,23.666 ,121.774 ,191.248 ,53.50032829852122,66.82342242951168,29.00553366941,103,100,6.574156E-3 ,1.040982E-3 ,22.000,2,11.574,2.101,138.133E-6 ,0.859,0.872,2.577,15.752,1.567 ,5.582,8.674,13.719,16.747,0.786996,0.322403,7.850 ,1.0307256235827664
179.361 ,48.245 ,99.317 ,587.672 ,55.21814914943339,69.81967584111874,24.1278769005106,1134,1109,5.629812E-3 ,1.230580E-3 ,18.949,15,22.193,2.206,124.218E-6 ,1.045,1.283,3.136,15.152,1.389 ,6.706,9.823,15.157,20.117,0.810738,0.296055,8.074 ,8.214399092970522
194.892 ,84.637 ,156.668 ,599.167 ,55.745558812826154,67.76823729315214,28.275905624559698,242,234,5.276209E-3 ,1.298235E-3 ,15.789,3,11.939,1.547,81.640E-6 ,0.653,0.828,1.958,14.144,1.343 ,5.673,9.880,16.312,17.019,0.852784,0.194940,8.855 ,1.5531746031746032
178.289 ,51.076 ,138.695 ,574.465 ,54.7053251281087,68.42242670717665,-1.0983341459638831,733,712,5.641766E-3 ,1.089343E-3 ,17.059,12,16.918,2.224,125.475E-6 ,1.121,1.394,3.362,13.040,1.316 ,5.602,8.107,12.192,16.805,0.802262,0.302490,7.500 ,5.131950113378685
