Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
156.685 ,118.558 ,73.898 ,586.313 ,39.457672469787845,68.62368534816424,7.878580472086794,2080,1917,6.660468E-3 ,3.663159E-3 ,54.348,104,59.199,2.782,185.301E-6 ,1.202,1.483,3.606,15.874,1.362 ,6.484,8.925,14.534,19.453,0.769151,0.360936,6.301 ,34.18011337868481
181.667 ,89.540 ,74.964 ,589.685 ,43.44753408933075,67.15098890283896,9.842470018196156,1339,1288,5.535705E-3 ,2.718651E-3 ,48.655,39,55.091,1.838,101.758E-6 ,0.803,0.841,2.409,11.464,1.104 ,4.774,7.403,12.003,14.322,0.835455,0.250160,9.141 ,16.390725623582767
139.911 ,62.613 ,101.159 ,598.799 ,43.72922629656675,64.37515081067525,12.960473579738842,1631,1570,7.204340E-3 ,1.810432E-3 ,33.333,50,38.089,1.581,113.865E-6 ,0.747,0.800,2.240,12.470,1.182 ,5.568,7.687,12.326,16.704,0.841720,0.227110,8.811 ,18.87235827664399
133.393 ,39.123 ,94.239 ,520.461 ,47.09005308249256,64.83704590085651,17.209002884542656,672,649,7.559777E-3 ,1.341055E-3 ,25.730,21,31.194,1.625,122.831E-6 ,0.772,0.897,2.317,13.588,1.261 ,6.232,8.967,13.754,18.697,0.824465,0.258253,7.948 ,7.221746031746032
151.374 ,88.665 ,79.979 ,562.147 ,39.49464969587653,63.59310558707782,9.6588888956672,1536,1470,6.737666E-3 ,2.478676E-3 ,41.063,41,44.498,1.967,132.558E-6 ,0.982,1.090,2.947,14.036,1.301 ,6.168,8.339,12.771,18.503,0.812359,0.274723,7.699 ,18.663378684807256
208.089 ,180.940 ,75.111 ,591.918 ,46.19003048409957,64.87565558423874,13.295899058711171,1085,1004,5.006189E-3 ,4.298004E-3 ,28.240,32,35.001,3.877,194.065E-6 ,1.886,2.153,5.658,18.671,1.637 ,8.128,13.012,22.349,24.384,0.752166,0.385807,5.715 ,8.214399092970522
325.976 ,195.353 ,74.910 ,598.440 ,39.74097463522445,61.859895741694444,13.807290454619785,1149,1071,3.190410E-3 ,3.064553E-3 ,44.591,24,45.440,5.672,180.972E-6 ,2.793,3.592,8.380,21.255,1.796 ,10.333,16.900,48.399,31.000,0.715599,0.438267,4.399 ,7.613582766439909
229.153 ,193.158 ,75.008 ,597.319 ,43.58068710288677,63.140728645544996,15.459578004873062,1417,1317,4.601980E-3 ,4.271970E-3 ,32.481,40,35.233,4.078,187.652E-6 ,1.922,2.495,5.766,21.722,1.724 ,9.823,15.451,30.674,29.470,0.735873,0.414823,5.187 ,10.59154195011338
291.142 ,205.160 ,77.358 ,583.004 ,42.00617007323612,62.34773345494151,17.043741930709007,215,196,3.737182E-3 ,3.603155E-3 ,41.011,9,44.028,5.218,194.989E-6 ,2.552,3.234,7.655,21.806,1.751 ,8.541,13.737,14.053,25.623,0.709604,0.463714,4.484 ,1.8143990929705216
321.638 ,196.068 ,74.973 ,573.190 ,39.186805050930545,58.48831992585248,13.722256980117551,1024,967,3.185190E-3 ,2.992771E-3 ,41.123,23,44.488,4.892,155.826E-6 ,2.377,2.933,7.132,21.538,1.838 ,9.146,13.706,32.390,27.439,0.759292,0.359813,5.773 ,6.62092970521542
197.303 ,168.236 ,75.086 ,590.282 ,43.440271925813335,63.201963128525726,8.710734696447277,480,438,5.358012E-3 ,4.304045E-3 ,26.585,18,35.343,4.821,258.322E-6 ,2.423,2.750,7.270,21.373,1.639 ,10.710,14.142,21.763,32.131,0.721702,0.443159,4.628 ,4.139297052154195
252.083 ,206.847 ,78.773 ,586.927 ,39.949535120224844,59.465027981741926,14.318600410868447,284,268,4.045610E-3 ,3.932328E-3 ,40.686,5,39.371,4.044,163.597E-6 ,1.985,2.472,5.956,22.730,1.960 ,10.767,14.760,0.020,32.302,0.710522,0.440386,4.159 ,2.0756235827664398
244.317 ,192.278 ,73.859 ,599.478 ,40.12004531575676,59.808655992812646,13.244558476012983,1241,1131,4.349063E-3 ,4.016987E-3 ,36.429,35,39.915,4.847,210.793E-6 ,2.358,2.934,7.073,19.001,1.661 ,9.032,14.299,27.140,27.095,0.715015,0.457184,4.723 ,9.833990929705216
