Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
203.515 ,109.614 ,122.751 ,556.787 ,30.92192315258984,51.134929647486175,5.925653374418775,339,327,4.917927E-3 ,1.932324E-3 ,40.606,8,44.967,3.236,159.121E-6 ,1.663,2.104,4.988,18.207,1.559 ,8.358,13.562,18.920,25.075,0.792924,0.313406,7.166 ,3.3392290249433105
138.254 ,114.891 ,92.808 ,594.158 ,43.11476422679514,68.25219276844985,9.570641837975982,250,234,7.499518E-3 ,3.221149E-3 ,31.293,8,32.132,1.760,132.024E-6 ,0.904,1.021,2.713,16.553,1.429 ,7.305,7.719,8.384,21.915,0.773077,0.336548,6.103 ,2.973514739229025
130.532 ,76.684 ,79.902 ,481.255 ,34.75756232811038,67.3356760651137,5.0736968214354095,585,534,7.769121E-3 ,3.124159E-3 ,61.390,45,59.637,2.061,160.120E-6 ,1.083,1.212,3.249,18.339,1.542 ,7.626,10.796,10.968,22.878,0.774127,0.333577,6.222 ,13.99718820861678
123.035 ,72.037 ,91.526 ,585.482 ,37.526682042409675,65.69555076526215,6.811834849189047,563,531,8.163451E-3 ,2.580381E-3 ,48.321,30,47.971,1.876,153.126E-6 ,0.963,1.064,2.890,15.992,1.501 ,6.791,9.271,15.132,20.373,0.778388,0.334640,6.502 ,9.86984126984127
145.833 ,73.557 ,99.658 ,362.164 ,41.6816859186445,52.04860670207382,1.7297507106118144,148,142,7.015744E-3 ,2.751004E-3 ,12.598,2,13.389,3.541,248.424E-6 ,1.631,2.207,4.894,16.123,1.375 ,8.135,10.552,12.048,24.405,0.757227,0.370221,5.522 ,1.3016780045351475
112.756 ,31.523 ,88.951 ,300.737 ,37.24464395928233,68.00947804158517,7.976714493719661,184,165,8.925497E-3 ,1.858552E-3 ,65.529,17,69.800,2.813,251.085E-6 ,1.326,1.219,3.979,16.613,1.568 ,7.295,8.164,12.907,21.886,0.748263,0.387349,5.585 ,5.899229024943311
126.292 ,78.757 ,82.221 ,587.610 ,38.65154305035994,64.32631022634692,-5.178177102659713,1109,1018,8.138568E-3 ,2.970700E-3 ,47.505,71,55.470,2.522,205.238E-6 ,1.316,1.496,3.949,17.071,1.495 ,7.311,8.997,11.655,21.934,0.777419,0.333531,6.409 ,19.27392290249433
113.435 ,60.224 ,85.839 ,597.563 ,40.615910892808344,67.78571673752252,3.861069233859682,377,350,8.977373E-3 ,2.654001E-3 ,40.217,23,45.374,1.904,170.935E-6 ,0.990,1.090,2.971,13.829,1.358 ,5.162,6.370,10.994,15.487,0.794964,0.299734,6.756 ,6.473922902494331
192.427 ,130.500 ,82.918 ,568.998 ,34.38745771703765,57.48546616973513,-0.15143759702506918,827,782,5.393323E-3 ,2.876129E-3 ,38.573,20,45.794,3.758,202.656E-6 ,2.027,2.501,6.082,20.771,1.736 ,9.046,11.792,19.475,27.139,0.733104,0.430783,5.370 ,8.302494331065759
153.275 ,113.821 ,90.234 ,574.164 ,41.38335744917625,65.68191311518537,2.7549515626291092,307,287,6.689926E-3 ,3.194853E-3 ,30.499,10,32.491,2.553,170.823E-6 ,1.352,1.526,4.055,16.771,1.649 ,7.451,9.524,10.195,22.353,0.754102,0.381480,5.636 ,3.443718820861678
129.037 ,60.938 ,77.619 ,432.331 ,39.87144844956806,61.63489571769868,0.209278258316664,233,218,7.834964E-3 ,2.786407E-3 ,36.667,10,39.303,2.922,228.900E-6 ,1.684,2.196,5.051,18.968,1.660 ,8.301,12.268,28.544,24.904,0.732920,0.410429,4.964 ,3.3392290249433105
207.605 ,168.380 ,91.808 ,581.139 ,37.313191368086365,70.36725362885919,4.953099890214627,217,190,5.258802E-3 ,3.624791E-3 ,69.730,16,77.427,3.360,176.676E-6 ,1.847,1.791,5.540,16.075,1.450 ,6.221,8.593,15.016,18.664,0.760131,0.365051,5.735 ,5.585759637188208
144.922 ,109.211 ,81.443 ,593.199 ,36.69549339507648,66.0672103156881,8.301627510696411,545,507,7.146082E-3 ,3.581403E-3 ,48.690,31,55.645,3.811,272.319E-6 ,2.111,2.349,6.333,20.489,1.705 ,9.603,12.726,17.379,28.809,0.728112,0.437258,5.051 ,9.190657596371882
117.218 ,64.862 ,78.117 ,542.962 ,41.59162941238218,63.069058842018784,3.476622262185361,479,457,8.565661E-3 ,2.663275E-3 ,25.293,19,32.266,2.215,189.704E-6 ,1.176,1.418,3.528,17.106,1.552 ,6.670,9.860,16.039,20.010,0.765798,0.360958,6.048 ,6.003718820861678
160.763 ,105.267 ,88.960 ,509.922 ,38.871133208456165,60.33377175271599,5.8713089826440985,424,397,6.247609E-3 ,3.106768E-3 ,34.232,16,39.575,2.917,182.273E-6 ,1.562,1.926,4.685,18.903,1.645 ,8.220,12.417,22.276,24.660,0.748291,0.382671,5.281 ,4.854331065759637
120.151 ,64.302 ,76.924 ,438.792 ,40.99716247591953,63.73876624472193,-0.7426996387990739,372,355,8.345574E-3 ,2.949258E-3 ,19.767,13,27.289,2.956,246.661E-6 ,1.731,2.197,5.192,18.689,1.672 ,8.583,10.935,18.717,25.750,0.727040,0.432313,4.821 ,4.3318820861678
135.608 ,80.437 ,76.418 ,545.272 ,40.10349809982665,64.10753656321683,8.487891632953705,1154,1082,7.526144E-3 ,2.986346E-3 ,35.843,45,43.759,2.642,198.858E-6 ,1.407,1.630,4.220,18.305,1.683 ,8.293,10.202,15.234,24.880,0.734302,0.416018,5.015 ,15.042086167800454
