Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
197.675 ,43.762 ,169.861 ,338.806 ,52.708720012061214,62.93472799417678,36.96786441669576,87,83,5.076230E-3 ,0.904023E-3 ,19.048,2,9.860,1.721,87.371E-6 ,0.714,1.049,2.143,13.823,1.350 ,5.275,7.920,14.542,15.826,0.787126,0.326493,7.172 ,0.6650113378684808
217.735 ,86.236 ,159.560 ,524.262 ,46.74305986416984,62.89316168457379,30.127103904492554,337,320,4.613991E-3 ,1.372614E-3 ,34.722,11,40.065,2.803,129.333E-6 ,1.402,1.686,4.207,16.686,1.497 ,6.693,10.580,16.995,20.078,0.768239,0.363126,6.307 ,2.911541950113379
207.405 ,66.731 ,106.475 ,567.738 ,46.91417585475714,63.452788820214195,20.824883508453738,1400,1357,4.870833E-3 ,1.197885E-3 ,30.869,27,37.195,1.949,94.953E-6 ,0.947,1.078,2.842,14.205,1.287 ,6.540,9.158,14.918,19.620,0.808382,0.292519,7.768 ,10.852766439909297
199.834 ,63.038 ,75.768 ,552.553 ,46.1337081598794,66.27874555474624,21.885558195744046,1536,1484,5.039075E-3 ,1.252920E-3 ,35.581,40,41.939,1.948,98.175E-6 ,0.936,1.053,2.808,14.642,1.341 ,6.629,9.467,15.329,19.887,0.805007,0.292529,7.413 ,13.386643990929706
165.967 ,31.408 ,124.662 ,201.338 ,41.03895765495678,60.21911837308967,21.835801452292163,56,53,6.007178E-3 ,1.158751E-3 ,44.737,2,44.719,1.529,91.868E-6 ,0.581,0.720,1.743,18.508,1.605 ,7.876,11.499,24.989,23.629,0.748136,0.391944,5.490 ,0.79562358276644
195.363 ,44.180 ,118.397 ,538.109 ,45.44815895997485,61.840604351392884,20.859817414655065,1334,1300,5.133410E-3 ,0.903312E-3 ,28.889,28,34.051,1.992,102.249E-6 ,0.995,1.140,2.986,16.386,1.438 ,7.714,10.510,16.556,23.141,0.788588,0.324938,6.821 ,10.382562358276644
203.593 ,33.628 ,117.903 ,500.632 ,43.283726960995175,63.39802802877018,16.917195892158254,1175,1142,4.910941E-3 ,0.684082E-3 ,36.515,25,40.666,1.627,79.902E-6 ,0.795,0.881,2.385,13.695,1.288 ,5.865,9.036,14.272,17.596,0.823379,0.260804,8.123 ,9.677256235827665
148.300 ,59.340 ,79.543 ,599.020 ,41.1208703097438,62.97909691305091,8.984219941091485,1999,1930,6.805537E-3 ,2.243854E-3 ,37.976,57,41.671,2.165,147.326E-6 ,0.948,1.121,2.844,15.631,1.394 ,6.841,10.138,15.981,20.522,0.842155,0.228802,9.135 ,22.869092970521542
122.849 ,78.715 ,74.992 ,591.464 ,37.0041780847424,63.629199914495366,8.845348013337064,2335,2221,8.269676E-3 ,3.138386E-3 ,42.001,85,47.211,2.828,233.854E-6 ,1.354,1.476,4.063,16.461,1.433 ,7.399,10.937,16.194,22.196,0.852542,0.212538,9.550 ,35.22501133786848
124.912 ,76.777 ,74.801 ,598.324 ,37.40276142811227,65.79810234545184,8.267963623489472,3949,3742,8.207861E-3 ,2.956288E-3 ,39.780,122,45.401,2.696,221.261E-6 ,1.251,1.388,3.752,15.399,1.387 ,6.921,10.449,16.933,20.764,0.856006,0.207109,9.716 ,57.27235827664399
127.268 ,85.108 ,63.002 ,591.920 ,34.73502830024637,58.45535345708714,8.935888094968025,707,676,8.022497E-3 ,3.256472E-3 ,41.265,20,30.918,2.903,232.927E-6 ,1.352,1.417,4.055,16.507,1.459 ,7.063,10.760,18.213,21.190,0.861966,0.195451,10.009 ,9.990725623582767
120.442 ,87.043 ,75.305 ,590.938 ,37.463784462817706,61.83234105642192,8.664559831194813,2624,2472,8.537711E-3 ,3.345121E-3 ,35.275,90,40.793,2.480,211.748E-6 ,1.077,1.245,3.232,15.003,1.345 ,6.818,9.703,14.746,20.455,0.864858,0.192943,10.305 ,36.26990929705215
130.055 ,93.326 ,74.660 ,594.409 ,34.11883853976016,60.52059802746975,6.974764159114862,2173,2049,7.920517E-3 ,3.250286E-3 ,47.770,78,52.655,2.551,202.036E-6 ,1.117,1.287,3.350,16.307,1.408 ,7.201,10.291,15.997,21.604,0.859851,0.199524,10.051 ,34.78092970521542
119.543 ,58.903 ,74.899 ,592.659 ,36.21336538378807,62.22890592676627,7.88335262534368,2080,1995,8.428361E-3 ,2.490577E-3 ,39.500,64,44.158,2.226,187.579E-6 ,0.961,1.125,2.884,14.736,1.318 ,6.642,9.482,13.645,19.925,0.873588,0.178576,10.493 ,30.41848072562358
120.975 ,60.233 ,77.197 ,592.271 ,37.09391724730315,61.508531239037055,8.494857366997126,1249,1186,8.372304E-3 ,2.449462E-3 ,38.780,39,42.887,2.519,210.894E-6 ,1.094,1.193,3.282,14.231,1.267 ,6.073,9.259,15.103,18.218,0.863617,0.190761,9.801 ,17.905827664399094
124.558 ,64.602 ,74.819 ,595.390 ,35.656911570528095,56.36345946789003,7.50150361734324,1175,1130,8.127287E-3 ,2.626678E-3 ,33.444,29,37.129,2.392,194.384E-6 ,1.116,1.287,3.349,16.290,1.444 ,7.426,10.987,16.508,22.277,0.879923,0.165309,10.881 ,15.136848072562358
125.615 ,78.684 ,75.301 ,598.054 ,34.079825682452054,59.412142243322485,8.150270008938595,2079,1988,8.074882E-3 ,2.997484E-3 ,39.327,70,44.953,2.454,198.169E-6 ,1.179,1.275,3.537,15.831,1.381 ,7.359,10.403,17.120,22.077,0.859195,0.200594,9.923 ,29.451950113378686
119.243 ,45.950 ,87.960 ,369.166 ,41.66027007937579,53.65367254309335,9.04863402278904,160,153,8.543597E-3 ,2.101201E-3 ,20.787,3,24.154,2.146,183.321E-6 ,0.994,1.354,2.983,14.567,1.332 ,7.015,9.353,13.502,21.044,0.896205,0.142256,11.583 ,1.8143990929705216
156.605 ,95.599 ,76.787 ,568.731 ,33.95577348538103,57.304853732128464,7.912895095827053,854,815,6.440367E-3 ,2.856693E-3 ,40.628,27,46.243,3.285,211.553E-6 ,1.620,1.852,4.861,16.748,1.453 ,7.930,12.116,19.472,23.789,0.838429,0.226371,8.682 ,10.225827664399093
168.002 ,128.576 ,65.609 ,622.313 ,33.75846200623049,55.492763717178526,6.582661366231695,4857,4659,6.107121E-3 ,3.499449E-3 ,32.782,104,37.549,2.750,167.919E-6 ,1.278,1.512,3.834,16.323,1.479 ,7.700,11.795,19.309,23.100,0.842944,0.230858,9.370 ,46.58827664399093
121.967 ,53.378 ,75.826 ,596.655 ,33.488354146776246,57.6305278257173,7.157019533826422,1778,1704,8.263632E-3 ,2.402595E-3 ,36.472,57,38.784,2.309,190.808E-6 ,1.034,1.218,3.101,15.087,1.353 ,6.721,10.021,17.620,20.164,0.873004,0.175727,10.413 ,24.462562358276642
132.340 ,64.482 ,65.719 ,563.031 ,31.78990709588841,57.9069430127891,7.346207511406839,2340,2228,7.677300E-3 ,2.435906E-3 ,40.547,72,45.436,2.448,187.932E-6 ,1.132,1.367,3.397,14.794,1.364 ,6.567,10.308,16.047,19.700,0.860375,0.199535,9.803 ,31.829092970521543
128.630 ,64.659 ,74.978 ,593.467 ,31.03770355376179,54.22809942725591,7.223260955114069,2454,2345,7.912936E-3 ,2.545897E-3 ,38.570,71,44.551,2.790,220.798E-6 ,1.284,1.490,3.853,15.287,1.377 ,6.725,9.902,16.677,20.176,0.862873,0.194426,9.951 ,34.153990929705216
132.914 ,54.184 ,75.817 ,578.986 ,42.037055936425965,53.76347880281194,12.09932480636228,214,210,7.590042E-3 ,1.784177E-3 ,15.183,2,10.200,1.971,149.564E-6 ,0.929,1.210,2.787,12.285,1.065 ,5.274,8.051,12.723,15.823,0.911073,0.115284,12.454 ,1.9450113378684808
126.585 ,64.975 ,80.942 ,587.561 ,31.999156645576655,55.14385043900071,6.510355540881912,1903,1818,8.034904E-3 ,2.520465E-3 ,35.057,50,39.590,2.430,195.288E-6 ,1.126,1.290,3.378,15.226,1.341 ,6.667,9.225,13.878,20.000,0.876736,0.174804,10.624 ,24.593174603174603
121.657 ,75.657 ,74.347 ,577.535 ,29.871499936478486,53.50617312685171,7.306248768793409,1518,1444,8.335248E-3 ,2.960701E-3 ,39.052,57,42.349,2.574,214.587E-6 ,1.112,1.261,3.336,16.615,1.451 ,7.539,10.601,17.045,22.618,0.849874,0.211153,9.254 ,22.189909297052154
154.652 ,146.808 ,79.409 ,597.106 ,33.839342118500916,47.985919861706314,10.592421305584566,123,114,6.683801E-3 ,4.126296E-3 ,25.203,4,27.111,2.271,151.809E-6 ,1.071,1.278,3.214,16.955,1.506 ,8.475,11.709,16.810,25.424,0.866100,0.171815,9.397 ,1.2658276643990929
128.406 ,76.271 ,75.105 ,593.796 ,29.05750816587073,55.147076698717406,6.993099777803355,2925,2782,7.910028E-3 ,2.856943E-3 ,42.769,104,49.335,2.607,206.194E-6 ,1.163,1.371,3.488,16.066,1.431 ,7.295,10.436,16.920,21.886,0.853659,0.209091,9.583 ,43.94990929705215
134.996 ,93.512 ,74.812 ,573.326 ,25.733213598357988,50.50110696544175,6.632166184222844,2078,1921,7.679426E-3 ,3.464103E-3 ,48.364,82,54.575,3.056,234.722E-6 ,1.462,1.629,4.386,17.599,1.464 ,8.401,11.825,16.070,25.204,0.825443,0.262870,8.665 ,33.65766439909297
125.757 ,61.805 ,75.048 ,598.514 ,25.118046434108198,55.65981610888421,6.521480735018153,4059,3816,8.001901E-3 ,2.303677E-3 ,62.172,211,66.877,2.092,167.435E-6 ,0.966,1.053,2.898,14.642,1.306 ,6.549,9.227,13.929,19.647,0.828988,0.252007,8.814 ,93.03399092970521
172.307 ,133.061 ,84.868 ,531.501 ,31.993320687165813,54.87691735320457,8.030825384970141,168,156,5.831237E-3 ,3.682972E-3 ,59.375,9,59.674,3.302,192.530E-6 ,1.529,1.722,4.588,17.114,1.474 ,7.639,10.261,16.361,22.917,0.711424,0.456377,4.423 ,2.911541950113379
145.314 ,126.398 ,83.045 ,562.170 ,31.49647173522427,55.054794588148575,7.274659660437367,307,283,6.966467E-3 ,4.236179E-3 ,50.485,17,49.594,2.536,176.641E-6 ,1.082,1.379,3.245,15.940,1.527 ,6.115,8.725,9.281,18.345,0.731209,0.416553,5.016 ,5.184195011337868
182.622 ,173.740 ,103.891 ,600.154 ,25.632928156263887,54.90348680105393,-0.3610587821428086,70,68,5.617403E-3 ,3.682682E-3 ,64.122,1,14.220,1.636,91.875E-6 ,0.709,0.960,2.127,13.239,1.459 ,6.768,7.953,12.128,20.304,0.774479,0.354765,6.579 ,1.3441950113378685
123.788 ,65.897 ,97.210 ,559.078 ,46.25837497884562,66.47538634522503,21.576389020192593,230,217,8.332186E-3 ,1.990883E-3 ,37.346,6,36.146,1.613,134.383E-6 ,0.668,0.748,2.004,11.257,1.100 ,5.276,6.719,8.767,15.827,0.870468,0.174599,10.120 ,3.2772562358276645
130.614 ,49.367 ,115.498 ,343.469 ,51.1548371865005,65.5891132512117,26.378444151807074,50,48,7.730974E-3 ,1.808427E-3 ,36.508,1,23.867,1.126,87.036E-6 ,0.554,0.439,1.663,9.903,0.874 ,4.896,5.484,6.281,14.689,0.923611,0.095123,12.294 ,0.6650113378684808
111.136 ,5.832 ,86.238 ,121.568 ,56.08642662583221,64.1997726063076,40.70369834508025,128,125,9.047878E-3 ,0.619335E-3 ,6.504,2,6.312,2.339,211.659E-6 ,1.168,1.406,3.505,11.901,1.079 ,5.511,6.956,8.870,16.533,0.854486,0.237178,9.788 ,1.2658276643990929
119.372 ,47.658 ,83.515 ,448.030 ,45.05146882008094,67.01864293614291,16.721240954231778,740,706,8.525049E-3 ,1.911467E-3 ,37.430,23,41.088,2.406,205.094E-6 ,1.217,1.352,3.650,13.073,1.180 ,6.092,7.944,11.020,18.275,0.840496,0.237777,8.907 ,10.696031746031746
135.764 ,63.717 ,91.358 ,569.771 ,47.702094056443514,67.38853748169615,24.133307409935934,433,415,7.415016E-3 ,1.991082E-3 ,37.127,13,41.080,2.266,168.059E-6 ,1.018,1.046,3.053,10.683,0.985 ,4.785,6.647,10.005,14.356,0.863922,0.205323,10.667 ,5.393174603174603
117.794 ,46.277 ,82.728 ,544.734 ,44.99005187798898,65.70678975466122,18.12905841708073,1229,1174,8.576660E-3 ,1.693054E-3 ,37.122,45,38.962,2.145,184.011E-6 ,0.959,1.033,2.878,12.244,1.084 ,5.525,7.374,11.074,16.575,0.849003,0.220551,9.477 ,17.540113378684808
128.054 ,66.753 ,90.343 ,590.434 ,43.00305123828442,65.70450614643352,-1.7472836893570398,1173,1129,7.946501E-3 ,2.109536E-3 ,39.005,33,31.570,2.030,161.325E-6 ,0.912,1.024,2.737,11.931,1.085 ,5.124,6.971,10.315,15.372,0.867880,0.189315,10.278 ,16.31235827664399
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,23.17979726139194,55.21861853414233,13.78648111796014,1,0,--undefined-- ,--undefined-- ,97.268,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,1.8666439909297052
140.901 ,84.163 ,81.594 ,601.478 ,43.28625414809679,69.52874815491633,13.640689146335417,1774,1690,7.303971E-3 ,2.280658E-3 ,48.995,50,53.165,2.233,163.125E-6 ,1.019,1.163,3.056,12.056,1.153 ,5.424,7.526,11.347,16.273,0.861757,0.199305,10.035 ,26.891950113378684
139.789 ,46.590 ,88.855 ,598.232 ,47.518812983349214,71.43329808557885,12.087990461175336,1255,1210,7.194796E-3 ,1.605017E-3 ,40.372,33,45.209,1.994,143.470E-6 ,0.939,1.035,2.818,12.360,1.174 ,5.941,8.011,11.372,17.823,0.854169,0.207503,9.493 ,16.18174603174603
