Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
156.684 ,79.503 ,101.133 ,581.286 ,26.17291885508981,44.75467238542892,7.129220908432018,734,697,6.538573E-3 ,2.024510E-3 ,40.142,25,44.326,2.228,145.692E-6 ,0.895,1.148,2.684,13.818,1.307 ,5.508,8.210,16.143,16.525,0.845379,0.218000,8.916 ,8.501746031746032
191.807 ,48.668 ,82.099 ,387.911 ,29.004890091808164,47.29823397227725,5.7516175789946375,1417,1377,5.229987E-3 ,1.182343E-3 ,34.566,36,37.326,1.713,89.600E-6 ,0.725,0.896,2.174,11.896,1.108 ,4.737,7.149,11.867,14.210,0.893233,0.145472,11.446 ,11.662562358276643
234.811 ,9.340 ,216.440 ,246.179 ,17.81852061037797,45.22261936125311,5.980845801525109,66,64,4.272026E-3 ,0.197898E-3 ,65.957,1,66.544,1.306,55.778E-6 ,0.717,0.889,2.152,10.711,1.140 ,3.696,6.650,8.838,11.087,0.891249,0.164749,11.860 ,0.9784807256235828
152.900 ,42.875 ,94.802 ,439.979 ,25.69524292063326,46.00857543856147,5.482036287599135,935,897,6.586749E-3 ,1.536764E-3 ,37.711,32,43.042,2.004,131.993E-6 ,0.884,1.101,2.652,12.249,1.163 ,5.498,7.777,12.119,16.495,0.843989,0.230881,8.951 ,10.696031746031746
127.082 ,32.336 ,86.047 ,480.432 ,24.526617754147658,45.102477909206485,7.123577044018951,1755,1670,7.902422E-3 ,1.551228E-3 ,41.088,75,47.191,2.298,181.612E-6 ,0.876,1.127,2.627,13.633,1.305 ,6.120,8.467,15.107,18.361,0.818130,0.265250,7.844 ,25.220113378684808
148.690 ,72.957 ,75.622 ,586.642 ,23.341578089463447,45.52627440533264,5.703184214078347,3070,2935,6.801622E-3 ,2.497641E-3 ,47.252,110,52.242,2.057,139.896E-6 ,0.833,1.026,2.498,12.036,1.137 ,5.274,7.395,11.227,15.823,0.839657,0.230235,8.732 ,42.25195011337868
117.482 ,52.326 ,83.964 ,592.128 ,26.130536329359924,43.145208802575496,-4.986068912537184,826,776,8.527885E-3 ,2.218144E-3 ,35.025,45,43.222,2.299,196.046E-6 ,1.017,1.258,3.052,13.652,1.222 ,6.439,8.729,11.229,19.316,0.773060,0.353503,6.359 ,12.054399092970522
225.330 ,82.964 ,96.400 ,441.720 ,26.086554099912462,55.84046708820976,5.513656513600726,437,417,4.486516E-3 ,1.866395E-3 ,57.407,15,59.616,1.940,87.023E-6 ,0.891,0.918,2.674,13.584,1.212 ,5.100,7.357,10.315,15.301,0.838971,0.219992,8.386 ,4.896848072562358
142.182 ,96.825 ,78.470 ,562.230 ,30.406226776447603,53.88309821070615,6.713750856103956,265,248,7.122603E-3 ,3.303663E-3 ,51.442,13,52.863,3.015,214.718E-6 ,1.444,1.801,4.333,16.570,1.402 ,8.672,10.743,15.946,26.016,0.746032,0.411337,5.901 ,4.191541950113379
130.891 ,100.724 ,80.599 ,559.420 ,31.774994941769464,53.14103850850578,7.275682889987145,297,278,7.755114E-3 ,3.504570E-3 ,42.534,16,47.074,2.891,224.191E-6 ,1.323,1.665,3.969,18.620,1.567 ,8.381,10.202,17.021,25.143,0.742717,0.401473,5.284 ,4.452766439909297
122.140 ,95.967 ,81.957 ,496.364 ,39.01826609040907,50.36033954000339,11.355916493973304,175,166,8.227449E-3 ,3.860739E-3 ,28.372,7,34.470,2.627,216.134E-6 ,1.231,1.589,3.694,16.519,1.474 ,7.621,10.269,12.435,22.864,0.740086,0.433509,5.372 ,2.180113378684807
90.918 ,4.517 ,78.539 ,100.721 ,27.699197366653806,43.77443159498313,12.349913330780351,47,44,11.068139E-3 ,0.683420E-3 ,50.000,2,50.818,2.026,224.261E-6 ,0.780,0.841,2.341,16.002,1.275 ,9.975,11.548,16.267,29.925,0.712844,0.458256,4.338 ,1.1352154195011337
101.433 ,64.619 ,79.667 ,483.243 ,29.25210571297639,48.40283621240394,7.8356651313426,80,74,9.819280E-3 ,3.168378E-3 ,46.067,5,34.290,2.250,220.969E-6 ,0.922,1.580,2.766,12.820,1.216 ,6.010,8.861,12.170,18.030,0.741636,0.405779,5.304 ,1.8143990929705216
