Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
196.767 ,168.207 ,89.622 ,622.621 ,37.113223184343006,61.73225572627417,9.170457741688262,286,262,5.360926E-3 ,3.837100E-3 ,36.996,9,27.222,4.185,224.361E-6 ,2.234,2.986,6.701,24.013,1.887 ,10.244,14.553,22.610,30.733,0.741892,0.404469,5.306 ,2.7645351473922903
111.674 ,9.307 ,96.279 ,120.902 ,35.450387451043156,53.10066345789683,-4.034410876731919,30,28,8.915650E-3 ,0.859603E-3 ,35.185,1,9.539,4.631,412.898E-6 ,2.695,3.512,8.086,20.838,1.846 ,9.246,15.436,20.906,27.739,0.735060,0.378283,4.608 ,0.5702494331065759
169.416 ,158.609 ,77.479 ,591.932 ,35.58808233633184,51.313084152008926,-4.155423312281582,396,371,5.966483E-3 ,4.331031E-3 ,19.062,13,25.695,4.411,263.206E-6 ,2.349,2.853,7.047,18.070,1.660 ,7.502,10.359,17.527,22.506,0.732883,0.429526,5.312 ,3.2347392290249433
246.966 ,188.580 ,74.020 ,597.457 ,30.059980681843463,61.240161870937825,-6.340266490095984,382,354,4.115175E-3 ,3.483171E-3 ,53.388,12,41.986,4.772,196.359E-6 ,2.544,3.345,7.633,20.954,1.878 ,9.795,13.717,7.895,29.385,0.677341,0.538802,3.631 ,4.90657596371882
155.267 ,114.422 ,77.022 ,560.272 ,32.76862225411628,55.74084576498955,-8.003177560815146,877,827,6.484800E-3 ,3.391397E-3 ,36.293,35,44.634,2.724,176.625E-6 ,1.302,1.629,3.905,18.036,1.596 ,7.850,10.429,17.373,23.551,0.756062,0.371504,5.858 ,10.28780045351474
181.696 ,111.179 ,88.036 ,583.304 ,36.08370250614953,58.84160086490806,-4.050429549341404,469,438,5.626175E-3 ,2.644919E-3 ,40.364,20,44.481,4.137,232.777E-6 ,2.315,2.464,6.945,17.410,1.458 ,7.484,8.673,9.792,22.453,0.717365,0.465150,4.848 ,5.533514739229025
129.851 ,14.523 ,115.179 ,160.302 ,30.571886143950913,59.42443775097588,-18.517024369693797,45,42,7.846243E-3 ,0.923182E-3 ,54.310,2,19.937,3.309,259.650E-6 ,2.140,3.381,6.419,17.600,1.707 ,6.661,12.405,18.918,19.984,0.732665,0.421744,4.879 ,1.19718820861678
211.312 ,168.069 ,84.288 ,596.611 ,39.50373617690298,56.38937119769781,1.4088072283873008,462,434,4.889373E-3 ,3.367537E-3 ,24.127,13,23.355,4.880,238.615E-6 ,2.806,3.468,8.417,18.087,1.692 ,7.757,12.342,19.380,23.272,0.737141,0.420532,5.304 ,3.18249433106576
175.063 ,118.232 ,81.390 ,553.696 ,35.42012674272153,66.55520751252436,1.1142116079580293,202,184,5.771688E-3 ,3.466533E-3 ,61.634,11,61.499,2.641,152.456E-6 ,1.320,1.341,3.960,20.027,1.552 ,9.165,11.815,10.824,27.496,0.727514,0.423717,4.874 ,4.070657596371882
196.851 ,155.869 ,83.203 ,597.317 ,39.345552038296375,65.78855030731822,3.8215224879091467,744,699,5.081033E-3 ,3.260107E-3 ,47.312,28,52.174,3.813,193.734E-6 ,2.108,2.520,6.323,18.262,1.566 ,8.780,12.742,23.290,26.340,0.738342,0.406009,5.122 ,8.406984126984128
151.447 ,109.808 ,83.797 ,591.185 ,38.98955690064046,60.45128884365422,-3.4458957709195075,557,527,6.758566E-3 ,3.175579E-3 ,31.419,16,30.131,2.327,157.299E-6 ,1.114,1.378,3.341,18.025,1.601 ,7.642,10.935,15.917,22.927,0.774012,0.346848,6.518 ,5.951473922902494
147.816 ,103.164 ,74.851 ,587.493 ,41.48370827407329,64.0409100900884,5.18168593769064,284,268,6.735328E-3 ,3.215820E-3 ,29.355,12,37.511,3.645,245.532E-6 ,1.962,2.403,5.887,17.311,1.641 ,6.921,9.398,15.997,20.763,0.708738,0.481463,4.477 ,3.130249433106576
164.649 ,133.014 ,89.836 ,594.008 ,36.97130703976425,60.48027568304895,-0.7902033355739537,498,467,6.248133E-3 ,3.385796E-3 ,35.413,21,43.124,3.701,231.260E-6 ,2.024,2.292,6.071,18.542,1.645 ,7.983,9.215,12.791,23.948,0.753545,0.377954,5.674 ,5.4812698412698415
157.529 ,94.015 ,93.607 ,540.033 ,36.07919103667655,60.17269557774326,-5.1033485454238185,565,538,6.424085E-3 ,2.813228E-3 ,39.394,21,43.944,3.323,213.477E-6 ,1.880,2.014,5.640,18.537,1.596 ,8.046,11.250,17.866,24.137,0.748987,0.392904,5.702 ,6.630657596371882
160.469 ,107.184 ,88.458 ,533.077 ,38.22437751645975,61.691575989656144,8.538871634029784,383,357,6.305119E-3 ,2.964414E-3 ,31.159,17,29.917,4.287,270.302E-6 ,2.293,2.920,6.879,19.330,1.656 ,7.372,11.904,17.400,22.116,0.713921,0.453175,4.427 ,4.175147392290249
168.866 ,128.780 ,95.766 ,580.098 ,40.29216020228555,64.20817928990114,-1.2586712396587063,192,184,6.038357E-3 ,3.546416E-3 ,42.791,6,21.918,3.780,228.245E-6 ,2.169,2.598,6.508,17.754,1.713 ,5.970,7.831,11.596,17.910,0.701181,0.486100,4.358 ,2.1898412698412697
210.735 ,176.753 ,91.751 ,597.145 ,36.254559287995384,49.38247729424174,1.7390462084937655,264,243,4.897246E-3 ,3.448646E-3 ,20.690,5,22.231,4.983,244.031E-6 ,2.928,3.060,8.784,18.873,1.717 ,8.682,10.339,6.145,26.046,0.678343,0.525546,3.569 ,1.7718820861678004
202.375 ,163.195 ,93.196 ,563.197 ,34.89317895722913,53.70015598011712,7.65496797249703,236,222,5.091783E-3 ,3.393880E-3 ,32.275,7,34.631,5.217,265.658E-6 ,2.884,3.790,8.652,19.276,1.708 ,8.259,13.190,24.753,24.778,0.696681,0.500621,4.001 ,1.9286167800453515
219.580 ,153.033 ,97.186 ,613.435 ,32.216159453165346,49.80873817505778,8.336796336978527,101,94,4.623833E-3 ,2.814534E-3 ,43.802,4,55.381,5.664,261.904E-6 ,3.258,3.794,9.775,19.453,1.494 ,9.783,11.442,7.308,29.348,0.650540,0.600109,3.195 ,1.2494331065759636
175.402 ,135.252 ,73.569 ,615.120 ,35.50952532579194,58.583692805943876,7.4272897184517594,1033,972,5.898911E-3 ,3.301400E-3 ,33.814,36,38.444,3.786,223.342E-6 ,2.166,2.637,6.499,20.267,1.718 ,9.494,12.141,15.401,28.481,0.714648,0.456126,4.462 ,10.44453514739229
172.909 ,152.797 ,95.033 ,588.950 ,36.776998624196295,61.259770372215115,2.7987347511610494,155,145,5.824918E-3 ,3.699617E-3 ,49.027,8,35.844,3.706,215.854E-6 ,2.286,2.305,6.859,19.686,1.835 ,8.923,11.620,16.932,26.769,0.703710,0.453236,4.050 ,2.607800453514739
382.231 ,173.608 ,90.705 ,553.491 ,23.45571124977881,50.80733956088142,-1.748128965400154,206,187,2.777311E-3 ,2.227815E-3 ,58.451,1,47.020,5.177,143.793E-6 ,2.690,2.724,8.069,18.736,1.736 ,7.736,9.555,7.148,23.208,0.659137,0.608516,3.304 ,1.4584126984126984
229.039 ,62.575 ,77.052 ,579.072 ,27.99194511735756,55.006938186470165,-5.103682864518878,880,848,4.429833E-3 ,1.109318E-3 ,43.871,24,49.144,2.311,102.364E-6 ,1.100,1.245,3.301,12.622,1.115 ,4.779,6.606,10.842,14.338,0.881325,0.168728,11.445 ,7.780045351473923
195.052 ,151.078 ,79.626 ,600.093 ,39.53888792055584,65.68847654727053,3.7935188385105296,749,702,5.238493E-3 ,3.402508E-3 ,41.410,27,45.831,2.869,150.279E-6 ,1.537,1.733,4.612,20.394,1.729 ,8.669,11.627,13.198,26.006,0.762292,0.356895,6.006 ,7.832290249433107
247.716 ,190.521 ,77.361 ,592.772 ,42.78899274242201,62.3530296471501,10.385390491222266,570,546,4.126282E-3 ,3.380245E-3 ,30.026,11,36.568,4.031,166.343E-6 ,2.303,2.762,6.909,21.343,1.761 ,10.095,15.111,18.575,30.285,0.730891,0.422370,4.971 ,3.8616780045351473
188.588 ,152.768 ,76.295 ,599.636 ,39.97368444741228,59.79197493801466,9.422676620860145,614,581,5.501601E-3 ,3.470451E-3 ,27.559,16,22.697,5.025,276.483E-6 ,2.905,3.269,8.716,18.843,1.616 ,8.860,12.530,17.997,26.579,0.714131,0.458061,4.607 ,5.115555555555556
175.065 ,135.552 ,74.657 ,611.288 ,40.01679692927763,62.789277206762236,14.15971062190437,1152,1079,5.847030E-3 ,3.519740E-3 ,37.347,42,44.526,3.877,226.706E-6 ,2.137,2.577,6.412,20.055,1.712 ,9.351,12.457,20.969,28.054,0.736113,0.419170,5.264 ,12.325351473922902
140.384 ,112.265 ,75.695 ,538.520 ,37.08940998522245,55.64082022628577,7.582502104250416,398,380,7.260515E-3 ,3.931053E-3 ,30.377,14,35.953,2.643,191.903E-6 ,1.316,1.477,3.949,18.057,1.557 ,8.593,13.245,18.191,25.779,0.771639,0.339914,6.324 ,4.540861678004535
