Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
84.993 ,5.663 ,76.164 ,118.314 ,40.35837120948634,54.646382839460884,9.01125161679115,128,122,11.797662E-3 ,0.771072E-3 ,21.026,4,20.451,1.944,229.377E-6 ,1.040,1.158,3.121,18.953,1.556 ,7.453,11.038,16.431,22.358,0.798237,0.313458,7.350 ,1.9808616780045352
98.266 ,60.103 ,49.751 ,364.520 ,34.427553526405,64.22424981686873,0.868607673050477,175,165,10.354911E-3 ,3.460666E-3 ,48.744,8,32.139,1.872,193.860E-6 ,1.028,1.213,3.083,18.175,1.522 ,7.447,8.780,10.249,22.340,0.771606,0.348543,6.305 ,4.018412698412698
91.111 ,33.029 ,74.796 ,463.550 ,35.47475563391297,73.10219349975542,3.971892565836907,271,240,11.009664E-3 ,1.945089E-3 ,75.969,30,70.514,2.032,223.678E-6 ,0.891,1.204,2.672,17.367,1.462 ,6.958,11.394,16.400,20.874,0.765852,0.353875,5.927 ,15.512290249433107
122.377 ,107.270 ,76.916 ,501.788 ,34.152378768475295,74.88276547167727,4.735273295687508,164,147,8.862143E-3 ,4.239050E-3 ,85.413,14,71.655,3.075,272.554E-6 ,1.537,1.526,4.612,20.125,1.637 ,10.985,16.368,23.869,32.954,0.733057,0.425665,5.319 ,12.377596371882087
151.311 ,132.343 ,75.598 ,545.018 ,39.766055594910455,58.77803260094719,9.958779814414562,198,180,6.709765E-3 ,4.604532E-3 ,30.992,13,40.188,4.098,274.959E-6 ,2.318,2.799,6.954,18.928,1.726 ,9.293,9.443,--undefined--,27.880,0.681260,0.526944,3.670 ,2.451065759637188
133.469 ,68.840 ,78.557 ,516.972 ,35.58033456461799,76.35062358584801,0.27758490988693324,279,247,7.630901E-3 ,2.506910E-3 ,83.135,27,77.792,2.659,202.903E-6 ,1.333,1.180,3.998,20.535,1.534 ,10.410,15.165,25.150,31.230,0.766360,0.343306,5.781 ,17.70657596371882
137.188 ,71.756 ,78.481 ,578.424 ,34.65745091870134,56.68896188012839,-1.9230911173757246,601,574,7.398274E-3 ,2.021753E-3 ,38.462,19,43.724,2.453,181.504E-6 ,1.202,1.183,3.607,16.258,1.399 ,7.043,11.134,16.314,21.129,0.824615,0.248118,7.930 ,8.093514739229025
129.998 ,34.102 ,84.759 ,435.138 ,37.327834705726694,53.16861506426457,4.872635740725554,331,317,7.794919E-3 ,1.314624E-3 ,26.075,10,28.847,2.694,210.011E-6 ,1.322,1.695,3.966,16.757,1.392 ,7.382,10.840,13.345,22.146,0.798486,0.314409,7.557 ,3.75718820861678
155.299 ,97.348 ,91.398 ,475.499 ,38.56615414654759,60.90737447827448,6.920317528433398,122,113,6.696306E-3 ,2.942393E-3 ,33.577,4,25.352,3.573,239.260E-6 ,1.942,2.067,5.827,18.635,1.546 ,7.997,7.016,--undefined--,23.992,0.778675,0.343407,6.667 ,1.4061678004535147
145.691 ,72.052 ,97.472 ,497.344 ,38.24515035040037,53.60564325368264,-5.6417284594196335,367,350,7.075186E-3 ,2.164241E-3 ,25.700,9,13.611,3.522,249.186E-6 ,1.716,1.917,5.149,18.417,1.547 ,8.694,12.912,23.037,26.083,0.776454,0.360520,6.626 ,3.9661678004535146
