Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
83.210 ,1.290 ,81.980 ,84.950 ,28.522822632172897,42.598381129210736,0.046303917676512395,4,3,12.079415E-3 ,0.090752E-3 ,76.271,0,0,0.652,78.707E-6 ,0.432,--undefined--,1.296,8.000,0.724 ,--undefined--,--undefined--,--undefined--,--undefined--,0.572834,0.746967,1.275 ,0.6224943310657597
147.489 ,78.961 ,79.044 ,469.657 ,64.17572956909362,82.06941516878447,4.377414029526277,442,420,6.721479E-3 ,2.683185E-3 ,24.593,19,35.465,2.962,199.095E-6 ,1.319,1.595,3.956,18.931,1.638 ,7.961,12.579,28.116,23.883,0.772105,0.340809,6.113 ,4.958820861678005
145.525 ,104.982 ,81.176 ,570.942 ,64.02910941670484,84.95056649599923,11.58225348846228,1289,1202,7.068683E-3 ,3.262118E-3 ,33.716,60,42.594,3.033,214.373E-6 ,1.435,1.689,4.305,17.505,1.535 ,8.495,12.106,17.173,25.484,0.772184,0.343851,6.207 ,15.72126984126984
137.485 ,93.685 ,77.559 ,575.598 ,63.04083948669458,82.13182119777218,8.687265531222494,589,549,7.431071E-3 ,3.227768E-3 ,35.781,31,41.084,3.610,268.285E-6 ,1.729,2.091,5.186,19.258,1.649 ,9.114,12.003,13.514,27.341,0.738504,0.400865,5.076 ,8.615963718820861
133.203 ,64.102 ,82.868 ,466.145 ,65.10030589007778,83.00864224692306,4.7846038273571025,401,380,7.616424E-3 ,2.327162E-3 ,26.625,15,26.952,2.763,210.421E-6 ,1.351,1.534,4.052,17.470,1.470 ,8.543,12.959,22.198,25.630,0.765271,0.365112,5.866 ,4.802086167800454
196.172 ,164.741 ,83.374 ,599.035 ,53.97880121346712,76.47448262960667,2.613539911891422,747,679,5.396157E-3 ,4.014477E-3 ,44.596,34,37.457,3.982,214.895E-6 ,1.986,2.215,5.957,19.452,1.704 ,8.320,10.822,17.179,24.960,0.716459,0.450389,4.513 ,8.824943310657597
149.348 ,121.625 ,77.452 ,562.464 ,61.308442873962946,80.65162092410189,31.548627792994182,1234,1139,6.923059E-3 ,3.954951E-3 ,29.051,55,38.882,3.697,255.938E-6 ,1.916,2.246,5.749,20.713,1.733 ,9.783,13.901,18.454,29.350,0.714121,0.456370,4.513 ,13.735963718820862
198.189 ,151.844 ,75.896 ,539.852 ,57.12121389670694,83.82765709818975,11.711757125848772,385,350,5.493993E-3 ,3.755841E-3 ,44.635,15,35.727,4.988,274.017E-6 ,2.412,2.676,7.236,21.550,1.675 ,12.793,23.562,53.953,38.379,0.715486,0.456014,4.664 ,4.697596371882086
145.937 ,114.917 ,75.750 ,592.513 ,56.580727707004776,82.74719354764466,7.222174947132098,1396,1304,7.137624E-3 ,3.832981E-3 ,41.633,57,47.997,3.736,266.659E-6 ,1.930,2.228,5.789,20.127,1.710 ,10.013,13.336,19.397,30.040,0.721741,0.443688,4.695 ,19.639637188208617
187.517 ,138.652 ,76.267 ,600.918 ,62.68290671307221,81.67394772311883,5.741582725511329,2742,2509,5.567130E-3 ,3.416073E-3 ,34.312,115,44.873,4.043,225.059E-6 ,2.017,2.370,6.051,20.476,1.705 ,9.981,13.876,19.773,29.942,0.723003,0.438888,4.693 ,27.63310657596372
