Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
109.728 ,35.381 ,74.321 ,247.939 ,43.851782183584675,62.19283324983689,17.412260443862326,395,373,9.179605E-3 ,2.346990E-3 ,43.231,20,48.469,2.895,265.772E-6 ,1.512,1.700,4.537,17.974,1.592 ,8.435,10.645,18.046,25.305,0.723955,0.444906,4.787 ,6.90827664399093
109.708 ,35.362 ,80.793 ,254.471 ,53.72360067294922,60.66352595181251,41.76419112900953,190,178,9.070378E-3 ,2.267810E-3 ,15.349,10,20.734,2.724,247.078E-6 ,1.381,1.653,4.143,17.811,1.558 ,7.829,11.052,16.369,23.486,0.714730,0.455697,4.498 ,2.180113378684807
128.886 ,74.274 ,91.322 ,434.014 ,43.37443140686036,59.770880789147,16.70611820458407,93,88,8.037314E-3 ,2.711993E-3 ,43.820,2,44.682,2.965,238.307E-6 ,1.610,1.849,4.831,18.238,1.632 ,7.693,10.814,12.993,23.078,0.699539,0.499834,4.273 ,1.8143990929705216
122.964 ,71.298 ,79.019 ,433.748 ,46.5725893924099,61.01884741486507,15.664049419842314,271,248,8.338643E-3 ,3.013970E-3 ,36.911,13,22.424,3.170,264.325E-6 ,1.518,1.819,4.555,18.094,1.592 ,8.471,10.279,16.688,25.413,0.707064,0.476417,4.394 ,3.8519501133786846
116.967 ,53.730 ,79.840 ,381.707 ,41.04684503916419,59.48396335667997,14.579514548978773,315,296,8.581189E-3 ,2.827881E-3 ,43.529,12,48.376,2.877,246.923E-6 ,1.368,1.529,4.105,15.772,1.395 ,8.086,11.318,16.319,24.257,0.741342,0.411498,5.295 ,5.131950113378685
118.610 ,69.845 ,75.087 ,520.391 ,45.020156888505234,60.71257813909255,13.605736417591675,789,747,8.668978E-3 ,2.704340E-3 ,30.813,29,27.386,2.421,209.903E-6 ,1.151,1.551,3.452,16.627,1.519 ,7.969,11.168,17.621,23.907,0.737496,0.410826,5.081 ,10.61766439909297
110.803 ,30.880 ,75.867 ,258.056 ,43.12131666078181,60.08209511317062,11.815616980285725,872,833,9.052209E-3 ,1.901902E-3 ,36.049,33,34.680,2.301,208.260E-6 ,1.062,1.330,3.185,16.502,1.456 ,7.697,10.819,15.003,23.091,0.729076,0.424192,4.889 ,13.909092970521542
129.383 ,55.130 ,76.291 ,599.208 ,46.17970385369499,59.649575606389135,16.078748316739784,968,932,7.787068E-3 ,2.246637E-3 ,18.367,23,24.333,2.764,215.198E-6 ,1.399,1.560,4.196,17.848,1.560 ,8.657,12.102,19.510,25.972,0.748245,0.406469,5.643 ,9.833990929705216
130.102 ,36.461 ,81.443 ,266.851 ,48.069410030653934,59.21770853373077,17.19276996687126,1146,1108,7.735585E-3 ,1.871036E-3 ,16.000,27,20.785,2.968,229.577E-6 ,1.415,1.647,4.245,16.107,1.447 ,7.675,10.329,17.222,23.026,0.748319,0.401029,5.638 ,11.03562358276644
131.768 ,70.120 ,80.049 ,506.358 ,36.96779195210582,55.96045760284669,12.43387723063135,154,143,7.811551E-3 ,2.657960E-3 ,40.927,6,35.467,2.464,192.459E-6 ,0.934,1.016,2.802,15.123,1.275 ,6.926,9.225,9.225,20.779,0.824510,0.256656,8.646 ,2.6241950113378687
158.489 ,68.137 ,88.416 ,281.050 ,31.89953178631313,57.6761926244161,-0.16275746941050762,190,179,6.350339E-3 ,2.681944E-3 ,60.695,6,29.150,3.870,245.765E-6 ,1.679,2.007,5.037,18.899,1.628 ,8.970,13.395,17.353,26.911,0.767213,0.358329,6.327 ,3.773582766439909
120.952 ,30.386 ,73.380 ,366.262 ,48.5300581757833,63.235563989504044,19.48387466027504,1336,1285,8.299772E-3 ,1.514576E-3 ,23.703,40,29.352,2.246,186.452E-6 ,1.151,1.306,3.452,17.530,1.564 ,8.544,11.576,17.182,25.633,0.750976,0.394457,5.592 ,15.267460317460317
116.124 ,10.642 ,102.178 ,195.896 ,48.08385646569709,62.00203077155833,23.04750942083754,330,313,8.611388E-3 ,0.733931E-3 ,31.648,15,38.756,1.707,146.977E-6 ,0.879,1.027,2.638,17.665,1.558 ,7.788,10.944,21.495,23.364,0.745838,0.398460,5.359 ,4.583378684807256
133.497 ,47.053 ,91.360 ,260.070 ,51.444285298735295,65.62989930501419,18.489584577939542,314,301,7.538890E-3 ,2.271590E-3 ,30.366,11,38.710,2.424,182.712E-6 ,1.102,1.308,3.307,15.373,1.347 ,6.565,8.742,16.247,19.695,0.817002,0.269843,8.023 ,3.8519501133786846
113.009 ,39.834 ,75.709 ,468.416 ,49.02724483902332,64.62891782006572,16.739258890960876,1481,1399,8.884036E-3 ,2.230771E-3 ,33.365,69,40.514,2.805,249.211E-6 ,1.321,1.647,3.963,16.486,1.431 ,8.128,10.488,14.692,24.385,0.745032,0.400950,5.417 ,21.197256235827666
108.436 ,54.172 ,80.893 ,564.065 ,51.31934132602143,63.20752694980258,20.994911960311725,534,507,9.305801E-3 ,2.348840E-3 ,25.457,20,23.651,2.679,249.280E-6 ,1.293,1.582,3.879,18.437,1.638 ,8.403,10.234,16.067,25.208,0.713707,0.472965,4.730 ,7.1433786848072565
117.134 ,54.826 ,58.835 ,473.906 ,49.32789863694302,64.59829109077583,17.68237142683393,865,816,8.688832E-3 ,2.556487E-3 ,28.139,32,35.617,2.779,241.459E-6 ,1.444,1.480,4.331,16.414,1.468 ,7.443,10.460,16.063,22.329,0.746895,0.394757,5.423 ,11.584195011337869
129.213 ,49.807 ,76.585 ,555.088 ,48.542534929295805,65.16626865924322,14.10644383569994,1882,1798,7.834165E-3 ,2.130263E-3 ,28.136,63,35.005,2.703,211.776E-6 ,1.321,1.545,3.963,16.647,1.474 ,7.986,10.797,16.355,23.958,0.744199,0.403336,5.376 ,22.033174603174604
129.317 ,46.636 ,101.823 ,430.467 ,51.683185318921446,63.49353414214783,25.08247589095515,220,209,7.730579E-3 ,1.706592E-3 ,16.667,8,26.990,3.344,258.548E-6 ,1.736,1.984,5.208,16.479,1.473 ,7.252,10.366,13.890,21.757,0.711394,0.485205,4.562 ,2.3107256235827665
120.425 ,30.360 ,86.623 ,267.619 ,46.74411681841228,61.0479306312959,15.71207374721209,398,387,8.322034E-3 ,1.674322E-3 ,22.371,9,21.709,2.684,223.338E-6 ,1.475,1.706,4.424,19.079,1.676 ,8.860,14.038,19.417,26.580,0.746537,0.390725,5.262 ,4.50501133786848
101.892 ,31.462 ,87.989 ,249.592 ,44.2453917167406,58.32944744132942,17.153790784334966,70,67,9.840026E-3 ,2.030641E-3 ,26.596,2,13.706,1.713,168.545E-6 ,0.891,0.943,2.673,15.123,1.320 ,8.285,11.841,17.817,24.856,0.831671,0.236804,7.937 ,0.9784807256235828
128.502 ,36.968 ,71.004 ,261.532 ,51.10440260119562,61.200852281145266,26.300334733798035,272,257,7.844662E-3 ,1.991550E-3 ,15.636,9,23.591,2.877,225.726E-6 ,1.408,1.734,4.224,17.819,1.534 ,8.741,12.076,18.180,26.224,0.719153,0.471019,4.723 ,2.7809297052154194
131.647 ,42.239 ,98.907 ,285.816 ,45.75461204188676,62.19314952340782,14.159232665556281,534,509,7.659266E-3 ,1.963652E-3 ,30.108,17,36.955,2.311,177.025E-6 ,1.084,1.362,3.252,16.860,1.434 ,7.961,10.718,15.285,23.883,0.747263,0.390025,5.429 ,6.542562358276644
104.544 ,19.502 ,85.482 ,266.572 ,49.536272374897486,59.112548314881735,28.032441565438518,337,324,9.648724E-3 ,1.248728E-3 ,10.109,10,9.203,2.543,245.324E-6 ,1.297,1.737,3.891,15.795,1.417 ,6.966,11.228,19.777,20.899,0.742643,0.424680,5.646 ,3.695215419501134
128.814 ,55.844 ,87.348 ,456.010 ,47.209314634942224,59.624813700329575,-0.8190914518758203,869,832,7.919009E-3 ,2.250638E-3 ,20.437,22,22.343,2.771,219.400E-6 ,1.445,1.746,4.334,17.540,1.526 ,7.859,11.224,18.541,23.577,0.745030,0.406135,5.518 ,9.18092970521542
183.777 ,59.979 ,110.180 ,281.284 ,48.49814424737109,65.74685578223281,17.893731539359248,264,255,5.528296E-3 ,1.780991E-3 ,34.979,2,37.709,3.310,182.974E-6 ,1.723,1.888,5.170,16.066,1.426 ,8.024,11.008,15.233,24.072,0.813100,0.286598,7.653 ,2.4674603174603176
