Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
293.872 ,186.692 ,85.535 ,572.419 ,58.30684949089647,77.14265589646833,6.931633204639212,230,213,3.498590E-3 ,3.121765E-3 ,35.443,7,37.185,4.930,172.481E-6 ,2.474,3.013,7.423,20.491,1.748 ,10.918,13.521,12.939,32.754,0.721602,0.427290,4.590 ,1.6151473922902495
206.212 ,159.328 ,75.200 ,591.387 ,64.85779027089471,84.86731711715902,9.67943093446572,301,270,5.135745E-3 ,4.107372E-3 ,28.058,12,39.621,6.283,322.656E-6 ,3.664,4.395,10.993,23.925,1.949 ,11.545,12.322,5.027,34.635,0.706733,0.465358,4.654 ,2.8167800453514737
195.581 ,157.516 ,69.482 ,630.312 ,56.757948892331335,80.59611997579069,31.836482017637138,346,314,5.289659E-3 ,4.232171E-3 ,47.907,14,39.204,5.784,305.959E-6 ,2.876,3.338,8.627,20.573,1.764 ,9.316,15.845,37.361,27.948,0.684285,0.518809,3.684 ,4.3318820861678
145.428 ,72.077 ,80.110 ,515.778 ,59.277342248706034,84.01977927090306,6.665279164189203,337,315,6.923046E-3 ,2.430282E-3 ,64.774,18,55.204,1.870,129.496E-6 ,0.876,0.987,2.627,15.045,1.397 ,6.857,9.778,12.743,20.570,0.742919,0.399125,5.373 ,7.780045351473923
168.362 ,108.678 ,103.025 ,537.794 ,67.20544088210552,84.31097418931671,6.652425839812496,618,574,6.018696E-3 ,2.822202E-3 ,43.337,34,48.621,2.752,165.614E-6 ,1.376,1.437,4.129,19.489,1.666 ,10.033,12.999,15.842,30.100,0.747752,0.383144,5.339 ,8.668208616780046
153.802 ,124.206 ,67.199 ,587.370 ,66.06010196948185,84.11465665525769,20.342213726166175,1386,1273,6.719568E-3 ,3.667049E-3 ,43.667,75,50.312,3.304,222.038E-6 ,1.737,2.006,5.211,19.371,1.642 ,9.300,12.725,17.001,27.900,0.722464,0.436692,4.705 ,18.908208616780044
169.535 ,161.054 ,80.160 ,595.477 ,65.9304742509812,84.03028490962907,8.766224736896692,311,278,6.041464E-3 ,4.384054E-3 ,48.193,21,59.252,4.252,256.859E-6 ,2.316,2.593,6.947,18.637,1.602 ,9.337,13.177,16.307,28.012,0.687480,0.501156,3.718 ,5.011065759637188
239.351 ,187.338 ,75.333 ,562.290 ,63.47990155516264,82.2056695151325,4.027678883056147,598,534,4.423402E-3 ,3.957940E-3 ,49.929,23,50.864,4.776,211.248E-6 ,2.594,3.106,7.781,20.676,1.701 ,9.303,10.996,20.792,27.910,0.665008,0.563939,3.295 ,7.100861678004535
213.580 ,185.356 ,73.322 ,599.467 ,64.35442841708775,83.37602896165784,7.8127676602084515,754,685,4.842210E-3 ,4.193249E-3 ,44.406,34,57.036,5.139,248.825E-6 ,2.664,2.842,7.992,22.439,1.849 ,10.855,15.605,24.554,32.564,0.665526,0.555425,3.233 ,8.615963718820861
160.942 ,154.042 ,76.066 ,565.760 ,60.67376828370949,79.98462221063578,-1.7153343456791827,459,418,6.387695E-3 ,4.582045E-3 ,47.033,25,50.055,4.964,317.088E-6 ,2.763,2.815,8.289,19.825,1.716 ,8.439,10.663,14.458,25.316,0.676127,0.526776,3.462 ,6.944126984126984
132.523 ,116.538 ,76.404 ,593.961 ,64.74817777976752,88.1653371040592,12.573449725843798,791,730,7.729869E-3 ,4.190669E-3 ,46.307,43,54.577,3.723,287.820E-6 ,1.880,2.178,5.641,18.660,1.501 ,9.223,13.367,19.102,27.670,0.727340,0.430160,4.944 ,13.579229024943311
166.683 ,159.348 ,80.638 ,598.434 ,64.12060901736409,85.52025757127716,5.480252957350573,605,542,6.291035E-3 ,4.383113E-3 ,45.161,34,52.215,3.237,203.628E-6 ,1.564,1.891,4.693,21.991,1.849 ,11.033,15.545,36.394,33.100,0.687790,0.509665,3.766 ,8.406984126984128
204.070 ,202.213 ,86.314 ,589.698 ,54.3623127228271,81.64412423571923,9.608613539959249,73,67,5.181892E-3 ,4.528805E-3 ,71.622,1,10.645,2.633,136.436E-6 ,1.063,1.404,3.188,18.214,1.705 ,6.869,10.547,13.427,20.608,0.779074,0.328375,6.616 ,1.510657596371882
130.992 ,116.135 ,74.521 ,599.969 ,62.88706741109248,83.18612291472901,3.204204950480498,636,587,7.924080E-3 ,4.157278E-3 ,46.140,33,46.710,3.451,273.452E-6 ,1.861,2.026,5.584,19.191,1.544 ,10.150,13.395,16.050,30.450,0.701588,0.481654,4.119 ,10.914739229024944
124.947 ,106.116 ,83.496 ,571.148 ,63.25608897386013,80.3414677137309,6.868926369488779,335,309,8.180746E-3 ,4.135417E-3 ,41.964,20,41.633,3.083,252.191E-6 ,1.589,1.807,4.768,20.598,1.728 ,11.182,14.721,24.307,33.546,0.682598,0.514002,3.587 ,5.638004535147393
103.461 ,9.438 ,74.838 ,117.397 ,68.4481376764057,86.6600384763133,11.69028693737638,86,80,9.558414E-3 ,0.781585E-3 ,33.099,1,8.552,1.819,173.911E-6 ,0.836,0.942,2.508,14.843,1.394 ,7.246,9.024,11.503,21.737,0.779773,0.305564,5.899 ,1.4584126984126984
138.229 ,104.402 ,78.259 ,559.173 ,68.8683757163821,85.97326768087365,6.712032549125766,864,804,7.500994E-3 ,3.815473E-3 ,30.259,33,36.348,3.399,254.955E-6 ,1.837,2.241,5.512,17.714,1.539 ,8.638,12.207,16.392,25.914,0.757874,0.372524,5.625 ,10.44453514739229
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,40.94689277344188,47.47707341509707,9.422532371503063,1,0,--undefined-- ,--undefined-- ,74.074,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,0.5702494331065759
155.401 ,96.455 ,102.071 ,513.168 ,71.89884829205204,86.01996194801754,8.232268615032039,770,716,6.577326E-3 ,2.809170E-3 ,40.488,37,38.975,2.595,170.708E-6 ,1.353,1.668,4.060,17.661,1.499 ,8.790,12.427,14.526,26.371,0.757936,0.367894,5.690 ,9.86984126984127
148.356 ,94.610 ,85.006 ,591.605 ,71.40217959202815,86.15027611935987,30.991161816444492,2028,1889,6.839413E-3 ,2.994598E-3 ,38.342,104,49.433,2.859,195.511E-6 ,1.451,1.714,4.352,18.704,1.607 ,9.322,12.461,18.339,27.967,0.723751,0.433584,4.711 ,27.0584126984127
173.714 ,155.631 ,78.318 ,582.931 ,68.1856417937735,84.65345881498638,20.77763920913022,442,406,5.996275E-3 ,4.299169E-3 ,36.478,17,34.493,4.254,255.093E-6 ,2.281,2.594,6.843,20.159,1.790 ,9.617,12.613,18.118,28.850,0.702952,0.476291,4.117 ,4.802086167800454
140.992 ,123.310 ,82.169 ,598.824 ,67.1824784525427,84.75187883861265,0.24043615808805427,695,630,7.322103E-3 ,4.202029E-3 ,36.135,31,41.881,4.333,317.250E-6 ,2.364,2.901,7.093,18.957,1.629 ,9.625,11.998,16.118,28.875,0.708025,0.469745,4.207 ,9.190657596371882
139.803 ,112.001 ,74.890 ,591.122 ,66.74737347207592,87.10009996331969,10.873551494784488,663,621,7.357657E-3 ,3.836567E-3 ,40.046,23,41.404,2.630,193.483E-6 ,1.378,1.475,4.133,18.288,1.610 ,9.180,11.002,17.041,27.540,0.770737,0.341819,5.989 ,8.720453514739228
