Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
111.831 ,1.001 ,109.481 ,113.381 ,40.92747946398877,46.704096799283725,24.936348822646785,24,23,8.973947E-3 ,0.136058E-3 ,26.471,0,0,1.186,106.447E-6 ,0.594,0.776,1.783,12.876,1.220 ,6.704,8.936,20.030,20.112,0.728533,0.408432,4.554 ,0.3776643990929705
116.894 ,52.949 ,90.979 ,550.926 ,34.560168061847186,47.88027434428454,12.324439090951449,1355,1276,8.604021E-3 ,2.068723E-3 ,47.351,72,51.050,1.548,133.163E-6 ,0.673,0.837,2.019,14.100,1.286 ,6.714,9.104,13.380,20.141,0.788000,0.312942,6.511 ,23.626643990929704
108.566 ,6.502 ,100.634 ,129.661 ,31.769189027519953,46.303475179559996,12.538851824856485,96,90,9.213223E-3 ,0.521041E-3 ,54.884,5,57.307,1.277,117.611E-6 ,0.548,0.753,1.645,12.475,1.168 ,6.002,7.524,15.997,18.006,0.799393,0.293987,6.818 ,2.180113378684807
156.353 ,101.566 ,75.766 ,599.588 ,34.13756261983169,47.69724927341858,12.34295903742572,1104,1039,6.488713E-3 ,2.869626E-3 ,44.058,43,49.847,2.349,152.417E-6 ,1.107,1.373,3.322,15.915,1.420 ,7.750,9.815,13.755,23.250,0.764752,0.362125,5.968 ,13.830725623582767
231.078 ,146.791 ,97.020 ,548.109 ,33.42847435655654,44.710838573522835,18.675054987719633,258,240,4.478428E-3 ,2.953364E-3 ,51.471,6,53.557,3.159,141.466E-6 ,1.585,1.921,4.756,17.240,1.451 ,9.000,12.432,18.566,27.000,0.681123,0.540148,3.789 ,2.7548072562358277
186.788 ,149.494 ,75.605 ,587.188 ,34.06047801119277,46.285425277685015,16.104554148934866,1024,953,5.539333E-3 ,3.205379E-3 ,46.785,37,55.833,2.445,135.422E-6 ,1.221,1.507,3.664,15.883,1.418 ,7.542,9.488,14.748,22.625,0.764481,0.367846,6.107 ,12.472358276643991
143.068 ,82.576 ,83.010 ,581.289 ,34.24864171873455,46.72066324653804,15.195126900095149,1670,1597,7.094440E-3 ,2.339919E-3 ,43.043,55,49.167,2.251,159.694E-6 ,1.125,1.282,3.376,15.512,1.372 ,7.393,9.825,14.773,22.178,0.777183,0.343635,6.409 ,23.10419501133787
166.522 ,127.981 ,74.293 ,587.031 ,34.49547261282767,45.23345310532391,18.056545777695227,924,883,6.144427E-3 ,3.133842E-3 ,43.073,27,50.112,3.070,188.619E-6 ,1.566,1.873,4.698,15.917,1.399 ,7.182,9.664,15.247,21.545,0.793769,0.315847,7.379 ,11.296848072562359
145.747 ,97.602 ,88.638 ,595.036 ,33.87075688147756,45.49517030028933,-1.1760235367433665,779,732,7.018442E-3 ,2.609359E-3 ,43.223,26,36.043,2.554,179.218E-6 ,1.253,1.317,3.760,14.373,1.271 ,7.038,9.175,11.359,21.113,0.777468,0.343691,6.458 ,10.957256235827664
131.839 ,14.482 ,117.692 ,166.667 ,43.86477562186081,47.799322652974084,32.07875989761198,77,75,7.599273E-3 ,0.820819E-3 ,19.737,1,8.688,1.531,116.365E-6 ,0.612,0.833,1.837,11.564,1.050 ,5.699,7.628,10.840,17.096,0.759468,0.395127,5.677 ,0.79562358276644
113.219 ,11.088 ,83.887 ,147.923 ,40.09719996938201,47.54825913807199,23.567908648750073,227,217,8.818607E-3 ,0.817447E-3 ,33.951,8,30.841,2.306,203.400E-6 ,0.972,1.209,2.915,13.276,1.146 ,6.362,8.245,15.050,19.086,0.726729,0.454762,5.178 ,3.2772562358276645
141.058 ,111.825 ,79.784 ,546.571 ,39.43743984350369,46.61006839648222,27.356881577891826,308,285,7.286295E-3 ,3.499251E-3 ,42.699,14,41.243,1.999,145.620E-6 ,0.974,1.003,2.923,15.336,1.414 ,7.264,8.632,13.828,21.791,0.707433,0.471815,4.348 ,4.557256235827665
