Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
78.990 ,3.307 ,73.712 ,89.851 ,33.79621270459057,49.9578318393623,7.21622244044566,94,81,12.777782E-3 ,0.546265E-3 ,64.525,12,65.092,1.746,223.092E-6 ,0.668,0.764,2.004,11.857,1.093 ,6.161,7.619,11.757,18.483,0.742236,0.420006,5.446 ,3.6168480725623584
92.038 ,55.215 ,74.019 ,385.609 ,34.51081532270152,52.746395308440064,10.94913758280796,127,109,11.512680E-3 ,3.019132E-3 ,56.269,14,57.633,2.670,307.445E-6 ,1.154,1.456,3.461,14.949,1.299 ,5.471,8.803,11.583,16.412,0.742156,0.420962,5.322 ,3.303378684807256
167.509 ,47.295 ,65.257 ,583.507 ,31.97736374605564,49.65250955998471,5.650932901067842,1704,1642,5.989511E-3 ,1.677978E-3 ,41.763,50,47.170,1.592,95.341E-6 ,0.639,0.710,1.917,9.509,0.912 ,3.777,5.439,8.428,11.332,0.880035,0.173043,11.429 ,18.97684807256236
167.961 ,30.663 ,65.089 ,572.777 ,32.78134668568053,47.1743619037212,5.568141819816004,2715,2646,5.958092E-3 ,1.098945E-3 ,31.581,60,34.909,1.716,102.237E-6 ,0.723,0.784,2.168,8.266,0.800 ,3.529,5.101,7.423,10.586,0.903833,0.132219,12.517 ,24.38419501133787
171.714 ,32.454 ,75.666 ,371.487 ,32.13123647630475,46.65829702949211,5.747877112739992,1218,1184,5.819841E-3 ,1.203551E-3 ,31.373,29,34.675,1.832,106.633E-6 ,0.769,0.799,2.308,8.661,0.866 ,3.667,5.319,7.001,11.002,0.898415,0.142779,12.189 ,10.74827664399093
170.040 ,38.515 ,69.485 ,594.594 ,32.749588211815585,47.183053663376235,5.813480582559353,2439,2380,5.911886E-3 ,0.940833E-3 ,26.986,46,31.277,1.714,101.319E-6 ,0.765,0.863,2.296,9.031,0.899 ,3.551,5.226,8.325,10.654,0.904772,0.135584,12.626 ,20.674807256235827
160.670 ,25.757 ,68.805 ,472.375 ,31.488284028751767,45.72578070306623,6.17214236950854,2114,2048,6.235093E-3 ,1.048438E-3 ,32.022,59,33.526,1.731,107.932E-6 ,0.750,0.812,2.251,9.454,0.910 ,3.903,5.514,8.066,11.708,0.897850,0.140617,11.924 ,19.86501133786848
162.756 ,35.900 ,70.461 ,513.978 ,29.478560031421512,49.36443163831803,5.7173637654084075,2736,2651,6.158672E-3 ,1.385298E-3 ,40.533,75,44.359,1.347,82.967E-6 ,0.555,0.593,1.666,8.686,0.817 ,3.532,5.118,7.771,10.597,0.907967,0.125739,12.637 ,29.66092970521542
80.636 ,4.001 ,76.170 ,91.983 ,33.83575208951626,42.35174473439962,11.23354331112565,27,25,12.478569E-3 ,0.865231E-3 ,36.207,1,22.887,3.276,408.784E-6 ,1.571,0.686,4.714,13.473,1.201 ,5.388,8.857,10.907,16.163,0.692874,0.485650,3.802 ,0.612766439909297
89.934 ,40.421 ,76.107 ,457.457 ,30.28871080640726,48.632148659208156,8.58340828395103,169,152,11.200956E-3 ,2.244203E-3 ,59.292,15,47.404,1.531,171.471E-6 ,0.526,0.605,1.578,11.772,0.999 ,5.324,6.826,11.653,15.973,0.759454,0.380568,5.945 ,4.557256235827665
84.993 ,7.239 ,75.032 ,97.448 ,31.399659476773632,42.46151592309546,10.745438336616747,25,22,11.810878E-3 ,1.003560E-3 ,52.941,2,42.017,1.875,221.440E-6 ,0.779,1.461,2.338,13.582,1.319 ,6.455,3.187,--undefined--,19.366,0.682468,0.525202,3.652 ,0.7172562358276644
95.920 ,80.379 ,75.042 ,575.379 ,28.993284971324506,45.25317578787942,-3.3213726455784505,104,93,10.884592E-3 ,3.760052E-3 ,58.545,9,47.795,2.361,256.974E-6 ,0.854,1.309,2.563,15.676,1.311 ,6.497,6.935,12.270,19.491,0.750295,0.383116,5.345 ,2.7809297052154194
107.461 ,61.221 ,81.040 ,508.408 ,37.097144503671686,52.43206492477065,6.8799920516356305,105,98,9.324023E-3 ,2.732357E-3 ,38.251,6,47.701,2.011,187.460E-6 ,0.618,1.040,1.853,11.509,1.016 ,5.769,8.266,6.210,17.307,0.813028,0.282250,7.814 ,1.8666439909297052
123.531 ,3.603 ,114.373 ,128.308 ,46.24964623467364,52.2401291988832,23.37741271646191,23,22,8.110398E-3 ,0.259705E-3 ,29.167,0,0,1.141,92.552E-6 ,0.267,0.387,0.801,10.634,0.918 ,5.272,5.555,5.991,15.817,0.805215,0.298069,7.302 ,0.2731746031746032
