Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
223.043 ,119.584 ,113.750 ,425.286 ,32.53411466612145,62.66812607950954,-3.752100345187312,118,108,4.505273E-3 ,2.376155E-3 ,53.719,1,43.111,4.135,186.300E-6 ,2.031,2.218,6.092,20.245,1.657 ,9.998,13.876,6.215,29.993,0.785143,0.339065,6.583 ,1.2494331065759636
175.705 ,100.438 ,98.734 ,520.438 ,43.62522921327401,59.156365788566845,15.491040524807243,287,269,5.954765E-3 ,2.410484E-3 ,22.222,10,28.529,4.198,249.973E-6 ,2.148,2.199,6.444,19.301,1.644 ,8.627,12.646,12.585,25.880,0.773020,0.349069,6.432 ,2.5555555555555554
130.987 ,93.687 ,87.998 ,543.631 ,40.869190829257086,59.50508539069191,3.1203862342291595,249,236,7.882328E-3 ,3.142789E-3 ,27.425,8,31.856,2.232,175.943E-6 ,1.167,1.336,3.502,20.204,1.671 ,7.663,12.911,16.326,22.989,0.786387,0.332472,6.753 ,3.0257596371882087
144.131 ,121.133 ,75.847 ,492.697 ,37.6774247912383,60.56475190683686,4.74144148756377,134,122,7.143787E-3 ,4.212776E-3 ,38.506,6,36.887,4.486,320.442E-6 ,2.431,3.085,7.293,21.943,1.790 ,10.747,10.917,12.168,32.240,0.719160,0.454845,4.805 ,1.7718820861678004
129.107 ,85.122 ,75.949 ,568.340 ,36.59734079222682,58.28100771446753,8.998863523412016,398,369,7.836780E-3 ,3.169274E-3 ,43.012,20,51.223,2.722,213.346E-6 ,1.212,1.313,3.636,18.831,1.595 ,9.457,12.276,15.966,28.370,0.750478,0.393995,5.682 ,6.473922902494331
162.224 ,102.751 ,83.437 ,597.569 ,40.704939862738335,56.24384802823336,-5.056440330458791,372,347,6.260192E-3 ,2.976685E-3 ,23.481,16,33.755,3.716,232.649E-6 ,1.992,2.279,5.975,17.741,1.524 ,8.086,11.298,16.484,24.257,0.735177,0.434216,5.357 ,3.6526984126984128
131.000 ,101.349 ,71.958 ,568.769 ,40.57060251535637,60.386749235913925,2.8355509982417693,624,575,7.760071E-3 ,3.535593E-3 ,37.908,37,47.497,3.298,255.932E-6 ,1.753,1.898,5.260,18.406,1.585 ,8.563,10.974,14.280,25.690,0.732738,0.431483,5.147 ,8.929433106575964
231.288 ,165.127 ,70.737 ,588.269 ,41.92067753671938,63.65076796759474,18.519518792053894,410,377,4.418642E-3 ,3.257189E-3 ,45.297,18,53.038,4.984,220.240E-6 ,2.589,3.021,7.768,21.504,1.900 ,10.294,14.262,17.805,30.883,0.695003,0.491664,3.973 ,4.070657596371882
175.918 ,162.278 ,80.799 ,592.272 ,40.47430287075687,63.31936849763188,5.66622467454798,305,276,6.187794E-3 ,4.339408E-3 ,42.239,12,46.910,4.986,308.539E-6 ,2.891,3.602,8.672,18.895,1.577 ,8.523,14.528,32.092,25.569,0.722937,0.428239,4.669 ,3.9661678004535146
133.121 ,85.074 ,87.292 ,427.272 ,41.178875903408006,61.97039816905112,6.739020781378848,104,97,7.411966E-3 ,3.288075E-3 ,42.331,4,44.032,2.580,191.257E-6 ,1.244,1.763,3.731,17.857,1.557 ,7.926,8.460,14.144,23.779,0.699253,0.490766,4.074 ,1.6673922902494331
264.028 ,178.163 ,80.823 ,587.418 ,33.90990791308518,52.16698022894314,2.354136803620252,200,180,3.879658E-3 ,3.450657E-3 ,47.907,10,57.757,7.344,284.926E-6 ,4.082,4.179,12.246,22.268,1.940 ,8.275,8.984,34.520,24.826,0.660057,0.571335,3.157 ,2.1898412698412697
146.888 ,165.534 ,74.747 ,574.256 ,25.16810543644904,53.116451866961604,6.32583589732614,50,46,7.114930E-3 ,5.421534E-3 ,77.083,2,39.183,5.701,405.614E-6 ,3.222,2.809,9.665,23.338,2.075 ,9.329,19.204,44.759,27.986,0.625737,0.643119,2.358 ,3.3914739229024944
223.226 ,150.008 ,93.816 ,591.711 ,33.64481183437058,54.78333545833647,7.088243191689513,295,276,4.607902E-3 ,2.810167E-3 ,42.177,7,41.676,4.851,223.548E-6 ,2.416,2.973,7.247,21.631,1.821 ,10.852,16.258,15.442,32.556,0.709862,0.460128,4.269 ,2.973514739229025
160.089 ,96.003 ,80.145 ,566.779 ,34.020184758733414,52.93631575448708,-13.766686816998398,718,675,6.262047E-3 ,2.811391E-3 ,31.013,29,43.028,2.804,175.588E-6 ,1.443,1.635,4.330,19.423,1.588 ,9.319,12.527,16.415,27.957,0.764876,0.358698,6.114 ,7.936780045351474
137.829 ,93.686 ,87.450 ,584.229 ,34.03825869374721,55.21629080192212,2.4754419973584185,388,364,7.342013E-3 ,3.189071E-3 ,42.207,19,45.031,2.968,217.933E-6 ,1.686,1.969,5.058,18.616,1.607 ,8.491,11.918,10.058,25.473,0.720709,0.442960,4.627 ,5.7424943310657595
164.142 ,123.051 ,85.652 ,550.271 ,36.175440030552366,53.128024899661256,-6.632601044262083,560,516,6.274407E-3 ,3.454848E-3 ,32.594,26,39.020,3.345,209.859E-6 ,1.596,2.085,4.787,22.215,1.762 ,11.025,15.796,18.040,33.074,0.717823,0.444015,4.558 ,5.899229024943311
184.447 ,157.442 ,75.163 ,576.023 ,33.33120060892354,56.38840632851141,3.538171585404319,1404,1290,5.509973E-3 ,3.950673E-3 ,48.730,72,59.889,4.475,246.574E-6 ,2.504,2.993,7.513,20.098,1.671 ,9.413,11.922,13.408,28.240,0.712871,0.460259,4.540 ,18.54249433106576
129.828 ,76.452 ,82.664 ,581.638 ,33.84546655248727,53.91681383575956,1.0916471949779012,337,305,7.807360E-3 ,2.949823E-3 ,47.218,26,62.115,3.790,295.898E-6 ,2.172,2.466,6.517,17.982,1.593 ,9.221,11.291,--undefined--,27.662,0.689461,0.502336,3.804 ,6.682902494331066
