Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
170.405 ,99.241 ,122.304 ,589.484 ,39.40052999058389,64.13756067395816,-4.552850433965392,169,162,5.867487E-3 ,2.283199E-3 ,47.934,3,7.269,1.470,86.269E-6 ,0.829,0.981,2.488,18.156,1.598 ,7.615,11.654,20.490,22.846,0.780947,0.320773,6.230 ,2.451065759637188
199.766 ,162.927 ,76.851 ,591.341 ,40.398575877831924,64.09600130780365,6.338569478834247,531,501,5.158246E-3 ,3.516539E-3 ,42.691,20,39.615,3.467,178.821E-6 ,1.708,2.058,5.124,22.450,1.916 ,10.808,14.042,28.410,32.424,0.681245,0.526528,3.601 ,6.055963718820862
205.223 ,137.595 ,75.756 ,598.212 ,44.39563647990304,73.21707572213712,4.468558188187462,955,874,5.002508E-3 ,3.196497E-3 ,53.512,49,64.536,4.436,221.932E-6 ,2.393,3.022,7.179,19.644,1.655 ,9.944,14.260,22.181,29.833,0.704964,0.471869,4.221 ,13.84045351473923
270.540 ,137.026 ,79.222 ,599.454 ,39.90929579707288,60.110909016576564,8.72268800873351,687,630,3.811597E-3 ,2.278839E-3 ,41.126,22,40.012,5.799,221.035E-6 ,3.279,4.121,9.838,19.067,1.730 ,8.716,11.206,10.805,26.148,0.659786,0.582187,3.241 ,5.899229024943311
241.430 ,159.036 ,82.957 ,567.226 ,40.05287545099093,73.14968965476044,6.100716600986717,774,705,4.184659E-3 ,2.867446E-3 ,68.560,48,69.636,4.171,174.545E-6 ,2.316,2.743,6.949,24.052,1.831 ,11.859,14.820,14.916,35.577,0.687028,0.504246,3.744 ,17.811065759637188
305.132 ,156.760 ,92.004 ,573.367 ,40.66662199845732,70.82069483793448,13.116441324417076,483,438,3.350825E-3 ,2.243505E-3 ,67.259,21,75.196,5.806,194.563E-6 ,3.252,3.833,9.757,22.318,1.873 ,10.930,13.852,24.109,32.790,0.638890,0.607039,2.642 ,6.787392290249433
308.148 ,182.062 ,78.847 ,598.447 ,39.467812326932034,61.612956520927476,2.6705128991866727,2899,2663,3.279255E-3 ,2.570425E-3 ,39.801,110,56.920,6.438,211.119E-6 ,3.466,3.979,10.397,21.969,1.889 ,10.009,12.380,10.269,30.027,0.642985,0.607986,2.768 ,22.09514739229025
303.475 ,197.622 ,74.808 ,599.693 ,36.0099232750967,65.23286545999919,-2.3954246011961877,956,880,3.295737E-3 ,2.859733E-3 ,59.389,36,55.129,5.471,180.298E-6 ,3.035,3.736,9.104,21.135,1.796 ,10.469,15.000,23.222,31.406,0.654153,0.592776,3.019 ,11.489433106575964
251.113 ,172.102 ,77.865 ,594.687 ,37.279356093613075,63.834570981410565,3.6984008744025414,1357,1227,4.129342E-3 ,3.022334E-3 ,50.265,61,60.047,5.038,208.030E-6 ,2.809,3.229,8.428,20.274,1.754 ,9.445,12.344,20.341,28.336,0.665791,0.563776,3.374 ,17.027392290249434
281.906 ,181.263 ,74.079 ,592.230 ,37.83256717530672,72.78008064252994,7.617589940316504,787,712,3.645047E-3 ,2.739367E-3 ,71.275,42,70.497,6.471,235.885E-6 ,3.538,3.931,10.613,20.892,1.797 ,9.834,11.667,6.280,29.502,0.657472,0.570358,3.084 ,15.878004535147392
241.560 ,174.969 ,88.799 ,594.482 ,38.46429605675283,64.73380343418093,8.583779408181318,1166,1072,4.283502E-3 ,3.113649E-3 ,50.000,50,58.473,5.407,231.607E-6 ,3.053,3.439,9.158,20.449,1.751 ,10.187,13.892,20.762,30.562,0.669174,0.550303,3.377 ,15.094331065759636
334.834 ,188.785 ,74.978 ,598.421 ,35.210212056657625,60.04075748722762,-2.8538017181823334,1213,1089,3.096036E-3 ,2.459053E-3 ,46.667,48,50.077,6.013,186.154E-6 ,3.304,3.484,9.911,22.271,1.843 ,10.282,10.650,9.665,30.847,0.651563,0.593274,2.992 ,10.235555555555555
219.299 ,136.291 ,75.573 ,588.894 ,37.920177123192055,54.905548485551975,7.248179857605443,954,875,4.670291E-3 ,2.927835E-3 ,41.310,46,59.404,5.615,262.214E-6 ,3.179,3.401,9.537,21.970,1.816 ,9.912,13.723,21.383,29.736,0.653260,0.590341,3.035 ,11.489433106575964
260.152 ,178.240 ,78.614 ,595.096 ,37.42056508908049,62.50740718190758,-4.675161190589895,530,481,3.985468E-3 ,2.986508E-3 ,59.168,28,67.548,5.782,230.446E-6 ,3.146,3.857,9.437,22.028,1.787 ,10.587,17.498,28.284,31.762,0.639438,0.604026,2.695 ,8.929433106575964
243.430 ,175.707 ,77.827 ,632.865 ,38.579464795896236,59.87403628111836,8.796212409710439,983,895,4.175339E-3 ,3.098079E-3 ,41.865,49,59.504,5.293,220.999E-6 ,2.909,3.483,8.726,20.326,1.796 ,9.128,11.168,8.614,27.383,0.648103,0.593422,2.889 ,10.549024943310657
225.318 ,158.498 ,80.371 ,612.459 ,38.51324119775347,61.46212909850904,10.37699221035046,1495,1347,4.583122E-3 ,3.222184E-3 ,51.240,79,68.463,5.086,233.094E-6 ,2.822,3.375,8.465,19.877,1.768 ,9.450,11.908,22.966,28.351,0.655832,0.581587,3.083 ,20.99800453514739
250.542 ,145.604 ,92.051 ,553.540 ,40.45158789674262,66.6954516131519,10.172866389474965,387,358,4.064463E-3 ,2.437456E-3 ,59.174,19,60.670,5.683,231.002E-6 ,3.307,3.710,9.921,22.325,1.819 ,10.522,15.098,3.262,31.565,0.646989,0.590317,2.804 ,6.5784126984126985
235.507 ,168.388 ,76.709 ,594.844 ,39.249226409680965,59.923198444518285,8.882585699953157,637,578,4.301988E-3 ,3.207261E-3 ,44.253,30,57.820,4.269,183.664E-6 ,2.184,2.167,6.553,20.883,1.819 ,10.394,12.455,6.858,31.181,0.680440,0.529717,3.717 ,6.996371882086168
305.409 ,195.104 ,76.337 ,598.443 ,34.78329130425486,62.37780470723023,6.995507078516063,664,607,3.325809E-3 ,2.783866E-3 ,60.769,31,60.918,6.318,210.113E-6 ,3.618,4.474,10.855,22.750,1.903 ,10.625,11.733,22.819,31.875,0.654283,0.577846,2.992 ,9.138412698412699
301.258 ,177.446 ,81.762 ,591.258 ,37.816780622414754,59.52268700763166,3.6529966271699887,470,422,3.379882E-3 ,2.370525E-3 ,54.693,22,72.439,6.009,203.101E-6 ,3.346,3.920,10.039,23.452,1.960 ,11.608,14.357,20.693,34.823,0.614367,0.673027,2.127 ,6.212698412698413
301.043 ,161.235 ,82.636 ,581.899 ,33.8963640508917,55.534005157169645,2.610589403531817,370,334,3.371447E-3 ,2.204492E-3 ,55.729,19,59.139,7.077,238.592E-6 ,3.919,4.678,11.758,18.583,1.700 ,9.297,10.273,10.482,27.892,0.642201,0.601268,2.722 ,5.794739229024943
264.130 ,165.815 ,81.125 ,598.639 ,34.79155290195868,64.16069745461964,9.18538283123316,737,663,3.880737E-3 ,2.639307E-3 ,71.444,47,74.271,5.668,219.972E-6 ,3.041,3.403,9.124,22.598,1.870 ,11.483,15.737,39.927,34.450,0.665038,0.553704,3.221 ,18.80371882086168
314.742 ,171.261 ,95.567 ,587.911 ,37.78126113625908,57.2528414533559,10.749367093450227,405,365,3.226504E-3 ,2.245010E-3 ,59.635,20,61.245,5.904,190.483E-6 ,3.108,3.757,9.325,22.740,1.787 ,11.050,15.367,24.136,33.149,0.650806,0.578951,2.902 ,6.055963718820862
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,15.672703196934487,58.017868860516806,-2.0411038402949626,1,0,--undefined-- ,--undefined-- ,94.059,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,1.040453514739229
163.172 ,88.697 ,75.985 ,335.925 ,40.548972163723455,66.29496153438059,6.078541542647118,56,51,5.974842E-3 ,3.263392E-3 ,65.493,3,24.001,4.387,262.090E-6 ,2.033,1.432,6.100,21.660,2.082 ,8.538,8.935,--undefined--,25.615,0.550080,0.857057,0.894 ,1.4584126984126984
172.795 ,119.296 ,74.734 ,541.060 ,46.57721864026853,72.29216597886781,1.3042592358651715,867,811,5.875975E-3 ,3.288364E-3 ,35.983,34,32.840,4.366,256.539E-6 ,2.482,2.803,7.447,20.072,1.726 ,9.086,12.041,20.180,27.259,0.709821,0.467047,4.370 ,9.347392290249433
