Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
130.760 ,74.909 ,76.092 ,591.485 ,40.30523504160001,62.04972037121799,18.380074780374738,469,445,7.716627E-3 ,2.709576E-3 ,27.758,20,38.207,1.854,143.089E-6 ,0.724,0.931,2.172,13.991,1.260 ,5.956,9.721,15.657,17.867,0.830477,0.247523,8.434 ,5.654399092970522
158.902 ,83.489 ,104.713 ,568.322 ,42.022604647741204,61.00286679939614,17.947053282243274,608,586,6.349554E-3 ,2.168287E-3 ,26.609,15,32.293,1.965,124.779E-6 ,0.876,1.124,2.629,13.988,1.274 ,6.163,9.194,13.634,18.488,0.813472,0.276008,8.096 ,5.785011337868481
193.154 ,147.620 ,79.044 ,625.448 ,35.617022413607984,60.25933507354472,11.659816763588015,1920,1803,5.303084E-3 ,3.059256E-3 ,42.651,71,50.747,2.637,139.867E-6 ,1.229,1.432,3.687,15.446,1.402 ,7.010,10.293,13.155,21.031,0.810167,0.278408,7.809 ,20.100113378684807
147.824 ,111.166 ,75.057 ,596.860 ,32.12258154653753,58.96805320252068,11.974312212148169,336,310,6.979551E-3 ,3.311063E-3 ,57.257,16,32.494,2.386,166.513E-6 ,1.158,1.521,3.473,15.088,1.535 ,6.273,9.430,12.613,18.818,0.786280,0.333550,6.737 ,6.307460317460317
152.197 ,69.499 ,69.141 ,521.895 ,42.8060510379807,63.44909482286126,19.232957449884587,495,466,6.641799E-3 ,2.013714E-3 ,34.603,25,47.132,2.487,165.149E-6 ,1.057,1.349,3.170,15.382,1.325 ,6.480,8.614,14.484,19.440,0.812473,0.277859,7.927 ,6.072358276643991
182.453 ,135.270 ,96.072 ,594.914 ,40.425533345724475,55.59735207099449,18.943927465198016,239,220,5.614893E-3 ,3.188606E-3 ,29.091,10,36.838,2.721,152.793E-6 ,1.238,1.451,3.713,15.732,1.441 ,7.368,11.117,20.589,22.103,0.811428,0.272688,7.511 ,2.232358276643991
151.868 ,118.606 ,73.502 ,593.902 ,40.699875791631655,61.40040137240718,15.840000436043153,1020,963,6.816194E-3 ,3.392591E-3 ,29.243,32,35.503,2.825,192.541E-6 ,1.244,1.557,3.731,14.916,1.333 ,6.156,8.804,16.371,18.469,0.818644,0.267175,7.958 ,10.460929705215419
226.484 ,121.626 ,150.445 ,588.877 ,36.76522500529674,63.46838552827985,15.87497081157343,157,150,4.399311E-3 ,1.839328E-3 ,60.674,5,56.954,2.522,110.945E-6 ,1.063,1.135,3.190,14.852,1.305 ,6.676,9.237,13.934,20.029,0.842028,0.221676,9.224 ,1.8143990929705216
145.036 ,51.550 ,83.116 ,580.813 ,43.2352487788824,64.06980898162975,4.102379164901998,783,762,6.927427E-3 ,1.690457E-3 ,33.014,17,32.568,1.290,89.379E-6 ,0.538,0.625,1.613,11.372,1.059 ,4.502,6.282,10.978,13.507,0.901350,0.132626,12.096 ,8.397256235827664
125.269 ,18.579 ,102.307 ,257.300 ,39.88976750731316,63.423682297690924,13.29664429603877,509,490,7.995287E-3 ,0.993900E-3 ,41.417,16,44.393,1.566,125.241E-6 ,0.662,0.764,1.986,13.076,1.208 ,5.330,7.207,11.095,15.990,0.869315,0.179611,10.192 ,7.378480725623583
122.826 ,56.925 ,78.664 ,596.624 ,40.50494300733918,60.43982215998477,16.803954083870863,688,657,8.305479E-3 ,1.783069E-3 ,35.508,23,40.993,1.325,110.047E-6 ,0.572,0.681,1.716,14.294,1.279 ,5.409,7.477,12.494,16.226,0.863833,0.180172,9.484 ,9.389909297052155
135.630 ,76.198 ,75.284 ,597.327 ,35.916038207275996,64.53531254194853,12.36782083146889,1152,1086,7.437940E-3 ,2.465179E-3 ,59.476,53,61.149,1.660,123.498E-6 ,0.658,0.734,1.973,13.926,1.278 ,5.291,7.079,10.263,15.872,0.854381,0.207251,9.508 ,21.771950113378686
169.628 ,48.421 ,127.471 ,315.387 ,48.6286518013861,62.90007001325576,23.27254147023558,191,186,5.944555E-3 ,1.447698E-3 ,33.146,4,33.710,2.459,146.148E-6 ,1.082,1.311,3.247,14.243,1.352 ,6.723,8.826,12.416,20.170,0.781079,0.325012,6.790 ,1.8143990929705216
134.692 ,8.613 ,119.589 ,160.518 ,47.387048903869534,60.54313835449563,15.837808303437091,171,168,7.445009E-3 ,0.468627E-3 ,24.074,1,20.784,0.995,74.104E-6 ,0.430,0.526,1.291,11.040,0.988 ,4.643,6.692,12.624,13.930,0.847476,0.208344,8.730 ,1.6576643990929705
151.032 ,51.926 ,113.020 ,374.562 ,49.36280966371229,60.908398555416525,33.715020198090095,234,222,6.748147E-3 ,1.674618E-3 ,22.807,7,28.792,2.789,188.203E-6 ,1.296,1.494,3.888,14.628,1.301 ,7.445,9.791,14.158,22.334,0.726790,0.450551,4.904 ,2.3107256235827665
164.975 ,99.901 ,98.114 ,557.936 ,36.61738227380403,59.586609522077545,13.28772876905262,1098,1043,6.199439E-3 ,2.498114E-3 ,40.329,38,42.669,2.244,139.133E-6 ,1.057,1.177,3.171,14.194,1.309 ,5.735,8.477,15.088,17.206,0.836523,0.233493,8.937 ,12.185011337868481
143.411 ,115.946 ,82.064 ,597.434 ,41.51381101508935,59.47681737126967,0.9884415411316003,520,487,7.199848E-3 ,3.450469E-3 ,19.029,17,25.718,2.597,186.954E-6 ,1.247,1.598,3.740,15.450,1.413 ,7.469,9.045,11.741,22.407,0.798281,0.300560,7.140 ,5.184195011337868
147.807 ,103.439 ,78.881 ,597.445 ,40.65077767440868,64.69182566948437,17.155640457231197,237,225,6.671058E-3 ,3.015416E-3 ,36.680,9,39.666,2.823,188.302E-6 ,1.187,1.478,3.560,17.432,1.487 ,7.045,10.884,18.957,21.135,0.797368,0.315653,7.071 ,2.6241950113378687
174.885 ,154.859 ,74.744 ,587.973 ,45.94178056829558,61.551479059312236,20.42080507747248,377,350,6.046945E-3 ,4.028466E-3 ,26.567,13,28.056,3.847,232.636E-6 ,1.785,2.203,5.355,18.877,1.637 ,7.871,9.719,12.494,23.612,0.757026,0.380281,6.046 ,3.3817460317460317
158.886 ,131.977 ,75.410 ,596.306 ,39.96664850036677,63.1234344006581,17.949162469298237,285,257,6.890272E-3 ,3.676681E-3 ,48.519,13,57.115,3.176,218.839E-6 ,1.606,1.903,4.818,18.038,1.570 ,8.478,9.480,14.966,25.435,0.788288,0.327567,7.139 ,4.426643990929705
188.145 ,88.760 ,122.062 ,479.762 ,40.93175750943435,65.22615094222982,16.49574057687605,71,62,5.549065E-3 ,1.673335E-3 ,61.905,7,30.489,2.741,152.075E-6 ,1.176,1.683,3.527,13.872,1.263 ,6.004,7.822,29.688,18.012,0.708545,0.485402,4.413 ,1.2919501133786848
171.399 ,56.235 ,89.677 ,587.279 ,41.026007392712984,63.30221940652023,17.351845950229865,409,391,5.865459E-3 ,1.347357E-3 ,45.011,12,44.282,2.010,117.873E-6 ,0.887,0.989,2.662,11.944,1.087 ,5.014,7.292,10.890,15.043,0.821995,0.275884,8.154 ,4.740113378684807
141.685 ,49.648 ,71.657 ,599.399 ,43.36909557430928,66.50839412926983,16.049943330263826,928,896,7.101446E-3 ,1.462830E-3 ,37.657,27,42.572,1.554,110.348E-6 ,0.681,0.794,2.044,12.560,1.138 ,5.397,7.229,12.035,16.191,0.865186,0.186656,9.725 ,11.218480725623582
134.861 ,13.430 ,94.856 ,165.369 ,43.270549960230625,66.38775390289074,18.946266887018787,328,315,7.407222E-3 ,0.777292E-3 ,42.174,12,30.994,1.850,137.014E-6 ,0.739,0.839,2.216,14.371,1.314 ,5.302,7.156,12.387,15.907,0.824711,0.256319,8.170 ,4.63562358276644
160.991 ,96.985 ,75.600 ,624.398 ,43.757889416989684,64.72316673396999,16.88130197617015,696,665,6.306100E-3 ,2.387124E-3 ,40.025,22,45.110,2.006,126.508E-6 ,0.871,0.983,2.614,15.166,1.309 ,6.154,8.604,11.463,18.461,0.791108,0.311375,6.925 ,8.057664399092971
140.928 ,23.036 ,103.282 ,256.079 ,44.979689334443925,64.28000293187262,25.54395383835513,247,240,7.092732E-3 ,1.092073E-3 ,30.712,6,19.705,2.148,152.326E-6 ,1.028,1.359,3.084,12.674,1.187 ,5.394,7.759,12.414,16.181,0.840187,0.223565,8.683 ,2.702562358276644
149.471 ,28.396 ,102.774 ,211.104 ,40.89659378889464,62.81010218381554,16.333820445616173,216,212,6.716553E-3 ,1.337446E-3 ,40.239,3,19.122,2.001,134.407E-6 ,0.895,1.054,2.686,14.547,1.329 ,6.915,8.501,10.874,20.744,0.815076,0.284408,7.765 ,2.545827664399093
126.100 ,54.017 ,96.507 ,590.961 ,39.33877875381144,66.25759575575982,17.701558332546615,205,192,8.105836E-3 ,1.521939E-3 ,55.366,11,59.421,1.318,106.825E-6 ,0.533,0.626,1.599,12.279,1.203 ,5.278,6.194,8.138,15.834,0.837955,0.223014,8.499 ,4.139297052154195
153.600 ,17.836 ,101.903 ,171.249 ,41.42960019631873,68.94133467371114,17.961538609753713,64,61,6.529239E-3 ,0.864554E-3 ,56.000,1,18.194,1.159,75.642E-6 ,0.211,0.341,0.634,11.520,1.164 ,4.962,7.217,10.077,14.885,0.847341,0.203205,8.457 ,1.0307256235827664
154.234 ,55.680 ,76.547 ,598.646 ,41.03911823261151,65.97800763530309,15.543877263551737,1379,1336,6.549270E-3 ,1.503628E-3 ,47.611,35,46.548,1.565,102.480E-6 ,0.653,0.704,1.960,12.646,1.166 ,5.064,7.047,11.806,15.191,0.862258,0.194098,9.937 ,18.03643990929705
220.963 ,181.290 ,116.197 ,598.773 ,30.20086975895598,66.00523387852878,12.23253216261379,134,121,4.728388E-3 ,3.027359E-3 ,79.653,6,82.604,3.195,151.090E-6 ,1.519,1.415,4.558,17.678,1.550 ,7.055,7.649,18.178,21.165,0.770083,0.339993,6.162 ,4.060929705215419
138.364 ,38.656 ,83.476 ,490.206 ,44.49566875420544,72.51142857344291,16.97206900270733,735,698,7.271538E-3 ,1.396823E-3 ,49.206,31,50.953,1.345,97.798E-6 ,0.561,0.603,1.683,12.727,1.077 ,5.661,7.042,9.901,16.982,0.862018,0.199486,10.357 ,10.74827664399093
178.773 ,74.444 ,93.387 ,556.367 ,37.33496612553953,70.41180959585793,4.715638032924225,538,508,5.631749E-3 ,1.754041E-3 ,71.556,23,73.067,1.650,92.915E-6 ,0.605,0.655,1.816,13.989,1.207 ,6.119,7.511,9.032,18.356,0.790814,0.311889,6.751 ,11.218480725623582
173.115 ,106.247 ,75.782 ,596.716 ,46.345949383356604,70.26968348846016,20.38951455996545,769,732,5.842453E-3 ,2.481512E-3 ,41.798,26,40.903,2.071,120.990E-6 ,0.876,0.952,2.628,13.211,1.244 ,5.583,8.178,14.424,16.749,0.836868,0.242508,8.782 ,8.266643990929705
132.202 ,25.555 ,78.435 ,311.208 ,46.23635780264362,73.49677906618282,20.707313107873336,604,580,7.612343E-3 ,1.259412E-3 ,46.571,22,50.598,1.440,109.615E-6 ,0.527,0.619,1.580,11.290,1.027 ,4.468,6.379,9.284,13.403,0.873011,0.172561,10.121 ,9.076439909297052
135.325 ,56.092 ,75.109 ,598.705 ,42.05594130848978,66.5718124636158,5.923343682544354,420,407,7.413360E-3 ,1.761944E-3 ,47.377,9,43.982,1.488,110.307E-6 ,0.719,0.889,2.157,11.808,1.070 ,4.837,6.545,10.357,14.512,0.879269,0.162421,10.715 ,6.516439909297052
142.910 ,63.420 ,81.678 ,554.213 ,45.28976974720737,67.135465160613,20.462483241468753,708,683,7.035292E-3 ,2.048658E-3 ,40.406,19,42.042,1.912,134.524E-6 ,0.837,0.943,2.510,12.660,1.219 ,5.109,7.724,14.072,15.327,0.849910,0.219735,9.384 ,8.89358276643991
134.093 ,46.180 ,90.510 ,504.713 ,44.95842332871711,67.47904972981351,19.73706521377466,736,710,7.446603E-3 ,1.654642E-3 ,37.959,23,35.037,1.777,132.314E-6 ,0.781,0.894,2.344,13.734,1.219 ,5.762,8.330,13.977,17.287,0.851760,0.210794,9.145 ,9.833990929705216
125.798 ,13.713 ,87.105 ,164.803 ,45.745818970937435,65.43577067315128,16.88033519789711,309,298,7.968948E-3 ,0.910300E-3 ,33.418,10,39.066,1.938,154.404E-6 ,0.848,1.125,2.544,13.655,1.315 ,6.350,8.215,11.769,19.049,0.837336,0.240790,8.613 ,3.982562358276644
131.802 ,85.178 ,96.188 ,557.663 ,44.54822633313986,68.22945339892559,17.044325854626237,325,309,7.736362E-3 ,2.585902E-3 ,42.887,10,31.710,1.842,142.527E-6 ,0.819,1.094,2.457,14.576,1.353 ,6.667,8.780,15.047,20.000,0.837276,0.244582,8.682 ,4.740113378684807
133.865 ,106.360 ,87.576 ,539.220 ,46.718849891685736,69.99552862231535,1.4642848942564346,108,103,7.493723E-3 ,3.442741E-3 ,53.403,3,44.503,3.026,226.730E-6 ,1.127,1.770,3.381,11.795,1.122 ,5.617,7.938,8.338,16.850,0.803417,0.292463,7.349 ,1.9450113378684808
158.003 ,57.709 ,95.687 ,586.843 ,48.27321807438035,71.76287757552731,24.14579774301922,477,464,6.397775E-3 ,1.611392E-3 ,41.728,11,34.928,1.343,85.942E-6 ,0.510,0.637,1.529,14.417,1.280 ,5.937,8.855,14.377,17.811,0.861912,0.189934,9.641 ,5.471541950113378
