Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
141.282 ,13.895 ,123.596 ,173.802 ,40.87884494411044,71.1087107861652,18.703426893997605,100,98,7.124372E-3 ,0.771705E-3 ,64.322,1,2.522,2.344,166.994E-6 ,1.107,1.571,3.322,13.483,1.375 ,5.741,8.477,13.913,17.224,0.808172,0.297180,7.351 ,2.0233786848072564
143.119 ,57.108 ,82.354 ,580.363 ,51.825691175603616,65.78567382378039,19.413805194254362,414,400,6.974010E-3 ,1.923233E-3 ,26.761,13,28.409,2.145,149.587E-6 ,0.765,1.029,2.295,11.045,1.011 ,4.732,6.695,11.895,14.196,0.826396,0.258245,8.385 ,4.296031746031746
119.289 ,43.851 ,82.859 ,561.281 ,47.50638882393404,64.02845397456946,13.12161016053354,265,255,8.388626E-3 ,1.696384E-3 ,32.184,8,25.710,2.155,180.779E-6 ,0.883,1.272,2.649,11.685,1.045 ,5.121,7.940,12.280,15.364,0.808674,0.285415,7.666 ,3.512358276643991
122.484 ,18.851 ,83.211 ,173.464 ,44.90931216651006,63.85042456323981,11.234317936907951,312,302,8.153237E-3 ,1.252604E-3 ,34.689,8,24.383,2.076,169.230E-6 ,0.889,1.222,2.667,13.064,1.228 ,5.414,8.183,13.876,16.242,0.825581,0.250931,8.396 ,4.21766439909297
133.331 ,43.003 ,84.920 ,596.710 ,42.19081189102669,61.166720874601765,6.411854811592878,541,521,7.558854E-3 ,1.609443E-3 ,33.542,16,27.747,1.900,143.649E-6 ,0.796,0.928,2.387,10.817,1.020 ,4.316,6.290,10.603,12.948,0.843507,0.228720,9.243 ,6.411950113378685
136.780 ,66.175 ,92.804 ,573.163 ,44.6058501649355,59.01461443628107,-4.01489612189123,389,375,7.322802E-3 ,2.047384E-3 ,31.663,13,33.089,2.212,161.952E-6 ,0.981,1.150,2.944,12.729,1.173 ,5.349,8.097,13.037,16.046,0.820386,0.264491,8.206 ,4.426643990929705
119.301 ,31.884 ,77.400 ,202.418 ,33.27752161100501,55.777317661439206,12.90457484498331,100,95,8.363860E-3 ,2.119170E-3 ,55.652,4,41.811,3.177,265.758E-6 ,1.366,1.361,4.098,16.213,1.339 ,7.275,10.726,15.039,21.824,0.770484,0.346362,5.952 ,2.336848072562358
125.968 ,51.663 ,80.155 ,589.924 ,43.09820718318464,62.03149402596944,15.781008721896328,610,583,8.000711E-3 ,2.002160E-3 ,42.023,21,43.923,2.602,208.163E-6 ,0.954,1.142,2.863,11.044,1.019 ,4.691,6.269,9.821,14.072,0.834351,0.241216,8.549 ,9.62501133786848
112.069 ,17.011 ,78.668 ,148.691 ,43.64346947672294,63.648622009837325,14.241422743872299,551,532,8.913991E-3 ,1.342982E-3 ,38.747,17,34.559,1.969,175.489E-6 ,0.741,0.962,2.224,11.037,1.001 ,4.972,6.453,9.306,14.915,0.824747,0.255765,8.078 ,8.658480725623583
116.659 ,20.565 ,75.554 ,189.746 ,42.92755996961768,62.029128344111264,16.63608623888255,406,389,8.573823E-3 ,1.473707E-3 ,37.914,16,44.299,2.068,177.268E-6 ,0.761,0.939,2.283,11.407,1.026 ,4.583,6.697,11.277,13.749,0.836293,0.239767,8.844 ,6.072358276643991
131.848 ,58.055 ,81.233 ,585.904 ,42.68240391499019,62.10603384913782,16.099366311341686,417,392,7.621465E-3 ,2.067261E-3 ,43.932,21,45.336,2.428,185.023E-6 ,0.913,1.177,2.740,11.476,1.064 ,5.151,6.804,11.299,15.452,0.810134,0.287608,7.870 ,6.542562358276644
123.832 ,21.765 ,78.026 ,205.391 ,44.47260726246545,60.46297961842629,11.721662965495662,575,551,8.081231E-3 ,1.379574E-3 ,33.607,22,26.894,2.199,177.700E-6 ,0.883,1.081,2.650,10.314,0.958 ,4.663,6.187,9.102,13.988,0.841224,0.229222,8.954 ,7.352358276643991
127.639 ,36.405 ,84.799 ,496.417 ,39.59811444337949,59.82996284818228,13.127917312423694,1019,979,7.846735E-3 ,1.503955E-3 ,43.174,36,49.089,1.964,154.094E-6 ,0.735,0.928,2.206,11.433,1.073 ,5.269,6.870,9.278,15.808,0.848694,0.213094,9.228 ,15.345827664399094
124.571 ,19.975 ,77.037 ,194.103 ,38.41806032587849,58.68239472655665,11.449831087482575,667,636,8.054235E-3 ,1.278347E-3 ,43.702,29,37.979,2.303,185.488E-6 ,0.965,1.078,2.894,10.660,1.001 ,4.318,5.921,9.037,12.955,0.835738,0.242082,8.675 ,10.356439909297052
124.288 ,22.501 ,87.501 ,173.077 ,39.673131671700006,60.95769054864821,13.534523381129489,340,329,8.070315E-3 ,1.464424E-3 ,38.429,9,41.883,1.950,157.369E-6 ,0.644,0.879,1.931,10.945,1.030 ,4.605,6.438,10.532,13.816,0.840775,0.223270,8.481 ,4.740113378684807
131.000 ,25.932 ,79.435 ,225.011 ,37.920988793699806,61.90883835206474,11.504014719995732,594,571,7.661613E-3 ,1.485360E-3 ,46.719,22,50.877,2.016,154.495E-6 ,0.748,0.974,2.245,10.099,0.949 ,4.346,5.832,9.903,13.039,0.852944,0.211363,9.438 ,9.024195011337868
129.338 ,39.010 ,75.436 ,565.990 ,40.43844704862835,61.58672989704543,13.826794906083322,759,722,7.774570E-3 ,1.615283E-3 ,39.681,29,36.223,2.091,162.589E-6 ,0.774,0.907,2.322,10.956,1.024 ,4.641,6.257,11.242,13.923,0.848806,0.216897,9.149 ,10.696031746031746
130.382 ,60.751 ,85.850 ,572.450 ,37.215895697954856,60.1550952205309,11.456711593442288,605,572,7.702745E-3 ,2.122464E-3 ,44.918,23,28.377,2.401,184.965E-6 ,0.893,1.160,2.678,11.465,1.095 ,4.987,7.190,11.016,14.962,0.826142,0.260368,8.342 ,9.18092970521542
119.414 ,34.664 ,78.650 ,464.805 ,37.131667410082244,58.85164304903638,10.191250764832764,597,571,8.428432E-3 ,1.691246E-3 ,41.379,22,32.583,1.997,168.336E-6 ,0.740,0.877,2.219,10.345,1.002 ,4.606,6.281,8.803,13.818,0.856884,0.196352,9.394 ,9.311541950113378
123.540 ,46.854 ,88.080 ,570.135 ,40.30044426569437,58.23871628862712,13.386787545428096,675,656,8.155034E-3 ,1.849374E-3 ,33.886,16,36.000,1.857,151.403E-6 ,0.758,0.974,2.275,9.568,0.934 ,4.364,6.133,9.196,13.093,0.864955,0.192557,9.887 ,8.47562358276644
121.453 ,38.310 ,84.558 ,589.074 ,35.308719697568506,59.845253123539656,8.180777671589427,1143,1096,8.279958E-3 ,1.632529E-3 ,47.757,43,47.043,2.050,169.754E-6 ,0.727,0.967,2.181,10.806,0.992 ,4.808,6.496,9.964,14.425,0.837881,0.232455,8.642 ,19.420929705215418
125.031 ,21.517 ,76.179 ,177.689 ,37.08120241752304,55.85596477378627,10.58905185877379,369,350,8.012929E-3 ,1.469557E-3 ,38.058,17,44.053,2.570,205.944E-6 ,0.960,1.242,2.879,11.329,1.025 ,5.068,7.148,9.573,15.204,0.828042,0.256987,8.689 ,5.184195011337868
123.312 ,24.332 ,76.460 ,207.456 ,33.789098098630454,57.372203727970266,9.318231380443518,963,919,8.146526E-3 ,1.604697E-3 ,51.284,41,46.986,2.337,190.369E-6 ,0.719,0.993,2.158,10.507,0.935 ,4.547,6.196,9.189,13.641,0.818258,0.266773,8.171 ,17.17439909297052
118.095 ,32.679 ,80.100 ,591.092 ,35.01535793758519,55.14924276427501,9.184028167570284,905,866,8.493692E-3 ,1.627643E-3 ,43.305,35,47.648,2.135,181.301E-6 ,0.802,0.998,2.405,10.414,0.966 ,4.593,6.693,10.592,13.778,0.830235,0.245559,8.483 ,14.379297052154195
122.152 ,24.461 ,78.592 ,280.942 ,32.209027932392644,54.57817689713902,9.967166592778616,399,376,8.193346E-3 ,1.358153E-3 ,55.742,19,43.173,2.160,177.006E-6 ,0.763,0.920,2.289,11.612,1.083 ,4.985,7.279,15.049,14.956,0.827118,0.247048,8.108 ,8.397256235827664
123.381 ,19.168 ,82.149 ,197.082 ,36.13793026009897,54.796733700344674,10.417324425551602,569,543,8.108584E-3 ,1.218284E-3 ,43.002,25,49.819,2.580,209.205E-6 ,1.063,1.270,3.189,9.945,0.986 ,4.223,5.793,8.685,12.669,0.814814,0.282583,8.122 ,8.89358276643991
117.665 ,19.277 ,80.705 ,192.094 ,35.8501692563863,54.468823860304944,10.759416729180877,564,545,8.508735E-3 ,1.363516E-3 ,37.154,17,31.408,1.900,161.654E-6 ,0.629,0.910,1.887,10.611,1.011 ,4.794,6.473,9.083,14.383,0.842891,0.228550,8.697 ,7.979297052154195
123.166 ,20.203 ,74.633 ,186.188 ,32.059765272678284,55.13133603187413,7.366914568685924,762,732,8.136099E-3 ,1.416018E-3 ,50.968,29,52.576,2.261,183.938E-6 ,0.799,0.955,2.396,10.620,1.016 ,4.706,6.208,8.720,14.118,0.833387,0.249908,9.088 ,12.942562358276644
126.132 ,42.766 ,79.220 ,540.553 ,30.331861372825564,54.65220687861577,9.936794919579942,468,435,8.025354E-3 ,1.653180E-3 ,55.423,26,61.044,2.548,204.483E-6 ,0.872,1.041,2.615,11.117,1.029 ,4.820,6.603,9.853,14.459,0.799312,0.302988,7.203 ,9.259297052154196
139.187 ,48.251 ,89.169 ,545.543 ,38.59099399027579,54.87625750550102,10.31620521758757,672,650,7.216523E-3 ,1.702402E-3 ,34.275,17,32.945,2.059,148.599E-6 ,0.750,0.914,2.250,10.381,0.976 ,4.679,6.173,9.345,14.038,0.862741,0.196465,9.843 ,7.822562358276644
133.931 ,46.642 ,74.279 ,564.697 ,32.53600550148222,51.751091919738144,9.137212577608585,792,759,7.493669E-3 ,1.796132E-3 ,37.500,29,44.522,2.143,160.574E-6 ,0.716,0.989,2.148,11.471,1.093 ,4.998,7.077,11.006,14.995,0.832261,0.242715,8.659 ,10.356439909297052
135.665 ,57.706 ,76.636 ,582.206 ,29.290147230106406,51.7577078794691,7.502236430855104,962,924,7.440748E-3 ,2.053116E-3 ,45.683,32,44.534,2.179,162.153E-6 ,0.763,0.971,2.288,12.143,1.094 ,5.283,7.207,10.895,15.850,0.837654,0.237465,8.751 ,13.935215419501134
116.871 ,15.095 ,90.196 ,153.945 ,26.154903360166337,50.22604082070379,-2.4637769616023877,144,138,8.558734E-3 ,1.107925E-3 ,62.571,5,15.556,2.108,180.445E-6 ,0.917,1.105,2.752,10.471,0.990 ,4.749,6.057,8.546,14.248,0.823646,0.264006,7.961 ,3.538480725623583
139.566 ,19.883 ,120.711 ,175.823 ,36.93539159716717,69.62489852876173,16.43514992827147,58,56,7.186654E-3 ,0.968691E-3 ,71.053,1,7.686,1.700,122.188E-6 ,0.694,0.764,2.083,15.130,1.394 ,7.167,10.558,14.026,21.502,0.816395,0.245975,7.068 ,1.5531746031746032
131.963 ,52.917 ,77.127 ,560.033 ,50.97884974369555,66.826722499677,10.915800279759475,538,520,7.645949E-3 ,1.897402E-3 ,26.007,13,31.913,2.033,155.409E-6 ,0.842,0.964,2.527,11.499,1.082 ,5.039,7.372,13.034,15.116,0.821814,0.270557,8.406 ,5.993990929705215
121.558 ,14.859 ,86.002 ,155.912 ,46.392094365516584,61.79762553868692,14.73739730906682,485,471,8.246837E-3 ,1.073220E-3 ,27.866,12,30.700,2.192,180.756E-6 ,0.903,1.150,2.710,10.794,1.031 ,4.539,6.511,10.422,13.617,0.841852,0.230589,8.822 ,5.706643990929705
123.944 ,37.104 ,82.486 ,555.167 ,40.6218782968199,61.40656313199811,10.80467038265897,773,748,8.075005E-3 ,1.549491E-3 ,36.686,20,36.051,1.903,153.659E-6 ,0.769,1.001,2.306,11.496,1.069 ,4.806,6.689,11.658,14.419,0.836198,0.236602,8.628 ,10.173582766439909
136.045 ,59.914 ,83.006 ,525.223 ,40.91196813448381,61.758300243814375,9.250527782392911,776,749,7.420077E-3 ,2.027577E-3 ,36.929,22,41.532,2.401,178.167E-6 ,1.000,1.151,3.001,11.431,1.094 ,4.860,7.271,11.537,14.579,0.836633,0.238068,8.751 ,9.677256235827665
136.200 ,53.131 ,81.377 ,580.498 ,44.61858919482134,63.6025537440414,8.41639612808258,598,583,7.404937E-3 ,1.886310E-3 ,32.401,13,25.351,2.394,177.306E-6 ,0.929,1.121,2.786,10.613,1.042 ,4.301,6.353,11.219,12.903,0.845837,0.218666,9.043 ,6.829909297052154
133.454 ,38.433 ,77.644 ,429.569 ,41.868967327711104,62.01031410565112,9.113239805902621,1415,1369,7.520675E-3 ,1.714851E-3 ,38.653,42,39.474,2.025,152.277E-6 ,0.789,0.964,2.368,11.743,1.080 ,4.813,7.153,11.617,14.439,0.848985,0.218435,9.326 ,18.14092970521542
133.891 ,45.558 ,78.533 ,598.366 ,40.564436914338486,61.601689249114656,9.062449902582344,595,574,7.533855E-3 ,1.727614E-3 ,38.781,20,42.106,2.696,203.111E-6 ,1.015,1.246,3.046,13.561,1.224 ,6.179,9.311,16.082,18.536,0.802705,0.294473,7.390 ,7.744195011337869
133.901 ,58.418 ,80.853 ,576.676 ,38.24331077230457,59.429265405851375,8.802018671983856,988,952,7.564526E-3 ,1.974218E-3 ,38.341,27,27.996,2.272,171.829E-6 ,0.947,1.209,2.841,12.927,1.199 ,5.242,7.921,13.688,15.727,0.834581,0.234762,8.532 ,12.811950113378686
141.907 ,70.605 ,85.336 ,585.665 ,42.524234745716335,57.54791953750268,9.253976398931963,633,612,7.143329E-3 ,2.263663E-3 ,29.167,14,23.011,2.212,158.038E-6 ,0.859,1.143,2.576,11.309,1.022 ,5.071,7.258,11.000,15.213,0.840451,0.234917,9.184 ,6.516439909297052
144.958 ,52.812 ,86.768 ,584.383 ,40.794840635187626,60.295791402782626,7.053673482152747,1343,1304,6.941678E-3 ,1.774006E-3 ,36.512,34,35.639,2.281,158.329E-6 ,0.872,1.051,2.616,11.322,1.045 ,4.607,6.913,11.231,13.822,0.843764,0.221735,9.146 ,15.345827664399094
135.424 ,27.399 ,77.799 ,202.786 ,37.760261863925855,56.63466010658348,6.9812774377655735,356,343,7.415528E-3 ,1.580019E-3 ,36.902,12,29.808,2.497,185.132E-6 ,1.006,1.148,3.018,11.959,1.148 ,4.637,7.150,10.931,13.912,0.837218,0.227103,8.544 ,4.426643990929705
127.964 ,23.139 ,81.163 ,186.920 ,34.915215454429294,57.43124936799238,8.130334395063802,543,527,7.832919E-3 ,1.415541E-3 ,40.731,13,26.228,2.107,165.031E-6 ,0.818,1.010,2.453,11.608,1.082 ,4.766,7.062,12.317,14.297,0.830424,0.246524,8.253 ,7.6919501133786845
142.802 ,58.551 ,78.239 ,586.150 ,38.23547840397181,58.35701617656511,7.878673838536125,1177,1142,7.042376E-3 ,1.983437E-3 ,35.137,29,38.261,2.196,154.639E-6 ,0.864,1.067,2.592,11.535,1.097 ,4.725,6.660,11.726,14.176,0.835922,0.231745,8.609 ,13.151541950113378
140.249 ,70.892 ,76.250 ,570.892 ,37.29036576016478,55.19211492699176,6.575710000061403,786,758,7.218117E-3 ,2.322676E-3 ,30.000,21,35.664,2.431,175.464E-6 ,1.050,1.270,3.151,12.608,1.159 ,5.466,7.863,13.014,16.398,0.811400,0.281411,7.810 ,8.632358276643991
130.828 ,23.032 ,80.947 ,209.360 ,40.57947804610744,58.50121290672428,7.729384255281412,592,581,7.660310E-3 ,1.346300E-3 ,28.614,10,32.504,1.735,132.881E-6 ,0.673,0.892,2.018,10.991,1.030 ,4.773,6.759,11.097,14.319,0.854131,0.199241,8.979 ,6.673174603174603
136.971 ,55.186 ,76.966 ,455.713 ,36.21212985000707,56.39998624239269,6.193264712975085,850,814,7.353839E-3 ,2.149818E-3 ,41.245,26,38.581,2.420,177.971E-6 ,0.965,1.091,2.896,12.403,1.098 ,5.633,7.472,10.320,16.900,0.829326,0.254149,8.505 ,11.113990929705215
