Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
181.961 ,130.139 ,75.587 ,591.999 ,63.74716066543299,78.77033617307794,5.460862966762469,1905,1818,5.676853E-3 ,3.111255E-3 ,16.727,39,21.702,3.555,201.803E-6 ,1.922,2.361,5.765,18.690,1.620 ,9.190,12.622,20.055,27.570,0.767098,0.359407,6.081 ,13.788208616780045
186.973 ,140.957 ,71.632 ,598.930 ,62.60895142105499,78.05907476383001,8.899430863249352,1914,1806,5.523294E-3 ,3.255795E-3 ,19.946,46,27.669,3.453,190.740E-6 ,1.860,2.131,5.579,18.686,1.609 ,9.195,13.244,16.563,27.585,0.766937,0.357984,6.166 ,14.728616780045352
198.534 ,131.034 ,78.080 ,541.198 ,56.62138609662823,75.08476412120189,6.575632092497457,492,475,5.099828E-3 ,3.010606E-3 ,34.831,9,42.154,3.462,176.566E-6 ,1.794,2.193,5.382,18.014,1.553 ,8.643,11.451,15.839,25.930,0.777245,0.324070,6.318 ,4.488616780045351
180.286 ,138.025 ,79.769 ,597.637 ,61.02064361245373,77.41811092623563,11.323425173555343,1072,1018,5.710989E-3 ,3.262114E-3 ,23.017,29,27.788,3.306,188.779E-6 ,1.747,2.018,5.242,19.250,1.667 ,9.934,13.382,17.348,29.802,0.752752,0.391219,5.787 ,8.981678004535148
188.836 ,147.990 ,74.606 ,598.422 ,57.13846231959538,78.82257980169526,10.86152770342032,1046,997,5.455003E-3 ,3.435905E-3 ,37.525,25,28.080,3.667,200.009E-6 ,1.972,2.393,5.915,18.388,1.564 ,8.761,11.617,15.270,26.282,0.771005,0.350951,6.323 ,10.131065759637188
138.704 ,28.330 ,91.161 ,208.223 ,39.63532910443147,70.66843822518106,4.7198033811741045,312,292,7.214251E-3 ,1.473846E-3 ,63.979,18,68.095,3.324,239.791E-6 ,1.651,1.773,4.953,18.036,1.581 ,8.182,12.750,15.233,24.547,0.725226,0.440402,4.840 ,7.727800453514739
166.381 ,109.868 ,97.703 ,548.820 ,71.24969978372123,81.7986611863847,-1.6949116923640584,460,431,6.188552E-3 ,2.852668E-3 ,26.742,16,35.411,2.847,176.193E-6 ,1.492,1.626,4.477,17.594,1.504 ,9.099,11.457,17.178,27.298,0.747602,0.397122,5.396 ,4.488616780045351
136.027 ,79.212 ,84.319 ,595.638 ,69.02227662028648,80.62100194493637,35.227961519313425,964,919,7.438516E-3 ,2.653480E-3 ,31.616,32,38.225,2.231,165.954E-6 ,1.068,1.247,3.205,16.234,1.398 ,8.325,10.253,12.490,24.976,0.759377,0.368436,5.805 ,11.489433106575964
159.426 ,115.075 ,71.255 ,598.929 ,69.96689575851762,81.60834780815208,29.91480672832943,932,857,6.522351E-3 ,3.029389E-3 ,33.556,43,43.212,3.019,196.897E-6 ,1.546,1.763,4.637,17.943,1.546 ,9.118,11.382,13.345,27.354,0.714221,0.450704,4.428 ,10.496780045351475
163.073 ,119.161 ,74.676 ,531.873 ,69.29773124705154,79.82100018939647,14.950100607094443,480,463,6.176657E-3 ,3.088093E-3 ,25.393,13,24.887,2.953,182.385E-6 ,1.561,1.843,4.684,16.639,1.421 ,8.924,11.208,15.531,26.773,0.756707,0.370142,5.582 ,4.488616780045351
174.262 ,123.464 ,74.936 ,588.422 ,68.16187055107075,79.88703590153077,14.551848129483796,547,516,5.782669E-3 ,3.013263E-3 ,37.402,20,47.267,3.288,190.108E-6 ,1.660,2.160,4.980,17.502,1.495 ,9.418,12.075,15.779,28.254,0.727742,0.428845,4.734 ,6.421678004535147
152.051 ,100.445 ,79.213 ,568.998 ,68.26875685729237,80.49888297899352,4.233440370933513,804,759,6.662760E-3 ,2.967308E-3 ,31.965,32,41.067,3.513,234.050E-6 ,1.866,2.192,5.599,18.240,1.558 ,9.302,11.939,14.818,27.905,0.731101,0.416066,4.819 ,9.29514739229025
141.796 ,94.281 ,76.444 ,570.662 ,67.00979909507019,79.7376170387774,11.857941140336639,912,859,7.230760E-3 ,2.753934E-3 ,38.784,38,45.273,3.037,219.591E-6 ,1.655,1.918,4.964,17.838,1.571 ,8.667,10.958,15.051,26.000,0.717435,0.445976,4.539 ,12.691065759637189
182.360 ,114.369 ,94.942 ,554.350 ,66.73175041334034,78.49649010695309,-1.8407974946401322,420,391,5.561302E-3 ,2.742006E-3 ,45.318,17,45.212,3.706,206.123E-6 ,2.033,2.296,6.098,17.866,1.504 ,7.970,11.764,14.372,23.910,0.712309,0.456086,4.376 ,5.376780045351474
156.087 ,109.524 ,71.801 ,582.594 ,69.076507414725,79.7307778122698,12.856877651035319,1509,1421,6.492973E-3 ,3.060034E-3 ,37.560,62,47.509,3.299,214.224E-6 ,1.859,2.142,5.577,18.306,1.560 ,9.656,12.056,14.152,28.969,0.702245,0.478721,4.167 ,18.646984126984126
162.730 ,99.821 ,90.906 ,568.739 ,66.68135046420731,78.27118700026836,5.355124848270202,381,352,6.177806E-3 ,2.662937E-3 ,50.000,22,54.039,3.576,220.918E-6 ,1.848,1.945,5.545,19.336,1.626 ,10.407,13.300,13.285,31.221,0.665857,0.548170,3.173 ,5.899229024943311
170.653 ,131.205 ,92.410 ,546.211 ,60.966796772208035,76.72975263549007,3.141880907021683,324,299,6.080738E-3 ,3.434748E-3 ,53.414,13,43.297,3.724,226.476E-6 ,2.100,2.265,6.300,17.259,1.505 ,9.110,11.377,11.254,27.330,0.683761,0.506694,3.653 ,5.011065759637188
126.340 ,45.834 ,95.432 ,452.871 ,67.47973935567914,78.27757237394317,-3.3129555877655656,380,354,7.979164E-3 ,1.888582E-3 ,45.799,25,53.082,3.906,311.631E-6 ,2.189,2.547,6.568,19.763,1.737 ,10.655,12.120,14.890,31.966,0.632803,0.627684,2.513 ,7.4143310657596375
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,8.831857109161364,78.29408728066834,1.377744448871205,1,0,--undefined-- ,--undefined-- ,99.677,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,3.130249433106576
153.795 ,64.415 ,91.191 ,550.282 ,76.43261971064129,83.5863275777355,-30.276159997551332,413,393,6.571665E-3 ,1.697109E-3 ,30.682,16,37.487,1.609,105.770E-6 ,0.836,1.060,2.507,15.694,1.348 ,8.186,9.780,10.352,24.559,0.699074,0.493976,4.161 ,4.436371882086168
123.882 ,36.311 ,78.269 ,468.108 ,75.11555323646513,83.62229908853169,17.593391635919563,669,638,8.124605E-3 ,1.530424E-3 ,31.209,26,39.213,1.631,132.534E-6 ,0.846,0.975,2.537,16.440,1.422 ,8.625,10.228,12.814,25.874,0.716347,0.444866,4.398 ,9.138412698412699
