Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
108.728 ,34.403 ,78.649 ,420.644 ,48.88278266908249,65.26829855454493,13.597458395652623,212,202,9.306784E-3 ,1.556532E-3 ,41.972,9,37.915,3.232,300.790E-6 ,1.391,1.318,4.173,13.453,1.130 ,6.646,7.819,11.619,19.937,0.796956,0.299765,7.395 ,3.5869791666666666
169.724 ,141.778 ,78.103 ,595.750 ,48.45110670879102,71.24141849973304,10.267541062288485,1768,1650,6.133419E-3 ,3.673936E-3 ,43.283,69,50.487,3.421,209.806E-6 ,1.736,1.797,5.208,17.016,1.462 ,8.123,9.830,15.110,24.368,0.772980,0.350897,6.501 ,21.178979166666668
195.428 ,159.138 ,77.888 ,586.330 ,50.67435818370913,73.20056667286727,17.928444944414615,394,356,5.499033E-3 ,3.700522E-3 ,45.356,15,38.039,5.427,298.415E-6 ,2.773,3.167,8.318,16.899,1.474 ,7.299,8.194,9.126,21.898,0.739537,0.409760,5.638 ,4.666979166666667
157.260 ,134.479 ,77.032 ,599.762 ,53.66612567111326,71.27130584167782,27.31322121923703,488,448,6.564338E-3 ,4.054876E-3 ,35.630,24,37.672,5.221,342.730E-6 ,2.855,2.675,8.566,19.101,1.716 ,8.076,9.771,6.442,24.228,0.696127,0.498330,4.040 ,5.986979166666667
152.694 ,125.524 ,81.782 ,599.607 ,55.19068894323338,72.67521265261645,26.097327638307274,958,898,6.770061E-3 ,3.600244E-3 ,28.079,34,38.011,3.220,218.019E-6 ,1.767,1.816,5.301,17.051,1.529 ,7.829,8.673,15.236,23.488,0.786117,0.334703,6.936 ,10.186979166666667
163.798 ,153.663 ,76.862 ,599.187 ,50.62622898456785,71.97617871175235,21.79358723093116,804,742,6.514985E-3 ,4.254134E-3 ,43.439,34,48.710,3.756,244.688E-6 ,1.955,2.141,5.865,17.377,1.471 ,8.136,8.625,11.346,24.409,0.769635,0.356881,6.508 ,10.090979166666667
188.740 ,163.851 ,86.451 ,558.115 ,54.664265419011784,70.97558506229228,31.480929561057454,271,252,5.460227E-3 ,4.026397E-3 ,26.957,11,35.575,4.384,239.383E-6 ,2.128,2.343,6.383,21.851,1.791 ,8.655,11.851,24.146,25.964,0.727887,0.441655,4.952 ,2.338979166666667
183.035 ,182.126 ,90.191 ,565.309 ,57.2866643468343,68.08126027334374,42.96402505050701,33,30,6.158973E-3 ,4.224071E-3 ,11.538,2,21.761,3.220,198.332E-6 ,1.389,1.670,4.166,22.895,1.541 ,6.187,11.743,--undefined--,18.560,0.717032,0.443180,4.267 ,0.2989791666666667
138.641 ,129.334 ,75.990 ,579.997 ,49.86506025636293,68.64242887352361,21.881961299457792,257,238,7.458917E-3 ,4.279535E-3 ,43.575,11,36.606,2.878,214.641E-6 ,1.392,1.492,4.175,17.221,1.434 ,9.560,10.990,13.595,28.681,0.798594,0.302634,7.596 ,3.6109791666666666
171.256 ,152.540 ,76.761 ,564.150 ,46.35053455100026,70.46790083269373,19.834364385185165,207,196,6.116060E-3 ,3.886869E-3 ,42.857,5,47.859,4.011,245.287E-6 ,1.862,2.294,5.587,17.494,1.575 ,8.183,10.274,16.189,24.548,0.777498,0.343856,6.566 ,2.4109791666666665
163.953 ,150.385 ,75.404 ,631.710 ,51.123176933055085,69.92597694042902,19.51099353688038,1818,1675,6.433278E-3 ,4.087216E-3 ,29.528,71,34.868,3.176,204.307E-6 ,1.594,1.777,4.782,16.307,1.436 ,6.618,8.569,13.165,19.853,0.804390,0.295012,7.617 ,18.250979166666667
170.239 ,146.962 ,76.384 ,596.108 ,51.033190618161036,70.612739920784,18.415723107107542,1308,1221,6.211043E-3 ,3.944996E-3 ,31.376,40,36.714,3.727,231.476E-6 ,1.894,2.054,5.681,17.428,1.505 ,7.755,9.013,13.119,23.266,0.782940,0.340983,6.989 ,12.466979166666667
222.206 ,196.077 ,75.686 ,592.806 ,47.95815858020699,66.69557180140025,20.556552800249072,520,481,4.685807E-3 ,4.050623E-3 ,36.512,14,31.916,4.056,190.069E-6 ,2.102,2.321,6.305,19.720,1.679 ,7.790,9.982,19.763,23.371,0.748675,0.393348,5.526 ,4.330979166666666
151.081 ,145.180 ,76.623 ,629.229 ,50.19079102970318,68.15282790677988,20.973857857987245,323,301,6.996484E-3 ,4.288298E-3 ,29.641,7,33.627,3.404,238.162E-6 ,1.768,2.054,5.305,16.451,1.457 ,7.589,8.376,12.010,22.767,0.808387,0.289454,8.182 ,3.370979166666667
166.136 ,151.586 ,73.975 ,624.243 ,49.31711086856529,67.45427234438407,18.793956987302746,1616,1499,6.314133E-3 ,4.003819E-3 ,31.838,55,37.456,3.396,214.455E-6 ,1.722,2.023,5.166,17.040,1.456 ,6.988,8.788,12.249,20.965,0.792911,0.320051,7.121 ,16.306979166666668
172.474 ,158.853 ,74.942 ,597.260 ,47.88024452384263,67.53066947410946,18.43004238197529,1317,1217,6.160716E-3 ,4.222264E-3 ,37.884,45,42.136,4.328,266.610E-6 ,2.284,2.524,6.851,18.638,1.596 ,7.835,9.592,16.253,23.505,0.759912,0.376509,6.081 ,14.026979166666667
161.464 ,117.302 ,80.470 ,596.061 ,47.84385530376735,66.98700508264558,-4.466316514059235,282,266,6.469799E-3 ,3.034353E-3 ,27.698,9,28.087,2.776,179.573E-6 ,1.423,1.460,4.270,17.262,1.513 ,7.465,11.464,18.214,22.396,0.770549,0.341941,5.929 ,2.818979166666667
173.303 ,131.259 ,76.428 ,580.815 ,54.04667550549008,73.7927039605872,27.133821378506866,1213,1146,5.971790E-3 ,3.156602E-3 ,31.150,33,33.383,3.015,180.073E-6 ,1.453,1.721,4.358,15.823,1.418 ,7.057,10.896,14.541,21.170,0.790985,0.325948,7.173 ,11.338979166666666
167.607 ,126.755 ,106.965 ,599.667 ,56.35899724101193,73.46196162868691,24.699561393766892,470,445,6.112498E-3 ,2.872508E-3 ,28.103,14,33.823,2.193,134.030E-6 ,1.018,1.329,3.054,13.826,1.329 ,5.723,7.574,10.525,17.168,0.799307,0.316777,7.808 ,4.306979166666666
154.113 ,112.775 ,100.317 ,553.980 ,50.8570587839315,71.71547828591001,25.467224718449536,288,262,6.559631E-3 ,3.034504E-3 ,44.041,14,40.308,2.460,161.398E-6 ,1.270,1.527,3.810,14.988,1.387 ,6.715,9.905,10.311,20.145,0.771276,0.366595,6.734 ,3.898979166666667
158.097 ,109.369 ,90.859 ,624.049 ,52.2680488523276,72.57423508649165,24.0460983324088,1571,1475,6.484445E-3 ,2.737689E-3 ,35.086,56,42.653,2.350,152.394E-6 ,1.103,1.363,3.308,15.074,1.343 ,6.217,8.788,14.241,18.652,0.795481,0.312543,7.305 ,17.53097916666667
176.265 ,133.911 ,76.821 ,593.009 ,55.12688143959726,72.27522782620971,23.92434468815339,1390,1294,5.879218E-3 ,2.917335E-3 ,29.214,46,35.698,2.363,138.946E-6 ,1.004,1.188,3.013,13.740,1.299 ,5.405,7.715,14.182,16.214,0.820004,0.280291,8.752 ,12.250979166666667
141.548 ,74.707 ,99.747 ,572.832 ,54.27570916079225,71.10008011485424,26.784355373067097,628,597,7.103132E-3 ,2.112059E-3 ,30.441,22,37.283,2.472,175.559E-6 ,1.173,1.477,3.519,14.154,1.300 ,5.963,9.194,15.908,17.889,0.811765,0.281769,7.788 ,7.066979166666667
150.493 ,103.549 ,85.909 ,592.657 ,52.90178080601951,71.94988588773168,22.701629217239628,1120,1055,6.747695E-3 ,2.710960E-3 ,36.323,43,42.564,2.199,148.371E-6 ,0.988,1.158,2.965,13.468,1.254 ,5.750,8.144,13.506,17.249,0.811587,0.289117,8.045 ,13.306979166666666
151.323 ,120.734 ,93.598 ,598.570 ,50.84818034626567,69.08813895656264,19.19362015443084,339,320,6.765446E-3 ,3.142164E-3 ,37.674,11,38.921,2.942,199.029E-6 ,1.559,1.744,4.677,14.328,1.261 ,6.237,7.645,11.749,18.710,0.783524,0.339062,6.902 ,4.330979166666666
163.281 ,128.835 ,96.534 ,592.996 ,51.08585563915582,70.56321807452404,23.13311777979446,526,488,6.418312E-3 ,3.187458E-3 ,30.123,20,34.168,2.978,191.146E-6 ,1.494,1.749,4.483,16.057,1.440 ,7.433,10.356,18.172,22.300,0.768880,0.354351,6.388 ,5.746979166666667
147.773 ,90.501 ,87.221 ,573.035 ,50.26604554213913,69.66518046706193,19.34350038796476,1672,1580,6.885013E-3 ,2.496234E-3 ,37.707,61,45.089,2.208,152.052E-6 ,1.023,1.107,3.068,13.442,1.250 ,5.569,7.708,13.032,16.707,0.821189,0.267275,8.510 ,20.53097916666667
165.453 ,138.369 ,80.276 ,587.121 ,49.51572381226445,70.54421356138376,-1.2392465470183636,960,893,6.278812E-3 ,3.481828E-3 ,33.201,35,39.738,2.932,184.081E-6 ,1.397,1.729,4.192,17.041,1.457 ,7.068,10.045,18.325,21.205,0.797580,0.304301,7.169 ,10.090979166666667
150.140 ,100.353 ,89.433 ,419.927 ,28.660619425891205,72.40482376505896,11.151875615050317,88,83,6.631403E-3 ,3.335876E-3 ,84.716,4,32.677,3.231,214.232E-6 ,1.643,1.956,4.928,20.369,1.692 ,8.880,12.898,23.423,26.639,0.743009,0.392091,5.471 ,4.618979166666667
184.040 ,123.326 ,107.819 ,572.733 ,60.299592943513964,76.47319278184463,26.63681822948917,505,482,5.601174E-3 ,2.549516E-3 ,24.171,10,27.465,2.659,148.949E-6 ,1.238,1.371,3.715,15.486,1.413 ,6.156,8.874,17.651,18.468,0.797707,0.300748,7.323 ,4.258979166666666
