Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
122.604 ,10.784 ,98.668 ,144.287 ,53.89399807254907,73.51007873417232,-9.367604942003227,106,102,8.215321E-3 ,0.819730E-3 ,30.986,3,23.464,2.757,226.491E-6 ,1.447,1.765,4.341,20.112,1.573 ,10.717,12.899,21.502,32.151,0.704339,0.482778,4.301 ,1.4584126984126984
129.345 ,71.672 ,82.386 ,596.027 ,51.04617318161042,73.46884192356566,12.698992902085722,185,175,7.814978E-3 ,2.357575E-3 ,34.298,7,17.255,2.769,216.404E-6 ,1.381,1.316,4.143,17.500,1.524 ,8.584,12.506,19.174,25.752,0.795339,0.317027,7.080 ,2.451065759637188
159.822 ,139.387 ,78.287 ,600.098 ,51.59040433185268,71.38760273560882,3.9475604785379517,605,558,6.659026E-3 ,4.053891E-3 ,29.503,18,30.793,4.622,307.763E-6 ,2.491,3.060,7.473,20.051,1.707 ,9.015,13.208,25.646,27.046,0.740079,0.403850,5.206 ,6.473922902494331
168.130 ,144.638 ,76.766 ,598.305 ,51.39583143103118,75.70324483202421,7.221429004488203,830,770,6.246709E-3 ,3.981567E-3 ,34.096,29,36.825,3.890,242.991E-6 ,2.022,2.577,6.067,19.732,1.717 ,9.305,12.026,15.253,27.915,0.744394,0.393267,5.269 ,8.772698412698412
182.777 ,166.838 ,77.108 ,606.203 ,49.16060784890629,72.98826430417145,10.02915120077086,1243,1141,5.666026E-3 ,4.178429E-3 ,36.938,55,44.074,4.119,233.404E-6 ,2.166,2.520,6.498,20.814,1.706 ,9.717,12.758,19.863,29.150,0.730116,0.427468,4.935 ,13.161269841269842
138.272 ,114.146 ,81.794 ,586.422 ,48.0657614357831,73.20904544965818,7.206697180040687,814,768,7.320931E-3 ,3.741702E-3 ,40.000,38,48.369,3.453,252.809E-6 ,1.878,2.163,5.633,20.719,1.685 ,9.513,13.571,17.039,28.540,0.738429,0.411284,5.213 ,11.280453514739229
103.914 ,61.459 ,82.667 ,415.933 ,43.42368890363178,68.50597987293983,7.2751271462067715,115,110,9.615517E-3 ,3.062492E-3 ,41.799,4,38.373,3.057,293.943E-6 ,1.609,2.093,4.826,17.659,1.610 ,7.294,10.171,11.612,21.881,0.756560,0.364981,5.554 ,1.9286167800453515
193.694 ,158.288 ,74.777 ,584.057 ,50.46673061832833,72.03116156555966,11.203081879066639,544,487,5.350287E-3 ,3.684004E-3 ,42.880,26,46.589,5.120,273.915E-6 ,2.769,3.209,8.308,20.258,1.741 ,9.332,13.051,22.262,27.996,0.710592,0.461588,4.401 ,6.212698412698413
202.607 ,176.130 ,87.510 ,588.846 ,46.794391749644745,70.16886324530441,-2.018744015351378,488,444,5.115209E-3 ,4.011694E-3 ,42.000,19,53.510,4.243,217.054E-6 ,2.181,2.528,6.543,22.183,1.839 ,12.753,17.871,24.477,38.259,0.739673,0.400550,5.075 ,5.533514739229025
162.921 ,147.479 ,80.542 ,605.577 ,55.287810288947696,71.70645593317799,19.652421372635146,306,289,6.250727E-3 ,4.215160E-3 ,27.961,11,36.551,3.465,216.599E-6 ,1.911,1.950,5.733,21.388,1.828 ,9.262,12.028,21.310,27.787,0.744320,0.395423,5.502 ,3.078004535147392
