Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
122.877 ,83.286 ,89.329 ,599.373 ,31.93090235383927,58.65340372342702,8.257721647228518,205,191,8.284781E-3 ,2.779092E-3 ,53.750,10,56.440,2.184,180.899E-6 ,0.904,0.978,2.711,13.182,1.280 ,5.676,9.426,11.998,17.029,0.793580,0.292795,6.528 ,4.034807256235828
100.484 ,27.156 ,79.500 ,518.830 ,38.49569262825278,61.96890119405314,9.344137170742945,624,596,9.966546E-3 ,1.580652E-3 ,39.394,25,41.846,1.823,181.656E-6 ,0.795,0.957,2.385,13.778,1.222 ,6.148,8.793,12.821,18.445,0.796520,0.308088,6.947 ,10.59154195011338
108.719 ,41.177 ,81.134 ,532.478 ,41.30394171170259,63.49291379987574,12.395493530289059,296,271,9.258199E-3 ,1.775768E-3 ,44.052,20,49.446,1.849,171.152E-6 ,0.715,0.815,2.146,14.212,1.233 ,7.167,8.093,11.452,21.500,0.787077,0.312011,6.582 ,5.419297052154195
96.712 ,32.035 ,76.351 ,562.002 ,35.81257598699889,55.28563262268898,11.977837709573807,477,442,10.292933E-3 ,1.725907E-3 ,41.345,30,48.416,1.708,175.755E-6 ,0.686,0.796,2.058,13.894,1.279 ,6.110,8.253,15.361,18.331,0.784526,0.324272,6.494 ,9.102562358276645
92.293 ,9.260 ,74.998 ,126.811 ,35.945576848544356,60.48256278215039,8.673934150378333,588,552,10.863402E-3 ,1.088684E-3 ,51.401,35,49.920,1.605,174.345E-6 ,0.659,0.751,1.978,13.158,1.238 ,6.156,8.219,11.851,18.467,0.797987,0.291974,6.957 ,13.59562358276644
104.561 ,76.863 ,74.969 ,539.762 ,37.26174337739015,57.619110231093565,11.899456580116494,302,276,9.764496E-3 ,3.569343E-3 ,55.676,22,61.695,1.946,190.035E-6 ,0.861,0.899,2.583,15.351,1.374 ,8.014,9.566,14.526,24.043,0.764102,0.359944,5.815 ,7.430725623582767
89.924 ,5.897 ,74.463 ,106.964 ,36.16855378584679,60.92621967284319,9.767094588433096,475,449,11.118928E-3 ,0.761329E-3 ,45.121,25,48.531,1.756,195.236E-6 ,0.692,0.839,2.076,12.700,1.124 ,6.141,7.657,13.423,18.424,0.804136,0.289780,7.373 ,10.382562358276644
181.262 ,179.171 ,81.050 ,546.756 ,33.265520030298184,46.81168702832864,1.7711216208834593,29,24,5.640214E-3 ,4.358745E-3 ,58.228,2,51.465,5.148,290.335E-6 ,3.209,2.670,9.627,14.576,1.477 ,5.033,--undefined--,--undefined--,15.099,0.751361,0.376509,5.758 ,0.8217460317460318
117.827 ,26.107 ,91.471 ,143.066 ,33.74324431171986,55.792097712279975,15.98220779481811,13,11,8.421719E-3 ,1.927877E-3 ,72.727,1,10.240,0.720,60.611E-6 ,0.288,0.265,0.865,18.371,1.607 ,4.156,16.246,--undefined--,12.469,0.724305,0.414838,4.495 ,0.5866439909297052
108.016 ,17.190 ,82.510 ,206.215 ,42.913862940022454,60.360210264279885,12.255513861576112,371,360,9.281633E-3 ,1.313438E-3 ,27.451,10,31.247,1.963,182.192E-6 ,0.853,1.089,2.558,12.298,1.161 ,5.845,7.458,11.921,17.535,0.825783,0.249054,8.004 ,5.131950113378685
