Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
228.182 ,154.290 ,79.261 ,481.018 ,34.63875030082108,56.64730925589461,11.797814629074095,180,161,4.631112E-3 ,3.018732E-3 ,55.691,8,52.519,4.685,216.962E-6 ,2.644,3.189,7.933,19.087,1.641 ,9.602,12.546,24.773,28.807,0.662715,0.578359,3.434 ,2.4935827664399093
125.533 ,7.270 ,115.495 ,142.471 ,50.480916915973594,57.367950098783126,35.327026608755034,119,117,7.969405E-3 ,0.453497E-3 ,34.014,1,26.189,0.700,55.825E-6 ,0.247,0.372,0.742,11.273,1.067 ,5.462,7.436,8.237,16.386,0.868727,0.177740,9.614 ,1.5009297052154196
130.192 ,93.176 ,72.951 ,578.070 ,39.3917333126491,59.610047222390236,11.88856774439021,1423,1347,7.809506E-3 ,3.517653E-3 ,47.587,54,41.276,2.758,215.366E-6 ,1.431,1.609,4.293,17.121,1.502 ,8.099,10.956,16.841,24.296,0.763547,0.374918,6.183 ,23.861746031746033
148.979 ,116.276 ,76.801 ,568.151 ,39.86827258075595,58.63875809847848,12.040412705237795,928,873,6.962412E-3 ,3.541258E-3 ,41.247,25,40.703,3.392,236.138E-6 ,1.907,2.272,5.720,18.220,1.605 ,8.645,12.357,17.339,25.936,0.745084,0.412647,5.722 ,11.74092970521542
146.055 ,83.132 ,73.287 ,591.689 ,49.03680623920324,60.38008850160489,13.761583056362914,974,947,6.939840E-3 ,2.533885E-3 ,22.717,13,27.074,2.725,189.093E-6 ,1.419,1.577,4.257,17.290,1.483 ,8.211,10.984,14.628,24.634,0.766656,0.364579,6.184 ,9.233174603174604
151.362 ,130.146 ,75.409 ,595.526 ,44.32102513650497,61.023388576625486,12.845117053559738,1367,1269,6.815282E-3 ,4.038751E-3 ,38.995,65,47.156,3.676,250.559E-6 ,2.011,2.176,6.034,19.505,1.658 ,8.961,13.039,21.722,26.883,0.718643,0.462966,4.704 ,18.349909297052154
160.480 ,132.491 ,79.356 ,530.367 ,37.45447337983752,58.80999301539332,13.114323464471285,441,413,6.430101E-3 ,4.001416E-3 ,54.888,16,23.587,3.870,248.872E-6 ,2.176,2.402,6.529,19.819,1.762 ,9.178,13.612,21.089,27.535,0.770524,0.363948,6.576 ,7.19562358276644
198.435 ,149.593 ,83.044 ,586.362 ,47.98645728883854,61.310550748489604,16.369744024940964,320,300,5.176416E-3 ,3.494930E-3 ,34.727,7,31.696,4.054,209.868E-6 ,2.117,2.249,6.350,21.660,1.842 ,9.428,14.681,23.296,28.284,0.720014,0.447493,4.671 ,3.146643990929705
203.355 ,169.450 ,75.008 ,598.281 ,43.73953640125834,59.98839028639989,14.048711882183806,1086,1005,5.198624E-3 ,3.975199E-3 ,40.300,33,48.688,4.533,235.634E-6 ,2.377,2.750,7.132,20.314,1.686 ,9.282,12.291,14.453,27.847,0.733545,0.433547,5.480 ,11.375215419501133
181.624 ,91.716 ,118.173 ,412.740 ,53.6601384275037,60.508139889501805,39.10626259375269,55,52,5.586955E-3 ,2.109391E-3 ,5.882,1,5.454,2.467,137.818E-6 ,1.247,1.319,3.741,18.747,1.660 ,10.115,11.668,15.231,30.344,0.782721,0.322788,6.456 ,0.3776643990929705
