Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
149.009 ,13.280 ,113.425 ,174.165 ,40.525608112872526,57.645432820735955,10.899098157868572,205,200,6.697161E-3 ,0.626614E-3 ,28.502,3,32.776,1.469,98.404E-6 ,0.559,0.659,1.677,9.647,0.936 ,3.872,5.578,8.294,11.616,0.887382,0.158065,11.471 ,2.101746031746032
132.791 ,30.792 ,93.506 ,513.803 ,38.873615030385544,58.659034580474945,9.124499431784496,990,958,7.528352E-3 ,1.367580E-3 ,24.343,30,29.339,2.015,151.660E-6 ,0.837,1.153,2.511,10.975,1.123 ,4.767,6.914,10.537,14.302,0.845443,0.225580,9.254 ,10.30419501133787
115.652 ,25.916 ,97.339 ,270.766 ,37.00466230538574,51.58443769728727,15.804589810220923,182,175,8.764461E-3 ,1.320130E-3 ,28.807,4,34.454,2.190,191.953E-6 ,1.000,1.273,3.000,12.353,1.153 ,5.850,8.588,10.556,17.551,0.808968,0.286883,7.410 ,2.4674603174603176
150.283 ,23.548 ,114.483 ,242.018 ,40.877398651616154,55.00653784091099,15.57374589241273,576,562,6.652409E-3 ,0.992061E-3 ,14.530,11,18.363,1.875,124.712E-6 ,0.812,1.007,2.436,11.998,1.146 ,5.278,7.219,11.377,15.833,0.843743,0.231788,9.019 ,4.713990929705216
122.806 ,14.682 ,77.797 ,233.070 ,37.09595457551156,54.16727830908718,8.451767162499555,1284,1241,8.162777E-3 ,0.905856E-3 ,28.913,39,35.848,1.940,158.358E-6 ,0.793,1.063,2.378,11.239,1.069 ,5.048,6.800,10.077,15.144,0.846545,0.222028,9.098 ,15.946643990929704
120.984 ,18.933 ,87.144 ,296.870 ,38.07738255801931,56.239631294342225,9.268755378483409,1286,1245,8.283503E-3 ,1.078149E-3 ,25.597,39,30.741,2.081,172.409E-6 ,0.851,1.132,2.554,11.939,1.112 ,5.349,7.451,11.613,16.047,0.832241,0.251762,8.648 ,15.110725623582766
129.292 ,14.065 ,95.331 ,165.443 ,38.622559960472806,52.657279537451124,9.635502534125482,504,486,7.748957E-3 ,0.880940E-3 ,26.715,16,25.907,2.659,206.026E-6 ,1.124,1.542,3.372,12.680,1.160 ,5.422,7.568,13.566,16.265,0.794825,0.321409,7.076 ,5.576031746031746
120.096 ,13.396 ,97.560 ,150.249 ,37.475375428389725,50.767809872661445,10.56377611016589,289,282,8.339218E-3 ,0.944869E-3 ,21.605,6,24.774,2.383,198.720E-6 ,1.207,1.496,3.620,13.655,1.178 ,6.483,9.266,17.517,19.448,0.825493,0.256995,8.100 ,3.2772562358276645
126.749 ,15.903 ,102.528 ,306.599 ,36.663892075078266,55.892064977588916,-2.5695705426521114,902,878,7.897866E-3 ,0.883411E-3 ,28.788,21,32.177,2.099,165.790E-6 ,0.949,1.165,2.848,12.088,1.131 ,5.331,7.426,8.964,15.992,0.835546,0.236781,8.755 ,10.59154195011338
122.565 ,52.539 ,93.241 ,565.513 ,36.19245454654668,58.05857053574893,8.887938244626104,387,368,8.208174E-3 ,1.978279E-3 ,39.502,16,45.126,2.174,178.419E-6 ,0.904,1.139,2.712,11.307,1.098 ,4.711,6.198,8.954,14.134,0.838254,0.232032,8.656 ,5.654399092970522
179.867 ,79.961 ,75.086 ,338.274 ,47.28923965195293,60.958815420946664,12.31038749402883,195,188,5.523705E-3 ,2.242943E-3 ,16.547,5,17.872,3.836,211.911E-6 ,1.777,2.052,5.331,13.185,1.319 ,6.288,9.171,15.951,18.863,0.777627,0.338979,6.393 ,1.422562358276644
114.669 ,9.199 ,93.575 ,135.691 ,45.12981866955847,53.763675953692164,22.407177319822527,226,223,8.730528E-3 ,0.744005E-3 ,10.360,2,10.050,2.077,181.318E-6 ,0.953,1.190,2.858,12.265,1.182 ,5.437,7.510,13.957,16.311,0.839366,0.236776,8.846 ,2.2584807256235826
118.288 ,40.576 ,82.411 ,537.970 ,39.604630121301966,59.76315486075909,10.213790565447312,789,759,8.546193E-3 ,1.755350E-3 ,29.798,23,33.939,2.282,195.066E-6 ,1.010,1.295,3.030,12.770,1.205 ,5.519,8.014,12.177,16.556,0.851156,0.213104,9.343 ,9.938480725623583
108.407 ,9.422 ,76.373 ,137.634 ,39.97850148977684,55.5233311803526,13.656768203271119,624,605,9.252138E-3 ,0.829112E-3 ,25.750,16,29.275,2.243,207.495E-6 ,1.026,1.260,3.078,11.133,1.076 ,5.004,7.239,10.540,15.012,0.854023,0.210415,9.611 ,8.031541950113379
111.974 ,18.322 ,83.901 ,210.114 ,38.495758922644974,57.509124755817176,6.964786504055182,599,580,8.960981E-3 ,1.320746E-3 ,26.011,16,28.496,2.308,206.856E-6 ,1.029,1.332,3.087,12.528,1.146 ,5.469,8.082,14.366,16.406,0.840688,0.239928,8.984 ,7.456848072562359
116.618 ,62.344 ,83.284 ,551.088 ,44.72806797832114,60.077690512300165,15.693559307949961,190,178,8.613062E-3 ,2.395002E-3 ,23.577,10,35.784,2.470,212.710E-6 ,0.840,1.188,2.520,14.507,1.336 ,4.892,9.010,18.959,14.675,0.798094,0.295601,6.784 ,2.4935827664399093
121.980 ,83.175 ,88.420 ,386.815 ,23.0948496961088,52.80570156204995,8.264018264379288,41,37,8.547187E-3 ,3.430395E-3 ,80.909,3,81.723,2.367,202.279E-6 ,1.013,1.034,3.038,17.207,1.514 ,6.174,8.936,14.975,18.521,0.805712,0.279513,7.977 ,2.232358276643991
121.241 ,19.006 ,86.138 ,171.750 ,36.0215646229727,60.98693797077785,10.925870847682235,94,91,8.204726E-3 ,1.308454E-3 ,53.143,2,54.941,2.076,170.354E-6 ,0.956,1.078,2.869,13.049,1.319 ,6.115,7.448,14.354,18.345,0.790859,0.326399,7.298 ,1.7882766439909297
147.610 ,72.699 ,86.349 ,621.219 ,49.403721859653544,63.65470909273192,20.687500907273268,353,344,6.859914E-3 ,2.204066E-3 ,15.517,6,12.781,2.677,183.610E-6 ,1.128,1.564,3.385,15.648,1.419 ,7.033,11.315,17.240,21.100,0.798500,0.318476,7.549 ,2.9376643990929705
130.882 ,99.566 ,77.865 ,596.852 ,38.24444224294687,61.87499644041803,7.51510422471378,987,932,7.911544E-3 ,3.201744E-3 ,39.914,36,46.245,2.725,215.551E-6 ,1.123,1.289,3.368,14.508,1.276 ,6.666,10.006,14.865,19.998,0.796948,0.308222,7.150 ,14.013582766439908
109.420 ,28.261 ,77.017 ,200.002 ,41.07713846713869,61.40976208954037,12.44569105656633,240,231,9.129497E-3 ,2.006785E-3 ,31.897,7,37.454,2.104,192.051E-6 ,0.677,0.868,2.031,13.927,1.200 ,6.150,8.460,11.599,18.451,0.822200,0.250657,7.922 ,3.512358276643991
