Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
129.254 ,27.098 ,80.721 ,280.319 ,35.19022768740899,61.30933855161737,6.453822167417796,277,269,7.796330E-3 ,1.405974E-3 ,49.441,6,52.090,1.357,105.798E-6 ,0.546,0.718,1.638,13.639,1.276 ,6.644,8.570,11.889,19.931,0.831141,0.249767,8.561 ,4.50501133786848
127.893 ,72.449 ,78.703 ,538.049 ,34.70472265944998,59.4647410567177,6.8506294686448115,462,432,7.977580E-3 ,2.720643E-3 ,47.754,23,54.744,1.917,152.911E-6 ,0.768,0.882,2.305,16.162,1.438 ,7.075,10.574,17.045,21.225,0.762099,0.372649,6.174 ,7.822562358276644
123.788 ,91.180 ,76.833 ,600.981 ,39.02183649446236,59.43415458884586,6.827307544187856,376,357,8.290766E-3 ,3.419836E-3 ,36.893,12,39.269,1.826,151.390E-6 ,0.816,1.078,2.449,15.513,1.339 ,6.711,9.111,16.387,20.133,0.769830,0.366671,6.249 ,5.184195011337868
207.412 ,155.523 ,100.482 ,599.699 ,49.54819507998763,67.69879352019409,19.005777140043126,471,456,4.934997E-3 ,2.844020E-3 ,23.765,8,27.738,2.281,112.583E-6 ,1.169,1.321,3.508,18.110,1.520 ,7.833,9.244,19.070,23.499,0.819262,0.260291,7.889 ,3.2772562358276645
205.726 ,111.844 ,100.675 ,591.725 ,39.655638137801624,68.56557072078415,7.951408389663507,612,594,4.942645E-3 ,2.066120E-3 ,50.000,11,53.231,2.859,141.302E-6 ,1.457,1.651,4.371,16.307,1.480 ,7.166,10.952,14.339,21.498,0.797517,0.309632,7.146 ,6.5948072562358275
152.648 ,79.560 ,117.557 ,600.558 ,50.91480670379038,68.05058308916318,2.8639016340005528,330,312,6.721836E-3 ,1.741930E-3 ,23.795,11,32.056,1.967,132.214E-6 ,0.973,1.184,2.919,14.730,1.307 ,5.958,9.267,15.277,17.875,0.783183,0.321870,6.491 ,3.35562358276644
146.632 ,77.283 ,92.470 ,507.756 ,49.81948138978695,67.52518335095763,8.329917958108142,386,374,6.942922E-3 ,2.186417E-3 ,27.968,6,28.912,2.700,187.453E-6 ,1.314,1.539,3.941,14.075,1.293 ,5.958,9.134,15.821,17.874,0.830812,0.242865,8.421 ,3.825827664399093
175.314 ,31.776 ,141.211 ,406.386 ,54.659716882982295,69.47959828297607,8.76192837626701,255,249,5.706031E-3 ,0.839847E-3 ,20.968,3,15.596,2.412,137.650E-6 ,1.252,1.483,3.755,16.596,1.435 ,7.882,12.202,22.380,23.646,0.785085,0.325324,6.541 ,1.8927664399092972
147.216 ,73.989 ,90.774 ,560.945 ,44.83940729168518,66.5863622690226,23.0475066965966,225,214,6.807875E-3 ,2.167976E-3 ,47.134,8,25.414,1.834,124.849E-6 ,0.699,0.871,2.096,14.047,1.206 ,6.478,9.794,15.350,19.433,0.842609,0.242358,8.969 ,3.172766439909297
213.853 ,151.698 ,98.411 ,591.260 ,51.32115648742211,67.85093826655768,10.506882365246062,128,120,4.882233E-3 ,2.845895E-3 ,29.787,3,22.215,3.020,147.463E-6 ,1.463,1.492,4.390,20.734,1.672 ,9.852,16.421,38.873,29.555,0.772785,0.332733,6.226 ,0.9784807256235828
155.962 ,37.492 ,120.956 ,399.076 ,55.05179373384892,68.16528384493462,9.122057014484367,252,246,6.413055E-3 ,1.188115E-3 ,13.613,2,14.147,2.550,163.560E-6 ,1.240,1.587,3.720,13.562,1.234 ,5.936,9.795,15.867,17.808,0.831950,0.248107,8.713 ,1.9450113378684808
142.569 ,25.811 ,78.073 ,257.717 ,35.409885067089675,67.9985914188253,8.603517947550301,248,241,6.977193E-3 ,1.113734E-3 ,60.659,4,28.906,1.554,108.400E-6 ,0.651,0.900,1.952,9.854,0.981 ,4.335,6.134,12.192,13.005,0.889241,0.149344,11.347 ,4.583378684807256
151.701 ,19.911 ,103.731 ,204.838 ,52.99120954867101,66.04341140480848,8.373852689614408,382,370,6.608058E-3 ,0.907958E-3 ,19.242,8,25.391,2.799,184.980E-6 ,1.295,1.460,3.886,12.126,1.146 ,5.874,7.729,11.038,17.622,0.809535,0.296605,8.047 ,3.4601133786848073
154.147 ,61.904 ,77.538 ,554.696 ,42.11090489564371,66.10505680971175,7.82288594095506,870,838,6.572973E-3 ,1.708482E-3 ,42.308,24,45.175,2.379,156.352E-6 ,1.093,1.312,3.280,12.196,1.117 ,5.309,7.829,12.371,15.927,0.825321,0.262555,8.664 ,10.434807256235828
129.440 ,13.879 ,99.476 ,161.855 ,36.497805918798655,65.56166544029614,7.662659769902341,322,315,7.737972E-3 ,0.851368E-3 ,53.309,6,20.416,2.384,184.496E-6 ,1.154,1.405,3.461,12.108,1.111 ,5.622,7.864,11.784,16.867,0.823614,0.277966,8.553 ,5.471541950113378
134.827 ,36.462 ,87.064 ,326.236 ,42.87112618586921,64.85299480388812,8.194167384080705,507,487,7.484484E-3 ,1.544775E-3 ,41.159,15,45.846,2.311,172.989E-6 ,1.011,1.259,3.033,14.216,1.250 ,6.324,8.904,13.516,18.971,0.813507,0.284431,8.135 ,6.934399092970522
134.568 ,50.985 ,75.522 ,556.335 ,49.30529922631609,63.61680459052395,8.370348189136251,524,503,7.449428E-3 ,1.633614E-3 ,24.164,19,29.646,2.215,164.973E-6 ,1.004,1.195,3.013,12.568,1.154 ,5.598,8.218,11.854,16.793,0.819833,0.269404,8.181 ,5.419297052154195
131.732 ,43.231 ,77.585 ,501.868 ,45.10976078443179,63.65632593794672,-1.2072827237953514,580,556,7.652318E-3 ,1.571249E-3 ,34.250,19,38.137,2.249,172.139E-6 ,1.018,1.281,3.055,13.500,1.249 ,6.392,8.882,11.621,19.175,0.837998,0.237217,8.977 ,7.300113378684808
