Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
126.477 ,84.416 ,77.199 ,464.298 ,27.30637144395699,53.72754361739872,4.02206335788808,400,376,7.949088E-3 ,3.595849E-3 ,51.477,18,56.932,2.470,196.360E-6 ,1.024,1.183,3.073,14.327,1.273 ,6.261,8.551,11.195,18.782,0.785923,0.325115,6.675 ,7.1433786848072565
167.412 ,58.201 ,71.400 ,465.858 ,32.95299755682623,51.92005525606984,7.039902305007953,453,430,6.068232E-3 ,1.504773E-3 ,25.823,13,30.199,1.876,113.827E-6 ,0.811,0.919,2.434,13.783,1.242 ,5.950,8.758,13.244,17.850,0.799990,0.303902,7.370 ,3.982562358276644
129.914 ,32.722 ,80.035 ,574.052 ,32.89011931859083,53.21074029301076,11.158821050298988,519,494,7.724383E-3 ,0.861298E-3 ,36.377,21,40.118,1.190,91.941E-6 ,0.540,0.624,1.621,13.693,1.188 ,6.455,7.734,11.677,19.365,0.824368,0.245540,7.772 ,6.829909297052154
129.771 ,49.041 ,70.138 ,520.697 ,34.14385637873638,46.58491099016301,5.782781705364144,624,605,7.760137E-3 ,1.654279E-3 ,21.198,14,22.665,1.745,135.422E-6 ,0.804,0.968,2.413,13.396,1.224 ,6.030,7.939,10.889,18.090,0.817894,0.275174,7.953 ,6.542562358276644
142.572 ,57.269 ,114.603 ,435.010 ,30.89739219809301,45.015834417409515,9.889469934969297,199,185,7.184789E-3 ,1.644114E-3 ,37.828,9,47.695,1.777,127.702E-6 ,0.736,0.814,2.207,14.274,1.244 ,6.940,9.259,13.593,20.820,0.800059,0.299175,7.165 ,2.702562358276644
166.756 ,94.722 ,99.871 ,417.594 ,31.398009667242036,46.95209666827023,5.760728996849453,187,177,6.137858E-3 ,2.554671E-3 ,24.074,5,29.622,2.659,163.183E-6 ,1.169,1.218,3.506,15.333,1.385 ,7.281,8.774,11.340,21.843,0.779286,0.333672,6.261 ,1.6576643990929705
131.976 ,35.894 ,105.435 ,456.765 ,30.709720967595707,45.12179339300527,9.87299666466885,638,612,7.610025E-3 ,1.308104E-3 ,29.702,23,38.906,1.638,124.642E-6 ,0.707,0.942,2.120,13.378,1.193 ,6.320,8.647,11.646,18.961,0.803199,0.293264,7.364 ,7.744195011337869
135.408 ,50.940 ,110.036 ,487.327 ,31.500819615100916,45.200438487232965,9.938905841186777,543,521,7.425308E-3 ,1.785693E-3 ,18.832,15,25.728,2.267,168.296E-6 ,1.049,1.224,3.146,14.231,1.320 ,6.533,9.393,13.785,19.599,0.786613,0.329043,6.754 ,5.340929705215419
129.523 ,51.327 ,104.009 ,566.395 ,29.66784082022435,43.61646733889157,-1.8243384185076452,499,471,7.738241E-3 ,1.698438E-3 ,33.537,24,41.500,1.897,146.823E-6 ,0.896,1.049,2.687,13.538,1.255 ,6.152,8.356,10.469,18.456,0.764078,0.371560,6.050 ,6.5948072562358275
159.946 ,89.304 ,110.158 ,548.562 ,35.24496166097936,49.83590831316393,11.9783657282656,401,383,6.333517E-3 ,2.266817E-3 ,19.825,10,25.055,1.935,122.542E-6 ,0.827,0.965,2.482,14.102,1.229 ,6.800,8.416,12.068,20.400,0.804583,0.302873,7.655 ,3.4601133786848073
155.411 ,93.519 ,101.094 ,541.724 ,35.53217105411481,49.92022964205973,17.20438821445203,172,166,6.360415E-3 ,2.675412E-3 ,20.395,5,22.772,2.292,145.770E-6 ,1.074,1.160,3.223,13.816,1.284 ,6.143,9.105,12.504,18.428,0.844934,0.226585,8.605 ,1.5531746031746032
135.967 ,63.347 ,102.072 ,595.347 ,34.187082539775524,51.1914236178574,9.000040796153767,902,855,7.450415E-3 ,1.791754E-3 ,25.408,28,33.035,1.803,134.319E-6 ,0.834,0.943,2.502,13.989,1.256 ,6.195,8.518,13.877,18.586,0.823093,0.261315,7.995 ,9.833990929705216
122.430 ,13.419 ,95.446 ,228.311 ,34.97372639937143,47.15907007244841,12.278409639739497,491,476,8.227443E-3 ,0.709318E-3 ,19.120,12,21.323,1.843,151.649E-6 ,0.909,1.126,2.727,13.800,1.215 ,5.909,8.598,15.960,17.727,0.821424,0.269863,8.095 ,5.262562358276644
135.760 ,41.241 ,104.861 ,390.839 ,30.720098167757442,48.928327060460965,6.758432165283887,496,475,7.404147E-3 ,1.567922E-3 ,36.045,16,42.169,2.035,150.693E-6 ,1.024,1.132,3.071,13.387,1.257 ,5.749,8.367,12.711,17.247,0.818362,0.280527,7.988 ,6.307460317460317
147.943 ,65.379 ,77.863 ,571.094 ,29.93636979064147,48.15180151454699,6.2622495747121345,1234,1181,6.850668E-3 ,1.805475E-3 ,33.138,36,39.593,1.931,132.319E-6 ,0.916,1.008,2.748,13.984,1.264 ,6.576,9.178,13.895,19.727,0.805820,0.291279,7.350 ,13.673990929705216
166.429 ,106.484 ,78.082 ,567.931 ,32.24399620744236,47.63969711490937,9.955138387847004,590,566,6.136639E-3 ,2.670873E-3 ,22.200,14,20.699,2.492,152.906E-6 ,1.051,1.128,3.152,14.902,1.330 ,7.062,9.616,15.913,21.185,0.818743,0.262218,7.694 ,4.949092970521542
138.464 ,71.255 ,95.109 ,577.859 ,34.86625381750074,47.210867426051195,15.547005823358273,646,623,7.266436E-3 ,2.067983E-3 ,15.826,14,19.807,1.902,138.216E-6 ,0.895,1.015,2.686,13.584,1.228 ,6.249,8.185,13.128,18.747,0.841174,0.222593,8.541 ,5.785011337868481
168.384 ,133.351 ,99.100 ,582.936 ,26.93516574336679,45.195048608501395,2.25487509837992,509,480,6.168063E-3 ,3.044683E-3 ,39.298,12,23.299,2.328,143.590E-6 ,1.182,1.212,3.547,15.721,1.418 ,7.405,9.563,14.869,22.214,0.806103,0.296346,7.778 ,5.732766439909297
175.314 ,90.432 ,137.479 ,595.180 ,36.86599965644687,53.77812317005266,14.486848850163058,86,83,5.706197E-3 ,1.719721E-3 ,39.286,2,39.779,1.576,89.903E-6 ,0.599,0.764,1.798,11.954,1.071 ,5.180,6.565,8.078,15.539,0.814926,0.271825,7.322 ,0.8739909297052154
162.776 ,88.445 ,112.080 ,491.591 ,37.37876323921651,50.012359865347804,20.68356507066371,240,227,6.268432E-3 ,2.158926E-3 ,21.395,7,31.322,2.212,138.686E-6 ,1.091,1.265,3.274,14.760,1.300 ,6.711,10.642,15.599,20.132,0.788593,0.331084,6.937 ,2.180113378684807
168.902 ,106.500 ,92.852 ,596.571 ,37.476424338303346,51.541624570929855,10.695857464203037,1069,1027,6.062062E-3 ,2.534936E-3 ,16.883,25,25.249,2.075,125.770E-6 ,0.998,1.165,2.995,14.248,1.281 ,6.644,8.691,14.690,19.932,0.809634,0.276260,7.402 ,8.501746031746032
129.857 ,40.034 ,111.650 ,457.713 ,36.847698495823934,50.91083702192143,13.128695948398232,192,184,7.758125E-3 ,1.330806E-3 ,28.807,6,21.738,2.045,158.628E-6 ,1.075,1.297,3.224,14.931,1.361 ,6.060,8.100,14.264,18.179,0.766616,0.358348,5.867 ,2.4674603174603176
138.244 ,33.889 ,100.687 ,564.878 ,33.975540670324165,51.00496354348042,3.9698468304757446,684,659,7.242480E-3 ,1.161942E-3 ,30.303,24,38.917,1.587,114.962E-6 ,0.727,0.852,2.180,13.091,1.148 ,5.720,8.425,11.006,17.161,0.816862,0.265931,7.558 ,7.953174603174603
134.428 ,43.805 ,99.009 ,491.047 ,32.5122263590676,50.129304629140854,10.980073684167927,375,358,7.486246E-3 ,1.444490E-3 ,37.278,15,34.331,1.427,106.865E-6 ,0.654,0.732,1.961,12.957,1.121 ,5.894,8.485,13.472,17.681,0.825449,0.255290,8.025 ,5.105827664399093
161.570 ,76.796 ,115.847 ,533.941 ,33.41260906604511,49.23813794368843,9.04806771542198,312,297,6.268555E-3 ,1.929735E-3 ,17.375,11,23.728,2.302,144.276E-6 ,1.081,1.300,3.243,14.526,1.323 ,6.560,9.050,14.553,19.680,0.797823,0.300367,7.337 ,2.6241950113378687
146.394 ,42.390 ,97.968 ,412.281 ,34.649410911599254,48.564394687702034,8.05567718758271,392,376,6.867316E-3 ,1.370914E-3 ,24.064,11,28.500,1.605,110.193E-6 ,0.732,0.843,2.195,13.040,1.198 ,5.622,8.222,13.865,16.866,0.830592,0.238819,8.144 ,3.773582766439909
153.878 ,78.794 ,87.658 ,598.376 ,29.304176079727174,47.31608187228026,5.990480898871676,652,620,6.642735E-3 ,2.099930E-3 ,31.587,18,37.875,2.167,143.978E-6 ,1.053,1.223,3.158,14.541,1.363 ,6.351,9.136,13.919,19.052,0.810759,0.290466,7.768 ,6.90827664399093
130.244 ,6.262 ,120.023 ,144.882 ,25.32210128214346,47.154598653699686,6.951241613841203,136,130,7.699775E-3 ,0.434888E-3 ,46.396,5,48.184,1.893,145.728E-6 ,0.999,1.232,2.997,13.097,1.136 ,6.440,7.582,7.282,19.321,0.801982,0.298997,7.258 ,2.2584807256235826
151.524 ,99.963 ,75.293 ,599.794 ,31.908166553148366,46.2979100748982,7.723939610430524,578,553,6.671827E-3 ,2.513064E-3 ,27.919,16,36.265,1.696,113.169E-6 ,0.876,0.934,2.629,13.339,1.268 ,6.013,8.312,12.206,18.038,0.823160,0.259030,8.201 ,5.941746031746032
