Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
121.561 ,6.406 ,112.564 ,148.375 ,46.02222837810751,67.99470228124869,10.23239697304118,58,55,8.290015E-3 ,0.445107E-3 ,48.413,2,20.608,2.515,208.533E-6 ,1.062,1.281,3.186,19.725,1.646 ,9.213,14.833,12.810,27.639,0.822759,0.288518,8.793 ,1.2919501133786848
128.689 ,34.594 ,73.356 ,538.126 ,54.33333458632978,74.01216830756906,4.180813787333753,1586,1516,7.827585E-3 ,1.461591E-3 ,32.536,61,40.260,2.098,164.193E-6 ,0.994,1.129,2.982,19.337,1.633 ,9.304,15.571,17.211,27.912,0.840912,0.227379,8.989 ,20.100113378684807
182.377 ,153.792 ,105.129 ,598.915 ,46.78057700013352,65.77501415070367,8.338910035025208,133,124,5.817126E-3 ,3.442463E-3 ,38.889,4,33.265,3.192,185.703E-6 ,1.524,1.637,4.572,24.633,1.694 ,12.996,28.148,33.445,38.989,0.819370,0.258739,8.208 ,1.4748072562358276
159.893 ,97.528 ,75.270 ,598.435 ,49.20037090583007,74.98429041538904,6.408761453056867,528,503,6.417906E-3 ,2.397081E-3 ,43.827,14,47.486,2.297,147.428E-6 ,1.146,1.240,3.437,20.030,1.623 ,9.868,15.963,18.572,29.605,0.835052,0.241798,9.059 ,6.516439909297052
137.705 ,44.718 ,105.987 ,545.548 ,60.77728682708296,74.32901549064869,29.506685560076086,273,260,7.271236E-3 ,1.452566E-3 ,27.778,10,32.630,2.861,208.060E-6 ,1.150,1.438,3.450,19.430,1.619 ,9.634,16.627,17.937,28.903,0.839041,0.238739,9.075 ,2.911541950113379
130.957 ,11.378 ,92.526 ,161.020 ,58.17191371138448,76.19785974359486,9.616671607096082,363,349,7.653632E-3 ,0.713289E-3 ,34.004,13,39.313,2.504,191.636E-6 ,1.091,1.277,3.272,18.596,1.620 ,8.756,14.854,16.517,26.269,0.856385,0.196058,9.477 ,4.50501133786848
123.919 ,10.714 ,85.409 ,183.887 ,56.47960129966573,73.50693527255525,12.245725965527965,434,417,8.058677E-3 ,0.666379E-3 ,28.738,14,24.730,2.243,180.717E-6 ,1.055,1.169,3.165,18.654,1.624 ,8.991,14.463,16.820,26.973,0.854948,0.211355,9.713 ,5.184195011337868
124.783 ,10.537 ,87.681 ,163.235 ,55.63686144328531,73.29241022365728,9.016419484674085,645,606,8.024835E-3 ,0.665485E-3 ,36.413,33,44.226,2.396,192.279E-6 ,0.923,1.104,2.770,18.109,1.611 ,8.948,15.163,16.372,26.845,0.826430,0.257767,8.504 ,9.233174603174604
140.983 ,53.322 ,100.089 ,589.698 ,55.71559208594483,74.4199903997224,11.1419931542328,907,872,7.156424E-3 ,1.682364E-3 ,29.692,28,33.058,2.628,188.080E-6 ,1.258,1.479,3.773,18.192,1.589 ,8.602,14.681,19.819,25.807,0.847456,0.219073,9.128 ,9.46827664399093
126.965 ,21.592 ,101.713 ,221.707 ,33.686099044896515,72.44373117111712,5.384571283024258,135,126,7.862522E-3 ,1.197722E-3 ,70.284,8,30.121,3.134,246.451E-6 ,1.642,2.026,4.925,18.966,1.711 ,9.937,16.624,26.422,29.810,0.815425,0.285522,8.284 ,3.9041950113378685
148.445 ,28.614 ,103.873 ,251.349 ,57.725813506096465,75.36761012123796,21.125547007999963,265,255,6.729137E-3 ,1.219930E-3 ,35.417,7,21.227,2.330,156.756E-6 ,1.202,1.435,3.606,18.877,1.612 ,8.787,14.911,17.371,26.360,0.816404,0.274986,7.954 ,2.911541950113379
135.369 ,40.495 ,99.669 ,426.248 ,55.03381696700383,74.98724736441636,6.259300334503736,835,803,7.419607E-3 ,1.524008E-3 ,34.499,28,37.580,2.093,155.329E-6 ,1.043,1.222,3.128,19.363,1.619 ,9.212,14.906,17.614,27.637,0.836836,0.232033,8.641 ,10.61766439909297
128.316 ,13.659 ,110.485 ,280.357 ,59.563436327607036,75.5075961100187,7.384233306064942,395,384,7.841328E-3 ,0.632517E-3 ,24.413,8,13.818,1.830,143.483E-6 ,0.958,1.137,2.873,18.599,1.582 ,9.484,15.942,17.706,28.451,0.844479,0.228728,9.239 ,4.296031746031746
161.381 ,77.492 ,75.214 ,560.257 ,59.28144922738921,73.80442815727127,35.29719300777694,205,196,6.256818E-3 ,2.051552E-3 ,23.118,7,30.286,2.746,171.782E-6 ,1.394,1.265,4.181,17.600,1.470 ,7.640,13.748,15.450,22.919,0.845594,0.234844,9.648 ,1.8927664399092972
140.524 ,32.922 ,113.704 ,269.246 ,51.21629529177264,72.9470563265153,6.772625284418989,434,415,7.125664E-3 ,1.310736E-3 ,41.739,16,38.772,2.195,156.413E-6 ,1.088,1.453,3.264,20.089,1.661 ,9.707,16.889,19.599,29.122,0.821046,0.268097,7.984 ,5.785011337868481
138.006 ,22.355 ,114.463 ,198.105 ,50.03521596245711,70.64099800310689,13.438561635440402,127,123,7.243049E-3 ,1.051307E-3 ,42.941,3,15.705,1.303,94.356E-6 ,0.560,0.748,1.679,16.145,1.369 ,7.189,12.847,14.602,21.567,0.838171,0.223316,8.899 ,1.736031746031746
128.170 ,6.458 ,115.141 ,148.712 ,55.63122559730181,71.40162812815943,16.0023050477643,256,246,7.814134E-3 ,0.498090E-3 ,26.897,7,18.070,2.549,199.189E-6 ,1.374,1.735,4.122,20.401,1.689 ,9.667,16.552,15.785,29.002,0.788747,0.320360,6.998 ,2.9376643990929705
158.341 ,62.965 ,117.274 ,571.407 ,51.22017368667779,72.3450367356213,9.49081283356349,657,632,6.366781E-3 ,1.771355E-3 ,34.964,19,41.123,2.380,151.516E-6 ,1.144,1.391,3.431,17.938,1.579 ,8.011,13.966,19.307,24.034,0.843960,0.225001,9.217 ,6.986643990929705
137.622 ,15.790 ,118.590 ,264.257 ,49.88130185798989,69.89160409632179,10.596593742234916,245,235,7.279209E-3 ,0.726301E-3 ,36.991,9,31.411,2.429,176.826E-6 ,1.213,1.430,3.638,19.375,1.582 ,9.197,16.202,20.017,27.591,0.824877,0.255740,8.104 ,3.2250113378684806
153.539 ,47.033 ,123.036 ,594.284 ,53.269877630147995,73.04820669001093,10.345335375662962,425,413,6.533103E-3 ,1.259778E-3 ,31.891,11,36.749,1.422,92.915E-6 ,0.711,0.838,2.132,16.913,1.451 ,7.706,13.936,17.997,23.117,0.878361,0.166375,10.243 ,4.426643990929705
133.217 ,6.548 ,116.661 ,160.879 ,50.55056374853431,70.663946318033,11.142041923288964,614,593,7.522067E-3 ,0.436246E-3 ,34.563,19,32.305,1.854,139.482E-6 ,0.924,1.162,2.771,19.734,1.727 ,9.016,15.657,16.998,27.048,0.830977,0.254460,8.495 ,7.352358276643991
146.618 ,70.502 ,101.481 ,557.600 ,44.03998083120085,68.743889469923,0.13081662441599068,1338,1282,6.902466E-3 ,2.050507E-3 ,42.897,38,32.352,2.162,149.216E-6 ,1.095,1.188,3.285,19.498,1.620 ,9.018,15.029,16.905,27.053,0.841294,0.228012,9.082 ,17.984195011337867
138.200 ,24.197 ,75.929 ,173.183 ,61.3876149609264,76.16507320669137,2.406702192465761,50,48,7.364597E-3 ,1.685603E-3 ,20.000,1,18.270,2.014,148.312E-6 ,0.751,0.879,2.253,18.717,1.615 ,8.462,14.849,16.415,25.386,0.775219,0.329410,6.114 ,0.5343990929705216
148.745 ,107.207 ,80.583 ,597.384 ,47.47360888629092,57.11967849425936,19.85855183983535,118,112,6.834719E-3 ,2.758365E-3 ,26.168,4,21.883,2.102,143.671E-6 ,0.836,0.868,2.507,10.778,1.072 ,4.415,7.115,10.746,13.246,0.827483,0.274686,8.059 ,1.109092970521542
159.080 ,50.494 ,91.718 ,275.400 ,40.234328783756744,70.02799817953948,10.648925516106988,259,247,6.328513E-3 ,1.939243E-3 ,56.962,10,52.830,2.229,141.078E-6 ,1.068,1.145,3.204,13.366,1.032 ,6.206,8.360,12.440,18.617,0.814641,0.267892,7.483 ,3.982562358276644
280.284 ,113.678 ,134.534 ,564.056 ,54.249027113193826,75.9519120939788,21.463172444202044,564,546,3.575644E-3 ,1.419983E-3 ,42.216,14,46.202,2.398,85.741E-6 ,1.161,1.328,3.482,10.268,1.022 ,3.952,5.524,9.362,11.855,0.863537,0.200711,11.224 ,3.825827664399093
186.027 ,23.896 ,131.609 ,260.458 ,54.382585368617384,72.87505637677587,18.03004548506241,759,741,5.394372E-3 ,0.698206E-3 ,35.423,16,35.582,2.160,116.523E-6 ,0.908,1.023,2.725,10.474,0.965 ,4.174,5.765,9.627,12.523,0.885276,0.156885,11.361 ,6.411950113378685
164.126 ,22.280 ,82.146 ,419.025 ,53.369365540033094,77.44002719442801,17.178246109048807,1017,986,6.111239E-3 ,0.763058E-3 ,39.759,29,38.830,1.878,114.741E-6 ,0.794,0.856,2.383,11.615,0.980 ,4.746,6.907,9.424,14.237,0.866053,0.186587,10.331 ,10.826643990929705
162.110 ,50.770 ,117.104 ,524.519 ,61.53926739578497,78.15632415614115,27.71963660308549,377,361,6.236920E-3 ,1.338181E-3 ,21.975,11,22.625,2.492,155.399E-6 ,1.106,1.259,3.319,16.294,1.438 ,6.692,12.237,16.281,20.075,0.880415,0.161420,10.931 ,3.172766439909297
136.824 ,27.347 ,111.935 ,232.529 ,60.24378087582412,72.84977685657866,36.61531168809741,259,250,7.344090E-3 ,1.252566E-3 ,21.260,7,24.419,2.675,196.434E-6 ,1.254,1.416,3.761,20.738,1.753 ,9.738,17.000,15.570,29.215,0.857961,0.206021,9.870 ,2.571950113378685
140.541 ,42.058 ,105.051 ,590.762 ,59.859673007756896,76.14751403215469,9.35183374560255,1114,1072,7.167910E-3 ,1.330255E-3 ,27.257,34,33.130,2.561,183.572E-6 ,1.217,1.433,3.650,18.522,1.552 ,8.514,15.206,17.862,25.542,0.843914,0.235737,9.602 ,11.662562358276643
144.432 ,60.276 ,76.132 ,586.436 ,52.16010264169833,74.25032114358666,7.293869406904145,651,611,7.069294E-3 ,1.650357E-3 ,43.031,23,42.793,2.436,172.209E-6 ,1.142,1.188,3.427,19.110,1.610 ,8.409,14.951,14.178,25.227,0.856384,0.211039,10.028 ,9.076439909297052
131.691 ,17.451 ,75.476 ,201.148 ,56.63904723627685,74.16425546215794,8.537756474925768,476,452,7.614059E-3 ,1.002281E-3 ,36.319,22,41.718,2.615,199.138E-6 ,1.190,1.395,3.570,18.234,1.583 ,8.416,13.754,15.755,25.248,0.841873,0.223968,9.186 ,6.1768480725623585
148.957 ,50.066 ,75.074 ,587.590 ,55.130653048855784,75.41098965310599,6.932677870286065,1980,1891,6.767949E-3 ,1.704100E-3 ,31.541,64,37.133,2.703,182.930E-6 ,1.210,1.450,3.631,17.019,1.486 ,7.522,13.539,16.398,22.566,0.857232,0.207677,9.907 ,20.674807256235827
125.875 ,9.143 ,112.279 ,148.415 ,52.40202903984687,69.94936933308628,12.43281319716055,138,133,7.960602E-3 ,0.629179E-3 ,36.715,4,24.036,2.478,197.277E-6 ,1.261,1.253,3.783,17.919,1.479 ,8.553,16.066,17.807,25.660,0.850872,0.222041,9.364 ,2.101746031746032
136.343 ,49.338 ,100.420 ,573.833 ,52.90449285138044,72.5788599486466,8.725564789177067,923,870,7.471533E-3 ,1.545854E-3 ,34.223,35,38.494,2.401,179.383E-6 ,1.010,1.216,3.031,18.706,1.597 ,8.766,16.015,20.734,26.299,0.839055,0.238246,9.103 ,10.90501133786848
