Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
156.765 ,28.522 ,75.999 ,215.623 ,32.62730676565339,58.87942959113934,2.7451462721668287,224,216,6.482671E-3 ,1.401554E-3 ,56.533,6,12.865,4.083,264.687E-6 ,1.993,2.202,5.980,16.836,1.501 ,7.593,11.229,23.883,22.778,0.747052,0.405031,5.611 ,3.7855328798185943
242.532 ,86.471 ,95.294 ,583.504 ,58.808882977969134,70.54544565380445,28.610394547609168,353,342,4.188883E-3 ,1.132292E-3 ,27.230,5,26.569,2.229,93.386E-6 ,1.073,1.045,3.218,10.879,1.026 ,4.701,5.862,8.864,14.104,0.886551,0.175292,12.086 ,2.1659410430839
162.902 ,67.591 ,84.805 ,448.455 ,35.46292555909854,67.64867812715711,2.1693765799930844,215,203,6.262117E-3 ,2.114848E-3 ,63.092,7,54.066,2.133,133.561E-6 ,0.823,0.990,2.470,12.594,1.263 ,5.082,6.923,8.256,15.246,0.807107,0.299241,8.796 ,4.046757369614513
168.991 ,69.871 ,91.569 ,587.254 ,47.90267906268283,71.12401736868952,-7.730403185784388,656,631,5.987680E-3 ,1.839183E-3 ,39.259,21,42.646,1.834,109.825E-6 ,0.759,0.928,2.277,13.350,1.240 ,4.813,7.632,15.522,14.439,0.834970,0.231680,8.337 ,6.789614512471656
200.874 ,70.562 ,131.656 ,634.905 ,45.43690202626629,70.09589836209996,-10.381383383919317,512,493,5.016734E-3 ,1.331458E-3 ,48.976,15,51.465,1.795,90.066E-6 ,0.727,0.851,2.181,13.561,1.192 ,5.419,7.901,12.828,16.257,0.842667,0.216082,8.681 ,5.405124716553288
183.189 ,85.467 ,112.290 ,569.308 ,50.42764002587368,68.467719433201,12.978568488543745,660,635,5.544345E-3 ,1.784277E-3 ,24.031,15,29.414,2.221,123.161E-6 ,0.955,1.152,2.865,13.391,1.264 ,5.234,8.314,14.672,15.701,0.836720,0.237931,8.573 ,5.196145124716553
169.769 ,55.516 ,139.491 ,510.320 ,51.43772034173883,67.04458479544171,23.914663779430022,255,243,6.006759E-3 ,1.097442E-3 ,26.638,8,33.555,1.552,93.220E-6 ,0.643,0.777,1.929,12.951,1.156 ,5.039,7.988,15.514,15.116,0.856522,0.195579,9.626 ,2.3226757369614512
174.401 ,72.491 ,94.429 ,402.826 ,53.75935617552622,65.02933245031404,27.190040603785114,201,186,6.060775E-3 ,1.567235E-3 ,17.949,6,21.714,2.105,127.580E-6 ,0.811,0.811,2.433,12.226,1.183 ,4.557,7.507,12.102,13.672,0.819203,0.274883,8.477 ,1.59124716553288
140.266 ,14.869 ,103.305 ,174.010 ,51.26362486743697,67.15546400715554,24.04713398753737,153,148,7.152716E-3 ,0.785684E-3 ,30.994,4,30.600,1.576,112.718E-6 ,0.697,0.825,2.090,14.328,1.344 ,5.859,8.947,13.021,17.576,0.812404,0.281750,7.505 ,1.7479818594104308
166.214 ,56.409 ,109.063 ,538.305 ,49.081693626360654,68.06069802377058,12.229616932790716,840,813,6.059905E-3 ,1.498319E-3 ,31.156,22,37.416,1.799,109.042E-6 ,0.739,0.931,2.217,12.694,1.159 ,5.544,7.734,11.599,16.631,0.841132,0.226333,8.792 ,7.991247165532879
166.583 ,67.413 ,94.816 ,480.316 ,46.51134669489839,66.84016022474668,9.801898082182731,579,558,6.053467E-3 ,1.746250E-3 ,37.153,14,35.944,1.669,101.012E-6 ,0.665,0.674,1.994,12.052,1.140 ,4.754,7.192,12.655,14.263,0.846973,0.215203,9.114 ,5.796961451247165
175.417 ,83.831 ,110.347 ,606.865 ,49.94678694742975,67.97127980972544,6.1070940429671925,858,821,5.752026E-3 ,1.818758E-3 ,26.918,25,31.121,1.980,113.887E-6 ,0.803,0.953,2.408,13.096,1.263 ,5.331,7.766,14.186,15.994,0.833931,0.237888,8.398 ,7.207573696145125
154.501 ,32.744 ,107.391 ,428.205 ,46.9921963849577,69.12091235295117,17.097915453167694,674,649,6.486025E-3 ,1.124606E-3 ,39.281,23,42.217,1.715,111.205E-6 ,0.694,0.888,2.082,12.636,1.152 ,5.449,7.690,12.778,16.348,0.833543,0.228498,8.660 ,7.547165532879818
152.696 ,43.892 ,104.947 ,515.416 ,45.71006716282593,66.79269792712924,13.43375709760856,435,414,6.579344E-3 ,1.255557E-3 ,37.166,18,33.423,1.502,98.814E-6 ,0.552,0.660,1.657,13.369,1.178 ,5.438,8.182,13.577,16.315,0.829156,0.244121,8.184 ,4.908798185941043
147.748 ,40.220 ,85.800 ,559.653 ,43.35922969289466,65.96816187346826,6.907533365052936,1066,1025,6.795954E-3 ,1.300376E-3 ,39.522,39,43.613,1.557,105.802E-6 ,0.547,0.714,1.640,13.876,1.278 ,5.740,8.011,13.546,17.221,0.823811,0.251111,7.792 ,12.588798185941043
127.888 ,23.150 ,89.847 ,225.380 ,34.16803511103419,57.210076829416536,-3.879488511885824,355,340,7.834127E-3 ,1.263322E-3 ,52.195,14,38.895,1.521,119.131E-6 ,0.581,0.773,1.744,13.350,1.237 ,5.338,7.852,15.018,16.015,0.798072,0.298370,7.015 ,6.188798185941043
199.031 ,24.209 ,168.027 ,280.793 ,61.22595237259659,73.34966840907535,33.28096369154514,171,168,5.026281E-3 ,0.545693E-3 ,27.731,2,21.652,1.123,56.458E-6 ,0.579,0.629,1.737,10.091,1.012 ,3.510,5.394,9.946,10.530,0.925448,0.096240,13.291 ,1.225532879818594
157.353 ,52.184 ,113.662 ,313.036 ,55.24298964977967,70.08829230398139,22.784294898543486,327,317,6.380265E-3 ,1.891581E-3 ,20.996,7,23.185,3.364,214.648E-6 ,1.696,2.020,5.089,14.951,1.308 ,7.133,9.417,14.816,21.398,0.815166,0.281091,8.121 ,2.845124716553288
127.048 ,35.389 ,81.296 ,368.250 ,57.228279726543185,68.10536788960376,14.194915013806032,405,393,7.919736E-3 ,1.573017E-3 ,19.529,9,23.836,2.508,198.656E-6 ,1.272,1.369,3.815,16.087,1.478 ,7.523,9.569,12.948,22.569,0.823115,0.264915,8.203 ,4.281859410430839
157.719 ,102.489 ,69.153 ,594.676 ,56.110457265461505,73.04254224540409,0.2413149428155233,558,527,6.434493E-3 ,2.855638E-3 ,32.292,17,38.681,2.835,182.431E-6 ,1.474,1.546,4.422,14.886,1.348 ,6.876,8.445,12.096,20.629,0.808204,0.298581,8.110 ,5.796961451247165
140.164 ,55.630 ,106.522 ,568.982 ,51.67463445662829,72.71831597610577,12.44964355014364,718,684,7.174442E-3 ,1.867399E-3 ,38.328,29,42.068,3.126,224.241E-6 ,1.626,1.591,4.877,15.592,1.329 ,7.475,8.000,10.482,22.424,0.796794,0.318553,7.868 ,8.644308390022676
132.823 ,69.639 ,80.910 ,550.607 ,52.70700843462131,69.45486159968388,21.22292673065791,224,208,7.726940E-3 ,2.138377E-3 ,34.680,8,35.585,2.291,177.056E-6 ,1.071,1.187,3.213,11.393,1.032 ,5.239,6.859,11.321,15.717,0.828024,0.251908,8.623 ,3.001859410430839
165.311 ,72.480 ,113.613 ,554.679 ,46.416178126838304,70.52723851469237,4.407721028125506,522,504,6.133536E-3 ,1.819825E-3 ,42.295,13,44.804,2.432,149.194E-6 ,1.015,1.304,3.044,15.103,1.333 ,6.220,9.148,16.272,18.661,0.831190,0.244270,8.276 ,5.875328798185941
