Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
128.268,37.418,93.253,319.922,48.095376128839334,25.604760259193228,85.81822065478502,132,127,7.963560E-3,1.747786E-3,66.667,4,8.271,3.768,300.050E-6,1.757,2.060,5.271,14.556,1.338,7.775,11.693,17.864,23.325,0.793086,0.316847,7.103,3.36
129.982,73.499,75.965,572.253,63.79995260253068,24.546440474548426,87.31741747056354,476,451,7.861380E-3,2.343898E-3,36.467,16,27.065,2.732,214.760E-6,1.268,1.500,3.805,15.565,1.408,7.369,10.468,17.246,22.106,0.814340,0.273021,7.750,6.2
124.690,36.601,76.590,319.198,58.612989917548724,26.566283977960268,86.77261140244687,289,280,8.164533E-3,1.773363E-3,43.943,4,20.362,2.772,226.362E-6,1.387,1.449,4.161,14.219,1.236,6.999,9.587,16.642,20.998,0.812206,0.288446,7.827,4.24
134.050,55.006,81.512,340.197,62.893711672038656,28.62585337182191,87.0341803706679,506,487,7.485076E-3,2.430707E-3,38.473,17,31.476,2.691,201.459E-6,1.251,1.474,3.752,16.106,1.397,7.940,9.649,15.998,23.821,0.824391,0.253874,8.313,6.84
146.783,88.926,77.443,594.279,64.42637086359548,25.925269357827094,89.10925122980944,471,446,6.994624E-3,2.852726E-3,38.120,17,33.075,3.284,229.727E-6,1.345,1.742,4.035,15.740,1.482,7.979,9.771,20.777,23.937,0.802640,0.294843,7.241,5.88
121.011,29.442,80.501,308.933,51.18547513495575,17.91337538393517,87.50768189283987,194,182,8.302002E-3,1.627342E-3,62.781,8,32.937,2.928,243.096E-6,1.209,1.380,3.626,15.126,1.346,6.870,9.989,15.599,20.611,0.811024,0.284455,7.725,4.92
142.035,66.348,74.179,586.385,62.241945304644,25.439726505429622,87.3467273720447,1053,1001,7.179828E-3,2.224293E-3,40.568,38,35.667,2.924,209.945E-6,1.382,1.608,4.146,13.611,1.261,6.333,9.264,17.257,18.998,0.824173,0.261019,8.484,13.76
157.096,70.949,74.943,492.362,58.98448590925295,25.054171190415694,88.16575059947773,532,503,6.493668E-3,2.305853E-3,48.718,23,35.986,3.255,211.348E-6,1.580,1.805,4.741,16.806,1.425,8.323,10.796,16.254,24.970,0.810299,0.281804,7.641,7.44
133.871,74.257,87.792,493.335,58.626235703649314,24.760471112178003,89.76486185709517,537,506,7.630201E-3,2.614108E-3,47.219,23,37.653,2.991,228.218E-6,1.384,1.488,4.152,14.588,1.370,6.648,9.559,15.167,19.943,0.807849,0.286872,7.621,8.48
132.219,72.499,77.311,503.800,62.40896559196551,26.140261402708266,85.44795757675429,820,765,7.731719E-3,2.754169E-3,42.141,39,40.837,2.898,224.062E-6,1.336,1.453,4.008,16.217,1.397,7.835,9.749,14.428,23.505,0.814089,0.274050,7.649,11.8
133.256,53.898,72.218,330.432,56.84999387138794,25.513938742176656,85.63555535945818,476,451,7.564187E-3,2.308502E-3,51.935,18,35.037,2.655,200.851E-6,1.237,1.327,3.711,14.691,1.344,7.086,10.488,17.247,21.257,0.834667,0.240813,8.786,8.04
144.285,57.541,73.473,430.715,59.96054020527449,21.704387481410826,88.56651492553328,1166,1100,6.993643E-3,2.253690E-3,48.708,53,45.822,2.903,202.991E-6,1.282,1.406,3.847,16.588,1.447,8.456,10.349,16.915,25.367,0.812940,0.277978,7.792,17.44
158.481,54.031,94.709,310.500,60.05815279972195,26.427149296542225,88.58106620365544,182,173,6.321551E-3,1.898594E-3,52.075,7,22.505,3.755,237.388E-6,1.798,1.965,5.393,16.087,1.431,7.199,12.747,14.281,21.598,0.809787,0.272082,7.408,2.68
134.218,64.237,66.692,513.554,60.941584538647774,24.3468837986649,87.93424501947676,628,600,7.440583E-3,2.592862E-3,45.297,24,36.677,2.888,214.848E-6,1.324,1.393,3.971,15.053,1.346,6.619,9.233,12.933,19.858,0.806398,0.289525,7.432,9.28
126.466,36.473,75.770,351.117,64.13955958336801,25.57215667403384,88.49778506436652,899,855,7.973703E-3,1.794298E-3,38.319,31,38.238,2.574,205.244E-6,1.064,1.295,3.193,13.502,1.288,6.160,9.001,13.826,18.481,0.829099,0.247882,8.282,12.4
143.767,57.480,91.406,481.400,64.26039412073386,25.180030305445193,89.73150560263448,398,378,7.034058E-3,1.963930E-3,36.308,14,30.466,2.656,186.830E-6,1.207,1.398,3.620,14.426,1.354,6.256,9.720,15.842,18.769,0.859243,0.196869,9.687,4.96
157.521,109.859,80.457,477.624,51.32422604568381,22.801601463543484,86.16492934002763,189,179,6.613657E-3,3.153357E-3,63.712,6,25.150,2.786,184.286E-6,1.174,1.362,3.522,13.955,1.276,6.369,9.213,15.677,19.107,0.843303,0.229882,8.967,3.64
139.168,58.263,74.467,505.074,65.70427894760503,25.840423219654642,88.98467886339817,1053,1003,7.261348E-3,2.034968E-3,35.228,37,34.686,2.628,190.836E-6,1.193,1.346,3.579,15.695,1.371,7.176,9.971,17.284,21.527,0.841410,0.222276,8.737,12.52
128.171,57.069,76.617,558.545,52.333017298512544,20.08619062757844,87.78359364024693,325,309,7.837792E-3,2.210400E-3,57.686,14,62.792,2.732,214.148E-6,1.129,1.431,3.386,13.941,1.346,6.833,9.970,14.307,20.500,0.822281,0.257241,8.365,6.6
141.011,52.278,85.099,359.207,64.36747961554254,25.680554050142472,89.16154635213702,449,428,7.189846E-3,2.101137E-3,38.251,14,27.074,2.669,191.885E-6,1.169,1.275,3.508,13.308,1.282,6.127,7.704,13.854,18.380,0.822331,0.257957,8.227,5.52
124.359,47.269,75.088,567.204,62.262192037329854,25.145120944130326,88.29828703423178,622,594,8.121837E-3,2.114632E-3,38.144,21,28.440,2.827,229.626E-6,1.210,1.439,3.630,15.796,1.386,7.085,10.453,17.231,21.255,0.805771,0.292513,7.442,8.76
130.133,26.594,88.214,303.464,63.23159760966926,25.930303254058153,86.1461014805041,363,344,7.740203E-3,1.282051E-3,39.181,15,28.667,2.510,194.302E-6,1.128,1.389,3.383,13.444,1.187,6.135,8.992,11.775,18.406,0.839931,0.230029,8.861,5.16
152.968,88.274,84.105,557.960,62.36627067362327,26.533323571218858,88.52507280181575,838,794,6.680311E-3,2.606153E-3,42.311,31,33.628,3.170,211.747E-6,1.506,1.645,4.517,17.975,1.460,9.345,12.234,20.718,28.035,0.807121,0.288154,7.526,10.24
138.534,72.787,83.822,576.230,55.9388966023408,25.53400935257389,86.85221639514754,353,332,7.554036E-3,2.331491E-3,53.530,11,27.315,2.907,219.565E-6,1.361,1.465,4.083,15.148,1.346,6.275,10.437,17.251,18.824,0.833787,0.243740,8.661,6.12
146.448,77.558,76.522,522.130,63.33618198919265,24.287137885898886,86.6894486830195,381,362,6.923743E-3,2.543073E-3,40.302,13,29.952,3.169,219.408E-6,1.593,1.666,4.778,15.478,1.437,7.506,10.969,17.725,22.519,0.823818,0.258118,8.112,4.68
127.944,38.214,75.004,325.151,63.972847101758724,25.206116631305196,88.55086287159709,584,553,7.838691E-3,1.777449E-3,38.509,27,33.625,2.571,201.529E-6,1.106,1.240,3.317,16.447,1.418,7.089,11.033,16.578,21.268,0.830775,0.249082,8.326,8.08
143.552,64.654,68.968,590.117,64.61467997694622,25.28532987180549,88.80216339857101,621,585,7.140859E-3,2.040463E-3,31.420,17,28.170,2.156,153.937E-6,0.948,1.129,2.844,14.765,1.365,5.834,9.254,17.757,17.502,0.847297,0.222021,9.183,7.0
145.040,67.011,87.802,442.416,60.629946847913956,25.56473484117223,86.027553872597,228,219,6.982552E-3,2.318557E-3,42.105,5,18.335,3.115,217.527E-6,1.371,1.867,4.113,15.967,1.432,7.091,10.356,26.965,21.273,0.814377,0.277358,7.574,2.88
227.022,81.365,117.703,337.375,58.048530913151254,29.7837952103959,85.69825098538493,182,175,4.397970E-3,1.770699E-3,51.596,5,20.759,4.979,218.980E-6,2.740,2.467,8.221,16.502,1.429,10.597,9.289,14.812,31.792,0.821118,0.274274,8.431,1.92
131.530,41.612,73.128,566.709,63.51874528593682,26.419620496539867,89.15128346582375,596,572,7.669216E-3,1.452452E-3,36.925,19,31.051,2.569,197.028E-6,1.139,1.284,3.416,13.033,1.236,5.747,8.803,16.664,17.240,0.841118,0.230807,8.974,7.64
137.954,53.483,72.624,543.478,61.17869392771322,25.763895829116528,88.51167909162207,834,785,7.277470E-3,2.066907E-3,47.045,43,54.644,2.756,200.540E-6,1.295,1.454,3.886,14.245,1.252,6.071,8.743,16.607,18.214,0.822551,0.261714,8.252,12.72
127.089,21.918,78.243,186.837,64.93096742054028,26.711194032928454,88.60284364383855,363,354,7.906356E-3,1.451180E-3,31.910,8,16.395,2.594,205.095E-6,1.145,1.355,3.435,13.650,1.258,5.837,8.480,16.405,17.512,0.843440,0.221560,8.826,4.48
139.144,50.378,73.435,341.270,63.59511393287838,26.936998994987796,87.06959853180265,448,422,7.379003E-3,1.954154E-3,39.898,17,27.557,3.551,262.050E-6,1.636,1.748,4.907,15.075,1.313,6.671,10.067,14.007,20.012,0.799963,0.311126,7.692,5.92
140.341,53.525,78.145,292.939,54.03270096928563,26.41579993826129,85.20486152063647,248,231,7.212925E-3,2.202005E-3,61.143,11,29.611,2.733,197.111E-6,1.145,1.244,3.436,14.824,1.288,7.515,9.120,11.401,22.544,0.810493,0.273158,7.403,5.28
137.162,41.522,82.612,311.075,62.99222341478345,28.765474394663073,87.7479784145695,270,257,7.337706E-3,1.914935E-3,41.114,10,23.652,3.476,255.027E-6,1.619,1.794,4.857,15.295,1.386,5.965,9.151,18.382,17.895,0.822293,0.256648,7.958,3.8
199.991,140.439,81.128,505.197,45.800283613382526,26.50697390005018,87.38291388066034,86,81,5.166078E-3,2.930204E-3,79.186,2,16.318,3.234,167.046E-6,1.579,1.499,4.736,13.057,1.243,5.425,9.118,13.067,16.275,0.804122,0.278968,7.186,2.24
155.695,72.368,93.933,472.234,59.518127615500966,25.164488657589608,89.8208433759568,258,249,6.528805E-3,1.931107E-3,46.917,8,32.423,3.439,224.518E-6,1.816,2.102,5.447,16.756,1.399,8.420,11.694,18.961,25.259,0.827508,0.248431,8.118,3.76
140.003,75.076,74.407,594.009,61.71947982173996,23.616871878031347,89.28404806217422,927,883,7.331211E-3,2.487394E-3,40.811,35,35.582,3.109,227.904E-6,1.526,1.700,4.577,17.552,1.517,8.257,11.385,16.638,24.772,0.810112,0.281289,7.581,12.6
134.104,73.813,73.553,599.532,60.204069102429756,20.66686948745698,88.46727651689977,744,697,7.587046E-3,2.538092E-3,46.120,35,36.559,3.338,253.229E-6,1.601,1.687,4.803,15.790,1.414,7.212,10.827,15.110,21.635,0.787979,0.329363,6.969,11.24
129.854,46.438,76.383,354.409,62.75041848623018,22.420987072308748,88.50590516704321,683,649,7.771308E-3,2.058912E-3,38.174,23,32.250,2.867,222.782E-6,1.198,1.403,3.594,15.813,1.489,7.327,10.071,16.698,21.982,0.818566,0.267278,7.931,9.12
