Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
250.864,43.442,190.381,310.285,47.04623885272306,19.725609408325823,72.65899832732754,94,90,3.982697E-3,0.717216E-3,57.143,1,5.408,1.800,71.672E-6,0.709,0.612,2.127,12.144,1.063,4.795,7.048,13.690,14.385,0.859697,0.190547,9.194,1.08
214.607,45.280,76.066,494.032,49.72008669393402,6.871441855665424,77.49613852997936,2028,1959,4.675296E-3,0.930707E-3,49.777,64,54.310,1.713,80.074E-6,0.719,0.799,2.158,10.663,1.018,3.990,5.983,9.616,11.971,0.892721,0.143928,11.504,20.24
212.521,48.800,124.692,501.795,45.97999523218369,8.339135987029021,75.33758785776979,782,753,4.728153E-3,0.979056E-3,52.253,28,37.185,2.274,107.532E-6,0.985,1.116,2.956,12.020,1.081,4.291,6.601,11.061,12.874,0.863083,0.190512,10.195,8.24
210.816,43.837,88.769,425.678,48.06454681284363,18.412982171618296,75.07507513164222,1181,1143,4.757652E-3,0.913794E-3,47.619,29,32.985,2.028,96.475E-6,0.853,1.023,2.560,11.653,1.104,4.477,6.890,11.890,13.432,0.886368,0.151670,11.106,11.16
202.435,39.046,82.797,344.006,48.6924955214765,17.57065692040324,77.63825253230624,1151,1119,4.964076E-3,0.979125E-3,47.200,30,35.506,1.386,68.797E-6,0.511,0.581,1.532,9.898,0.887,3.715,5.874,9.711,11.146,0.921053,0.100925,13.555,11.28
211.286,35.894,85.487,369.142,46.53188821461046,17.261626976815897,76.38115770844904,1016,979,4.772419E-3,0.841527E-3,53.402,34,42.368,1.623,77.467E-6,0.648,0.710,1.943,12.218,1.126,4.304,7.040,12.977,12.912,0.883815,0.160418,10.979,10.76
211.956,43.200,131.637,329.510,49.81739499775507,17.163689621626695,71.27989708225367,533,523,4.727027E-3,0.930328E-3,38.717,8,14.526,1.583,74.826E-6,0.683,0.840,2.050,11.166,1.013,4.572,6.546,10.229,13.717,0.895167,0.157331,12.368,4.24
207.249,42.278,77.557,484.759,47.18998670119502,11.254210243164245,73.62180566605963,934,910,4.832166E-3,0.929146E-3,48.169,22,32.420,1.664,80.430E-6,0.714,0.803,2.142,11.033,1.028,3.555,5.826,11.552,10.666,0.897806,0.135946,11.870,9.04
202.652,42.338,79.683,467.816,47.4315804224443,15.66854465379448,72.73592750582989,1403,1349,4.949880E-3,0.943200E-3,48.912,44,39.901,1.770,87.609E-6,0.750,0.867,2.249,11.031,1.021,4.172,6.622,10.510,12.515,0.885868,0.153751,11.481,14.28
201.986,31.620,106.913,343.315,51.63104915949369,18.915096308330853,77.8741660077535,794,765,4.941712E-3,0.759472E-3,49.561,26,37.775,1.552,76.679E-6,0.625,0.697,1.876,10.846,0.961,4.181,6.485,9.734,12.544,0.892424,0.146865,11.790,8.0
204.615,32.193,76.630,297.640,49.95375736782439,18.30337523384052,75.11955484352549,483,466,4.876184E-3,0.776327E-3,44.766,15,49.179,2.421,118.068E-6,1.032,1.184,3.097,12.418,1.163,3.920,7.200,13.374,11.759,0.866218,0.187343,10.333,4.52
206.892,40.118,74.995,459.735,48.95344615848505,9.224422203539325,76.06044277128822,1402,1359,4.855398E-3,0.949549E-3,46.587,38,35.690,2.036,98.865E-6,0.889,0.987,2.667,11.051,0.979,4.170,6.393,9.881,12.509,0.888058,0.155489,11.811,13.36
212.322,42.635,92.823,508.542,50.57682351877091,17.659767174186204,76.75624378251948,1655,1606,4.727984E-3,0.836784E-3,46.483,43,35.554,1.516,71.672E-6,0.623,0.756,1.869,10.560,0.956,3.713,5.975,10.720,11.138,0.905349,0.121858,12.263,15.24
213.503,50.955,109.559,524.234,51.33169412343091,17.816002527216504,77.2807769760727,1162,1118,4.735375E-3,0.978893E-3,47.558,35,40.206,2.197,104.014E-6,0.883,1.025,2.648,11.657,1.100,4.192,6.699,12.446,12.577,0.882416,0.161089,11.012,10.88
205.409,43.769,74.128,431.340,48.10954362752401,13.220008941377323,77.54806628252038,625,600,4.883242E-3,1.059136E-3,50.681,20,55.023,1.983,96.852E-6,0.729,0.881,2.187,11.177,1.032,3.782,6.541,11.369,11.347,0.886223,0.152738,11.133,6.64
206.436,46.574,78.725,453.632,51.232469575377735,14.69257137534155,77.36107753299122,1197,1160,4.864291E-3,0.996981E-3,45.837,32,37.678,1.999,97.248E-6,0.824,0.947,2.471,10.318,0.960,4.091,6.275,9.678,12.274,0.882009,0.160107,11.210,11.2
209.020,35.561,121.054,323.727,45.48179750632937,7.730660412775967,75.90201314305708,761,734,4.790632E-3,0.835702E-3,55.052,26,35.788,1.800,86.251E-6,0.717,0.790,2.151,11.098,1.032,4.145,5.773,9.080,12.436,0.895285,0.144555,11.907,8.64
219.131,54.418,84.073,570.643,47.298720137918274,12.32724190051059,77.31818831430296,1049,1007,4.577475E-3,0.994384E-3,51.992,29,41.306,2.232,102.149E-6,1.031,1.118,3.094,10.981,1.004,4.315,6.567,10.361,12.944,0.875438,0.175458,11.025,10.32
