Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
166.126 ,16.002 ,148.261 ,192.076 ,40.96555963446919,50.7033740030555,25.967416904069097,53,50,5.997216E-3 ,0.603505E-3 ,20.339,2,12.820,1.353,81.143E-6 ,0.615,0.578,1.845,15.897,1.670 ,7.535,10.269,21.360,22.606,0.741733,0.390792,5.081 ,0.6247165532879818
131.692 ,66.916 ,95.683 ,422.976 ,33.03167810884014,52.43748476188705,12.023492926060197,182,172,7.620884E-3 ,2.510321E-3 ,36.996,9,48.160,3.523,268.497E-6 ,1.765,2.156,5.294,15.942,1.498 ,7.013,7.069,11.728,21.040,0.648917,0.630352,3.106 ,2.7667573696145125
117.712 ,64.938 ,92.558 ,571.476 ,32.60495073921683,47.44405782909194,14.643127618380632,289,273,8.543851E-3 ,2.517078E-3 ,25.269,12,35.081,4.053,346.277E-6 ,2.200,2.625,6.599,21.056,1.779 ,9.330,15.751,36.402,27.990,0.651083,0.596669,2.923 ,3.759410430839002
181.586 ,131.810 ,90.479 ,592.181 ,32.817259155158276,50.814565083637774,9.979637530830974,345,325,5.538893E-3 ,3.111648E-3 ,39.237,16,49.074,3.501,193.934E-6 ,1.810,2.116,5.429,19.769,1.810 ,8.541,11.427,10.144,25.623,0.664966,0.573095,3.335 ,3.7071655328798188
161.575 ,137.442 ,78.091 ,592.543 ,30.913294837849527,53.01794229978859,11.35260365433022,567,534,6.255034E-3 ,3.653570E-3 ,39.973,27,52.257,3.582,224.084E-6 ,2.126,2.359,6.379,20.847,1.720 ,9.481,12.167,14.397,28.443,0.699193,0.491626,4.206 ,7.312063492063492
132.527 ,107.085 ,85.731 ,596.502 ,31.237926125240964,52.46605189402078,9.34500801749995,205,190,7.664203E-3 ,3.334958E-3 ,37.457,10,43.651,3.598,275.727E-6 ,1.885,2.331,5.655,22.019,1.864 ,9.275,10.614,15.844,27.826,0.658034,0.588888,3.156 ,2.9496145124716553
124.060 ,77.106 ,78.014 ,588.231 ,29.166585675278757,55.58799625996849,8.480552473291306,1281,1198,8.078579E-3 ,2.774343E-3 ,48.223,72,59.467,2.515,203.136E-6 ,1.422,1.573,4.266,16.990,1.509 ,7.485,10.662,17.016,22.456,0.736150,0.417257,5.173 ,24.239410430839
150.889 ,102.544 ,83.031 ,575.171 ,32.13212713757736,51.49304925927994,10.232191363809992,653,619,6.697295E-3 ,2.915856E-3 ,35.429,27,48.690,3.754,251.428E-6 ,2.182,2.554,6.547,18.549,1.569 ,8.515,12.237,21.886,25.544,0.701537,0.497530,4.232 ,8.304716553287982
221.724 ,188.982 ,81.057 ,598.574 ,24.727755043789298,53.478016935369524,3.589601122228725,326,297,4.670796E-3 ,3.747447E-3 ,64.006,19,58.565,4.718,220.382E-6 ,2.608,3.184,7.825,21.107,1.780 ,9.889,10.515,9.377,29.667,0.666502,0.549904,3.276 ,6.42390022675737
159.250 ,168.744 ,75.162 ,577.827 ,26.011714344848425,49.471990732877195,3.9506339339221523,135,119,6.721656E-3 ,5.215489E-3 ,63.844,10,40.594,2.702,181.635E-6 ,1.405,1.703,4.214,19.951,1.678 ,7.408,12.207,29.615,22.223,0.678519,0.543285,3.575 ,3.1063492063492064
162.964 ,136.118 ,77.505 ,607.017 ,31.182391402704997,59.89150738873735,-6.097784085424497,851,787,6.362965E-3 ,3.528552E-3 ,58.307,44,67.064,3.178,202.185E-6 ,1.682,1.886,5.047,17.685,1.595 ,7.999,11.350,18.101,23.998,0.705592,0.473804,4.253 ,15.749614512471656
162.406 ,118.449 ,96.173 ,433.682 ,41.0468475068378,58.31634028823734,13.863313884382528,104,99,6.231609E-3 ,3.519159E-3 ,27.184,3,30.894,3.217,200.500E-6 ,1.712,2.202,5.137,18.304,1.586 ,7.573,10.803,24.829,22.719,0.744557,0.378443,4.995 ,1.0687981859410431
239.428 ,185.734 ,76.545 ,587.429 ,37.9470011751141,56.358507149683454,10.575574455667372,418,388,4.361228E-3 ,3.795285E-3 ,31.692,16,44.424,4.677,203.988E-6 ,2.657,3.276,7.971,20.679,1.704 ,9.754,13.167,16.929,29.262,0.672108,0.558310,3.536 ,3.2892063492063492
