Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
371.399 ,223.411 ,78.583 ,598.376 ,52.021016151226796,74.92638834858636,12.42172652919151,100,92,2.659491E-3 ,2.711180E-3 ,47.826,2,24.441,6.527,173.594E-6 ,3.556,4.432,10.669,20.715,1.762 ,7.635,7.655,--undefined--,22.904,0.581829,0.769114,1.499 ,0.726984126984127
201.153 ,147.966 ,80.840 ,575.790 ,53.514222064828566,80.49929597067363,11.327301744091196,184,169,5.014984E-3 ,3.111654E-3 ,67.939,11,57.268,3.548,177.936E-6 ,2.058,2.496,6.173,17.505,1.564 ,7.749,12.500,13.333,23.247,0.678342,0.526216,3.543 ,3.9661678004535146
142.127 ,94.677 ,72.008 ,596.815 ,62.11126072365349,82.72098990196059,0.564041148822544,1310,1224,7.190860E-3 ,2.789691E-3 ,43.376,61,49.481,2.644,190.152E-6 ,1.361,1.638,4.083,16.912,1.476 ,7.968,11.751,18.163,23.904,0.730429,0.429626,4.984 ,18.751473922902495
132.764 ,95.455 ,76.886 ,588.920 ,65.0822876173037,81.73778284840985,25.04555272301107,879,814,7.676934E-3 ,3.143829E-3 ,35.364,48,44.543,2.949,226.406E-6 ,1.468,1.635,4.403,17.149,1.493 ,8.212,11.534,13.237,24.635,0.712492,0.455248,4.454 ,11.855147392290249
112.634 ,18.446 ,82.223 ,236.041 ,63.05726031576812,82.70503137633301,7.907888004365521,574,539,8.904585E-3 ,1.210616E-3 ,45.763,33,39.481,2.237,199.202E-6 ,1.024,1.126,3.073,15.846,1.376 ,7.320,10.203,14.253,21.959,0.746433,0.388491,5.413 ,10.653514739229024
132.837 ,70.781 ,85.362 ,558.817 ,66.06000134931867,81.6063029093873,6.960940460635499,450,415,7.624630E-3 ,2.279618E-3 ,40.373,29,40.559,2.797,213.293E-6 ,1.477,1.467,4.432,16.224,1.400 ,7.845,9.328,12.647,23.535,0.714816,0.457178,4.555 ,6.473922902494331
127.058 ,54.696 ,84.417 ,521.412 ,62.75141819174235,82.04568130625226,6.293884138273549,476,442,7.910547E-3 ,2.156420E-3 ,45.605,27,41.862,2.422,191.618E-6 ,1.207,1.284,3.621,16.338,1.477 ,8.082,11.252,16.678,24.245,0.712632,0.453495,4.370 ,7.88453514739229
131.849 ,65.472 ,83.835 ,574.096 ,62.38299402441221,80.1483708308285,12.248942258366853,564,530,7.643095E-3 ,2.250148E-3 ,46.436,30,45.880,2.896,221.381E-6 ,1.583,1.715,4.748,18.081,1.574 ,9.321,13.318,17.525,27.962,0.692621,0.509735,3.906 ,9.29514739229025
124.838 ,72.498 ,81.317 ,585.045 ,63.96341468504281,82.48721508064845,6.456861351015216,1060,1005,8.103776E-3 ,2.469237E-3 ,38.773,45,41.623,2.172,176.021E-6 ,1.116,1.323,3.348,16.949,1.468 ,8.441,10.866,15.961,25.322,0.731763,0.416763,4.915 ,15.355555555555556
122.885 ,24.200 ,92.959 ,202.740 ,61.63757607380222,80.27749742680794,10.377944270892762,377,358,8.146814E-3 ,1.503509E-3 ,46.440,18,43.586,1.917,156.187E-6 ,0.937,1.062,2.812,13.950,1.266 ,7.235,9.163,13.648,21.705,0.738400,0.406401,5.116 ,6.212698412698413
121.011 ,50.570 ,82.267 ,597.009 ,64.17874354378712,82.77167567394784,31.247678646357055,432,404,8.374209E-3 ,1.942671E-3 ,46.684,25,47.471,2.336,195.583E-6 ,1.073,1.231,3.219,18.354,1.579 ,8.693,10.742,10.268,26.078,0.682926,0.520914,3.661 ,7.571065759637189
122.810 ,48.729 ,75.710 ,558.637 ,62.703983680290015,79.96285003743724,4.093240464453027,1519,1426,8.181260E-3 ,1.921255E-3 ,42.236,86,48.471,2.310,189.020E-6 ,1.173,1.390,3.520,17.678,1.515 ,8.694,12.037,16.858,26.081,0.718423,0.446403,4.553 ,24.184943310657598
124.636 ,21.936 ,82.063 ,198.215 ,60.45285753298826,78.96734556889699,3.564613632560627,306,285,8.036817E-3 ,1.425030E-3 ,55.199,19,46.078,3.008,241.776E-6 ,1.665,1.768,4.995,18.699,1.545 ,9.347,11.819,18.688,28.040,0.670540,0.544552,3.395 ,6.5784126984126985
145.576 ,88.169 ,92.714 ,568.316 ,61.383060941998444,78.29153278315775,13.380307816519332,383,361,6.884075E-3 ,2.472764E-3 ,53.232,20,58.711,2.732,188.045E-6 ,1.337,1.752,4.011,17.872,1.548 ,8.319,10.784,11.568,24.957,0.702905,0.482929,4.303 ,7.30984126984127
142.732 ,89.030 ,83.733 ,571.572 ,59.58155335943041,78.00606846713781,9.48748656089775,693,637,7.135940E-3 ,2.760453E-3 ,53.440,43,57.184,3.003,214.284E-6 ,1.652,1.859,4.957,17.862,1.581 ,8.423,11.265,14.241,25.268,0.659979,0.574127,3.187 ,12.534331065759638
119.317 ,56.066 ,82.529 ,566.307 ,61.92818406803809,77.52118903614998,22.58248380393571,636,592,8.478438E-3 ,2.158016E-3 ,46.729,40,48.764,2.523,213.929E-6 ,1.324,1.540,3.972,18.052,1.546 ,8.936,12.266,18.398,26.808,0.667903,0.549851,3.264 ,11.802902494331066
131.927 ,77.546 ,81.550 ,534.816 ,58.772229398244185,78.8951094062586,18.26848632296134,460,428,7.550467E-3 ,2.768854E-3 ,50.868,28,50.458,2.595,195.918E-6 ,1.305,1.515,3.914,17.895,1.555 ,8.505,11.230,21.142,25.516,0.680520,0.518226,3.558 ,8.093514739229025
132.673 ,74.683 ,86.184 ,592.664 ,59.74984612162922,74.9633952529162,19.65066022405556,611,564,7.654690E-3 ,2.584080E-3 ,49.720,36,53.848,3.003,229.867E-6 ,1.662,2.008,4.987,18.469,1.564 ,9.329,12.583,15.499,27.986,0.691383,0.505719,3.938 ,10.758004535147393
127.207 ,24.798 ,76.141 ,230.089 ,59.534672358393145,75.59973706260192,6.436155421852984,445,419,7.878651E-3 ,1.426679E-3 ,50.956,25,39.443,1.948,153.440E-6 ,0.968,1.217,2.904,17.782,1.507 ,8.800,11.723,15.708,26.401,0.733400,0.406542,4.868 ,8.929433106575964
117.816 ,18.593 ,100.112 ,176.572 ,61.6771209994629,75.11273358994542,2.09652496453873,130,124,8.511027E-3 ,1.235593E-3 ,52.041,5,39.664,2.217,188.697E-6 ,1.282,1.437,3.847,15.581,1.399 ,7.613,10.575,15.510,22.840,0.635767,0.608523,2.530 ,2.973514739229025
116.392 ,39.374 ,85.545 ,464.470 ,60.629427584652426,78.12471993079937,20.937755068341556,764,715,8.587206E-3 ,1.816676E-3 ,43.316,46,49.638,2.515,215.926E-6 ,1.371,1.615,4.112,16.870,1.491 ,8.333,11.504,13.936,24.998,0.702780,0.478308,4.249 ,13.42249433106576
141.803 ,90.887 ,74.889 ,597.000 ,58.804357913742514,77.29966976173748,1.7227082698941354,781,714,7.169101E-3 ,2.763323E-3 ,53.524,52,50.960,3.127,224.189E-6 ,1.651,1.836,4.954,19.343,1.673 ,10.062,11.562,13.905,30.186,0.688110,0.493919,3.707 ,14.362902494331065
122.937 ,57.431 ,80.701 ,593.145 ,57.41364524573888,75.64754746070855,7.0382857786704935,323,294,8.188039E-3 ,2.105314E-3 ,57.592,27,50.514,2.356,192.882E-6 ,1.112,1.424,3.336,20.116,1.654 ,9.946,14.855,21.119,29.837,0.657981,0.568520,3.055 ,7.6755555555555555
192.142 ,128.656 ,87.543 ,592.683 ,60.045538920347326,75.10558379483231,14.142302160229228,201,181,5.372304E-3 ,2.682062E-3 ,54.515,11,43.691,4.083,219.353E-6 ,2.203,2.527,6.609,21.908,1.817 ,11.063,14.715,16.118,33.190,0.645049,0.600238,2.810 ,3.0257596371882087
148.011 ,115.624 ,93.995 ,598.677 ,55.04134840655319,70.71290745244377,15.38508639715046,247,226,6.858597E-3 ,3.266792E-3 ,61.474,17,57.744,3.047,208.965E-6 ,1.625,2.077,4.875,18.370,1.515 ,9.376,10.908,16.402,28.127,0.646300,0.592429,2.795 ,6.003718820861678
133.855 ,95.574 ,81.510 ,569.890 ,59.06030406351261,73.43934640696573,7.73064287716509,452,411,7.461657E-3 ,3.202781E-3 ,53.306,38,60.328,2.421,180.662E-6 ,1.343,1.359,4.030,18.715,1.539 ,9.437,11.049,13.861,28.311,0.653409,0.568865,2.907 ,9.71310657596372
133.015 ,59.707 ,96.679 ,455.513 ,55.577012317860714,71.66209578484126,-0.10386516918525338,320,298,7.547346E-3 ,2.208211E-3 ,57.859,19,47.244,2.532,191.110E-6 ,1.420,1.528,4.260,17.102,1.485 ,8.031,10.488,10.444,24.093,0.664234,0.551222,3.172 ,7.4143310657596375
148.244 ,120.351 ,84.814 ,566.004 ,55.77666738499761,73.37391035530817,6.763644075340124,387,348,6.998373E-3 ,3.476555E-3 ,57.093,26,53.978,3.494,244.539E-6 ,1.944,2.142,5.831,21.337,1.738 ,10.919,15.494,12.328,32.756,0.661007,0.570731,3.216 ,8.563718820861679
122.421 ,12.324 ,102.083 ,161.606 ,59.925972934492094,72.6213945664641,17.176867630119684,167,152,8.222132E-3 ,0.760001E-3 ,56.784,12,56.624,1.340,110.149E-6 ,0.638,0.679,1.913,17.525,1.527 ,8.295,10.051,11.261,24.884,0.677796,0.523464,3.537 ,4.018412698412698
107.924 ,10.258 ,84.790 ,129.198 ,57.637795293154696,69.77107403092772,19.572296238997552,220,205,9.255287E-3 ,0.887730E-3 ,50.341,14,56.454,2.547,235.754E-6 ,1.442,1.731,4.325,15.835,1.400 ,7.295,10.594,15.233,21.885,0.669845,0.554151,3.400 ,5.899229024943311
145.190 ,95.992 ,96.898 ,597.626 ,56.86273294572884,74.4494356696457,9.163216552756511,140,127,7.135037E-3 ,2.455649E-3 ,66.110,9,50.068,3.382,241.298E-6 ,2.042,2.554,6.126,17.319,1.507 ,8.519,9.271,--undefined--,25.556,0.620276,0.659353,2.261 ,4.227392290249433
134.173 ,74.371 ,88.446 ,572.743 ,56.706275099973,71.02020774401524,5.79186678149624,244,224,7.469515E-3 ,2.556739E-3 ,61.481,18,61.858,2.391,178.615E-6 ,1.284,1.270,3.853,17.432,1.556 ,8.433,9.433,9.596,25.299,0.661591,0.560655,3.149 ,6.787392290249433
131.112 ,69.621 ,73.645 ,557.105 ,55.73073104563022,71.23222118417291,8.723447759574798,271,248,7.706145E-3 ,2.392822E-3 ,54.641,19,46.786,2.845,219.215E-6 ,1.596,1.937,4.788,17.421,1.517 ,9.359,11.689,16.516,28.078,0.648193,0.597242,2.845 ,5.7424943310657595
119.091 ,59.419 ,87.822 ,565.223 ,56.337120056294744,72.36356971768845,6.441890763508766,246,224,8.473856E-3 ,2.334383E-3 ,60.434,20,56.065,3.341,283.132E-6 ,1.949,2.405,5.846,18.870,1.710 ,9.559,11.587,5.375,28.677,0.644431,0.603896,2.783 ,7.4143310657596375
133.157 ,92.402 ,92.588 ,568.341 ,56.72251178157879,73.12613772357611,7.113100458987938,130,118,7.474718E-3 ,3.093598E-3 ,64.948,10,50.608,5.199,388.626E-6 ,2.941,3.061,8.824,17.112,1.414 ,7.794,8.839,8.762,23.383,0.621846,0.645662,2.259 ,3.913922902494331
171.423 ,143.013 ,88.859 ,582.112 ,56.75810296991225,71.31158668122545,26.863440618830154,416,379,5.908673E-3 ,3.571503E-3 ,64.158,28,67.533,3.627,214.333E-6 ,2.034,2.394,6.101,17.953,1.567 ,8.438,10.496,6.904,25.315,0.645217,0.595211,2.782 ,10.131065759637188
114.875 ,10.984 ,99.430 ,138.508 ,49.94201191330842,68.9800626545967,1.5063661345428958,28,23,8.813942E-3 ,0.917399E-3 ,82.188,4,31.039,4.556,401.530E-6 ,2.995,6.227,8.984,12.331,0.980 ,6.875,--undefined--,--undefined--,20.626,0.614992,0.653878,2.099 ,3.9661678004535146
123.468 ,53.856 ,88.871 ,531.862 ,54.178035102914066,70.19447320025911,3.533255185348063,172,150,8.244470E-3 ,1.864524E-3 ,74.976,19,69.171,2.703,222.849E-6 ,1.546,1.643,4.639,18.915,1.675 ,9.140,12.437,9.292,27.420,0.609223,0.678046,2.009 ,10.549024943310657
144.123 ,95.436 ,91.080 ,597.013 ,52.97908739782898,65.73450446410489,13.474277546964606,156,138,6.994661E-3 ,2.840312E-3 ,67.273,14,61.487,3.114,217.833E-6 ,1.911,2.385,5.733,19.934,1.682 ,8.674,12.982,8.208,26.022,0.618391,0.656834,2.200 ,5.533514739229025
141.136 ,77.077 ,94.662 ,499.026 ,53.409851216334125,67.56532406969814,3.766148484915601,186,168,7.229079E-3 ,2.502512E-3 ,68.478,16,65.624,3.572,258.236E-6 ,2.025,2.499,6.074,18.402,1.627 ,9.737,8.424,7.226,29.212,0.594684,0.724759,1.745 ,6.473922902494331
126.488 ,66.961 ,89.978 ,558.642 ,54.26925191893245,69.12490125253785,10.46794642214866,347,319,7.976998E-3 ,2.356206E-3 ,70.940,24,62.372,3.593,286.636E-6 ,2.120,2.179,6.360,22.104,1.872 ,11.005,13.626,14.612,33.016,0.611113,0.687718,2.077 ,12.900045351473922
235.156 ,176.514 ,93.393 ,579.785 ,50.400743731547635,66.83468486967467,2.2995923422416373,218,190,4.391923E-3 ,2.994994E-3 ,73.379,14,54.611,3.164,138.953E-6 ,1.825,2.365,5.475,18.147,1.614 ,9.412,13.125,--undefined--,28.237,0.609754,0.679109,2.023 ,5.899229024943311
154.613 ,102.380 ,99.907 ,588.384 ,53.90857669504018,67.9635878905396,8.567360265277598,235,214,6.353717E-3 ,2.717515E-3 ,73.668,19,71.814,3.514,223.268E-6 ,1.847,1.830,5.540,19.073,1.644 ,10.322,13.156,13.509,30.967,0.635786,0.604954,2.523 ,9.608616780045352
160.805 ,130.097 ,94.384 ,524.949 ,52.755509837529964,69.68155484290725,15.05531489617239,126,114,5.962978E-3 ,3.466282E-3 ,80.202,11,66.998,4.106,244.853E-6 ,2.252,2.299,6.756,21.143,1.903 ,10.356,13.621,--undefined--,31.067,0.608359,0.686887,2.037 ,8.929433106575964
183.071 ,144.626 ,86.398 ,587.262 ,53.63028732040741,70.70469771827882,2.940852547325887,347,314,5.550214E-3 ,3.318985E-3 ,71.200,25,72.373,5.011,278.119E-6 ,2.793,3.401,8.379,21.963,1.750 ,11.783,13.680,25.587,35.349,0.624246,0.644055,2.327 ,11.280453514739229
172.750 ,134.233 ,96.429 ,594.348 ,52.45463521347272,66.17769567713387,16.743198969198573,189,172,5.761217E-3 ,3.311810E-3 ,77.119,15,68.702,3.671,211.489E-6 ,2.195,2.524,6.586,19.455,1.742 ,10.116,12.003,2.836,30.349,0.588650,0.729957,1.609 ,10.653514739229024
147.565 ,83.856 ,102.020 ,509.018 ,53.16849345375876,68.68862095190917,9.205978186559907,163,147,6.795763E-3 ,2.439088E-3 ,75.810,14,71.377,2.527,171.710E-6 ,1.520,1.747,4.561,19.631,1.799 ,10.188,13.564,21.245,30.565,0.603465,0.699517,1.903 ,9.29514739229025
158.842 ,114.223 ,92.590 ,588.309 ,51.387886321718945,65.18919459815817,8.419621722309401,91,78,6.236104E-3 ,3.111302E-3 ,79.223,10,72.606,6.072,378.670E-6 ,3.643,2.361,10.929,17.695,1.546 ,10.166,13.279,--undefined--,30.498,0.592562,0.717693,1.678 ,5.951473922902494
173.322 ,145.421 ,94.270 ,574.812 ,51.98032657914038,68.86257539247134,-2.6779288218115473,229,211,5.732545E-3 ,3.486863E-3 ,77.960,14,69.080,6.492,372.171E-6 ,3.889,3.931,11.668,19.970,1.737 ,9.620,12.471,22.114,28.861,0.589559,0.743351,1.649 ,11.01922902494331
141.540 ,20.077 ,122.645 ,173.727 ,50.55899584751481,65.7970489093264,-0.8986392085641772,21,18,6.997965E-3 ,0.921657E-3 ,85.537,2,37.737,2.070,144.851E-6 ,1.198,0.442,3.594,18.162,1.529 ,7.761,--undefined--,--undefined--,23.283,0.567749,0.780128,1.204 ,2.451065759637188
140.174 ,24.039 ,104.524 ,223.663 ,50.290699355608766,63.57170830491271,14.423921468350699,80,73,7.160329E-3 ,1.173891E-3 ,79.397,6,60.903,4.996,357.751E-6 ,3.076,3.560,9.227,20.788,1.656 ,11.129,16.880,17.377,33.387,0.561968,0.814733,1.116 ,6.003718820861678
126.863 ,15.880 ,98.388 ,155.107 ,51.329732198065166,62.89988410602966,7.498805270238061,84,75,7.861553E-3 ,1.067425E-3 ,79.458,8,77.100,2.314,181.950E-6 ,1.264,1.231,3.792,17.031,1.597 ,7.483,12.447,29.985,22.448,0.593876,0.720399,1.709 ,7.048616780045352
155.568 ,109.898 ,93.621 ,555.073 ,52.090273010882896,66.38075365513005,10.387581905702215,150,135,6.413875E-3 ,3.252126E-3 ,83.718,12,84.883,4.041,259.168E-6 ,2.431,2.885,7.292,19.145,1.665 ,9.123,10.254,21.804,27.369,0.588099,0.733116,1.587 ,16.922902494331066
169.300 ,129.973 ,82.110 ,555.989 ,52.502830546263276,66.18663937296007,0.6574448478256422,98,87,5.684115E-3 ,3.484533E-3 ,84.824,10,78.951,4.387,249.360E-6 ,2.275,1.722,6.825,21.611,1.832 ,11.560,20.293,--undefined--,34.679,0.635652,0.606839,2.543 ,12.220861678004535
175.265 ,118.679 ,107.613 ,545.798 ,48.185948053976524,60.45386915041257,3.69865137011441,74,67,5.766210E-3 ,2.989161E-3 ,84.982,5,59.185,4.337,250.086E-6 ,2.437,2.196,7.310,21.116,1.670 ,11.503,11.800,32.544,34.509,0.603074,0.683064,1.863 ,5.690249433106576
389.814 ,247.803 ,101.222 ,595.940 ,49.376479412137954,68.59664370925316,6.565750038289276,37,32,2.771818E-3 ,2.571054E-3 ,93.153,1,10.542,10.444,289.491E-6 ,6.500,4.381,19.500,26.640,2.225 ,18.306,--undefined--,--undefined--,54.918,0.581304,0.764882,1.456 ,7.048616780045352
195.656 ,156.186 ,104.642 ,586.095 ,48.88732464953509,65.3215840975273,26.83505364968884,55,49,5.346508E-3 ,3.137424E-3 ,87.580,4,38.806,3.086,165.000E-6 ,1.607,2.112,4.821,22.636,1.828 ,10.745,21.382,--undefined--,32.235,0.581096,0.760332,1.528 ,9.451882086167801
111.539 ,20.316 ,95.298 ,165.098 ,49.97318080047384,67.25671177866256,9.501189808093425,56,49,8.925533E-3 ,1.437305E-3 ,87.013,6,69.598,1.799,160.526E-6 ,1.082,1.200,3.247,17.027,1.760 ,7.574,12.240,--undefined--,22.723,0.607601,0.689481,1.967 ,10.810249433106575
180.726 ,139.030 ,100.849 ,522.014 ,49.57361870897382,71.46790189971402,7.390500157182243,59,50,5.628291E-3 ,3.053691E-3 ,84.070,5,57.816,2.490,140.123E-6 ,1.301,1.973,3.902,19.755,1.675 ,10.038,15.244,--undefined--,30.115,0.580014,0.761662,1.447 ,9.765351473922902
145.559 ,27.296 ,127.929 ,202.595 ,49.4249372755771,64.44968995954812,6.783243451131423,32,29,6.852087E-3 ,1.160632E-3 ,85.633,2,35.265,1.577,108.066E-6 ,0.918,1.054,2.754,23.892,2.015 ,13.592,13.076,28.357,40.776,0.638097,0.600385,2.543 ,5.32453514739229
131.704 ,81.992 ,101.619 ,483.576 ,48.65522264098676,59.906368489566134,0.3120272997075554,52,46,7.525465E-3 ,2.774957E-3 ,87.336,5,48.058,2.544,191.475E-6 ,1.587,2.133,4.761,20.188,1.699 ,9.527,10.225,--undefined--,28.581,0.596603,0.701340,1.731 ,8.406984126984128
214.197 ,164.051 ,104.382 ,595.527 ,49.460794424590404,68.70031584056342,9.179834629624295,137,120,4.840240E-3 ,3.132152E-3 ,89.824,12,73.692,4.261,206.253E-6 ,2.261,2.890,6.783,21.840,1.849 ,11.391,14.562,--undefined--,34.172,0.581589,0.743268,1.463 ,18.80371882086168
484.149 ,21.396 ,453.027 ,505.843 ,49.572783964619255,64.79012599856571,-0.737563617300899,34,33,2.066252E-3 ,0.210502E-3 ,92.628,0,0,9.877,204.088E-6 ,5.067,6.900,15.201,21.692,1.793 ,10.212,15.587,4.981,30.636,0.572402,0.767251,1.290 ,5.32453514739229
451.495 ,20.934 ,420.027 ,478.302 ,49.89366813690598,63.66414651880221,2.1765978095460445,58,51,2.305231E-3 ,0.449009E-3 ,89.454,0,0,8.232,189.773E-6 ,4.880,5.504,14.639,31.731,2.327 ,14.861,29.014,--undefined--,44.583,0.576501,0.829309,1.462 ,8.093514739229025
133.443 ,81.549 ,90.344 ,565.683 ,49.14102115639345,64.72369135384109,7.251665031772866,136,121,7.550672E-3 ,2.513500E-3 ,85.031,12,67.236,2.583,195.050E-6 ,1.619,1.989,4.856,17.964,1.504 ,9.551,12.699,18.113,28.653,0.577111,0.769582,1.398 ,16.13922902494331
444.278 ,1.838 ,442.196 ,445.671 ,34.691459873896356,66.60452160442128,-5.374319556539033,13,12,2.309723E-3 ,0.218912E-3 ,97.510,0,0,6.754,155.987E-6 ,2.373,3.137,7.118,31.400,2.696 ,15.005,32.429,--undefined--,45.015,0.561983,0.791005,1.093 ,4.854331065759637
101.188 ,11.726 ,79.628 ,128.717 ,56.62499260925255,81.12752044212563,8.347687656779549,67,61,9.921530E-3 ,1.121008E-3 ,58.201,5,22.206,1.342,133.167E-6 ,0.567,0.579,1.701,14.235,1.383 ,6.029,10.928,7.946,18.088,0.723441,0.420773,4.491 ,1.9286167800453515
117.921 ,76.551 ,75.827 ,587.421 ,65.55659131313688,81.97231285927884,36.09911742935913,1198,1125,8.609879E-3 ,2.957537E-3 ,34.266,57,42.631,2.500,215.287E-6 ,1.190,1.412,3.569,17.645,1.515 ,8.338,11.542,20.295,25.013,0.743880,0.399294,5.281 ,17.54984126984127
97.765 ,10.030 ,75.941 ,121.634 ,62.09522575816714,82.30065420705665,28.48762415106541,257,240,10.228708E-3 ,1.062189E-3 ,44.578,16,47.867,1.825,186.718E-6 ,0.849,1.151,2.548,14.721,1.325 ,6.831,10.362,11.525,20.493,0.748710,0.384026,5.431 ,5.846984126984127
137.374 ,109.339 ,82.424 ,598.106 ,63.23496276942398,81.20368959504043,8.51960477329287,280,261,7.522910E-3 ,3.314571E-3 ,37.624,13,29.226,3.058,230.028E-6 ,1.667,1.849,5.001,18.909,1.612 ,8.642,11.726,17.239,25.927,0.714487,0.467795,4.568 ,4.070657596371882
112.736 ,65.925 ,75.664 ,593.238 ,60.2639381064213,80.43670428272245,13.048897689381437,766,702,8.937259E-3 ,2.795022E-3 ,48.856,55,53.194,2.476,221.310E-6 ,1.183,1.291,3.548,16.666,1.497 ,8.285,11.663,17.209,24.856,0.730860,0.418737,4.873 ,15.773514739229025
117.579 ,62.669 ,76.643 ,540.674 ,60.75038228254537,81.10344019281595,3.738466789959616,610,571,8.592887E-3 ,2.385008E-3 ,48.210,35,44.193,2.474,212.551E-6 ,1.199,1.416,3.598,16.343,1.450 ,7.528,10.408,16.407,22.583,0.733321,0.417315,4.911 ,11.489433106575964
111.830 ,36.091 ,82.524 ,492.150 ,59.494897266058786,80.14307309745394,5.384873918006326,299,275,8.950911E-3 ,1.675492E-3 ,52.255,22,53.112,2.156,192.983E-6 ,1.002,1.205,3.006,14.723,1.361 ,7.050,9.488,13.085,21.149,0.738668,0.407117,5.073 ,7.571065759637189
119.317 ,74.647 ,74.656 ,527.740 ,60.997706640176474,79.44678636892662,9.274468596198084,587,549,8.497300E-3 ,2.901885E-3 ,45.317,31,44.747,2.458,208.822E-6 ,1.146,1.376,3.439,17.298,1.521 ,8.125,11.198,19.672,24.375,0.698542,0.487850,4.041 ,10.601269841269842
115.959 ,69.388 ,74.000 ,579.770 ,61.309300262778,79.71983137288129,9.22812778261056,910,850,8.712077E-3 ,2.669990E-3 ,46.409,51,49.197,2.129,185.519E-6 ,1.021,1.141,3.063,16.233,1.449 ,7.376,9.459,13.236,22.129,0.739145,0.404198,5.147 ,16.609433106575963
114.235 ,64.890 ,74.961 ,596.432 ,59.99788821464325,78.43175165139662,8.855063288361642,507,464,8.858577E-3 ,2.597226E-3 ,55.235,38,63.815,2.357,208.799E-6 ,1.043,1.206,3.130,16.606,1.406 ,8.459,11.796,16.141,25.377,0.695120,0.485446,3.880 ,13.213514739229025
114.721 ,63.508 ,75.013 ,573.211 ,61.144036578810535,79.51448216939585,9.697977094312142,791,737,8.849373E-3 ,2.468853E-3 ,47.651,43,44.143,2.116,187.297E-6 ,1.016,1.093,3.047,16.513,1.473 ,8.106,11.193,17.547,24.318,0.710034,0.458958,4.277 ,15.14657596371882
112.598 ,58.542 ,79.033 ,597.779 ,59.83949254525876,77.16051878649394,3.6929630723241247,736,688,8.903891E-3 ,2.449420E-3 ,50.618,43,53.798,1.978,176.111E-6 ,1.013,1.117,3.038,17.638,1.553 ,8.828,11.866,15.344,26.484,0.714981,0.436793,4.349 ,15.407800453514739
106.920 ,48.308 ,78.183 ,579.220 ,59.59608940480998,78.9949118486017,4.9881767888324235,509,477,9.374805E-3 ,2.229738E-3 ,48.375,30,44.731,2.055,192.624E-6 ,0.933,1.064,2.799,17.400,1.481 ,8.555,12.100,17.732,25.666,0.728719,0.415986,4.726 ,10.496780045351475
111.723 ,55.954 ,79.873 ,576.243 ,59.16094476485953,75.60083285890539,14.21678742183554,312,281,9.107544E-3 ,2.401126E-3 ,51.259,25,52.373,2.514,228.993E-6 ,1.263,1.464,3.790,18.338,1.587 ,10.024,13.092,14.508,30.073,0.660245,0.563304,3.124 ,6.787392290249433
114.892 ,60.349 ,82.985 ,576.210 ,61.266158459734854,76.56888754699753,11.523544571593618,503,478,8.749691E-3 ,2.463084E-3 ,41.375,21,37.279,1.927,168.565E-6 ,0.907,0.999,2.721,16.930,1.503 ,7.876,10.759,15.036,23.628,0.719524,0.437353,4.487 ,8.615963718820861
111.067 ,68.909 ,74.945 ,556.066 ,58.26557277078046,76.0403865784556,1.7536340133736725,399,372,9.018484E-3 ,2.901807E-3 ,47.914,25,44.692,2.157,194.487E-6 ,1.147,1.272,3.441,18.159,1.562 ,9.500,12.351,16.662,28.501,0.704901,0.464452,4.141 ,7.466575963718821
118.456 ,66.630 ,87.930 ,512.451 ,58.5963204284176,80.35205633689631,13.006433580403742,544,503,8.511387E-3 ,2.527151E-3 ,56.564,34,48.723,2.175,185.111E-6 ,1.113,1.215,3.339,17.081,1.453 ,8.878,11.816,14.645,26.635,0.689141,0.503474,3.816 ,12.377596371882087
