Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
176.607 ,53.588 ,71.234 ,600.934 ,50.75068291621776,73.01909990199236,6.01099512627351,1646,1585,5.686566E-3 ,1.272584E-3 ,33.671,44,34.028,1.726,98.135E-6 ,0.753,0.872,2.260,12.939,1.197 ,5.376,8.417,14.185,16.127,0.871117,0.178857,10.613 ,14.823378684807256
173.206 ,47.163 ,66.847 ,522.221 ,49.809291463948135,73.58811894555888,3.1754040800292938,2121,2072,5.810955E-3 ,1.548694E-3 ,33.785,38,36.678,1.157,67.206E-6 ,0.504,0.602,1.512,11.164,1.008 ,4.561,6.614,9.744,13.683,0.899184,0.133891,11.921 ,19.211950113378684
177.643 ,42.052 ,75.892 ,496.965 ,46.487296348084776,73.25664976223175,4.044657569144853,1073,1028,5.643344E-3 ,1.050078E-3 ,36.894,30,34.361,1.680,94.808E-6 ,0.729,0.899,2.186,13.883,1.276 ,5.475,8.697,14.295,16.424,0.861148,0.195008,10.089 ,10.147460317460318
195.513 ,51.618 ,75.773 ,461.094 ,47.25849732590107,73.22617801532667,3.1397277675786377,1540,1487,5.127239E-3 ,1.186366E-3 ,38.427,41,42.278,1.799,92.230E-6 ,0.774,0.855,2.321,14.225,1.270 ,6.109,9.589,14.943,18.328,0.867215,0.181137,9.890 ,13.517256235827665
195.226 ,56.201 ,76.109 ,515.498 ,43.93917945097982,70.85566799231012,3.764348080179069,2129,2072,5.145578E-3 ,1.274263E-3 ,37.654,47,36.744,1.455,74.863E-6 ,0.669,0.796,2.006,11.436,1.081 ,4.581,7.073,11.466,13.744,0.906123,0.123413,12.313 ,17.85358276643991
184.999 ,51.545 ,139.067 ,450.005 ,45.498390836268726,67.88949162542715,6.483652059831394,1190,1152,5.423178E-3 ,1.135364E-3 ,29.886,27,28.557,1.982,107.482E-6 ,0.951,1.108,2.854,12.641,1.225 ,5.132,7.754,11.556,15.397,0.872448,0.179147,10.752 ,9.703378684807257
170.396 ,39.444 ,72.101 ,434.347 ,51.81258612772533,70.00591795983318,19.30450378441497,1228,1199,5.898501E-3 ,1.141966E-3 ,22.941,24,17.683,2.232,131.665E-6 ,1.136,1.281,3.409,13.765,1.322 ,5.612,8.601,14.529,16.835,0.849647,0.225484,9.644 ,9.62501133786848
187.293 ,52.352 ,67.491 ,541.956 ,48.834739653600046,74.40980301841844,4.598985938870074,2889,2801,5.365458E-3 ,1.204839E-3 ,34.202,67,38.022,1.772,95.059E-6 ,0.825,0.953,2.476,12.997,1.229 ,5.171,7.736,12.878,15.514,0.876016,0.168765,10.561 ,24.593174603174603
151.080 ,51.494 ,73.418 ,483.558 ,41.930053499112695,73.18429776397836,0.4338990228288948,1418,1361,6.680793E-3 ,1.725893E-3 ,50.175,44,53.043,1.418,94.761E-6 ,0.608,0.713,1.823,13.321,1.168 ,5.763,8.391,12.691,17.288,0.843462,0.224749,9.181 ,20.02174603174603
130.432 ,3.865 ,125.489 ,136.932 ,51.95272274019664,68.97823763452602,25.173715463289884,12,11,7.665631E-3 ,0.248484E-3 ,68.000,0,0,1.072,82.178E-6 ,0.573,0.545,1.718,9.661,0.863 ,4.144,5.668,--undefined--,12.431,0.791504,0.271988,5.971 ,0.5343990929705216
124.572 ,71.430 ,99.172 ,599.668 ,56.60796987549185,78.35926897375774,20.273413411057067,480,458,8.114298E-3 ,2.239554E-3 ,37.481,18,36.670,1.969,159.759E-6 ,1.065,1.001,3.194,12.947,1.164 ,6.227,7.663,11.692,18.680,0.791780,0.313054,6.793 ,6.62092970521542
170.915 ,141.787 ,96.124 ,559.283 ,56.23843337137008,73.20796015674544,26.050992718897817,172,158,6.140040E-3 ,3.505300E-3 ,46.491,7,44.732,2.323,142.619E-6 ,1.210,1.184,3.631,17.615,1.583 ,7.647,11.854,17.988,22.941,0.735068,0.428170,5.153 ,2.3107256235827665
123.396 ,57.157 ,101.710 ,593.467 ,49.92244043750298,74.66178153050356,15.283080479377313,827,791,8.183191E-3 ,1.839804E-3 ,40.478,29,42.968,1.826,149.421E-6 ,0.965,0.987,2.895,13.056,1.172 ,5.852,8.334,13.156,17.556,0.808392,0.283169,7.411 ,11.74092970521542
169.846 ,141.584 ,102.323 ,578.230 ,46.180262247119,76.96347500526369,18.682593364029742,268,251,6.042349E-3 ,3.238170E-3 ,60.470,11,34.128,1.960,118.455E-6 ,0.967,1.065,2.902,16.539,1.415 ,7.832,10.045,19.312,23.496,0.748169,0.382997,5.327 ,4.713990929705216
167.282 ,56.487 ,67.291 ,500.682 ,56.43202766236949,76.49349048625523,21.914044477515546,1137,1104,6.010921E-3 ,1.655592E-3 ,26.769,23,23.630,2.119,127.380E-6 ,1.000,1.150,3.001,13.373,1.284 ,5.275,8.052,14.061,15.825,0.841365,0.233159,9.129 ,9.781746031746032
