Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
175.011 ,14.626 ,146.722 ,200.958 ,45.42358062892481,67.40340620252681,17.274266233345873,100,97,5.719106E-3 ,0.493490E-3 ,58.503,2,11.874,1.487,85.049E-6 ,0.690,0.874,2.069,13.324,1.110 ,6.279,8.195,9.001,18.838,0.813518,0.272536,7.692 ,1.5009297052154196
168.431 ,31.634 ,130.390 ,419.373 ,53.92991963292641,69.49070858951761,16.578710211440487,776,757,5.953497E-3 ,0.978627E-3 ,27.477,16,26.488,1.421,84.610E-6 ,0.634,0.786,1.902,11.567,1.085 ,4.609,7.006,12.233,13.828,0.888359,0.156453,11.128 ,6.699297052154195
142.543 ,11.061 ,120.106 ,188.617 ,51.328594300401,69.12527995261408,17.166749089997513,342,335,7.033818E-3 ,0.537814E-3 ,26.176,6,19.161,1.383,97.313E-6 ,0.622,0.798,1.867,13.335,1.232 ,5.752,8.152,10.280,17.255,0.867145,0.182116,9.972 ,3.4339909297052156
136.347 ,9.051 ,123.335 ,165.913 ,48.38542562816788,66.84997052494032,15.692316450716781,409,397,7.345599E-3 ,0.474120E-3 ,32.696,11,35.172,1.354,99.493E-6 ,0.627,0.739,1.881,11.643,1.030 ,4.983,6.992,9.357,14.949,0.867798,0.188801,10.436 ,4.740113378684807
138.499 ,43.194 ,117.412 ,566.009 ,45.02062342140267,65.51270871087426,16.21219873362197,613,588,7.269385E-3 ,1.165729E-3 ,41.677,22,35.095,1.644,119.539E-6 ,0.735,0.882,2.206,13.855,1.233 ,6.241,8.276,10.253,18.722,0.813228,0.277701,7.867 ,7.90092970521542
155.271 ,23.353 ,128.987 ,437.595 ,48.946510371293236,68.07490377634498,16.07842055552657,1291,1251,6.450120E-3 ,0.815050E-3 ,35.980,38,38.791,1.554,100.223E-6 ,0.702,0.847,2.106,12.727,1.161 ,5.349,7.925,11.675,16.047,0.855527,0.209842,9.708 ,14.013582766439908
147.040 ,37.537 ,120.095 ,554.414 ,48.033603309264045,66.55575722582695,15.369842442455363,1646,1593,6.825475E-3 ,1.014112E-3 ,32.542,45,36.086,1.567,106.953E-6 ,0.746,0.883,2.239,13.194,1.173 ,5.558,8.090,11.501,16.673,0.855109,0.205658,9.543 ,17.305011337868482
171.615 ,29.836 ,112.644 ,554.572 ,47.453526918765284,66.9676135393221,14.530891087685374,511,493,5.848298E-3 ,0.807754E-3 ,40.112,17,39.156,1.962,114.744E-6 ,0.899,1.038,2.697,13.592,1.235 ,5.637,9.784,15.607,16.910,0.831237,0.242833,8.290 ,5.393174603174603
153.973 ,52.634 ,126.802 ,597.648 ,48.297209450286836,65.61060343288497,18.38916732368498,767,730,6.552309E-3 ,1.234089E-3 ,29.272,27,35.006,1.917,125.586E-6 ,0.939,1.071,2.817,12.286,1.121 ,4.998,7.776,11.589,14.994,0.844613,0.228566,9.126 ,7.587460317460318
149.431 ,49.807 ,125.460 ,569.454 ,45.61730295018687,63.763996565101735,16.307006946260493,313,300,6.760402E-3 ,1.146067E-3 ,39.106,9,27.520,1.467,99.157E-6 ,0.644,0.745,1.933,12.624,1.122 ,5.523,7.403,11.658,16.570,0.855412,0.205096,9.295 ,3.6168480725623584
158.316 ,82.735 ,118.340 ,581.526 ,38.253543169715826,64.20737796605567,-0.9440136261714793,577,549,6.440055E-3 ,1.992752E-3 ,49.027,21,37.542,1.969,126.779E-6 ,0.903,0.988,2.710,14.257,1.283 ,5.472,7.501,12.677,16.417,0.815509,0.272631,7.950 ,7.744195011337869
174.658 ,17.404 ,145.591 ,212.214 ,57.00746298482227,71.40165817440095,19.174328635040954,196,190,5.722359E-3 ,0.590128E-3 ,25.926,4,28.164,1.117,63.923E-6 ,0.411,0.560,1.233,12.145,1.158 ,5.101,7.929,12.254,15.304,0.849495,0.216162,9.336 ,1.6576643990929705
154.389 ,9.879 ,126.957 ,182.406 ,55.02977919583345,69.97822245168868,26.787168416789093,480,469,6.493998E-3 ,0.462154E-3 ,20.673,10,24.060,1.345,87.374E-6 ,0.587,0.674,1.760,11.339,1.076 ,4.492,6.827,11.455,13.476,0.882161,0.162630,10.676 ,4.191541950113379
157.717 ,19.325 ,127.573 ,223.628 ,52.71038172050354,69.85842939758018,18.76840624787963,644,627,6.356438E-3 ,0.760347E-3 ,33.079,16,32.331,1.975,125.528E-6 ,0.913,1.080,2.739,12.729,1.174 ,5.304,7.755,11.928,15.911,0.848341,0.217203,9.192 ,6.5948072562358275
155.221 ,27.163 ,126.088 ,579.395 ,51.891203329464595,68.70435241732949,17.667996642475607,2522,2463,6.452190E-3 ,0.779467E-3 ,31.495,55,32.990,1.379,88.991E-6 ,0.639,0.762,1.917,11.603,1.071 ,4.887,7.095,10.999,14.661,0.873768,0.170845,10.358 ,24.514807256235827
153.135 ,39.506 ,123.426 ,583.867 ,50.219508655868,67.17240331375496,-1.1015281267016426,689,670,6.575867E-3 ,1.018479E-3 ,22.857,16,25.972,1.681,110.532E-6 ,0.795,0.975,2.386,12.924,1.210 ,5.264,7.524,12.986,15.793,0.864115,0.196124,9.897 ,6.33358276643991
155.580 ,44.656 ,128.173 ,566.389 ,51.75208220449891,68.24487103075226,18.44955424822668,966,937,6.466640E-3 ,1.067224E-3 ,27.160,26,31.431,1.863,120.442E-6 ,0.884,1.085,2.653,13.510,1.154 ,5.734,8.183,12.702,17.201,0.848368,0.224542,9.313 ,8.945827664399093
145.092 ,43.806 ,111.666 ,453.501 ,37.475322041482144,62.01150750028043,-0.757265764262573,271,260,6.923354E-3 ,1.275331E-3 ,51.225,8,16.709,2.367,163.886E-6 ,1.263,1.372,3.789,12.354,1.050 ,5.889,7.169,12.738,17.667,0.807562,0.302392,8.351 ,4.1131746031746035
194.993 ,115.898 ,104.558 ,471.181 ,56.440761585483884,71.63678206239342,31.934867757488025,150,144,5.163456E-3 ,2.425034E-3 ,35.252,4,27.309,3.080,159.031E-6 ,1.424,1.607,4.273,16.379,1.414 ,8.285,10.066,15.284,24.854,0.706650,0.496903,4.507 ,1.422562358276644
127.161 ,80.751 ,92.992 ,583.874 ,53.95663590446233,68.79628746335575,24.471502414892807,173,160,7.822681E-3 ,2.625197E-3 ,43.617,12,40.721,1.862,145.663E-6 ,0.916,1.158,2.748,16.349,1.529 ,7.971,10.862,13.241,23.914,0.666366,0.566493,3.349 ,2.859297052154195
98.323 ,7.056 ,86.108 ,108.152 ,39.26624279748567,65.96009664315315,15.834184144393928,25,22,10.164223E-3 ,0.835329E-3 ,76.126,2,33.779,2.798,284.363E-6 ,1.741,1.545,5.222,23.291,1.813 ,15.236,17.324,--undefined--,45.708,0.655432,0.591935,3.180 ,2.2584807256235826
