Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
219.064 ,22.111 ,179.535 ,280.751 ,43.22278131698889,55.11648965868447,19.016642479516886,181,176,4.586023E-3 ,0.459252E-3 ,23.894,3,24.293,1.707,78.283E-6 ,0.858,0.898,2.574,10.813,1.053 ,4.340,6.920,10.132,13.020,0.885497,0.149580,10.384 ,1.16846875
130.762 ,16.529 ,98.658 ,181.465 ,52.64528110019445,69.17122534199845,17.9017728806118,576,559,7.653728E-3 ,0.970658E-3 ,32.635,15,28.193,1.707,130.617E-6 ,0.686,0.811,2.059,10.966,1.066 ,4.193,6.001,11.492,12.578,0.876710,0.171862,10.876 ,6.71246875
145.156 ,69.794 ,86.894 ,585.443 ,47.77318753382408,70.30513910161615,21.377826050366515,452,432,6.942827E-3 ,2.003677E-3 ,42.683,15,39.830,2.020,140.249E-6 ,0.812,1.029,2.437,13.910,1.303 ,5.004,8.204,16.497,15.013,0.887345,0.145859,10.972 ,5.77646875
135.062 ,21.508 ,100.413 ,283.897 ,50.37972977683364,68.24439286136842,22.269999800805266,448,438,7.451819E-3 ,1.060281E-3 ,24.396,8,27.168,1.876,139.804E-6 ,0.818,1.062,2.455,12.389,1.120 ,5.351,7.439,12.447,16.052,0.871828,0.191246,11.394 ,4.58846875
131.017 ,66.231 ,82.541 ,599.459 ,45.73238923298612,67.12566428128139,18.541889422714117,1039,993,7.691737E-3 ,2.240140E-3 ,34.802,34,38.071,2.361,181.607E-6 ,1.004,1.231,3.011,13.395,1.222 ,5.087,8.532,14.408,15.261,0.856453,0.207286,9.942 ,13.19246875
128.658 ,64.587 ,78.493 ,578.493 ,47.31812026370321,63.844401807336375,19.173064542888387,976,932,7.903886E-3 ,2.140152E-3 ,23.993,24,24.772,2.477,195.806E-6 ,1.113,1.330,3.338,13.035,1.273 ,5.205,7.620,15.553,15.615,0.841016,0.243910,9.582 ,10.70846875
131.283 ,66.554 ,85.796 ,585.809 ,45.576221281103976,65.60956669558954,-2.352694374766127,1233,1171,7.690820E-3 ,2.115553E-3 ,37.416,50,43.938,2.208,169.784E-6 ,0.998,1.068,2.995,12.906,1.163 ,5.022,7.298,12.417,15.067,0.866215,0.190936,10.430 ,16.36046875
113.379 ,6.951 ,86.638 ,139.992 ,47.30165604047745,61.983135594370964,21.41066987336139,294,286,8.839758E-3 ,0.545698E-3 ,22.254,6,26.454,1.901,168.052E-6 ,0.877,1.122,2.631,12.285,1.102 ,4.730,7.155,9.711,14.189,0.876835,0.186569,11.122 ,3.58046875
127.605 ,15.119 ,102.310 ,249.962 ,52.56046098145571,67.64249696050747,20.535518265006388,288,281,7.814240E-3 ,0.905648E-3 ,15.074,4,12.176,1.615,126.171E-6 ,0.636,0.891,1.908,13.029,1.211 ,5.102,8.483,15.332,15.307,0.880199,0.170107,10.959 ,2.75246875
119.054 ,11.019 ,78.527 ,140.444 ,41.51871740269419,58.6518297968979,18.662142421290703,112,108,8.493417E-3 ,0.929798E-3 ,32.215,3,35.664,3.329,282.746E-6 ,1.687,1.694,5.061,13.805,1.370 ,5.261,8.139,14.422,15.782,0.849775,0.227537,9.873 ,1.52846875
132.108 ,75.613 ,89.597 ,587.446 ,43.23720581586478,60.828379541966484,16.860117015174637,1000,943,7.761603E-3 ,2.352487E-3 ,28.571,33,36.474,2.375,184.330E-6 ,1.151,1.356,3.453,12.863,1.255 ,4.897,7.618,13.889,14.690,0.849127,0.220361,9.635 ,11.86046875
136.588 ,82.182 ,85.898 ,584.001 ,43.19743849791606,61.203252681584175,17.221928245622454,545,516,7.408888E-3 ,2.684928E-3 ,26.342,17,33.909,2.311,171.232E-6 ,1.091,1.253,3.274,13.279,1.211 ,5.126,8.394,12.621,15.378,0.862962,0.195206,10.185 ,5.99246875
126.413 ,58.410 ,75.180 ,562.536 ,42.64601552726679,62.16366033832596,16.018422455313587,1812,1731,8.021414E-3 ,2.083740E-3 ,29.893,64,37.484,2.320,186.092E-6 ,1.033,1.145,3.098,13.042,1.206 ,5.082,7.713,13.797,15.247,0.853327,0.219502,9.931 ,22.51646875
131.475 ,71.017 ,81.835 ,598.092 ,42.710758292973665,62.38499132575093,14.184316484150035,1623,1560,7.682838E-3 ,2.389448E-3 ,28.770,46,34.686,2.316,177.940E-6 ,1.078,1.280,3.233,12.546,1.174 ,4.901,7.513,12.942,14.703,0.856361,0.209686,9.991 ,18.73646875
