Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
145.976 ,49.621 ,80.988 ,234.393 ,44.798303586038244,62.082277906335015,16.34350817696723,87,82,6.755402E-3 ,2.331631E-3 ,25.532,4,20.657,1.923,129.928E-6 ,0.635,0.877,1.905,16.057,1.360 ,5.611,9.419,18.428,16.832,0.814713,0.285311,8.293 ,0.9784807256235828
122.367 ,56.573 ,92.060 ,497.469 ,35.02024165984121,64.7748738344056,4.825070602167704,351,333,8.219030E-3 ,2.178505E-3 ,55.837,16,59.551,2.636,216.652E-6 ,1.064,1.517,3.193,15.787,1.381 ,6.548,8.593,15.149,19.644,0.797759,0.308567,7.112 ,7.1433786848072565
122.362 ,4.345 ,113.302 ,130.075 ,62.53860836657941,66.39041480574808,50.289446619029114,47,46,8.173848E-3 ,0.304306E-3 ,5.128,0,0,0.722,58.975E-6 ,0.296,0.306,0.889,16.475,1.440 ,8.103,10.710,12.443,24.309,0.866010,0.159676,8.435 ,0.4299092970521542
102.084 ,26.394 ,83.955 ,368.666 ,48.73367174711236,72.28910934543659,21.600382089985214,241,227,9.793322E-3 ,1.470012E-3 ,37.000,13,39.248,2.232,218.541E-6 ,0.963,1.181,2.888,15.607,1.454 ,7.736,11.209,21.032,23.209,0.781159,0.314386,6.502 ,4.034807256235828
104.880 ,50.732 ,86.220 ,586.545 ,45.091267831766466,67.55263702074315,9.166166997693558,292,278,9.706425E-3 ,1.842146E-3 ,40.858,10,45.353,1.687,163.756E-6 ,0.754,0.961,2.261,14.807,1.336 ,6.857,9.598,16.917,20.572,0.787857,0.311066,6.654 ,5.393174603174603
111.158 ,66.558 ,82.310 ,595.959 ,42.24704483119663,62.60831867297632,14.011142841366391,387,363,9.168608E-3 ,2.720989E-3 ,40.317,21,45.069,2.178,199.731E-6 ,0.966,1.105,2.897,16.636,1.419 ,7.795,10.956,15.586,23.384,0.748697,0.390843,5.471 ,6.33358276643991
108.086 ,63.773 ,79.208 ,598.719 ,44.598411927767074,63.84401257423548,8.916000280986186,725,693,9.284871E-3 ,2.738254E-3 ,31.238,29,33.352,1.752,162.670E-6 ,0.777,1.021,2.332,14.238,1.281 ,6.843,9.227,12.671,20.530,0.793182,0.314118,7.089 ,10.539297052154195
113.073 ,90.642 ,77.974 ,600.134 ,38.62012308878936,62.81881664464818,7.236721585721071,180,170,8.851527E-3 ,3.602012E-3 ,42.282,8,21.251,2.016,178.427E-6 ,0.886,1.066,2.657,18.925,1.550 ,9.291,13.914,18.621,27.874,0.747579,0.391251,5.375 ,3.016031746031746
109.004 ,56.709 ,81.692 ,591.388 ,41.9146470464291,63.295711607601255,6.4716073948149235,541,505,9.307655E-3 ,2.192517E-3 ,41.935,28,43.342,1.952,181.647E-6 ,0.865,1.050,2.594,14.984,1.397 ,6.994,10.003,14.439,20.983,0.786395,0.323969,6.757 ,9.024195011337868
95.637 ,32.479 ,75.568 ,583.343 ,40.081178009037856,61.131386497920246,9.209853300979962,645,613,10.517206E-3 ,1.747835E-3 ,37.213,29,35.763,2.168,228.010E-6 ,0.985,1.145,2.955,17.430,1.519 ,8.051,11.643,17.322,24.152,0.767913,0.351721,6.050 ,11.375215419501133
107.952 ,29.225 ,88.191 ,382.149 ,46.558810219073756,63.59079981694461,10.210866842336426,266,255,9.320494E-3 ,1.435364E-3 ,31.135,10,33.359,1.781,166.013E-6 ,0.777,0.859,2.331,15.202,1.348 ,7.221,10.144,13.668,21.662,0.784574,0.315646,6.556 ,3.825827664399093
101.478 ,44.510 ,79.171 ,412.905 ,41.16944843915768,61.99919656471753,9.136557133417298,308,293,9.836788E-3 ,2.462416E-3 ,38.462,13,32.612,2.222,218.617E-6 ,0.889,1.045,2.668,15.383,1.321 ,7.020,9.439,16.089,21.061,0.773586,0.343775,6.257 ,5.4976643990929706
97.121 ,24.377 ,75.713 ,370.177 ,39.6004305898983,58.730327924042705,8.39378855431741,538,508,10.304690E-3 ,1.557132E-3 ,34.286,28,39.622,1.777,183.094E-6 ,0.743,0.861,2.228,14.970,1.337 ,7.119,9.437,15.563,21.356,0.776529,0.334277,6.301 ,8.789092970521542
95.536 ,28.723 ,79.344 ,418.080 ,41.24802200919927,61.83224936835658,8.808950509834464,556,518,10.598915E-3 ,1.468868E-3 ,37.348,32,42.521,1.795,190.231E-6 ,0.768,0.896,2.304,16.103,1.353 ,8.112,10.350,16.821,24.337,0.768992,0.355458,6.172 ,9.91235827664399
107.973 ,78.365 ,76.634 ,586.824 ,38.56361803909816,61.155727148786326,8.73202159842194,414,387,9.332594E-3 ,3.372289E-3 ,43.033,21,48.925,2.120,197.861E-6 ,0.883,1.079,2.648,17.898,1.453 ,7.795,13.124,24.417,23.386,0.774336,0.349513,6.367 ,7.352358276643991
104.303 ,26.069 ,81.243 ,324.622 ,44.695128596259586,60.890611812173276,14.521683439690491,279,266,9.596456E-3 ,1.624873E-3 ,27.848,12,34.109,2.060,197.716E-6 ,0.829,0.896,2.486,16.178,1.404 ,7.083,10.162,16.291,21.250,0.784403,0.328402,6.705 ,3.982562358276644
104.432 ,69.771 ,81.635 ,596.816 ,39.02027275186317,60.20935032233957,10.411312290358765,321,301,9.700264E-3 ,2.766565E-3 ,43.874,19,49.465,1.895,183.790E-6 ,0.886,1.078,2.657,17.531,1.456 ,8.398,11.763,19.394,25.193,0.748488,0.384613,5.415 ,6.072358276643991
109.117 ,73.097 ,75.261 ,589.242 ,39.27217728827755,58.66622646391348,9.53013232778168,447,422,9.184339E-3 ,3.042173E-3 ,36.582,22,44.286,1.775,162.989E-6 ,0.762,0.941,2.285,17.341,1.561 ,8.037,11.156,17.522,24.111,0.758747,0.371007,5.762 ,7.117256235827664
112.126 ,56.699 ,78.632 ,410.495 ,38.718416777016124,57.85461424695865,6.532788977136712,417,398,8.981159E-3 ,2.788746E-3 ,32.410,18,40.991,2.785,250.139E-6 ,1.271,1.620,3.814,16.635,1.522 ,7.092,10.728,18.018,21.275,0.773502,0.348713,6.192 ,6.1768480725623585
118.516 ,80.159 ,82.566 ,525.969 ,35.44830915440028,59.495826562921216,8.97116121677899,200,185,8.569499E-3 ,3.444726E-3 ,50.633,12,27.787,2.666,228.479E-6 ,1.257,1.510,3.771,20.019,1.635 ,10.690,12.854,23.181,32.070,0.731726,0.425455,5.059 ,3.982562358276644
99.915 ,46.468 ,75.236 ,569.462 ,39.980884422980225,60.465669401712034,1.641025469552798,219,210,10.082017E-3 ,2.096468E-3 ,32.286,8,29.756,1.647,166.024E-6 ,0.685,0.839,2.055,16.276,1.474 ,7.545,10.409,16.346,22.634,0.756058,0.381825,5.884 ,3.538480725623583
109.016 ,22.412 ,85.331 ,242.977 ,50.331650748208446,70.46288135722043,17.238152637816864,383,368,9.212234E-3 ,1.474294E-3 ,32.281,13,33.883,1.797,165.504E-6 ,0.844,0.875,2.533,17.222,1.417 ,7.498,10.629,19.938,22.495,0.825589,0.252699,8.106 ,5.732766439909297
101.206 ,14.008 ,84.700 ,198.021 ,46.51697167455829,69.27668304881672,7.350533537937195,357,340,9.851122E-3 ,1.161544E-3 ,43.155,16,41.721,2.243,221.001E-6 ,1.073,1.160,3.218,14.125,1.309 ,6.562,8.947,12.610,19.686,0.811035,0.274391,7.418 ,6.751541950113379
91.857 ,9.273 ,75.251 ,117.265 ,48.13349724991593,63.469164405810574,25.825019382393496,214,202,10.948353E-3 ,1.072019E-3 ,22.611,10,28.500,2.406,263.370E-6 ,1.106,1.411,3.319,19.666,1.681 ,8.592,11.951,21.363,25.776,0.772489,0.348198,6.324 ,3.172766439909297
