Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
142.410 ,35.803 ,98.864 ,516.549 ,49.12270879192353,79.44250271515976,19.08224789855707,1819,1752,7.029145E-3 ,1.359363E-3 ,47.515,61,44.258,1.473,103.557E-6 ,0.622,0.734,1.865,12.553,1.109 ,5.390,7.414,9.922,16.170,0.893777,0.141677,11.476 ,25.585827664399094
141.086 ,76.972 ,77.645 ,557.890 ,53.5443849301517,78.17670480958755,16.92234426714556,811,765,7.141804E-3 ,2.325778E-3 ,41.035,39,48.927,1.843,131.637E-6 ,0.781,0.921,2.344,15.828,1.383 ,7.070,9.457,15.446,21.210,0.806566,0.289361,7.663 ,10.852766439909297
172.702 ,147.036 ,84.718 ,595.362 ,52.64781084787975,78.35499136228295,27.813980438883693,1131,1046,6.014717E-3 ,3.716592E-3 ,48.774,42,48.491,3.166,190.402E-6 ,1.629,1.950,4.887,17.620,1.511 ,8.048,11.006,20.071,24.143,0.785264,0.320720,6.635 ,14.30092970521542
190.916 ,164.140 ,91.922 ,598.812 ,48.314032474438214,68.94886685551016,23.906467295733336,454,416,5.564117E-3 ,3.654911E-3 ,32.864,15,26.709,3.381,188.095E-6 ,1.695,2.002,5.086,18.846,1.537 ,8.486,10.794,15.858,25.459,0.756466,0.381724,5.825 ,4.296031746031746
146.019 ,122.412 ,85.236 ,557.920 ,50.00080680992337,76.25647060073256,25.901933015056287,551,519,7.029402E-3 ,3.843563E-3 ,47.103,21,51.534,2.657,186.788E-6 ,1.303,1.646,3.909,19.416,1.610 ,9.541,12.706,20.057,28.622,0.775345,0.337842,6.114 ,7.979297052154195
139.954 ,98.502 ,75.318 ,534.018 ,51.70198058344372,78.52712419014657,24.553019231157855,532,505,7.329766E-3 ,3.302715E-3 ,41.821,22,44.966,2.708,198.469E-6 ,1.251,1.483,3.752,15.697,1.433 ,6.576,10.064,28.287,19.727,0.771234,0.359101,6.246 ,7.065011337868481
158.628 ,141.525 ,80.364 ,568.676 ,44.3792391402081,69.37511978279748,-4.354135057900272,320,301,6.381363E-3 ,4.050874E-3 ,45.366,13,48.796,3.604,230.016E-6 ,1.912,2.175,5.735,19.771,1.723 ,8.607,11.067,13.333,25.822,0.760105,0.365342,5.729 ,4.139297052154195
217.615 ,26.456 ,104.651 ,245.052 ,39.26366273340706,77.65609715373412,26.78325748309328,114,111,4.557829E-3 ,0.702087E-3 ,82.716,2,42.485,1.845,84.078E-6 ,0.942,1.147,2.826,11.948,1.143 ,5.159,7.387,10.266,15.476,0.884297,0.155095,10.974 ,3.2772562358276645
172.315 ,24.066 ,108.039 ,309.006 ,50.744070566784366,76.07139679008705,14.426167475896971,1489,1445,5.827151E-3 ,0.793500E-3 ,47.386,40,35.144,1.774,103.348E-6 ,0.713,0.841,2.140,11.837,1.123 ,5.103,7.085,10.100,15.310,0.835637,0.244024,8.659 ,17.827460317460318
169.612 ,39.866 ,82.321 ,589.526 ,57.81844033423675,74.56160179470825,20.517633632582317,1204,1168,5.937798E-3 ,0.917946E-3 ,28.852,30,33.756,1.696,100.686E-6 ,0.697,0.831,2.091,11.079,1.092 ,4.645,7.169,9.748,13.934,0.834977,0.244745,8.847 ,10.74827664399093
171.896 ,52.498 ,75.361 ,590.443 ,52.27076269246459,73.4217572988794,17.162354350892205,435,418,5.874982E-3 ,1.261645E-3 ,33.088,11,37.796,1.950,114.550E-6 ,0.780,0.962,2.339,12.941,1.159 ,5.338,7.482,11.496,16.015,0.820565,0.271645,8.221 ,4.1131746031746035
174.382 ,23.626 ,129.383 ,594.007 ,52.5637644729831,74.06213859704658,17.73667656338843,1490,1445,5.746355E-3 ,0.697183E-3 ,39.599,42,41.096,1.593,91.540E-6 ,0.696,0.860,2.089,11.626,1.154 ,4.949,7.226,11.117,14.848,0.852883,0.213835,9.607 ,14.980113378684807
168.736 ,15.826 ,70.352 ,203.699 ,53.74795186460424,72.36361618731743,10.674625347425158,785,764,5.943570E-3 ,0.703329E-3 ,34.938,19,29.748,1.956,116.286E-6 ,0.916,1.141,2.747,11.689,1.116 ,5.151,7.767,11.084,15.452,0.827195,0.271226,8.527 ,7.300113378684808
181.422 ,40.308 ,114.496 ,396.849 ,54.938101178739345,71.80794071168422,17.63754853963011,823,799,5.554311E-3 ,1.036595E-3 ,35.894,21,39.829,2.049,113.813E-6 ,0.977,1.236,2.932,11.612,1.099 ,5.364,7.679,11.332,16.091,0.817410,0.290621,8.344 ,7.587460317460318
186.066 ,50.908 ,133.312 ,469.526 ,49.9016945763744,71.62702513839082,0.4340686704252401,992,947,5.438981E-3 ,1.165044E-3 ,41.115,33,43.340,1.976,107.491E-6 ,0.815,0.979,2.444,11.223,1.127 ,4.714,6.954,10.663,14.141,0.823609,0.272144,8.190 ,9.546643990929706
192.250 ,86.504 ,115.059 ,380.205 ,50.068760498424204,73.12847930422122,20.921562574928416,79,75,5.274528E-3 ,1.980999E-3 ,57.447,3,15.021,2.820,148.761E-6 ,1.249,1.305,3.746,13.744,1.184 ,6.980,8.071,7.485,20.939,0.806862,0.283198,7.479 ,0.9784807256235828
304.560 ,154.342 ,141.582 ,599.232 ,35.89069846887115,70.2378458310572,14.224229385156661,109,100,3.480536E-3 ,1.481148E-3 ,70.139,2,14.407,3.216,111.948E-6 ,1.431,1.555,4.293,11.755,1.019 ,4.287,7.023,11.442,12.860,0.813025,0.291834,8.219 ,1.4748072562358276
201.911 ,31.398 ,112.694 ,316.618 ,48.949832585619006,79.54385215037642,11.567828499095935,847,821,4.964043E-3 ,0.802452E-3 ,55.567,23,26.351,1.762,87.491E-6 ,0.637,0.828,1.910,11.668,1.102 ,5.274,7.726,11.260,15.821,0.807400,0.294737,7.505 ,10.095215419501134
192.774 ,24.812 ,119.840 ,248.674 ,56.22040445216764,75.70825111181858,19.184900147765227,695,672,5.202220E-3 ,0.709051E-3 ,38.449,16,28.407,2.136,111.128E-6 ,0.872,1.111,2.616,12.162,1.195 ,5.363,8.183,10.911,16.090,0.782115,0.341815,6.801 ,6.098480725623583
198.659 ,38.578 ,138.648 ,594.048 ,55.737114659431114,76.26023092790587,19.38155159175975,1789,1730,5.060458E-3 ,0.808583E-3 ,41.712,46,41.100,1.878,95.049E-6 ,0.784,0.965,2.351,12.517,1.138 ,5.335,8.084,12.384,16.006,0.819111,0.273315,8.203 ,16.625827664399093
240.212 ,89.065 ,123.195 ,586.172 ,54.690728034480415,74.92809779638534,18.66173667746414,475,455,4.227713E-3 ,1.278542E-3 ,38.567,10,23.986,1.986,83.967E-6 ,0.930,1.094,2.791,12.085,1.151 ,6.025,8.368,11.789,18.074,0.800664,0.298889,7.448 ,3.669092970521542
