Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
162.667 ,131.599 ,85.666 ,516.698 ,34.21573830260218,66.77595217719124,9.147575118404735,70,63,6.205851E-3 ,3.248830E-3 ,84.451,3,79.926,2.836,175.973E-6 ,1.575,1.485,4.726,23.761,1.696 ,11.589,33.565,55.294,34.766,0.748461,0.374226,5.253 ,3.315328798185941
151.427 ,83.736 ,66.484 ,599.569 ,48.81648544704603,70.39864423500732,15.548268917820751,557,525,6.660099E-3 ,2.448230E-3 ,47.417,18,22.817,3.030,201.812E-6 ,1.414,1.639,4.241,17.154,1.443 ,7.690,11.439,14.843,23.070,0.746017,0.398900,5.406 ,8.748798185941043
278.112 ,187.340 ,92.715 ,516.600 ,61.67050742787758,70.63974581370405,48.83777972940763,93,85,3.767215E-3 ,3.136611E-3 ,36.250,2,29.348,4.263,160.600E-6 ,2.032,3.001,6.095,23.132,1.728 ,12.737,19.323,46.668,38.211,0.729837,0.421421,4.994 ,0.8336961451247166
356.339 ,170.167 ,96.169 ,538.983 ,57.72247756972844,69.37722347681598,30.417539161736467,140,125,2.944523E-3 ,2.209175E-3 ,38.655,4,55.970,7.969,234.658E-6 ,4.568,6.021,13.703,23.687,2.044 ,9.787,9.993,--undefined--,29.360,0.602775,0.681924,1.852 ,1.225532879818594
152.065 ,135.781 ,73.882 ,576.533 ,57.32188620542329,72.88578777442156,28.262161084218178,812,738,6.926943E-3 ,4.600267E-3 ,42.033,36,40.086,3.259,225.735E-6 ,1.628,1.936,4.883,18.706,1.581 ,8.720,13.261,19.536,26.160,0.740405,0.415925,5.407 ,11.648390022675738
171.567 ,59.739 ,126.222 ,360.482 ,50.0901779647556,72.02452387065928,10.336749834867092,118,111,5.966513E-3 ,1.606543E-3 ,59.596,5,53.886,2.720,162.297E-6 ,1.497,1.657,4.490,12.441,1.215 ,5.428,7.415,10.022,16.285,0.819887,0.276956,9.297 ,3.001859410430839
133.677 ,32.847 ,89.560 ,443.554 ,60.565649740902856,71.66597456712306,30.24742641669213,533,514,7.469514E-3 ,1.493972E-3 ,17.593,15,22.184,2.201,164.375E-6 ,1.136,1.322,3.407,14.975,1.362 ,6.423,9.529,16.062,19.268,0.794915,0.310878,7.197 ,5.43124716553288
139.385 ,34.857 ,86.940 ,326.298 ,57.258838423086594,71.62720670363116,20.896917341020128,481,463,7.206206E-3 ,1.560347E-3 ,31.444,14,36.001,1.941,139.861E-6 ,0.954,1.129,2.863,14.291,1.304 ,5.918,9.254,18.236,17.755,0.792217,0.322082,7.130 ,5.509614512471655
142.526 ,15.290 ,103.167 ,179.968 ,58.57349019428888,70.85882332988945,41.530446300827975,175,171,7.038778E-3 ,0.823561E-3 ,19.298,1,8.251,1.997,140.578E-6 ,0.974,1.171,2.921,16.803,1.388 ,7.747,10.703,18.650,23.240,0.800479,0.306218,7.665 ,1.7479818594104308
132.960 ,25.283 ,105.644 ,228.406 ,52.71061419501242,71.364122185745,23.279441406235648,122,118,7.584604E-3 ,1.186745E-3 ,37.838,2,17.219,2.063,156.506E-6 ,1.001,1.228,3.004,19.155,1.605 ,7.063,13.278,15.258,21.188,0.798168,0.339321,7.472 ,1.5128798185941044
115.941 ,11.848 ,91.795 ,149.605 ,43.429518819814476,68.18628647110968,-1.9134311360648746,124,115,8.642113E-3 ,0.851079E-3 ,62.751,7,15.282,1.659,143.342E-6 ,0.818,0.884,2.455,15.023,1.369 ,7.032,10.407,13.700,21.097,0.760681,0.382052,5.987 ,3.524308390022676
149.134 ,34.881 ,75.645 ,301.275 ,62.015607666338234,72.37707767211154,26.64035270169328,521,510,6.659718E-3 ,1.418863E-3 ,13.864,9,21.003,2.271,151.246E-6 ,1.100,1.213,3.300,14.745,1.360 ,6.423,9.867,16.723,19.268,0.801829,0.302548,7.574 ,4.43859410430839
140.103 ,67.875 ,77.483 ,592.633 ,61.140993215168834,70.91544584794241,29.313051247079333,497,477,7.274659E-3 ,2.297094E-3 ,21.074,14,26.771,2.725,198.258E-6 ,1.379,1.574,4.138,14.587,1.331 ,6.533,9.095,14.905,19.600,0.753766,0.393289,5.832 ,5.065532879818594
135.380 ,32.866 ,105.255 ,299.874 ,62.05623875558225,70.7101782793919,30.37923867385652,272,259,7.383323E-3 ,1.415086E-3 ,21.127,9,28.632,1.931,142.537E-6 ,0.931,1.047,2.792,14.586,1.273 ,6.455,10.508,18.526,19.365,0.751818,0.391572,5.557 ,2.8712471655328797
141.383 ,62.932 ,90.983 ,597.677 ,58.15016549128642,71.15940688725107,21.989686891646993,735,700,7.128644E-3 ,2.179408E-3 ,30.903,26,30.222,2.485,177.134E-6 ,1.254,1.371,3.762,16.848,1.497 ,7.606,10.944,19.602,22.818,0.769137,0.358453,6.249 ,8.670430839002268
116.039 ,69.900 ,74.628 ,528.405 ,60.884643251649194,73.46930209991994,14.338566407844437,429,404,8.810247E-3 ,3.049553E-3 ,26.143,17,31.149,2.466,217.289E-6 ,1.197,1.404,3.591,14.591,1.275 ,6.104,8.640,13.465,18.312,0.761814,0.378152,6.217 ,5.509614512471655
117.770 ,108.760 ,73.747 ,594.465 ,60.14174911596608,74.09390185984978,33.422352452876424,310,285,8.957778E-3 ,4.494125E-3 ,35.524,19,45.902,2.739,245.322E-6 ,1.151,1.511,3.454,17.868,1.504 ,8.362,14.430,26.269,25.087,0.727243,0.434025,4.888 ,4.908798185941043
217.094 ,182.004 ,74.012 ,595.456 ,59.610527181333204,71.78866502514835,23.1288070979781,808,732,4.784001E-3 ,4.285206E-3 ,41.297,38,50.852,4.011,191.904E-6 ,1.964,2.390,5.891,18.543,1.634 ,8.628,11.907,15.606,25.883,0.677079,0.540553,3.697 ,8.82716553287982
150.401 ,124.622 ,74.980 ,562.885 ,51.23727661575725,71.5979323166643,8.313472086977928,322,303,6.747100E-3 ,4.159449E-3 ,51.489,13,58.994,4.174,281.637E-6 ,1.972,2.582,5.915,16.851,1.505 ,7.894,10.396,10.206,23.681,0.771343,0.360993,6.638 ,5.744716553287982
127.225 ,89.028 ,74.231 ,524.582 ,66.23995766637873,76.47776530831155,30.230202418538383,396,370,8.148563E-3 ,3.611531E-3 ,17.327,16,22.911,3.515,286.409E-6 ,1.639,2.118,4.917,19.048,1.571 ,8.160,12.291,21.139,24.479,0.691577,0.527933,4.016 ,4.072879818594104
151.673 ,117.353 ,76.145 ,599.558 ,59.34315947718479,75.51251512176056,31.562162820762016,338,325,6.761209E-3 ,3.621000E-3 ,33.943,5,40.487,2.271,153.546E-6 ,0.947,1.158,2.842,15.163,1.406 ,6.831,10.199,15.873,20.492,0.839450,0.227280,8.839 ,3.8639002267573694
145.040 ,130.507 ,75.106 ,599.884 ,63.768067652725286,76.16134903333293,35.759574265555486,835,770,7.235093E-3 ,4.522466E-3 ,35.947,39,47.930,3.406,246.426E-6 ,1.696,2.077,5.088,16.315,1.434 ,7.755,10.371,19.230,23.266,0.752732,0.401894,5.846 ,11.387165532879818
173.322 ,141.793 ,69.911 ,574.736 ,62.47389255946962,75.01877468220857,33.81628535243956,304,272,6.108016E-3 ,4.229950E-3 ,34.763,15,45.576,3.916,239.177E-6 ,1.767,2.034,5.302,21.211,1.692 ,8.947,12.854,22.160,26.842,0.734334,0.422669,5.228 ,4.464716553287982
