Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
124.914 ,12.566 ,98.374 ,171.343 ,25.07400728131996,46.88016917164754,6.933489290457136,311,297,8.029273E-3 ,0.824038E-3 ,49.112,12,42.234,1.886,151.400E-6 ,0.896,0.989,2.687,12.558,1.241 ,5.419,7.035,10.926,16.256,0.774050,0.339497,6.092 ,5.105827664399093
143.501 ,21.619 ,110.058 ,218.214 ,39.23233052969052,53.24989290698365,16.1873424547276,171,161,7.020127E-3 ,1.011618E-3 ,25.843,8,34.297,2.284,160.338E-6 ,0.855,1.066,2.565,11.202,1.067 ,5.044,6.772,9.768,15.132,0.827495,0.249448,8.402 ,1.8143990929705216
121.051 ,55.935 ,87.019 ,519.752 ,37.49289161908262,49.03823745711814,7.390518327021942,346,327,8.423711E-3 ,1.973050E-3 ,33.407,14,37.459,2.313,194.811E-6 ,0.912,1.170,2.735,12.035,1.092 ,5.960,7.144,10.118,17.879,0.801250,0.288416,7.042 ,4.557256235827665
113.498 ,9.071 ,97.631 ,146.624 ,40.40866341276083,50.50461355929212,9.493638428761475,189,184,8.822654E-3 ,0.710437E-3 ,27.642,3,29.984,1.672,147.510E-6 ,0.752,0.944,2.256,10.349,0.930 ,5.081,6.342,8.925,15.243,0.851114,0.213527,10.082 ,2.4935827664399093
139.774 ,6.894 ,121.973 ,145.968 ,44.27082889662705,51.492910368703456,22.3535946468262,23,22,7.209887E-3 ,0.498618E-3 ,21.053,0,0,3.095,223.172E-6 ,1.309,1.441,3.928,16.539,1.308 ,6.409,11.260,20.039,19.226,0.752623,0.364891,5.145 ,0.2209297052154195
115.355 ,8.780 ,101.673 ,129.127 ,36.236601015037344,50.04853173653312,9.688101751694283,18,17,8.692520E-3 ,0.635497E-3 ,53.846,0,0,1.926,167.451E-6 ,0.749,1.117,2.248,23.372,1.851 ,10.406,19.202,21.039,31.217,0.710380,0.442760,4.237 ,0.4299092970521542
118.851 ,16.641 ,88.942 ,141.763 ,43.84132784397061,51.680096196437276,22.7420363685843,23,22,8.318830E-3 ,1.100883E-3 ,35.294,0,0,3.387,281.745E-6 ,1.243,1.818,3.730,10.437,1.003 ,3.714,7.305,13.116,11.143,0.852913,0.199884,9.543 ,0.3776643990929705
153.812 ,71.626 ,75.276 ,598.350 ,30.27058308742582,51.950496358721665,4.158289007055362,735,705,6.519307E-3 ,2.058208E-3 ,50.275,26,56.734,2.074,135.231E-6 ,1.020,1.107,3.061,13.283,1.205 ,5.888,8.353,11.600,17.664,0.806760,0.282958,7.489 ,10.957256235827664
132.354 ,69.538 ,103.462 ,575.961 ,29.289539437325026,48.68370125742257,10.174635078912713,440,418,7.860506E-3 ,1.662880E-3 ,40.102,10,40.433,1.659,130.411E-6 ,0.805,0.941,2.415,13.271,1.168 ,5.956,7.851,13.552,17.869,0.811759,0.278574,7.516 ,5.941746031746032
146.874 ,66.786 ,105.926 ,332.309 ,24.0092869747765,51.35128857723048,9.349417156459497,134,126,6.921660E-3 ,2.282755E-3 ,68.471,6,68.906,2.784,192.695E-6 ,1.484,1.535,4.453,14.394,1.379 ,6.856,10.505,14.694,20.567,0.791509,0.334295,7.316 ,3.172766439909297
146.562 ,60.332 ,98.854 ,560.940 ,31.81045648145621,56.52210862235445,9.59319104388236,387,366,6.875298E-3 ,1.652256E-3 ,52.588,16,53.794,1.962,134.913E-6 ,0.876,0.834,2.628,13.523,1.259 ,6.357,8.681,10.421,19.071,0.801069,0.302734,7.265 ,6.020113378684807
113.982 ,19.978 ,89.639 ,239.728 ,39.786142416686076,55.00086246659212,10.28386139265523,161,148,8.780002E-3 ,1.311707E-3 ,49.346,10,52.149,2.023,177.627E-6 ,0.837,0.890,2.510,12.037,1.123 ,6.053,7.612,10.946,18.160,0.808369,0.284617,7.990 ,3.0943990929705216
128.952 ,56.720 ,100.752 ,319.205 ,41.83683817436932,54.5619679818396,5.947237695607422,69,65,7.762404E-3 ,2.343041E-3 ,51.220,3,33.716,1.864,144.668E-6 ,0.680,0.716,2.039,15.307,1.238 ,7.013,10.809,19.281,21.038,0.799728,0.289748,7.107 ,1.2658276643990929
124.810 ,70.148 ,93.793 ,565.173 ,39.05715712959639,57.17029368433842,5.894767792995921,344,320,8.226313E-3 ,2.156074E-3 ,44.310,17,49.678,2.336,192.197E-6 ,0.867,1.045,2.601,13.159,1.160 ,5.769,7.686,12.503,17.307,0.782855,0.319241,6.575 ,5.837256235827664
109.505 ,59.234 ,86.451 ,546.841 ,44.15734109275295,53.49430939409079,24.01471244331222,131,123,9.019088E-3 ,2.490761E-3 ,28.395,5,24.093,2.785,251.194E-6 ,1.261,1.377,3.782,14.378,1.152 ,7.390,10.867,12.337,22.170,0.718292,0.444870,4.532 ,1.6576643990929705
112.807 ,48.095 ,82.988 ,447.781 ,39.7223367566764,55.43603062342388,8.625302516018976,177,165,8.944440E-3 ,2.010126E-3 ,43.051,11,44.737,2.959,264.704E-6 ,1.176,1.429,3.527,13.720,1.318 ,5.984,8.289,13.568,17.952,0.771200,0.358143,6.217 ,2.9899092970521544
134.511 ,64.005 ,85.923 ,451.887 ,42.5023035509104,55.749461982613475,11.382717787186095,173,165,7.523552E-3 ,2.162763E-3 ,43.478,6,39.383,2.839,213.603E-6 ,1.028,1.361,3.084,13.049,1.240 ,6.248,8.046,12.208,18.743,0.800016,0.302094,7.486 ,2.336848072562358
129.181 ,14.234 ,81.224 ,166.251 ,25.878725925485735,51.128837537251556,11.586460356925631,81,78,7.733995E-3 ,0.895208E-3 ,68.396,2,68.824,0.959,74.173E-6 ,0.310,0.264,0.929,9.396,0.858 ,3.785,4.981,7.833,11.355,0.853769,0.200881,9.074 ,2.1539909297052153
149.208 ,72.602 ,95.898 ,589.713 ,32.136026174932454,53.84963511595772,10.638308579096789,757,720,6.799026E-3 ,2.093452E-3 ,48.059,28,53.865,1.838,124.993E-6 ,0.790,0.852,2.370,14.314,1.314 ,6.574,9.573,14.371,19.722,0.793001,0.316909,7.060 ,10.852766439909297
136.987 ,102.669 ,82.664 ,597.369 ,31.534674184281986,53.0935683780691,9.582133118897964,1152,1093,7.462999E-3 ,3.117108E-3 ,51.542,43,57.148,2.062,153.876E-6 ,0.903,1.071,2.710,15.122,1.315 ,6.693,8.776,12.775,20.080,0.765280,0.362331,6.017 ,19.499297052154194
112.992 ,50.298 ,80.358 ,533.315 ,31.964433733172772,52.167843387256056,11.15049503609619,427,406,8.950486E-3 ,1.942966E-3 ,48.699,17,52.146,2.340,209.453E-6 ,1.149,1.323,3.446,17.533,1.508 ,8.545,10.858,15.484,25.635,0.720037,0.441248,4.498 ,8.109909297052154
120.241 ,79.889 ,81.278 ,592.113 ,31.949080648098164,51.89577092448091,10.677848574417844,507,476,8.348710E-3 ,2.987770E-3 ,48.575,26,45.569,2.425,202.465E-6 ,1.105,1.279,3.316,16.859,1.445 ,7.640,10.937,13.814,22.919,0.722995,0.438943,4.718 ,9.154807256235827
106.680 ,69.272 ,79.216 ,585.213 ,30.46742458203301,50.21237925516832,10.567998480792927,281,263,9.468049E-3 ,2.868357E-3 ,51.821,14,48.526,2.341,221.613E-6 ,1.020,1.417,3.060,15.470,1.392 ,6.387,8.558,13.103,19.162,0.751823,0.387475,5.549 ,6.072358276643991
