Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
123.772 ,22.320 ,95.714 ,229.046 ,50.86148922278649,63.58182621158642,29.553780189999568,154,146,8.045765E-3 ,1.379520E-3 ,21.714,6,30.540,1.950,156.896E-6 ,0.613,0.837,1.840,11.897,1.163 ,5.099,7.016,11.526,15.297,0.854709,0.191223,9.015 ,1.7882766439909297
112.050 ,21.222 ,84.063 ,184.034 ,49.81692349132928,64.00550981096104,10.6594614939743,278,271,8.930005E-3 ,1.483794E-3 ,25.073,6,26.729,1.374,122.719E-6 ,0.573,0.752,1.719,12.593,1.149 ,6.113,7.669,10.142,18.338,0.833940,0.235613,8.294 ,3.4601133786848073
99.118 ,23.365 ,78.815 ,506.110 ,40.77439267261896,66.36395551060751,8.758143188163935,758,715,10.095511E-3 ,1.445677E-3 ,50.598,41,48.023,1.705,172.171E-6 ,0.635,0.806,1.906,12.409,1.131 ,5.366,6.973,11.096,16.099,0.822837,0.253247,7.983 ,16.75643990929705
227.046 ,51.923 ,155.609 ,542.858 ,46.40408486537098,68.09116336421825,12.39085818452894,424,416,4.407821E-3 ,0.759648E-3 ,33.333,6,20.130,1.646,72.563E-6 ,0.746,0.925,2.237,10.823,1.002 ,4.364,6.080,8.922,13.092,0.904160,0.130156,11.921 ,2.911541950113379
144.325 ,22.868 ,85.201 ,201.627 ,43.65408114044334,65.91019763797476,16.39595535617303,48,46,6.822722E-3 ,0.931620E-3 ,46.479,0,0,2.527,172.394E-6 ,1.110,0.879,3.330,12.153,1.212 ,4.842,8.054,14.276,14.526,0.794639,0.335106,7.230 ,0.7433786848072562
111.851 ,28.391 ,80.128 ,347.563 ,53.12801149447783,67.67232017266684,15.649991150049118,568,550,8.906002E-3 ,1.934347E-3 ,21.884,14,20.584,1.480,131.847E-6 ,0.570,0.726,1.711,9.983,0.946 ,4.485,5.903,9.297,13.454,0.869003,0.180085,10.405 ,6.934399092970522
110.209 ,55.799 ,82.038 ,526.608 ,51.19737918338708,65.55199458030927,13.7456407301179,500,477,9.125578E-3 ,2.291461E-3 ,28.973,20,33.236,1.789,163.229E-6 ,0.647,0.933,1.942,12.088,1.100 ,5.508,6.994,11.078,16.523,0.820487,0.265912,7.988 ,7.1433786848072565
119.324 ,60.859 ,84.653 ,597.424 ,50.4579871244859,66.21855012177876,14.528744308297467,817,772,8.473963E-3 ,2.360888E-3 ,30.603,35,35.979,1.896,160.637E-6 ,0.759,0.967,2.278,11.597,1.131 ,5.216,6.882,10.205,15.648,0.831918,0.246198,8.637 ,11.140113378684807
105.707 ,49.340 ,81.066 ,593.414 ,39.86249731828402,66.61586920896984,8.15019044844547,374,353,9.481369E-3 ,2.312146E-3 ,52.320,17,27.021,2.062,195.495E-6 ,0.750,1.061,2.251,13.168,1.195 ,5.971,8.221,11.219,17.912,0.813090,0.276545,7.959 ,8.658480725623583
161.606 ,147.160 ,77.183 ,558.806 ,43.29602070255483,66.27631839221857,8.584912729155752,119,109,6.493770E-3 ,4.068577E-3 ,48.503,5,43.735,4.144,269.090E-6 ,1.788,2.150,5.365,16.746,1.519 ,5.796,8.336,15.027,17.389,0.787925,0.314351,6.796 ,1.709909297052154
103.326 ,63.445 ,75.834 ,594.586 ,45.83854064530119,65.72421823038898,16.633741008363994,371,352,9.761715E-3 ,3.016342E-3 ,33.389,18,38.450,2.608,254.545E-6 ,1.113,1.284,3.339,13.561,1.195 ,6.248,8.679,12.433,18.744,0.823718,0.259591,8.543 ,6.020113378684807
132.508 ,128.820 ,71.260 ,591.432 ,43.02056573776019,66.01930150300399,13.630696361989152,335,312,7.890086E-3 ,4.802281E-3 ,43.195,14,37.013,2.410,190.124E-6 ,1.078,1.374,3.234,17.842,1.595 ,7.113,9.262,13.517,21.338,0.775698,0.344924,6.661 ,5.105827664399093
110.076 ,86.213 ,74.950 ,464.426 ,46.48662176886618,63.10941800696491,17.037636640345916,199,188,9.348741E-3 ,4.039715E-3 ,37.612,8,30.405,3.109,290.697E-6 ,1.511,1.856,4.533,18.157,1.618 ,7.904,11.176,30.115,23.713,0.788805,0.314393,6.685 ,3.3817460317460317
103.698 ,65.138 ,75.399 ,544.816 ,47.56260768155228,65.90613192110281,18.24682853922505,95,87,10.012616E-3 ,2.696744E-3 ,30.625,4,19.158,2.682,268.523E-6 ,1.038,1.197,3.115,18.249,1.653 ,7.373,8.939,12.231,22.119,0.765415,0.352808,5.866 ,1.6315419501133788
106.208 ,61.708 ,75.283 ,516.573 ,41.81317537456711,64.44341594521862,10.98054681984123,468,439,9.550747E-3 ,2.985735E-3 ,43.721,27,48.530,2.626,250.792E-6 ,1.080,1.253,3.239,15.242,1.284 ,6.950,10.454,17.537,20.850,0.777534,0.344526,6.602 ,8.632358276643991
128.634 ,108.674 ,75.151 ,580.013 ,42.88606074375417,64.39895137772737,12.777213338499502,528,500,7.966476E-3 ,4.024528E-3 ,38.260,17,43.693,2.598,206.978E-6 ,1.217,1.422,3.651,16.607,1.429 ,7.417,8.798,16.226,22.250,0.786025,0.331080,6.841 ,7.273990929705215
108.805 ,65.499 ,78.207 ,522.381 ,44.8572354495715,60.79055852714517,12.671263089366136,233,220,9.198680E-3 ,2.996975E-3 ,30.887,9,36.515,2.129,195.842E-6 ,0.946,1.020,2.837,12.649,1.153 ,5.505,6.748,10.739,16.515,0.840037,0.232661,8.918 ,3.303378684807256
153.560 ,133.772 ,77.680 ,436.912 ,37.55119448685759,59.65879045214956,14.458218654039294,95,87,6.880946E-3 ,4.664194E-3 ,50.694,3,6.438,2.921,201.000E-6 ,1.396,1.879,4.187,17.741,1.597 ,7.816,10.270,45.752,23.447,0.771962,0.342120,6.231 ,1.4748072562358276
143.116 ,129.763 ,83.183 ,547.710 ,45.08875881751399,62.31478196935588,14.401606077392671,170,156,7.297616E-3 ,4.336775E-3 ,32.018,7,43.398,2.278,166.255E-6 ,0.895,1.185,2.686,18.222,1.587 ,6.743,7.867,13.461,20.228,0.820684,0.254897,7.885 ,2.3107256235827665
113.676 ,97.030 ,75.020 ,595.053 ,42.32026570412238,62.85394227603198,12.47001815236227,798,743,9.004111E-3 ,4.016520E-3 ,36.495,42,42.747,2.130,191.745E-6 ,0.852,0.993,2.556,16.101,1.357 ,6.947,8.985,13.393,20.840,0.804879,0.282380,7.323 ,12.472358276643991
122.031 ,90.311 ,76.640 ,599.302 ,44.41955300453533,64.16933620479493,10.70063328791207,986,921,8.337980E-3 ,3.407572E-3 ,32.159,49,39.739,2.663,222.064E-6 ,1.080,1.293,3.239,16.232,1.410 ,7.043,10.359,17.509,21.130,0.783095,0.342432,6.973 ,13.099297052154196
97.665 ,31.873 ,76.089 ,347.164 ,42.988137222470826,61.844727922530225,11.960519883790003,419,400,10.236201E-3 ,2.060836E-3 ,32.464,18,33.890,2.040,208.860E-6 ,0.730,1.019,2.190,13.646,1.262 ,5.835,7.672,13.313,17.504,0.845757,0.216154,9.078 ,6.934399092970522
119.529 ,84.148 ,75.299 ,572.125 ,42.542453144713875,61.119425546441555,8.915711353519546,313,293,8.603939E-3 ,3.303145E-3 ,35.043,17,44.011,2.543,218.792E-6 ,0.914,1.203,2.741,17.408,1.477 ,7.028,11.845,18.262,21.084,0.793027,0.305322,6.986 ,4.713990929705216
156.847 ,131.205 ,75.092 ,598.701 ,29.6865976878113,62.10075832519446,-0.344522899685683,415,382,6.669599E-3 ,3.738457E-3 ,67.739,18,60.624,2.593,172.910E-6 ,1.144,1.314,3.431,14.286,1.242 ,6.692,9.110,14.164,20.076,0.813385,0.272310,7.895 ,9.677256235827665
173.213 ,65.406 ,75.082 ,566.012 ,47.26656566847203,66.93670810876304,12.441542886246012,1155,1116,5.807274E-3 ,1.637467E-3 ,32.008,26,31.253,1.885,109.495E-6 ,0.800,0.988,2.399,11.547,1.068 ,5.210,7.052,9.370,15.629,0.863832,0.198121,10.313 ,10.59154195011338
141.086 ,9.616 ,119.315 ,174.830 ,49.37002921437259,63.04166086690241,17.85006613089971,610,591,7.105186E-3 ,0.523101E-3 ,25.212,18,27.279,1.828,129.889E-6 ,0.781,0.946,2.344,12.807,1.165 ,5.757,8.057,12.172,17.271,0.836869,0.243925,8.767 ,5.941746031746032
159.242 ,42.719 ,82.449 ,459.281 ,48.73236700157509,65.64101438632298,17.431333945635156,753,729,6.318973E-3 ,1.333884E-3 ,28.967,19,25.344,1.984,125.383E-6 ,0.908,0.992,2.724,11.672,1.127 ,5.158,7.411,11.772,15.474,0.844157,0.230518,8.954 ,6.90827664399093
143.640 ,36.976 ,80.021 ,517.728 ,45.442782112349384,65.2953270235685,16.131221303875915,800,769,7.007350E-3 ,1.090351E-3 ,35.501,25,36.194,1.536,107.609E-6 ,0.658,0.806,1.973,11.051,1.019 ,4.953,7.152,9.504,14.859,0.853385,0.208856,9.292 ,9.416031746031747
162.324 ,64.187 ,75.365 ,598.255 ,43.32513574478194,65.0511372992387,13.687401773350905,2557,2462,6.272246E-3 ,1.474732E-3 ,39.424,60,41.562,1.944,121.921E-6 ,0.864,1.008,2.591,12.347,1.155 ,5.451,8.193,12.418,16.352,0.852134,0.216878,9.549 ,27.83235827664399
162.107 ,52.728 ,79.426 ,483.552 ,45.16856687339764,64.52352774587007,13.812596939734883,1458,1421,6.197926E-3 ,1.374242E-3 ,35.948,28,39.186,1.821,112.850E-6 ,0.839,0.929,2.518,11.009,1.058 ,4.975,7.000,10.294,14.924,0.875619,0.179519,10.583 ,14.692766439909297
148.707 ,35.905 ,112.940 ,509.459 ,46.40814712972086,63.999676693849416,14.051337284702395,1349,1319,6.745733E-3 ,1.107762E-3 ,28.744,25,28.627,1.644,110.912E-6 ,0.750,0.892,2.251,11.511,1.070 ,4.970,7.214,10.211,14.911,0.876019,0.173385,10.345 ,13.256031746031747
146.869 ,54.167 ,100.570 ,574.252 ,40.85994328663307,69.37412169429962,-3.71780209171926,1076,1024,6.913506E-3 ,1.493423E-3 ,50.764,44,52.441,1.465,101.278E-6 ,0.535,0.662,1.606,11.631,1.035 ,5.186,6.876,9.150,15.559,0.862580,0.185792,9.532 ,15.73766439909297
122.668 ,31.154 ,87.360 ,343.750 ,52.12460529146006,68.9380542834479,24.79755196645218,175,167,8.217544E-3 ,1.420693E-3 ,40.824,7,30.992,1.990,163.506E-6 ,0.654,0.857,1.963,12.313,1.112 ,5.508,8.033,15.030,16.524,0.834580,0.235574,8.238 ,2.702562358276644
118.895 ,41.158 ,84.281 ,531.800 ,53.50637808353216,69.40132078393513,16.267441498992223,530,511,8.453592E-3 ,2.004378E-3 ,28.073,15,32.289,1.362,115.155E-6 ,0.538,0.653,1.613,10.707,1.072 ,4.874,6.496,8.841,14.623,0.879906,0.168243,10.830 ,6.62092970521542
109.578 ,57.971 ,84.689 ,596.389 ,43.261249874922434,68.98677126663665,11.66386622228343,708,667,9.190053E-3 ,2.233506E-3 ,54.727,38,40.020,1.737,159.627E-6 ,0.589,0.740,1.766,12.072,1.085 ,5.198,6.612,9.820,15.594,0.827296,0.244386,8.180 ,15.58092970521542
232.082 ,29.850 ,172.181 ,289.890 ,35.798793816048445,73.18203140949196,13.185886711486317,274,268,4.319812E-3 ,0.624518E-3 ,72.222,5,69.644,1.607,69.405E-6 ,0.748,0.915,2.245,10.778,1.069 ,4.110,6.460,12.352,12.331,0.910654,0.121789,12.454 ,4.713990929705216
183.267 ,48.024 ,101.913 ,360.196 ,38.13278738398161,68.92891068172315,18.576708146951653,268,259,5.478035E-3 ,1.420710E-3 ,65.171,7,64.810,2.388,130.817E-6 ,1.046,1.058,3.139,13.951,1.326 ,7.027,9.361,14.067,21.081,0.846124,0.217253,8.794 ,4.713990929705216
186.490 ,17.085 ,152.130 ,217.961 ,51.023893986529224,68.99935647125938,23.1757355866053,196,187,5.384195E-3 ,0.518486E-3 ,39.791,5,41.052,1.981,106.673E-6 ,0.796,0.820,2.389,10.849,1.121 ,4.507,6.527,11.382,13.520,0.874748,0.181114,11.216 ,1.9450113378684808
159.694 ,58.373 ,78.187 ,585.677 ,49.0485672906139,69.86240170661429,17.449941664336826,1368,1323,6.324574E-3 ,1.402279E-3 ,33.927,33,35.300,1.850,117.001E-6 ,0.801,0.925,2.402,10.616,1.015 ,4.583,6.485,9.808,13.748,0.880967,0.165960,10.841 ,14.065827664399093
151.110 ,40.312 ,121.698 ,534.453 ,52.10417874484973,68.7705506016368,18.377944688103106,1152,1122,6.636082E-3 ,1.170514E-3 ,23.961,20,26.775,1.763,116.991E-6 ,0.826,0.985,2.477,11.660,1.109 ,5.406,7.274,11.202,16.219,0.876335,0.177415,10.446 ,10.382562358276644
