Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
181.210 ,7.149 ,172.991 ,191.988 ,50.12998663634739,66.76000045658861,24.68163464684558,23,21,5.487940E-3 ,0.391577E-3 ,56.098,1,18.822,2.802,153.782E-6 ,1.213,1.198,3.639,16.457,1.301 ,8.437,10.018,--undefined--,25.311,0.837617,0.219008,7.831 ,0.441859410430839
144.193 ,109.378 ,76.092 ,595.280 ,48.07865839753567,61.849530634679375,15.190266947365721,649,613,7.111361E-3 ,3.571162E-3 ,16.941,17,25.621,2.920,207.677E-6 ,1.593,1.925,4.780,19.469,1.642 ,9.109,13.534,19.641,27.328,0.744530,0.403277,5.384 ,6.110430839002268
124.846 ,46.713 ,86.266 ,452.681 ,49.00198176496732,61.626234673758034,24.41205786426432,413,402,8.109334E-3 ,1.924721E-3 ,10.000,7,11.301,3.366,272.922E-6 ,1.838,2.240,5.515,18.789,1.605 ,8.886,13.258,31.085,26.659,0.742791,0.420018,5.545 ,3.8377777777777777
131.574 ,71.696 ,93.026 ,505.277 ,48.534534422818844,62.099709992312945,15.721123447387255,276,264,7.768634E-3 ,2.370188E-3 ,21.453,7,25.461,2.781,216.064E-6 ,1.445,1.750,4.335,18.637,1.618 ,7.971,12.882,22.708,23.912,0.759796,0.376340,5.904 ,2.9234920634920636
174.588 ,140.258 ,74.496 ,514.632 ,45.56409739520629,62.20744484047509,13.139746060003825,515,474,6.048509E-3 ,3.767831E-3 ,25.051,19,37.173,4.153,251.215E-6 ,2.265,2.653,6.796,20.676,1.756 ,10.669,16.131,27.080,32.007,0.719628,0.447702,4.717 ,4.908798185941043
159.112 ,123.458 ,76.350 ,596.262 ,45.34216066754418,61.4980384463871,10.851463295929278,1432,1363,6.469774E-3 ,3.553730E-3 ,19.562,30,24.520,3.511,227.145E-6 ,1.886,2.222,5.657,18.536,1.617 ,8.556,13.143,21.731,25.669,0.763409,0.375166,6.235 ,12.353696145124717
165.399 ,144.803 ,73.259 ,594.571 ,48.20749321792584,58.64709762829421,25.946791979375597,350,325,6.473887E-3 ,3.996425E-3 ,15.849,5,12.207,3.684,238.510E-6 ,1.960,2.336,5.880,19.718,1.794 ,9.086,11.200,20.103,27.258,0.722360,0.454429,4.813 ,2.688390022675737
142.378 ,91.942 ,72.177 ,587.589 ,41.51370556111686,61.12982929539844,5.3382207990292425,792,745,7.154444E-3 ,3.050578E-3 ,28.414,27,38.597,4.055,290.100E-6 ,2.256,2.674,6.769,17.738,1.592 ,7.478,11.319,16.823,22.433,0.740624,0.419499,5.453 ,9.11451247165533
225.618 ,163.316 ,84.117 ,491.674 ,39.18046202828691,59.00225641657912,9.412386585678385,356,331,4.687275E-3 ,3.602679E-3 ,33.231,9,33.172,4.703,220.448E-6 ,2.613,3.210,7.838,24.511,1.916 ,10.952,20.275,23.173,32.855,0.713926,0.480529,4.747 ,3.2892063492063492
284.899 ,186.350 ,86.514 ,525.132 ,41.25081361151908,57.73127961173198,-4.114842501645172,129,114,3.575708E-3 ,3.161505E-3 ,35.780,5,33.408,6.897,246.617E-6 ,3.636,4.483,10.909,23.303,1.955 ,10.511,17.675,--undefined--,31.533,0.671185,0.551359,3.388 ,1.1210430839002268
