Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
141.420 ,54.695 ,75.019 ,383.094 ,63.47685277584701,73.80577243677357,35.76901070832035,146,138,7.179583E-3 ,2.133000E-3 ,9.756,5,13.828,3.114,223.542E-6 ,1.326,1.729,3.979,17.195,1.646 ,6.620,11.337,17.220,19.859,0.775413,0.336924,6.158 ,1.2658276643990929
127.360 ,12.441 ,85.960 ,177.833 ,42.01290209005239,69.16699091758016,10.982636877706193,269,259,7.849527E-3 ,0.714610E-3 ,51.496,8,26.380,1.959,153.743E-6 ,0.902,0.997,2.707,14.772,1.342 ,6.882,8.345,13.857,20.647,0.838969,0.238580,8.922 ,4.713990929705216
143.028 ,83.202 ,98.034 ,510.511 ,47.91088682001289,74.50799146547249,8.595006029076691,687,651,7.185381E-3 ,2.499113E-3 ,41.505,20,34.336,2.648,190.241E-6 ,1.318,1.506,3.955,17.038,1.485 ,8.012,10.678,14.538,24.035,0.831823,0.242630,8.616 ,9.33766439909297
182.443 ,125.956 ,111.509 ,504.571 ,24.702745035060506,70.74322267747306,10.778653941420263,57,50,5.834787E-3 ,2.881848E-3 ,78.495,1,5.640,3.862,225.327E-6 ,1.752,1.512,5.256,18.926,1.655 ,6.550,10.975,6.190,19.651,0.771799,0.350594,6.140 ,1.8927664399092972
126.386 ,23.041 ,72.714 ,350.506 ,54.556252676363485,72.31811644919026,20.34731866237327,664,643,7.921291E-3 ,1.163774E-3 ,27.975,19,30.267,1.797,142.374E-6 ,0.879,0.997,2.637,14.286,1.278 ,6.226,8.758,15.605,18.678,0.840282,0.228135,8.569 ,8.18827664399093
145.807 ,94.912 ,75.059 ,568.494 ,53.43666911040964,75.3008019028806,10.787265055343212,803,771,6.999579E-3 ,2.695988E-3 ,27.509,18,33.427,2.422,169.553E-6 ,1.154,1.221,3.461,15.275,1.341 ,7.346,10.363,17.938,22.039,0.820766,0.261309,7.976 ,8.501746031746032
125.564 ,6.061 ,110.902 ,132.222 ,23.78883835173168,59.88434162036681,15.15408979156078,16,15,7.957523E-3 ,0.392437E-3 ,93.011,0,0,1.347,107.213E-6 ,0.308,0.444,0.925,10.295,0.982 ,4.241,5.702,6.725,12.724,0.740033,0.437362,5.332 ,1.8927664399092972
149.175 ,55.674 ,91.211 ,474.121 ,53.70370166432617,82.86381345419468,17.332260042973996,649,618,6.882861E-3 ,1.621754E-3 ,47.935,17,29.987,2.464,169.562E-6 ,1.044,1.248,3.132,14.659,1.252 ,6.480,9.471,15.172,19.440,0.850705,0.221261,9.509 ,9.233174603174604
134.947 ,69.921 ,98.383 ,542.633 ,59.973121369774624,78.16886159471986,27.998154963981396,1659,1592,7.504087E-3 ,2.138899E-3 ,25.790,45,32.329,2.129,159.732E-6 ,1.019,1.162,3.058,14.657,1.308 ,6.399,8.945,14.338,19.197,0.860094,0.211799,10.358 ,18.062562358276644
136.943 ,82.538 ,87.523 ,571.073 ,59.94680859036196,74.97028703120365,29.43090653680516,686,659,7.430506E-3 ,2.395871E-3 ,20.626,17,23.066,2.578,191.564E-6 ,1.224,1.365,3.671,14.816,1.386 ,6.934,9.167,14.370,20.801,0.844742,0.228326,9.576 ,7.065011337868481
133.226 ,64.761 ,68.011 ,547.624 ,59.040003548907315,77.58275913560962,23.9534834078311,1852,1770,7.596888E-3 ,2.119183E-3 ,27.780,58,34.071,2.177,165.398E-6 ,1.005,1.148,3.016,14.982,1.347 ,6.853,9.688,15.709,20.559,0.857689,0.208820,9.988 ,20.98827664399093
142.077 ,85.088 ,101.640 ,591.468 ,60.15045162243617,74.89261987031992,25.0960647867872,653,633,7.218551E-3 ,2.303149E-3 ,16.027,12,20.957,2.165,156.271E-6 ,1.086,1.226,3.259,15.684,1.422 ,6.878,8.654,15.759,20.634,0.865187,0.197254,10.360 ,6.020113378684807
165.634 ,134.523 ,75.698 ,598.405 ,57.7920689905883,73.57184670177253,36.33450053509435,189,178,6.411203E-3 ,3.112343E-3 ,24.551,3,17.526,3.034,194.519E-6 ,1.473,1.615,4.420,13.524,1.382 ,7.414,9.673,9.394,22.243,0.801888,0.306959,8.322 ,1.709909297052154
131.644 ,57.450 ,85.199 ,577.028 ,57.68444909276077,72.75770800362561,5.224880109180196,1011,972,7.714505E-3 ,1.808938E-3 ,19.614,25,23.515,2.278,175.770E-6 ,1.137,1.207,3.412,15.009,1.336 ,6.484,9.772,14.265,19.453,0.859793,0.199752,9.905 ,10.382562358276644
234.572 ,66.233 ,79.508 ,297.110 ,62.0299591374624,73.45442147279886,24.350924566380094,193,189,4.274165E-3 ,1.695205E-3 ,17.647,3,18.174,1.009,43.139E-6 ,0.369,0.458,1.107,8.544,0.785 ,2.995,4.893,7.950,8.985,0.925610,0.103065,14.374 ,1.0568480725623584
159.378 ,10.269 ,149.312 ,178.322 ,64.97205053693443,82.77578081349517,29.546851806728476,33,31,6.271514E-3 ,0.393350E-3 ,41.176,1,14.378,1.565,98.122E-6 ,0.573,0.617,1.719,11.724,1.311 ,6.220,6.864,7.156,18.659,0.839110,0.227483,8.324 ,0.3776643990929705
148.263 ,73.881 ,108.067 ,550.493 ,60.405849139089234,78.52890383525809,34.61488109122922,700,673,6.869966E-3 ,1.892504E-3 ,33.763,20,34.163,1.964,134.922E-6 ,0.873,1.031,2.619,12.201,1.121 ,5.769,7.463,10.962,17.307,0.863626,0.200441,10.134 ,7.796439909297052
186.316 ,150.731 ,112.857 ,583.756 ,57.70758174318844,76.94464089948853,36.1283346941044,65,57,5.950466E-3 ,2.878765E-3 ,46.479,3,15.120,3.391,201.800E-6 ,1.734,2.380,5.202,21.713,1.679 ,11.030,18.560,52.430,33.090,0.682934,0.527635,3.686 ,0.7433786848072562
