Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
131.991 ,78.027 ,101.675 ,419.134 ,36.52683051916812,44.40471452977516,21.943950241798063,55,53,7.623837E-3 ,2.833295E-3 ,2.326,0,0,2.439,185.962E-6 ,1.242,1.419,3.727,14.279,1.547 ,7.287,11.218,18.089,21.861,0.861052,0.213223,10.324 ,0.46697916666666667
218.750 ,122.337 ,100.304 ,427.313 ,22.366560972618906,44.36014995100895,6.830821251792736,746,707,4.724511E-3 ,2.749367E-3 ,46.515,13,28.505,4.444,209.978E-6 ,2.340,2.845,7.019,19.306,1.653 ,9.948,14.591,19.318,29.844,0.790687,0.340476,7.348 ,7.066979166666667
167.102 ,95.788 ,120.074 ,456.806 ,33.659381604287546,45.86785433215444,15.968797062999187,74,67,6.176044E-3 ,2.359513E-3 ,12.903,4,27.233,3.766,232.615E-6 ,2.001,2.349,6.004,22.795,1.755 ,10.675,14.318,33.308,32.024,0.757927,0.383863,5.463 ,0.6589791666666667
148.806 ,77.292 ,91.390 ,396.813 ,26.516359003258145,46.21111923514402,6.688527358557053,393,372,6.874020E-3 ,2.504900E-3 ,30.602,11,35.703,2.823,194.037E-6 ,1.511,1.724,4.534,18.210,1.515 ,8.753,13.446,20.305,26.260,0.801254,0.294626,7.496 ,4.186979166666666
184.653 ,111.778 ,75.431 ,528.613 ,23.659459240085138,43.71086262237574,6.141308355368568,987,940,5.500694E-3 ,3.121443E-3 ,36.186,26,40.419,3.615,198.861E-6 ,1.926,2.293,5.778,16.263,1.447 ,8.129,11.912,13.875,24.386,0.817246,0.268037,7.995 ,9.730979166666666
174.571 ,110.277 ,75.046 ,482.201 ,23.728372945746454,45.81499906708973,6.318907738093586,800,750,5.945700E-3 ,3.140181E-3 ,41.076,24,46.975,3.812,226.670E-6 ,1.900,2.276,5.699,17.405,1.493 ,8.722,12.424,18.735,26.166,0.786900,0.334014,6.865 ,8.770979166666667
134.519 ,63.981 ,87.795 ,439.980 ,22.77856480906961,44.839182578292736,0.5762449752053651,1116,1056,7.564897E-3 ,2.343860E-3 ,37.722,35,43.873,2.307,174.523E-6 ,1.095,1.326,3.284,15.141,1.342 ,6.524,9.869,13.951,19.573,0.814373,0.274834,7.617 ,14.698979166666666
194.178 ,144.114 ,107.931 ,452.475 ,20.133005352204894,43.99063656655942,8.04761460214111,34,31,5.335471E-3 ,3.271517E-3 ,64.865,0,0,4.102,218.882E-6 ,1.738,1.848,5.214,21.922,1.601 ,15.271,14.399,22.346,45.813,0.775680,0.314944,5.995 ,0.7789791666666667
155.901 ,96.494 ,78.817 ,545.106 ,25.11225194445909,48.521972060488025,6.579710506683483,2148,2038,6.569227E-3 ,2.897362E-3 ,39.960,57,45.444,3.069,201.588E-6 ,1.572,1.902,4.716,17.627,1.496 ,8.673,12.776,20.521,26.020,0.818937,0.273604,8.092 ,25.330979166666665
148.738 ,78.824 ,76.918 ,451.942 ,25.375123410889714,48.871407099392854,6.4738761476100395,1212,1158,6.894874E-3 ,2.541647E-3 ,41.931,31,46.171,2.622,180.802E-6 ,1.284,1.594,3.852,15.918,1.433 ,7.628,10.904,19.568,22.884,0.816999,0.270617,7.839 ,15.466979166666667
159.105 ,96.692 ,80.458 ,462.637 ,26.438929008422576,45.4631359587065,6.362995445455829,971,923,6.530296E-3 ,2.878745E-3 ,31.891,19,37.074,3.246,211.992E-6 ,1.664,1.995,4.993,18.148,1.588 ,8.974,12.289,22.146,26.923,0.809224,0.283767,7.667 ,9.970979166666666
114.048 ,4.843 ,105.044 ,126.360 ,34.622193924195166,45.23906943006548,18.555538443361552,45,43,8.720593E-3 ,0.587879E-3 ,20.000,1,20.763,3.637,317.193E-6 ,2.096,2.587,6.287,20.727,1.690 ,11.441,13.553,15.112,34.323,0.803674,0.295577,7.055 ,0.5389791666666667
148.561 ,91.446 ,86.851 ,456.328 ,29.084701523110567,47.18569126270866,6.38735429107589,489,467,6.875652E-3 ,2.998647E-3 ,28.543,11,33.082,3.521,242.061E-6 ,1.847,2.250,5.541,19.498,1.551 ,9.544,13.857,24.272,28.632,0.799441,0.299160,7.076 ,4.978979166666667
200.840 ,131.990 ,76.482 ,525.717 ,26.759348107335448,45.960605656030324,6.8867580712090515,435,406,5.193051E-3 ,3.201016E-3 ,31.549,11,37.383,4.785,248.467E-6 ,2.382,3.180,7.145,20.083,1.623 ,9.071,11.882,21.362,27.212,0.780052,0.343518,6.926 ,3.5869791666666666
141.692 ,71.513 ,78.519 ,447.590 ,25.357286608377898,48.78649665679072,6.023589685313766,1005,964,7.189221E-3 ,2.481772E-3 ,41.805,25,46.902,2.800,201.285E-6 ,1.444,1.699,4.331,17.229,1.561 ,8.287,11.777,18.733,24.860,0.819162,0.269873,7.829 ,13.330979166666667
164.496 ,96.534 ,93.920 ,422.049 ,24.42951087939345,46.002030653733414,6.283266105437705,270,257,6.213861E-3 ,2.796954E-3 ,39.310,3,41.972,3.593,223.289E-6 ,1.873,2.052,5.619,17.684,1.578 ,10.186,13.504,24.354,30.559,0.813595,0.284051,7.701 ,2.9389791666666665
