Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
166.773 ,40.560 ,101.214 ,527.122 ,51.75835051652211,70.60426910831269,4.975021477983949,1300,1265,6.037900E-3 ,1.212030E-3 ,26.638,24,30.876,2.116,127.757E-6 ,1.060,1.244,3.181,14.741,1.337 ,6.646,9.317,15.800,19.937,0.805091,0.290984,7.376 ,11.489433106575964
190.697 ,60.276 ,120.888 ,558.735 ,52.57187756535849,65.19327143268173,16.821375506812966,772,749,5.281675E-3 ,1.268953E-3 ,22.757,17,25.927,2.277,120.261E-6 ,1.130,1.327,3.390,16.309,1.458 ,6.673,10.449,16.933,20.018,0.796494,0.301981,7.159 ,6.055963718820862
168.112 ,55.511 ,77.134 ,592.595 ,52.31166281491044,67.12948628609185,1.9820605645112153,1623,1568,5.963463E-3 ,1.476391E-3 ,25.527,40,28.386,2.132,127.118E-6 ,1.034,1.192,3.101,15.261,1.396 ,6.779,9.998,14.433,20.337,0.799037,0.308231,7.506 ,14.258412698412698
162.151 ,53.355 ,86.097 ,522.137 ,51.62970260652281,65.34571426652023,-0.4476878342971632,540,512,6.162507E-3 ,1.543146E-3 ,28.252,20,29.932,3.008,185.377E-6 ,1.519,1.756,4.557,16.193,1.465 ,7.442,9.672,15.616,22.327,0.742798,0.418025,5.701 ,4.958820861678005
160.352 ,65.213 ,75.735 ,471.420 ,36.01879844971764,69.1386136536786,-2.476823233521076,300,285,6.296176E-3 ,1.917335E-3 ,61.250,12,23.318,2.395,150.806E-6 ,1.127,1.312,3.380,17.416,1.487 ,8.016,11.189,16.078,24.049,0.732623,0.415250,4.972 ,5.638004535147393
190.609 ,40.812 ,113.707 ,358.626 ,49.767518910222286,68.95368026479397,5.207108404063529,1331,1299,5.262679E-3 ,1.093273E-3 ,32.478,27,31.493,2.201,115.842E-6 ,1.073,1.253,3.220,14.451,1.371 ,6.242,9.122,15.522,18.725,0.823305,0.263332,8.246 ,11.332698412698413
155.350 ,38.464 ,74.890 ,345.285 ,50.05368004660307,68.32101535333265,12.003062719695357,916,879,6.511463E-3 ,1.385486E-3 ,37.380,27,39.823,1.849,120.395E-6 ,0.889,0.841,2.666,12.724,1.187 ,5.481,7.999,12.344,16.442,0.829030,0.260378,9.096 ,10.496780045351475
167.008 ,32.860 ,112.702 ,386.361 ,53.273517247957614,66.53378578684163,2.8745560239689554,738,718,6.034891E-3 ,1.023368E-3 ,21.521,15,26.691,2.158,130.206E-6 ,1.057,1.207,3.171,14.534,1.343 ,6.137,9.421,14.050,18.411,0.821175,0.261309,8.080 ,6.212698412698413
153.285 ,18.842 ,128.259 ,217.251 ,50.793389959963335,66.70668985638527,9.850586799188388,135,127,6.547625E-3 ,0.735153E-3 ,37.037,6,37.778,1.671,109.412E-6 ,0.769,0.894,2.307,16.613,1.529 ,7.703,11.174,13.562,23.109,0.736956,0.414862,5.118 ,1.9286167800453515
153.214 ,35.069 ,79.274 ,325.964 ,49.667035616539366,67.28004648043813,9.500535947134916,603,579,6.553320E-3 ,1.188420E-3 ,35.789,18,32.368,2.066,135.403E-6 ,0.994,1.129,2.981,14.842,1.318 ,6.808,9.359,13.154,20.424,0.799814,0.291709,7.198 ,6.682902494331066
