Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
120.497 ,31.682 ,91.032 ,191.585 ,46.21672480406983,72.3609749036787,3.1565050520832276,101,98,8.347548E-3 ,1.965662E-3 ,43.590,1,9.270,1.609,134.344E-6 ,0.721,0.806,2.164,20.542,1.702 ,8.819,9.416,11.190,26.456,0.677231,0.558267,3.652 ,1.59124716553288
107.997 ,18.206 ,75.114 ,152.252 ,46.6410723351673,64.86649390458776,10.543586342449565,142,134,9.263451E-3 ,1.537314E-3 ,46.041,7,39.694,1.916,177.451E-6 ,1.002,1.190,3.005,12.730,1.147 ,5.456,7.414,9.759,16.367,0.790004,0.301441,6.621 ,3.4459410430839004
103.782 ,18.398 ,76.623 ,146.757 ,43.69316541405629,66.78046444439553,0.5529630046809687,59,51,9.687301E-3 ,1.791388E-3 ,61.508,6,44.551,1.966,190.433E-6 ,0.635,0.786,1.905,14.376,1.173 ,6.846,12.459,23.045,20.538,0.725215,0.424684,4.613 ,2.557777777777778
143.092 ,117.050 ,76.408 ,563.171 ,52.37845231854069,65.28646762641361,28.83791143659653,253,238,7.100630E-3 ,3.642110E-3 ,30.640,11,29.691,2.279,161.793E-6 ,1.011,1.276,3.034,18.604,1.617 ,8.596,11.198,7.563,25.788,0.722991,0.436685,4.745 ,3.001859410430839
109.553 ,53.004 ,78.531 ,569.608 ,42.58302192252142,63.92859225999371,10.563878980475339,322,303,9.194495E-3 ,2.537879E-3 ,50.637,16,27.241,2.195,201.810E-6 ,0.957,1.365,2.870,15.435,1.386 ,7.152,9.793,13.338,21.456,0.718253,0.469324,4.854 ,6.319410430839002
126.545 ,73.968 ,91.638 ,507.083 ,40.56125390215454,71.2842708537308,10.897451257023626,150,140,7.941075E-3 ,2.644436E-3 ,58.036,9,42.953,3.191,253.370E-6 ,1.477,1.688,4.432,16.158,1.445 ,6.701,9.214,9.852,20.102,0.728077,0.438720,5.049 ,3.3936961451247165
104.106 ,2.353 ,102.384 ,109.179 ,24.820484873291466,64.31612809100207,-1.466383818607551,9,8,9.610955E-3 ,0.190045E-3 ,89.051,0,0,1.377,132.331E-6 ,0.477,0.655,1.432,21.221,1.672 ,7.888,9.936,--undefined--,23.663,0.704776,0.462702,4.106 ,1.4083900226757369
158.845 ,63.743 ,122.748 ,597.283 ,46.81950240419385,65.36377126422417,-1.6149235454094846,210,200,6.325800E-3 ,1.562404E-3 ,45.455,6,25.476,2.191,138.596E-6 ,0.968,1.236,2.904,15.652,1.381 ,7.183,10.679,18.289,21.550,0.757624,0.376106,5.825 ,3.001859410430839
140.019 ,72.650 ,78.105 ,527.251 ,48.52544972030643,64.24621861212005,11.14844003651422,414,387,7.201277E-3 ,2.679280E-3 ,41.596,21,42.970,2.053,147.830E-6 ,0.874,1.053,2.623,14.788,1.335 ,6.959,9.878,14.462,20.878,0.737473,0.417970,5.223 ,5.927573696145124
150.331 ,75.955 ,93.689 ,551.171 ,48.64892602300793,65.46425852527166,1.9205838075853685,649,616,6.719334E-3 ,2.158279E-3 ,40.534,21,40.807,2.350,157.885E-6 ,1.015,1.141,3.044,14.908,1.379 ,6.877,9.400,14.265,20.632,0.744997,0.405074,5.406 ,8.27859410430839
141.494 ,63.858 ,78.752 ,513.800 ,46.34706016283476,66.46665053982501,-1.5944824252078265,403,375,7.166465E-3 ,2.153381E-3 ,45.719,20,35.078,2.515,180.222E-6 ,1.261,1.498,3.784,16.316,1.425 ,7.048,10.347,19.254,21.143,0.714464,0.479833,4.760 ,5.875328798185941
164.231 ,62.881 ,76.962 ,399.836 ,48.302379118567245,63.912346560366196,6.073732397717738,285,272,6.096719E-3 ,2.037493E-3 ,44.386,10,35.743,2.208,134.610E-6 ,0.947,1.172,2.841,14.694,1.315 ,6.714,9.252,13.952,20.142,0.763804,0.374529,6.160 ,3.8639002267573694
130.784 ,29.906 ,94.609 ,325.330 ,47.91639754027574,69.2357182856573,12.210282399187752,317,297,7.648059E-3 ,1.361014E-3 ,48.288,18,47.567,1.776,135.795E-6 ,0.633,0.679,1.898,14.149,1.321 ,5.921,8.862,12.321,17.764,0.736467,0.412457,5.233 ,5.875328798185941
