Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
108.111 ,6.843 ,101.893 ,124.282 ,41.67495344668448,47.53950571788199,28.275022736989342,20,19,9.214957E-3 ,0.579730E-3 ,5.263,0,0,2.322,213.975E-6 ,0.952,1.382,2.857,17.278,1.657 ,7.777,10.547,27.235,23.331,0.718475,0.413167,4.261 ,0.2209297052154195
125.829 ,84.844 ,75.611 ,592.068 ,42.88404666958097,59.09684831708347,15.907559070025247,894,842,8.005973E-3 ,2.898387E-3 ,37.560,43,44.925,1.934,154.825E-6 ,0.701,0.950,2.104,15.655,1.366 ,7.334,10.320,16.516,22.002,0.726896,0.436495,4.907 ,12.498480725623583
123.700 ,84.751 ,80.738 ,526.786 ,40.384103755534824,62.42044426165731,14.05970252962383,863,808,8.255330E-3 ,3.052963E-3 ,47.708,43,47.892,1.593,131.535E-6 ,0.677,0.919,2.030,16.217,1.422 ,7.485,10.244,14.334,22.454,0.740991,0.411424,5.245 ,14.43154195011338
119.513 ,84.747 ,75.093 ,598.756 ,42.58433504340709,59.02624839830389,13.512753957669226,623,596,8.416428E-3 ,3.063124E-3 ,36.842,25,40.220,1.808,152.209E-6 ,0.711,0.868,2.133,13.815,1.290 ,6.455,7.801,12.035,19.366,0.770594,0.362932,6.435 ,8.580113378684807
124.171 ,78.203 ,76.392 ,557.371 ,39.36664465184525,56.88228827733592,13.137500336439645,853,802,8.149471E-3 ,3.297658E-3 ,43.856,42,50.604,1.690,137.705E-6 ,0.607,0.676,1.822,15.610,1.308 ,7.760,10.038,13.241,23.281,0.749427,0.392289,5.619 ,13.621746031746031
215.677 ,42.578 ,93.089 ,286.893 ,40.351527293126445,61.20441616830004,15.473189382056969,471,461,4.646778E-3 ,1.161618E-3 ,38.259,9,42.182,1.436,66.725E-6 ,0.687,0.757,2.062,11.248,1.041 ,4.560,7.059,11.257,13.679,0.879065,0.169399,10.588 ,3.825827664399093
212.641 ,52.019 ,97.231 ,520.279 ,38.56640734746964,58.66101498476436,15.635310375254928,306,300,4.736215E-3 ,0.902705E-3 ,30.698,4,26.953,1.912,90.550E-6 ,0.967,0.953,2.900,10.094,1.185 ,4.498,7.770,11.510,13.495,0.875293,0.175617,11.513 ,2.180113378684807
198.360 ,48.661 ,72.067 ,584.198 ,37.201589020646765,60.37707819217081,15.541985443875571,3066,2968,5.047166E-3 ,1.047439E-3 ,42.508,82,46.713,1.667,84.149E-6 ,0.756,0.817,2.268,12.291,1.135 ,4.837,7.455,13.180,14.511,0.875973,0.170268,10.342 ,29.060113378684807
211.355 ,50.274 ,95.263 ,308.630 ,40.837956485374136,58.41664421314218,16.665199896277336,606,599,4.734752E-3 ,1.487617E-3 ,31.663,5,31.561,1.146,54.256E-6 ,0.444,0.554,1.331,10.615,1.020 ,4.178,6.258,9.189,12.535,0.910090,0.116669,12.908 ,4.426643990929705
192.959 ,50.959 ,76.778 ,338.358 ,34.44131544550207,57.80069401442978,13.179036197884603,756,737,5.188439E-3 ,1.596761E-3 ,47.229,17,50.781,1.266,65.698E-6 ,0.599,0.693,1.797,11.336,1.128 ,4.776,6.998,10.179,14.327,0.882607,0.156975,10.433 ,7.979297052154195
133.214 ,93.761 ,82.746 ,582.073 ,43.27349305077393,61.19310830411226,16.86803070324454,502,470,7.607566E-3 ,3.056329E-3 ,46.348,27,45.143,1.938,147.408E-6 ,0.844,1.078,2.531,17.482,1.510 ,8.820,11.477,16.196,26.460,0.706983,0.473959,4.247 ,7.979297052154195
111.701 ,60.550 ,84.118 ,578.128 ,40.65804714521461,59.50089898008215,14.238854539677867,417,394,9.083148E-3 ,2.256219E-3 ,40.364,20,43.965,1.115,101.309E-6 ,0.442,0.594,1.327,13.867,1.239 ,5.940,7.019,9.948,17.819,0.767350,0.353791,6.023 ,6.62092970521542
130.799 ,84.361 ,76.872 ,581.889 ,38.772902187890836,59.98273865476246,14.683779943577512,912,859,7.714931E-3 ,3.267840E-3 ,52.057,46,58.178,1.561,120.414E-6 ,0.653,0.784,1.959,16.215,1.464 ,7.480,10.700,18.739,22.439,0.719370,0.461689,4.750 ,16.077256235827665
208.939 ,33.297 ,99.113 ,598.538 ,39.93696042721463,62.94565709050894,17.55829939919476,2279,2235,4.799989E-3 ,0.671450E-3 ,39.059,37,42.965,1.172,56.277E-6 ,0.546,0.631,1.639,10.654,1.002 ,4.461,6.316,9.825,13.384,0.900960,0.130157,11.633 ,18.950725623582766
112.876 ,2.370 ,108.849 ,117.326 ,31.919580640081392,53.719166762369,17.979224371497175,30,26,8.873808E-3 ,0.199743E-3 ,63.095,3,44.160,1.310,116.213E-6 ,0.735,0.785,2.205,18.853,1.659 ,6.963,14.938,--undefined--,20.890,0.621143,0.669994,2.314 ,0.8739909297052154
124.000 ,85.738 ,93.888 ,579.332 ,38.25795965736635,55.67309916616396,17.73116100168212,482,453,8.259377E-3 ,2.754989E-3 ,43.428,21,48.886,2.273,187.703E-6 ,1.172,1.259,3.515,17.155,1.447 ,8.404,11.275,16.653,25.213,0.710343,0.478297,4.448 ,7.796439909297052
164.236 ,88.807 ,110.908 ,527.323 ,38.05586603058396,54.584247997445694,19.38671569993163,134,130,6.069561E-3 ,2.225454E-3 ,44.218,2,6.407,2.670,162.083E-6 ,1.247,1.689,3.740,17.523,1.429 ,8.675,15.387,28.641,26.025,0.697392,0.490094,3.997 ,1.5009297052154196
140.721 ,112.955 ,89.921 ,557.333 ,39.557446946592755,59.86282337805362,19.85907491207167,182,172,7.217051E-3 ,3.297113E-3 ,55.034,9,44.404,2.450,176.839E-6 ,1.203,1.540,3.610,17.360,1.545 ,8.651,11.509,11.979,25.952,0.629299,0.674341,2.548 ,3.016031746031746
120.742 ,74.631 ,94.148 ,535.427 ,42.30966278318837,58.80069846489409,19.558348781643183,227,216,8.305985E-3 ,2.674978E-3 ,32.881,7,35.932,2.270,188.519E-6 ,1.206,1.261,3.617,18.388,1.629 ,8.214,11.341,19.315,24.641,0.722843,0.463428,4.891 ,2.9899092970521544
159.729 ,135.578 ,79.207 ,592.327 ,36.765334841029755,61.500330764650315,13.963049305782322,563,522,6.433528E-3 ,3.598120E-3 ,62.231,32,60.391,2.323,149.444E-6 ,1.145,1.346,3.435,17.798,1.586 ,8.276,12.455,24.290,24.827,0.716120,0.459319,4.653 ,12.132766439909297
