Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
124.736 ,76.223 ,70.867 ,579.090 ,61.837306364271555,73.83360896243468,27.86279941708832,1386,1295,8.235559E-3 ,2.897590E-3 ,27.127,54,33.533,2.752,226.639E-6 ,1.255,1.436,3.765,15.471,1.352 ,6.705,9.900,15.258,20.115,0.818273,0.280874,8.653 ,16.84675736961451
125.806 ,80.844 ,75.823 ,532.038 ,61.2282306194352,72.40531163955252,25.04284497202707,483,453,8.088285E-3 ,3.135040E-3 ,25.129,17,18.825,3.418,276.477E-6 ,1.702,2.019,5.105,15.616,1.471 ,7.676,11.659,12.812,23.027,0.788954,0.340139,7.737 ,5.849206349206349
115.923 ,40.477 ,76.482 ,462.191 ,62.8780086358691,72.53965708814194,31.876510188459513,856,818,8.753185E-3 ,1.815788E-3 ,18.308,28,26.495,2.810,245.970E-6 ,1.316,1.545,3.947,15.531,1.377 ,6.909,10.244,18.079,20.727,0.800502,0.322355,8.129 ,10.081043083900227
121.653 ,90.267 ,71.564 ,567.381 ,58.70956120192249,71.68744795635506,25.106608125664405,543,506,8.378040E-3 ,3.302833E-3 ,30.621,21,29.863,3.211,269.059E-6 ,1.377,1.508,4.130,16.949,1.459 ,7.558,10.656,16.281,22.674,0.791295,0.332865,7.466 ,7.2859410430839
113.718 ,52.850 ,73.007 ,428.276 ,63.218077875423035,71.88487676462462,11.259198860166986,294,277,8.885372E-3 ,2.511124E-3 ,23.295,13,21.792,3.289,292.206E-6 ,1.543,1.699,4.630,16.639,1.421 ,7.519,10.293,15.958,22.556,0.778564,0.353950,7.096 ,3.5504308390022676
125.578 ,79.530 ,74.872 ,580.496 ,59.32591103206975,71.1256501960556,20.669641804884286,1020,968,8.132380E-3 ,3.009243E-3 ,22.948,31,28.429,2.999,243.858E-6 ,1.407,1.744,4.220,15.922,1.391 ,7.157,10.753,16.637,21.470,0.808957,0.299330,8.305 ,11.361043083900226
137.666 ,128.043 ,75.419 ,590.364 ,48.11834191239431,69.18174673052872,10.565556031858405,311,289,7.699290E-3 ,4.079798E-3 ,49.680,7,17.340,4.267,328.535E-6 ,2.175,2.792,6.524,16.224,1.438 ,8.048,10.489,12.958,24.144,0.780190,0.356933,7.254 ,4.725941043083901
124.735 ,94.035 ,77.760 ,541.583 ,63.68593221251715,74.33457221240228,39.52731519664804,194,176,8.048423E-3 ,3.391194E-3 ,40.000,11,33.427,2.221,178.796E-6 ,1.016,1.250,3.049,14.891,1.255 ,6.868,8.408,11.956,20.603,0.804829,0.290435,7.688 ,3.184716553287982
104.013 ,20.977 ,94.027 ,219.643 ,61.85222946760566,73.94700897003116,19.806641844197664,73,68,9.617684E-3 ,1.357221E-3 ,33.621,4,28.833,1.854,178.306E-6 ,0.731,0.759,2.192,17.980,1.563 ,8.502,14.450,22.489,25.507,0.806549,0.284523,7.452 ,1.1994104308390023
139.495 ,124.696 ,82.120 ,581.176 ,59.57529425053697,74.71559759143376,19.404335854014526,322,296,7.446397E-3 ,3.864607E-3 ,38.106,15,30.247,2.781,207.068E-6 ,1.382,1.450,4.145,17.254,1.450 ,8.049,10.641,13.798,24.146,0.767574,0.363146,6.181 ,4.360226757369614
134.570 ,95.127 ,72.677 ,587.698 ,64.9182229682605,72.70956378233977,25.52676844268312,1010,964,7.548639E-3 ,3.254077E-3 ,12.080,31,18.143,2.777,209.642E-6 ,1.209,1.401,3.628,17.978,1.518 ,8.040,11.319,15.841,24.120,0.802025,0.308587,7.664 ,9.55859410430839
107.148 ,12.111 ,81.629 ,182.178 ,60.517845007674374,71.94546211718142,16.472326696648206,235,221,9.303073E-3 ,1.009313E-3 ,24.756,9,28.163,2.048,190.494E-6 ,0.939,1.148,2.816,12.797,1.215 ,5.966,8.328,14.346,17.897,0.833143,0.246545,9.263 ,3.1063492063492064
124.919 ,91.162 ,75.848 ,593.079 ,60.98559224415981,72.48997068992236,23.30251449733264,902,841,8.260323E-3 ,3.223827E-3 ,23.276,35,28.197,2.861,236.305E-6 ,1.361,1.505,4.082,16.531,1.455 ,7.617,10.861,14.692,22.852,0.792191,0.338009,7.780 ,10.472879818594103
124.070 ,79.960 ,83.325 ,599.433 ,58.030390716448814,70.93480604941982,17.7959130259928,253,243,8.180902E-3 ,2.694905E-3 ,25.902,8,31.392,2.462,201.396E-6 ,1.133,1.478,3.399,17.880,1.560 ,7.505,11.011,16.089,22.516,0.805903,0.302891,7.840 ,3.0802267573696147
124.332 ,50.202 ,93.625 ,351.352 ,64.9646443964524,70.91334900072019,23.119532448656646,153,149,8.168379E-3 ,2.037462E-3 ,6.429,1,2.712,2.519,205.758E-6 ,1.104,1.448,3.313,14.096,1.271 ,6.507,8.494,11.295,19.522,0.827482,0.272194,9.488 ,1.4345124716553288
120.727 ,65.092 ,75.355 ,466.715 ,60.53224856076774,70.56130919572341,23.666928621214144,812,763,8.419386E-3 ,2.698097E-3 ,19.806,30,28.210,3.002,252.709E-6 ,1.345,1.502,4.035,16.575,1.455 ,7.464,10.999,18.271,22.392,0.806224,0.304532,7.890 ,9.323492063492063
139.737 ,112.417 ,74.722 ,590.400 ,57.841569118479825,70.11607205871063,27.323236407478028,391,367,7.564916E-3 ,3.546276E-3 ,24.706,13,17.010,3.242,245.278E-6 ,1.530,1.816,4.591,16.308,1.428 ,7.760,9.989,14.702,23.281,0.787689,0.335567,7.568 ,4.281859410430839
129.526 ,88.642 ,73.838 ,490.451 ,54.81980485682468,69.12641465052799,20.4137662520731,307,280,8.068938E-3 ,3.062107E-3 ,29.315,11,9.783,2.640,213.055E-6 ,1.147,1.231,3.441,17.884,1.533 ,8.255,12.471,20.507,24.766,0.780719,0.359907,7.036 ,3.6810430839002266
122.795 ,75.791 ,74.005 ,578.334 ,58.47229746143036,69.6754968893437,20.295569150407626,1925,1808,8.400280E-3 ,2.897568E-3 ,20.141,65,23.596,3.022,253.859E-6 ,1.461,1.739,4.384,16.042,1.423 ,6.842,10.569,16.728,20.525,0.812378,0.297822,8.682 ,21.287573696145124
122.848 ,72.532 ,79.796 ,397.080 ,51.70489657029698,68.53802288981657,2.8195225523215903,179,157,8.241513E-3 ,3.424911E-3 ,36.154,11,27.764,3.647,300.540E-6 ,1.558,1.659,4.674,16.258,1.315 ,6.977,10.946,19.731,20.930,0.774754,0.340477,6.740 ,2.6361451247165535
131.626 ,101.101 ,78.453 ,587.570 ,64.77462306079335,77.7790379675357,12.432098225884097,758,711,7.899498E-3 ,3.184860E-3 ,27.244,26,29.250,2.674,211.206E-6 ,1.243,1.581,3.730,14.570,1.299 ,6.461,8.969,13.802,19.383,0.826855,0.268191,8.902 ,9.506349206349206
175.714 ,75.355 ,78.755 ,258.747 ,51.05623711507441,75.25427909759378,29.219382184744333,22,19,5.556206E-3 ,2.873092E-3 ,81.720,2,13.508,4.291,238.423E-6 ,1.759,1.117,5.276,15.516,1.744 ,6.855,16.026,--undefined--,20.565,0.622720,0.641039,2.328 ,0.9643083900226758
147.505 ,77.656 ,74.321 ,524.997 ,67.61094648184864,77.39839053922007,23.280402159919724,675,645,6.915015E-3 ,2.453202E-3 ,21.226,14,13.213,2.928,202.454E-6 ,1.324,1.572,3.971,16.671,1.471 ,7.188,9.638,15.337,21.563,0.806685,0.308916,8.198 ,6.397777777777778
165.903 ,142.419 ,78.761 ,528.532 ,66.6447741295112,75.76183773471375,31.13495230648506,226,208,6.504599E-3 ,3.887149E-3 ,19.000,6,20.375,4.967,323.082E-6 ,2.728,3.428,8.184,20.870,1.781 ,9.367,12.683,31.935,28.100,0.726247,0.437480,4.988 ,2.035328798185941
94.302 ,6.949 ,84.942 ,105.425 ,64.80800185680575,75.29026412324555,30.90484927610376,23,22,10.799473E-3 ,0.673139E-3 ,28.571,0,0,4.253,459.252E-6 ,2.853,2.896,8.559,16.652,1.533 ,10.216,13.742,33.553,30.648,0.719657,0.446655,4.635 ,0.38961451247165535
191.137 ,168.887 ,73.953 ,595.052 ,61.991327368020485,76.17477227727781,26.058151462512168,578,527,5.631509E-3 ,4.474793E-3 ,31.002,17,25.904,4.447,250.407E-6 ,2.078,2.657,6.234,19.038,1.611 ,8.552,12.208,20.099,25.657,0.741603,0.412639,5.455 ,5.326757369614512
106.514 ,50.798 ,75.593 ,446.381 ,62.66041685519746,76.8330925410839,18.200982414519938,295,274,9.510244E-3 ,2.648919E-3 ,31.473,15,24.565,3.328,316.456E-6 ,1.721,2.037,5.164,15.524,1.354 ,6.893,9.346,12.187,20.679,0.746700,0.413533,5.881 ,4.516961451247165
156.823 ,147.076 ,75.401 ,594.858 ,62.28185701529352,76.44793196358545,23.244483989372362,442,408,6.801919E-3 ,4.495641E-3 ,32.009,13,20.550,3.409,231.866E-6 ,1.589,2.025,4.768,17.538,1.507 ,7.965,12.059,16.449,23.896,0.754457,0.401685,6.141 ,4.5692063492063495
116.143 ,95.444 ,75.437 ,441.858 ,60.66512833661057,74.67479376584079,19.27129306551824,298,278,8.761822E-3 ,4.317460E-3 ,36.207,14,27.536,3.225,282.538E-6 ,1.636,1.791,4.909,17.317,1.524 ,7.894,10.027,15.243,23.683,0.737976,0.440182,5.422 ,4.673696145124716
151.657 ,150.894 ,73.872 ,595.878 ,63.962678483006236,75.33963039702445,10.003164819698448,425,398,6.942956E-3 ,4.778104E-3 ,20.682,14,31.601,3.669,254.716E-6 ,1.880,2.216,5.640,15.917,1.441 ,7.457,10.917,19.212,22.371,0.744280,0.395815,5.366 ,4.43859410430839
159.710 ,133.607 ,76.415 ,542.496 ,53.98254360343555,77.12995100467506,26.88015054639875,178,166,6.435594E-3 ,3.694586E-3 ,56.678,3,6.113,3.036,195.417E-6 ,1.317,1.534,3.952,19.749,1.782 ,9.300,15.732,32.038,27.901,0.790633,0.305221,7.207 ,3.1063492063492064
176.567 ,151.333 ,74.601 ,600.200 ,63.978488648073636,78.00640952524395,30.439068036996346,1291,1174,6.039749E-3 ,4.389447E-3 ,30.378,47,41.230,3.844,232.174E-6 ,1.876,2.162,5.628,19.432,1.636 ,9.218,13.561,20.317,27.653,0.756279,0.384521,5.969 ,13.006757369614512
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,34.70878575436952,59.18484108526961,18.41587071579478,1,0,--undefined-- ,--undefined-- ,94.059,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,1.0426757369614512
118.430 ,59.583 ,73.944 ,547.375 ,67.08561713535667,79.53722976160753,16.540571368806972,737,714,8.515852E-3 ,2.263795E-3 ,23.995,17,18.874,2.081,177.210E-6 ,0.927,1.164,2.781,13.718,1.236 ,5.960,8.665,14.791,17.881,0.847053,0.231208,9.981 ,8.748798185941043
225.740 ,131.056 ,103.272 ,386.778 ,61.324405563643346,76.42302723725801,16.881323157614382,71,67,4.685360E-3 ,2.985932E-3 ,33.898,1,3.948,5.791,271.313E-6 ,2.878,3.725,8.633,16.806,1.545 ,5.758,10.490,--undefined--,17.273,0.745857,0.413312,5.919 ,0.6247165532879818
