Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
144.067 ,60.334 ,110.743 ,517.055 ,33.26742977083838,52.43893530419142,5.10557096919667,291,276,6.923670E-3 ,1.706494E-3 ,44.557,14,47.284,3.106,215.046E-6 ,1.357,1.527,4.071,14.426,1.225 ,6.270,9.796,18.254,18.811,0.757640,0.375271,5.546 ,3.982562358276644
104.071 ,29.181 ,75.757 ,583.510 ,30.302950535195265,54.7075812593972,5.079630799193496,3717,3508,9.659528E-3 ,1.664823E-3 ,48.198,205,52.453,1.922,185.677E-6 ,0.734,0.942,2.203,13.202,1.197 ,6.133,8.161,13.539,18.398,0.784116,0.323358,6.617 ,72.71072562358276
102.608 ,19.419 ,81.928 ,245.152 ,35.327631119862524,54.486850554542286,1.1875576830793586,709,672,9.718809E-3 ,1.395172E-3 ,34.767,35,39.973,2.169,210.768E-6 ,0.974,1.219,2.921,13.262,1.246 ,5.648,8.010,14.796,16.943,0.800414,0.294127,7.122 ,11.192358276643992
107.371 ,25.468 ,79.193 ,226.893 ,27.21378919420104,55.29270869243433,4.9796971913590236,839,790,9.343510E-3 ,1.796561E-3 ,61.176,48,65.953,1.951,182.327E-6 ,0.805,0.959,2.415,13.479,1.203 ,6.418,8.254,13.102,19.254,0.791203,0.304389,6.736 ,22.13766439909297
222.483 ,77.570 ,76.167 ,569.412 ,40.31604904620092,56.932984464649806,7.931118387897145,1021,986,4.525506E-3 ,1.284100E-3 ,37.227,21,40.275,1.602,72.500E-6 ,0.690,0.767,2.071,8.535,0.893 ,3.537,5.268,7.588,10.612,0.881831,0.168385,11.132 ,7.822562358276644
184.378 ,42.226 ,80.449 ,364.429 ,40.72177961682226,53.71108992526133,10.363794200076097,882,861,5.434788E-3 ,1.085399E-3 ,32.715,18,37.155,1.416,76.937E-6 ,0.577,0.658,1.730,9.624,0.942 ,4.122,5.985,8.521,12.367,0.876080,0.170441,10.255 ,7.587460317460318
169.381 ,38.668 ,78.171 ,558.722 ,36.92188543402869,50.8947889490187,8.727080418971005,461,443,5.953096E-3 ,1.026002E-3 ,43.522,15,43.945,1.903,113.258E-6 ,0.753,0.864,2.260,12.070,1.113 ,5.719,8.590,11.149,17.156,0.832455,0.239044,8.287 ,4.975215419501134
161.105 ,38.848 ,68.827 ,357.591 ,33.023541512216234,57.17942304656067,-3.082002777363533,2045,1975,6.202885E-3 ,1.531442E-3 ,46.863,63,49.425,1.860,115.383E-6 ,0.840,0.979,2.521,12.564,1.194 ,5.592,7.753,10.612,16.776,0.798010,0.304827,7.284 ,25.53358276643991
171.731 ,17.562 ,77.069 ,197.506 ,42.82907224410774,54.62453193044195,10.27761994963965,299,291,5.810549E-3 ,0.673067E-3 ,38.558,7,35.495,1.414,82.174E-6 ,0.652,0.799,1.956,10.730,0.986 ,4.502,6.766,8.928,13.505,0.867571,0.191397,10.280 ,3.2250113378684806
163.380 ,16.331 ,74.607 ,209.752 ,42.53545244280225,59.09866955132297,9.13033595336983,676,652,6.115276E-3 ,0.663488E-3 ,36.377,21,40.340,1.534,93.806E-6 ,0.600,0.652,1.799,11.753,1.062 ,5.075,7.481,8.675,15.226,0.841926,0.226566,8.840 ,6.934399092970522
178.490 ,97.929 ,69.372 ,565.407 ,41.487751817232294,52.00488380063557,10.287713295778778,248,237,5.635843E-3 ,1.890599E-3 ,36.364,8,32.560,2.051,115.615E-6 ,0.961,1.042,2.884,12.063,1.064 ,4.883,7.619,10.218,14.649,0.831478,0.246781,8.302 ,2.232358276643991
