Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
214.678 ,49.544 ,76.605 ,297.625 ,57.361053250020056,77.32582461218453,27.18479514490042,166,160,4.563115E-3 ,0.962820E-3 ,40.816,3,37.307,2.001,91.327E-6 ,0.905,0.902,2.716,14.141,1.239 ,5.427,9.417,15.216,16.281,0.871399,0.177892,9.705 ,1.5009297052154196
114.186 ,61.787 ,76.025 ,593.343 ,52.34751322157473,74.18733259315376,26.0309294119506,873,823,8.868123E-3 ,2.614787E-3 ,46.154,39,52.902,2.644,234.457E-6 ,1.206,1.452,3.619,14.670,1.307 ,6.999,9.781,14.900,20.998,0.742378,0.406546,5.268 ,15.894399092970522
136.547 ,112.039 ,74.966 ,593.614 ,54.218839004485204,74.2177053784427,27.931208203525657,1012,941,7.688143E-3 ,3.680288E-3 ,40.655,43,46.709,2.864,220.178E-6 ,1.294,1.546,3.882,15.914,1.453 ,7.774,10.660,17.182,23.321,0.737230,0.422411,5.240 ,14.692766439909297
149.193 ,147.419 ,74.846 ,589.152 ,49.8686435525205,71.19952119063046,0.7045459832204293,373,340,6.915191E-3 ,4.467905E-3 ,47.153,20,32.459,3.867,267.436E-6 ,2.078,2.441,6.235,17.590,1.484 ,7.612,12.153,22.117,22.835,0.707661,0.484625,4.539 ,5.654399092970522
121.470 ,31.523 ,75.416 ,507.306 ,59.12512465093255,77.97967883119557,28.0148947362318,1682,1626,8.276091E-3 ,1.607716E-3 ,31.937,51,34.557,2.197,181.814E-6 ,0.906,1.145,2.717,13.137,1.233 ,5.663,8.364,12.319,16.989,0.840546,0.237029,9.035 ,21.510725623582765
159.826 ,101.361 ,84.231 ,591.864 ,60.12802635644854,76.19752108847621,36.27068527082478,355,341,6.328546E-3 ,2.676073E-3 ,29.781,9,33.080,2.495,157.911E-6 ,1.202,1.386,3.605,15.959,1.448 ,7.158,10.005,15.620,21.474,0.775287,0.355736,6.478 ,3.695215419501134
133.270 ,58.876 ,106.462 ,432.640 ,58.221398548707285,78.8698967278785,37.30083780419582,214,203,7.505198E-3 ,1.996005E-3 ,26.522,7,30.745,2.445,183.510E-6 ,1.259,1.559,3.776,17.916,1.679 ,8.236,11.522,19.933,24.707,0.765084,0.368212,6.284 ,2.336848072562358
152.759 ,116.974 ,87.341 ,584.355 ,59.71256165281809,76.80114090295508,36.30640470862033,646,611,6.727709E-3 ,3.155800E-3 ,25.816,23,33.806,3.087,207.690E-6 ,1.667,1.928,5.002,15.386,1.358 ,6.885,10.956,17.401,20.655,0.766521,0.360043,6.164 ,6.464195011337869
151.031 ,127.978 ,83.513 ,574.455 ,58.564820432201536,76.80285528771287,34.38485403011268,361,338,6.954353E-3 ,3.421204E-3 ,26.440,13,34.181,2.463,171.302E-6 ,1.209,1.473,3.627,17.110,1.463 ,8.042,11.798,19.504,24.127,0.740207,0.404583,5.058 ,3.8519501133786846
119.446 ,72.542 ,88.337 ,551.054 ,56.896775306940874,71.95574421287468,30.23417033651938,212,201,8.551451E-3 ,2.461590E-3 ,26.909,7,14.715,2.089,178.630E-6 ,1.023,1.177,3.069,13.598,1.231 ,7.044,9.507,13.781,21.131,0.798987,0.304887,7.210 ,2.7809297052154194
113.666 ,72.955 ,79.690 ,571.478 ,54.70335185621872,71.30711518720416,28.8598893664132,347,326,8.990663E-3 ,2.698925E-3 ,31.569,17,38.154,2.686,241.514E-6 ,1.385,1.709,4.154,14.166,1.289 ,6.411,9.885,12.916,19.232,0.766831,0.373305,6.275 ,5.131950113378685
124.248 ,17.942 ,79.009 ,158.094 ,59.39051244236066,71.85272013552006,27.940629232311696,136,128,8.061405E-3 ,1.196307E-3 ,24.074,6,24.587,2.829,228.058E-6 ,1.204,0.994,3.612,16.051,1.404 ,6.747,10.059,16.780,20.240,0.786212,0.339476,7.022 ,1.6576643990929705
144.679 ,106.809 ,75.467 ,586.930 ,49.04585317558866,73.15303893925099,-4.838146664756867,681,640,7.031934E-3 ,3.067475E-3 ,44.813,26,48.407,2.526,177.636E-6 ,1.173,1.339,3.520,16.881,1.446 ,7.693,10.743,16.364,23.078,0.765116,0.369712,6.035 ,9.389909297052155
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,45.342056355516846,64.18480769118497,32.991930486678775,1,0,--undefined-- ,--undefined-- ,97.619,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,0.8739909297052154
134.969 ,31.008 ,84.731 ,183.081 ,52.57699754184804,82.93403331767173,22.901955991339126,240,234,7.418293E-3 ,1.792689E-3 ,58.628,5,49.440,2.232,165.589E-6 ,0.792,1.077,2.375,11.856,1.130 ,4.991,7.823,12.771,14.974,0.838661,0.240540,9.192 ,4.557256235827665
117.827 ,17.453 ,74.991 ,176.072 ,59.90575850531756,79.10409104692567,30.132451195678165,754,725,8.509986E-3 ,1.283072E-3 ,32.794,26,36.993,2.431,206.908E-6 ,0.960,1.279,2.879,14.245,1.286 ,6.369,9.235,16.100,19.107,0.834406,0.240851,8.470 ,9.91235827664399
110.331 ,32.108 ,79.911 ,320.445 ,56.912339549863546,75.86515245827916,30.576641882665005,266,251,9.236821E-3 ,1.615096E-3 ,32.300,10,21.375,2.495,230.414E-6 ,0.965,1.184,2.896,13.121,1.181 ,5.444,7.473,12.920,16.331,0.837592,0.250108,9.582 ,3.9041950113378685
112.891 ,15.950 ,75.575 ,161.528 ,52.427364405645804,76.89577262640232,28.616965922361473,318,301,8.857061E-3 ,1.221300E-3 ,49.655,14,51.713,2.550,225.866E-6 ,1.084,1.242,3.251,15.755,1.377 ,6.809,10.289,14.991,20.427,0.813940,0.286072,7.999 ,5.837256235827664
