Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
119.098 ,34.535 ,78.474 ,396.084 ,44.55953499046967,70.91213287326606,3.698701332823138,471,455,8.469873E-3 ,1.799354E-3 ,40.398,14,12.644,2.155,182.486E-6 ,1.040,1.387,3.120,17.563,1.534 ,7.951,12.091,20.978,23.854,0.807717,0.275632,7.263 ,7.065011337868481
107.402 ,13.733 ,82.069 ,140.933 ,49.03406769364129,67.95742378055992,20.68669621760634,148,140,9.318411E-3 ,1.241886E-3 ,32.727,6,18.490,2.998,279.370E-6 ,1.550,1.835,4.650,20.263,1.884 ,8.060,12.004,42.373,24.180,0.764529,0.374105,6.168 ,2.232358276643991
136.672 ,105.260 ,88.420 ,562.553 ,53.0394398901453,68.52385639756717,22.003652049118507,360,343,7.565068E-3 ,3.213922E-3 ,18.033,10,27.517,2.714,205.341E-6 ,1.370,1.526,4.110,18.770,1.603 ,8.836,12.077,14.146,26.509,0.806211,0.293775,7.572 ,3.695215419501134
103.785 ,17.277 ,79.986 ,157.340 ,50.72222906546074,72.65736340299402,25.435050580908527,154,144,9.614414E-3 ,1.441452E-3 ,41.573,8,46.664,2.483,238.772E-6 ,1.384,1.458,4.153,19.242,1.678 ,7.818,9.691,9.827,23.453,0.787712,0.323964,6.780 ,2.702562358276644
166.885 ,119.126 ,101.592 ,572.513 ,44.13433708727484,67.9704892571029,12.968789160285104,259,249,6.192729E-3 ,2.748095E-3 ,40.604,4,23.243,2.926,181.194E-6 ,1.564,2.038,4.693,18.691,1.567 ,9.367,14.761,24.182,28.102,0.773611,0.350426,6.284 ,3.016031746031746
127.048 ,47.717 ,97.134 ,528.109 ,54.12555569398285,66.32516461555556,34.684718422687396,362,349,7.955183E-3 ,1.636431E-3 ,7.837,8,10.716,2.414,192.040E-6 ,1.158,1.335,3.473,17.255,1.612 ,7.092,11.660,21.031,21.276,0.799437,0.306656,7.470 ,3.2250113378684806
112.024 ,44.621 ,85.111 ,530.037 ,46.75030916334099,68.27330874410792,15.722642381685937,826,794,9.012780E-3 ,1.918150E-3 ,29.122,25,35.118,2.348,211.615E-6 ,1.195,1.339,3.586,16.863,1.476 ,7.621,11.678,21.029,22.863,0.816097,0.273317,7.876 ,11.192358276643992
144.082 ,114.419 ,77.697 ,560.992 ,49.33416187279002,68.56197588282478,14.8192577822506,840,801,7.175899E-3 ,3.359443E-3 ,27.834,21,34.262,2.879,206.594E-6 ,1.424,1.595,4.272,18.562,1.599 ,8.878,12.301,19.182,26.635,0.792526,0.317049,7.180 ,8.945827664399093
117.770 ,43.736 ,91.093 ,459.957 ,45.211816316990586,66.66425611494111,12.554208707379583,490,469,8.642340E-3 ,1.601286E-3 ,36.011,17,35.570,2.197,189.866E-6 ,1.101,1.270,3.304,17.667,1.558 ,8.184,11.648,17.171,24.552,0.786814,0.324899,6.835 ,7.509092970521542
127.500 ,57.793 ,94.331 ,488.398 ,57.110655299371125,67.08225075837144,32.29665072680626,315,308,7.929587E-3 ,2.149602E-3 ,7.447,4,6.349,2.033,161.192E-6 ,0.935,1.222,2.805,19.982,1.708 ,8.326,10.922,17.830,24.979,0.822210,0.254788,7.808 ,2.859297052154195
